Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
org.corfudb.runtime.object.transactions.OptimisticTransactionalContext,addTransaction,1044 -> 1349,b25394702ca5b802e72750b0f9406f97dc01f323 -> fad1fca1015b55ad9ee532ad42f5bb6a5b1ee450,"['https://github.com/CorfuDB/CorfuDB/commit/b25394702ca5b802e72750b0f9406f97dc01f323', 'https://github.com/CorfuDB/CorfuDB/commit/fad1fca1015b55ad9ee532ad42f5bb6a5b1ee450', 'https://github.com/CorfuDB/CorfuDB/commit/3b6a71d20aa0534f8873fa8ddfed1df1a7ffb680', 'https://github.com/CorfuDB/CorfuDB/commit/13e8fd2c4b90103cddc5fa2120083b3af4405543', 'https://github.com/CorfuDB/CorfuDB/commit/16fc1e7a991d3d12555adb496ecc2ad823550e21', 'https://github.com/CorfuDB/CorfuDB/commit/14836d18d866f07952053c1bd86fd0f9f6380c91', 'https://github.com/CorfuDB/CorfuDB/commit/d6a6ee1f3dcdf5c22c85832aefd4f67c0d81224c', 'https://github.com/CorfuDB/CorfuDB/commit/526e6e079e8e5fa3fa5311250238d069b50e564f', 'https://github.com/CorfuDB/CorfuDB/commit/8cb9464b2efb0455a5d01063a055573aa35ca0f3', 'https://github.com/CorfuDB/CorfuDB/commit/183cff8d715da0b198ae744da696ee940af306f8', 'https://github.com/CorfuDB/CorfuDB/commit/9b119a326d00083b069e321031b7234f87b2f8e9', 'https://github.com/CorfuDB/CorfuDB/commit/5e5aa2aa2305952688b5f6664511e8f2d0df05fc', 'https://github.com/CorfuDB/CorfuDB/commit/22ff57e58106b0dc6ed3afc3ccd3586a8663edca', 'https://github.com/CorfuDB/CorfuDB/commit/3bf679c8f14c19c3abf872f79479e74322583a4e', 'https://github.com/CorfuDB/CorfuDB/commit/564c22d3dd7036fa59a1f7cfb08bba0e8079f33a', 'https://github.com/CorfuDB/CorfuDB/commit/26dbb3bb16ff9451b2f1124e712793be790c7179', 'https://github.com/CorfuDB/CorfuDB/commit/b68c965d74a8f1511b7fe1551d1be7ed00562164', 'https://github.com/CorfuDB/CorfuDB/commit/8e19847f52c99ab90a901eb8f0dc2ac98a35b3d0', 'https://github.com/CorfuDB/CorfuDB/commit/2846d1c385ba6b9c3216becf8eb1be3d781b37e9', 'https://github.com/CorfuDB/CorfuDB/commit/985f08ce5b67f42e323cab7533e67d3f8a9c6414', 'https://github.com/CorfuDB/CorfuDB/commit/6e8beae9c0ea92b40ca26662d0d115fdfbc56189', 'https://github.com/CorfuDB/CorfuDB/commit/1f78bf84238ef8d2f2ed34ca36d05257905c7a52', 'https://github.com/CorfuDB/CorfuDB/commit/f0593112d60dee7a0af7036014cb4dae6b900e5c', 'https://github.com/CorfuDB/CorfuDB/commit/6fc2e0a950f3a7932dd350952d3beb7e3af12990', 'https://github.com/CorfuDB/CorfuDB/commit/18d4a99e4d7d24d448c24addae3fbb943249a75d', 'https://github.com/CorfuDB/CorfuDB/commit/6b315a7a182ebc146c525b29d6f08564be4f27ba', 'https://github.com/CorfuDB/CorfuDB/commit/d3c858ae3028368c9e8a0aab780dd8f39cc42041', 'https://github.com/CorfuDB/CorfuDB/commit/08fb3c70bc3d88f6554eca03be5b586cfc3f0e0c', 'https://github.com/CorfuDB/CorfuDB/commit/6200405678426f553a70b1ca68c9de0fc9ca57c4', 'https://github.com/CorfuDB/CorfuDB/commit/1bf3b6ecc0b0e1e49afcbad8f3b9498e0da0c621', 'https://github.com/CorfuDB/CorfuDB/commit/f7ff39f76082951b7559002b797ce6a522ed970a', 'https://github.com/CorfuDB/CorfuDB/commit/59aaa953e98472683013c6684f6b592f2ad2bfca', 'https://github.com/CorfuDB/CorfuDB/commit/02e5d9f34c0673a4a8370d56b76d943d24a17b43', 'https://github.com/CorfuDB/CorfuDB/commit/462a85b619dc5df8852c5268102124cd1bc5507f']",491,284,207,96,2.0,5.0,13.0,9.0,10.0,13.0,3.0,1.0,10,"src/main/java/org/corfudb/runtime/object/transactions/OptimisticTransactionalContext.java: [Add Method Annotation(4), Change Parameter Type(2), Move And Rename Class(1), Remove Method Annotation(1), Rename Attribute(1), Change Attribute Type(1), Remove Attribute Annotation(1), Extract Superclass(1), Extract Class(1)]"
com.microsoft.corfu.sunit.CorfuUnitServer$read_args,(initializer,12 -> 42,5aae0f416ab86d82bca4e8096979a070d6ac6d3c -> 97eaecc39e7d20e830ca2819bd7e8368b2dd8bf5,"['https://github.com/CorfuDB/CorfuDB/commit/5aae0f416ab86d82bca4e8096979a070d6ac6d3c', 'https://github.com/CorfuDB/CorfuDB/commit/97eaecc39e7d20e830ca2819bd7e8368b2dd8bf5']",213,103,110,37,5.0,4.0,6.0,6.0,3.0,3.0,1.0,1.0,3,"src/java/com/microsoft/corfu/sunit/CorfuUnitServer.java: [Reorder Parameter(52), Remove Parameter(36), Move Attribute(10), Move Method(8), Change Attribute Access Modifier(4)] src/java/com/microsoft/corfu/sunit/CorfuUnitServerImpl.java: [Add Method Annotation(21), Reorder Parameter(7), Localize Parameter(4), Remove Parameter(3), Rename Method(2)]"
org.corfudb.runtime.collections.LPBTree,readrootoid,581 -> 618,12e2f674f96b5218874ae21a7c20fab03337f020 -> de145022265d37e6afd04ea8421c62372cf03942,"['https://github.com/CorfuDB/CorfuDB/commit/12e2f674f96b5218874ae21a7c20fab03337f020', 'https://github.com/CorfuDB/CorfuDB/commit/de145022265d37e6afd04ea8421c62372cf03942', 'https://github.com/CorfuDB/CorfuDB/commit/24c973da0c808cf1943160f1f61cb2f9c87bd367', 'https://github.com/CorfuDB/CorfuDB/commit/e3a82eaa2b0e1b02256cf3baec60c0be12d813dd']",86,44,42,27,4.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,3,"src/main/java/org/corfudb/runtime/collections/LPBTree.java: [Change Variable Type(50), Change Parameter Type(40), Change Return Type(8), Add Parameter(4), Move Method(3), Inline Method(2), Remove Parameter(2), Change Method Access Modifier(2), Rename Class(1), Change Attribute Type(1), Extract Superclass(1)]"
org.corfudb.integration.ClusterReconfigIT,resetTest,2241 -> 2247,004ccee58bd4d51986248ed14cd40461bf07289a -> 63c21a6a87ba5fc6e02e992e3c92f8e24ed09ce7,"['https://github.com/CorfuDB/CorfuDB/commit/550286d0145f06e6bce3c3b51add3129b0518590', 'https://github.com/CorfuDB/CorfuDB/commit/004ccee58bd4d51986248ed14cd40461bf07289a', 'https://github.com/CorfuDB/CorfuDB/commit/63c21a6a87ba5fc6e02e992e3c92f8e24ed09ce7', 'https://github.com/CorfuDB/CorfuDB/commit/0d296fb8fa40a5a31c613d14c669f2cf2e66df77', 'https://github.com/CorfuDB/CorfuDB/commit/ec64ef74891b32d341b2d3ec553d9e64605c87e4', 'https://github.com/CorfuDB/CorfuDB/commit/221f08956bd9d51807e30eea7fc963e4bdacc995', 'https://github.com/CorfuDB/CorfuDB/commit/ad018381771c93122c45206fb9dc713f79064dd6', 'https://github.com/CorfuDB/CorfuDB/commit/75ad766213c7ea36c1f5e0f9fd5f6973eca5d44f', 'https://github.com/CorfuDB/CorfuDB/commit/e0fba69adc90ede58796ff0f4b3d51785185bc11']",17,8,9,79,6.0,4.0,17.0,17.0,16.0,16.0,3.0,3.0,16,"test/src/test/java/org/corfudb/integration/ClusterReconfigIT.java: [Extract Method(65), Parameterize Variable(8)]"
com.microsoft.corfu.sunit.CorfuUnitServer$querytrim_args,compareTo,20 -> 42,10ea9ed48dad3ab2c8846afef8d31317ab4c6d52 -> 97eaecc39e7d20e830ca2819bd7e8368b2dd8bf5,"['https://github.com/CorfuDB/CorfuDB/commit/10ea9ed48dad3ab2c8846afef8d31317ab4c6d52', 'https://github.com/CorfuDB/CorfuDB/commit/97eaecc39e7d20e830ca2819bd7e8368b2dd8bf5']",52,26,26,37,1.0,1.0,8.0,7.0,4.0,4.0,2.0,2.0,4,"src/java/com/microsoft/corfu/sunit/CorfuUnitServer.java: [Change Parameter Type(64), Change Return Type(38), Change Variable Type(24), Move And Rename Class(16), Rename Method(14), Rename Parameter(10), Rename Class(6), Split Class(4), Rename Attribute(4), Remove Parameter(3), Move Class(2), Move And Rename Method(1)] src/java/com/microsoft/corfu/sunit/CorfuUnitServerImpl.java: [Inline Method(90), Extract Method(53), Rename Variable(20), Remove Parameter(6), Change Attribute Type(4), Change Variable Type(4), Add Parameter(3)]"
org.corfudb.runtime.view.AbstractReplicationView,getReplicationView,1190 -> 1200,cf051d615b0f9aa7dd1e96a9212b30543c4bd733 -> db4b58a2cb990301771c0aa011fab756af6dc3f7,"['https://github.com/CorfuDB/CorfuDB/commit/7ade8588dfcb25c1b5521da236af1fb88544b5b0', 'https://github.com/CorfuDB/CorfuDB/commit/4a5033130ce0d1cebc634c333a85197c74dc5fa5', 'https://github.com/CorfuDB/CorfuDB/commit/7fbebd3d4eb498fcbf29e2e9ccf17365f1d290e4', 'https://github.com/CorfuDB/CorfuDB/commit/104e27adc773af2a9265f1b1d4bf55fed01dd595', 'https://github.com/CorfuDB/CorfuDB/commit/cf051d615b0f9aa7dd1e96a9212b30543c4bd733', 'https://github.com/CorfuDB/CorfuDB/commit/db4b58a2cb990301771c0aa011fab756af6dc3f7', 'https://github.com/CorfuDB/CorfuDB/commit/20e92cce81146ab951f99794621417bc0371d87e', 'https://github.com/CorfuDB/CorfuDB/commit/4e5f4447cc9362ef39ffc67534379c9be71de46e', 'https://github.com/CorfuDB/CorfuDB/commit/958b37640c3a9c847b9cf73013770db3b0cef844', 'https://github.com/CorfuDB/CorfuDB/commit/b188585e40a29a070d3af25624f617054a29c8a3', 'https://github.com/CorfuDB/CorfuDB/commit/169bd2cc8d3c651eb056a94ef824d45900a86ea4', 'https://github.com/CorfuDB/CorfuDB/commit/399a9b68a477e6e0197dbc5a7fbbb7c2f868d76e']",0,0,0,12,6.0,5.0,21.0,11.0,4.0,2.0,5.0,3.0,2,"src/main/java/org/corfudb/runtime/view/AbstractReplicationView.java: [Rename Parameter(4), Pull Up Method(1)]"
org.corfudb.runtime.object.transactions.StreamTest,mixBackpointers,2569 -> 2649,9e6c6673a440fa3963ca5cacca686b92a419385d -> 50e45c6700a4cf21acb59530b61d87cea149472b,"['https://github.com/CorfuDB/CorfuDB/commit/38afd46c1d120e69cd2c556ca886d4cdc764ee88', 'https://github.com/CorfuDB/CorfuDB/commit/17cd051ca2e3b3959f4066962273f00efbbda7ce', 'https://github.com/CorfuDB/CorfuDB/commit/5fdb39e7d86ceb54cb6acb0d771387befbfd1d30', 'https://github.com/CorfuDB/CorfuDB/commit/9e6c6673a440fa3963ca5cacca686b92a419385d', 'https://github.com/CorfuDB/CorfuDB/commit/50e45c6700a4cf21acb59530b61d87cea149472b', 'https://github.com/CorfuDB/CorfuDB/commit/56f5f82525b618d8c2f27da5a93a57435be0122b', 'https://github.com/CorfuDB/CorfuDB/commit/d870eb279aaf60286a1c65ea96d5cad40f6d28e4', 'https://github.com/CorfuDB/CorfuDB/commit/a16bd626aada73a21ac475a38266e5f393807ce5', 'https://github.com/CorfuDB/CorfuDB/commit/f2ce0d778580df25ea16a380338b3ce6ef906378', 'https://github.com/CorfuDB/CorfuDB/commit/e0fba69adc90ede58796ff0f4b3d51785185bc11']",0,0,0,21,5.0,5.0,40.0,40.0,9.0,6.0,5.0,5.0,8,"test/src/test/java/org/corfudb/runtime/object/transactions/StreamTest.java: [Extract Class(8), Move Method(4), Move Attribute(2), Change Attribute Access Modifier(2), Add Attribute Modifier(2)]"
org.corfudb.runtime.collections.streaming.StreamPollingSchedulerTest,testRefreshWhileSyncing,3368 -> 3423,84640ba2a481977b10a4cea7fda0f77c76c6021c -> 33f7733503df051723a4ad87a0dfda324a2e05d2,"['https://github.com/CorfuDB/CorfuDB/commit/242e0caf5104a47956bd6bca9b008739a538470f', 'https://github.com/CorfuDB/CorfuDB/commit/4a4574483edd5a3e4cdaa8a591c5996a80de236e', 'https://github.com/CorfuDB/CorfuDB/commit/84640ba2a481977b10a4cea7fda0f77c76c6021c', 'https://github.com/CorfuDB/CorfuDB/commit/33f7733503df051723a4ad87a0dfda324a2e05d2', 'https://github.com/CorfuDB/CorfuDB/commit/e0fba69adc90ede58796ff0f4b3d51785185bc11']",338,124,214,19,14.0,10.0,57.0,37.0,39.0,31.0,1.0,1.0,39,"test/src/test/java/org/corfudb/runtime/collections/streaming/StreamPollingSchedulerTest.java: [Replace Attribute With Variable(188), Inline Method(127), Move Attribute(27), Extract Class(21), Change Attribute Access Modifier(15), Change Variable Type(12), Rename Variable(12)]"
org.corfudb.infrastructure.logreplication.infrastructure.CorfuReplicationDiscoveryService,shutdown,3411 -> 3419,5c319a4c782bf17426eedafa297ccad68d14a5b6 -> d921a05547b82516f772dedf96a09ac7dee52b9d,"['https://github.com/CorfuDB/CorfuDB/commit/32b5cdb2f7903bba0f5a398d2c7b22052feb3e53', 'https://github.com/CorfuDB/CorfuDB/commit/c2adf8770f38149142b2c9df986da1c13350419b', 'https://github.com/CorfuDB/CorfuDB/commit/e9ee5d0501769dea7fe4e92d9680a6a6d75008f4', 'https://github.com/CorfuDB/CorfuDB/commit/b5e26bc15968dcb8abeb85295c7a99d3a31d8f1c', 'https://github.com/CorfuDB/CorfuDB/commit/5c319a4c782bf17426eedafa297ccad68d14a5b6', 'https://github.com/CorfuDB/CorfuDB/commit/d921a05547b82516f772dedf96a09ac7dee52b9d', 'https://github.com/CorfuDB/CorfuDB/commit/fffa0782aebe73ca6efe75a03b5c754923fce7da', 'https://github.com/CorfuDB/CorfuDB/commit/6f39c59088e48bb8bae7329fbcc1f04aa92abdf5', 'https://github.com/CorfuDB/CorfuDB/commit/e0fba69adc90ede58796ff0f4b3d51785185bc11']",0,0,0,68,5.0,4.0,18.0,17.0,8.0,5.0,6.0,6.0,2,"infrastructure/src/main/java/org/corfudb/infrastructure/logreplication/infrastructure/CorfuReplicationDiscoveryService.java: [Remove Parameter(6), Rename Attribute(6), Rename Variable(4), Replace Attribute With Variable(4), Extract And Move Method(4), Rename Method(2), Change Attribute Type(2), Add Attribute Modifier(2), Move And Rename Method(1), Move Method(1)]"
org.corfudb.runtime.CheckpointWriter,appendCheckpoint,2630 -> 2638,7ad2f0e0e16c1adb53fcc54a47335fccb80f3477 -> 5a8be52bb3d8bfe2baca79339b4219419b385835,"['https://github.com/CorfuDB/CorfuDB/commit/823788acae40fd6eea6272dbd9fab1bc4e87677f', 'https://github.com/CorfuDB/CorfuDB/commit/1f7b77dc4abe1580aa3ca0ff05406a4f6502d908', 'https://github.com/CorfuDB/CorfuDB/commit/6ad4922dc13a30dd3366919d26f7f9ccc975e941', 'https://github.com/CorfuDB/CorfuDB/commit/03cae89b75e1b451162aa36122af8c85e035b7ba', 'https://github.com/CorfuDB/CorfuDB/commit/acf24bfab6d00f0f428c4096971cab33871af5d0', 'https://github.com/CorfuDB/CorfuDB/commit/fbc24509facdb6ad4ff7d5da0af0a6d757770ece', 'https://github.com/CorfuDB/CorfuDB/commit/5b429ae75b6c9fbff05ed7c447281598e9cb98d7', 'https://github.com/CorfuDB/CorfuDB/commit/7ad2f0e0e16c1adb53fcc54a47335fccb80f3477', 'https://github.com/CorfuDB/CorfuDB/commit/5a8be52bb3d8bfe2baca79339b4219419b385835', 'https://github.com/CorfuDB/CorfuDB/commit/3d53f1c1a608a67cae7387f9befcabb130092e88', 'https://github.com/CorfuDB/CorfuDB/commit/0bfa196d2c4a3d585ddbd712dec40be957f3ebd7']",43,10,33,11,3.0,3.0,6.0,5.0,5.0,3.0,1.0,1.0,1,"runtime/src/main/java/org/corfudb/runtime/CheckpointWriter.java: [Extract Method(32), Parameterize Variable(4)]"
