Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
org.corfudb.runtime.view.stream.BackpointerStreamView,class,2923 -> 2930,1e2c0eae0cff4f4aa274d1276624bfedc35ff8a5 -> 8c5af13f39c8b20803cad3c6488d649f251e9e1d,0,0,0,11,9.0,8.0,3.0,3.0,4.0,4.0,97.0,97.0,0.0,0.0,20.0,20.0,24.0,24.0,fillReadQueue[ getType():3 getAddressSpaceView():3 read():2 singleton():1 add():1 fillHole():1 containsStream():1 getSequencerView():1 isEmpty():1 getBackpointer():1 min():1 nextToken():1 hasBackpointer():1 getToken():1 ] read[ read():1 getAddressSpaceView():1 ] getHasNext[ singleton():1 nextToken():1 getToken():1 isEmpty():1 getSequencerView():1 ] BackpointerStreamView[  ] close[  ] append[ singleton():3 debug():2 apply():2 nextToken():2 getToken():2 getSequencerView():2 trace():1 getBackpointerMap():1 getAddressSpaceView():1 getStreamAddresses():1 write():1 ] ,"test/src/test/java/org/corfudb/runtime/view/stream/BackpointerStreamViewTest.java: [Pull Up Method(6), Extract Superclass(2)] runtime/src/main/java/org/corfudb/runtime/view/stream/BackpointerStreamView.java: [Pull Up Attribute(1)]"
org.corfudb.runtime.collections.CorfuQueue,class,2799 -> 2905,c0040971f1168cfd54beb4838655ac5169669655 -> 84fe029c94d9c3242e92aab9d60c083c9430250f,60,28,32,2,15.0,15.0,1.0,1.0,15.0,15.0,139.0,135.0,0.0,0.0,42.0,43.0,20.0,19.0,enqueue[ nextLong():1 put():1 ] removeEntry[ getLeastSignificantBits():1 remove():1 ] size[ size():1 ] CorfuQueue[ getObjectsView():1 setTypeToken():1 build():1 setStreamName():1 setArguments():1 open():1 empty():1 ] containsKey[ containsKey():1 getLeastSignificantBits():1 ] hashCode[ hash():1 ] get[ get():1 getLeastSignificantBits():1 ] equals[ hashCode():1 hash():1 ] isEmpty[ isEmpty():1 ] clear[ clear():1 ] entryList[ getObjectsView():2 getCurrentContext():2 getSnapshotTimestamp():2 getSequence():2 add():1 getKey():1 TXBuild():1 entrySet():1 type():1 getValue():1 isInTransaction():1 min():1 size():1 build():1 entryList():1 begin():1 TXEnd():1 ] toString[ append():4 toString():2 size():1 entrySet():1 ] ,"runtime/src/main/java/org/corfudb/runtime/collections/CorfuQueue.java: [Extract Method(65), Change Variable Type(4)]"
org.corfudb.runtime.collections.LambdaLogicalBTree,class,631 -> 633,e3a82eaa2b0e1b02256cf3baec60c0be12d813dd -> 1db2006d24b56ce34324c570b3831fe79eb4c574,0,0,0,1,9.0,6.0,1.0,1.0,93.0,36.0,59.0,33.0,0.0,0.0,17.0,15.0,16.0,9.0,printview[ print():1 ] LambdaLogicalBTree[ getStreamID():2 newInstance():1 getConstructor():1 ] getStreamID[  ] clear[ clear():1 mutatorHelper():1 ] setUnderlyingSMREngine[  ] update[ update():1 mutatorAccessorHelper():1 complete():1 getReturnResult():1 ] getUnderlyingSMREngine[  ] getUnderlyingTransaction[  ] put[ mutatorHelper():1 put():1 ] remove[ mutatorAccessorHelper():1 complete():1 remove():1 getReturnResult():1 ] print[ accessorHelper():1 print():1 complete():1 getReturnResult():1 ] getUnderlyingType[  ] size[ accessorHelper():1 size():1 complete():1 getReturnResult():1 ] get[ accessorHelper():1 get():1 complete():1 getReturnResult():1 ] height[ accessorHelper():1 complete():1 getReturnResult():1 height():1 ] ,src/main/java/org/corfudb/runtime/collections/LambdaLogicalBTree.java: [Extract Superclass(2)]
com.microsoft.corfu.sunit.CorfuUnitServerImpl$CyclicBitSet,innerclass,20 -> 22,10ea9ed48dad3ab2c8846afef8d31317ab4c6d52 -> 885d99cc09ffadda6a86a64f53e4780d6a109742,474,314,160,48,1.0,2.0,2.0,1.0,46.0,0.0,67.0,97.0,0.0,0.0,10.0,5.0,19.0,47.0,CyclicBitSet[  ] nextClearBit[ ci():1 ] set[ ci():3 ] ci[  ] isRangeClear[ ci():2 nextSetBit():1 ] isRangeSet[ ci():2 nextClearBit():1 ] get[ ci():1 ] clear[ ci():3 ] nextSetBit[ ci():1 ] ,"src/java/com/microsoft/corfu/sunit/CorfuUnitServerImpl.java: [Inline Method(90), Extract Method(53), Rename Variable(20), Remove Parameter(6), Change Attribute Type(4), Change Variable Type(4), Add Parameter(3)]"
org.corfudb.security.tls.TlsUtils$CertStoreConfig$KeyStoreConfig,innerclass,3234 -> 3249,8a113dffb26dfc889c9e7a5c39d606b9f441dc79 -> 8e4965d72bb1184d70ab5ff95007ddfc9252be28,0,0,0,28,5.0,4.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,2.0,2.0,from[ get():2 ] getCertStore[  ] ,"runtime/src/main/java/org/corfudb/security/tls/TlsUtils.java: [Extract Method(17), Remove Thrown Exception Type(12), Change Return Type(12), Change Variable Type(8), Rename Variable(8), Add Class Annotation(6), Rename Method(2)] runtime/src/test/java/org/corfudb/security/tls/TlsUtilsTest.java: [Extract Variable(5), Remove Thrown Exception Type(3)]"
org.corfudb.infrastructure.logreplication.transport.sample.GRPCLogReplicationServerChannelAdapter,class,3437 -> 3528,95ceacd62a376f84027fcbaeb0712ac363c34b80 -> e0fba69adc90ede58796ff0f4b3d51785185bc11,0,0,0,190,9.0,7.0,2.0,2.0,0.0,0.0,46.0,37.0,0.0,0.0,20.0,17.0,10.0,7.0,stop[ shutdownNow():1 complete():1 info():1 ] start[ start():1 error():1 completeExceptionally():1 info():1 ] GRPCLogReplicationServerChannelAdapter[ parseInt():1 getServerConfig():1 build():1 addService():1 get():1 forPort():1 ] send[ getType():1 send():1 info():1 ] ,"infrastructure/src/main/java/org/corfudb/infrastructure/logreplication/transport/sample/GRPCLogReplicationServerChannelAdapter.java: [Extract Method(6), Add Thrown Exception Type(3), Remove Attribute Modifier(2)]"
org.corfudb.infrastructure.IServerRouter,interface,2769 -> 2771,c060d9a2cc3032b974f26fa388a1e4fb5df26df3 -> 9a793f8f923aa3123137d668d2a2719642ca28e2,0,0,0,61,9.0,3.0,1.0,1.0,72.0,10.0,51.0,7.0,0.0,0.0,17.0,0.0,18.0,5.0,sendResponse[  ] ,"infrastructure/src/main/java/org/corfudb/infrastructure/IServerRouter.java: [Pull Up Method(2), Change Return Type(2)]"
org.corfudb.sharedlog.ClientLib,class,107 -> 170,84c0e1d646682802e0aa689401f1397c998aa56f -> b4ff977ec7e106bf2b644aa09d402d271c10e162,0,0,0,3,31.0,31.0,1.0,1.0,95.0,95.0,278.0,293.0,0.0,0.0,58.0,55.0,73.0,75.0,rebuild[ rebuild():1 getLocationForOffset():1 getCfgOf():1 elementAt():1 ] writeExtnt[ equals():6 getIncarnation():3 getLocationForOffset():1 writeExtnt():1 compareIncarnations():1 size():1 printStackTrace():1 pullConfig():1 getSUnitOf():1 write():1 info():1 ] setMark[  ] querytail[ nextpos():1 ] proposeDeployUnit[ proposeReconfig():1 ConfDeploy():1 getActiveSegmentView():1 ] readExtnt[ getErr():5 equals():5 getIncarnation():3 readExtnt():2 getLocationForOffset():1 debug():1 read():1 previous():1 printStackTrace():1 pullConfig():1 getTrimmark():1 compareIncarnations():1 size():1 listIterator():1 hasPrevious():1 getSUnitOf():1 ] grainsize[ getPagesize():1 ] dbg[ getLocationForOffset():1 getIncarnation():1 elementAt():1 getSUnitOf():1 readmeta():1 ] ClientLib[ buildClientConnections():1 pullConfig():1 ] buildClientConnections[ getSequencer():2 getGroupByNumber():1 getNumGroups():1 getSUnitOf():1 ] appendExtnt[ grainsize():5 add():1 writeExtnt():1 printStackTrace():1 nextpos():1 appendExtnt():1 wrap():1 ] pullConfig[ println():2 getRequestLine():1 getContent():1 getStatusLine():1 getEntity():1 execute():1 ] sync[ getActiveSegmentView():1 getSUnitOf():1 sync():1 getGroups():1 ] tokenserverrecover[ recover():1 printStackTrace():1 ] proposeRemoveUnit[ proposeReconfig():1 ConfRemove():1 getActiveSegmentView():1 ] killUnit[ printStackTrace():1 getCfgOf():1 getEP():1 kill():1 ] trim[ proposeReconfig():1 ConfTrim():1 ] ckpoint[  ] proposeReconfig[ info():2 getContent():1 getStatusLine():1 getEntity():1 readLine():1 execute():1 setEntity():1 startsWith():1 ] queryck[  ] grabtokens[ nextpos():1 ] write[ grainsize():5 add():1 writeExtnt():1 wrap():1 ] queryhead[  ] ,src/main/java/org/corfudb/sharedlog/ClientLib.java: [Extract Method(28)]
org.corfudb.runtime.view.stream.AbstractQueuedStreamView,class,3012 -> 3038,6a7498cf18d8bfe286d4d7a56bf57c066f4c85c3 -> ed3f9f559524980abcfd95e4d9d48f2949ee11cf,0,0,0,34,22.0,22.0,3.0,3.0,274.0,274.0,402.0,394.0,1.0,1.0,107.0,107.0,97.0,97.0,getNextEntry[ fillReadQueue():1 read():1 size():1 containsStream():1 isEmpty():1 pollFirst():1 first():1 ] fillReadQueue[  ] read[  ] AbstractQueuedStreamView[  ] ,"runtime/src/main/java/org/corfudb/runtime/view/stream/AbstractQueuedStreamView.java: [Extract And Move Method(12), Pull Up Method(10), Remove Parameter Modifier(4), Remove Method Annotation(2), Move Class(1), Change Method Access Modifier(1)]"
com.microsoft.corfu.sunit.CorfuUnitServer$Processor,innerclass,12 -> 14,5aae0f416ab86d82bca4e8096979a070d6ac6d3c -> fccbfb5458c80c12cfc4164f66e0bae67a778467,0,0,0,19,12.0,11.0,1.0,1.0,3.0,3.0,134.0,116.0,0.0,0.0,4.0,4.0,3.0,3.0,Processor[ getProcessMap():2 ] getProcessMap[ put():5 ] ,"src/java/com/microsoft/corfu/sunit/CorfuUnitServer.java: [Reorder Parameter(52), Remove Parameter(36), Move Attribute(10), Move Method(8), Change Attribute Access Modifier(4)] src/java/com/microsoft/corfu/sunit/CorfuUnitServerImpl.java: [Add Method Annotation(21), Reorder Parameter(7), Localize Parameter(4), Remove Parameter(3), Rename Method(2)]"
