Class,Type,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
com.pinecone.framework.unit.ConcurrentReferenceHashMap$EntryIterator,innerclass,188 -> 203,b07811a0da7120f47c96a2ed31e88ae0eb645db2 -> b9eb892c3ff10002437ac5848843745cd22b231d,"['https://github.com/DragonKingpin/Hydra/commit/eeadb0977c69e9f983a0cf30d4ee1e546c338632', 'https://github.com/DragonKingpin/Hydra/commit/2e5dd9ae1cc5ca4804309a547b9bd4218d28a438', 'https://github.com/DragonKingpin/Hydra/commit/5c56eed3554453216a441aaf5a8d2892e049abcc', 'https://github.com/DragonKingpin/Hydra/commit/88aa56b11011701c6dc78142507cbc8d792bed02', 'https://github.com/DragonKingpin/Hydra/commit/abdae599343edac2fb7c19f43dccce0fd2f18f42', 'https://github.com/DragonKingpin/Hydra/commit/c6f50449a63ffd6c610bd58f236c54b5effe098d', 'https://github.com/DragonKingpin/Hydra/commit/7d037c92b83855edc54a97e949d20ec657aecfe1', 'https://github.com/DragonKingpin/Hydra/commit/b07811a0da7120f47c96a2ed31e88ae0eb645db2', 'https://github.com/DragonKingpin/Hydra/commit/b9eb892c3ff10002437ac5848843745cd22b231d', 'https://github.com/DragonKingpin/Hydra/commit/0ee426716d633f40b3cfca8670ba5d0fcfb3726e']",0,0,0,22,7.0,6.0,1.0,1.0,7.0,7.0,62.0,62.0,0.0,0.0,8.0,8.0,17.0,17.0,next[ getNextIfNecessary():1 ] getNextIfNecessary[ moveToNextReference():1 get():1 ] moveToNextReference[ moveToNextSegment():1 getNext():1 ] moveToNextSegment[  ] EntryIterator[ moveToNextSegment():1 ] hasNext[ getNextIfNecessary():1 ] remove[ getKey():1 state():1 remove():1 ] ,"Pinecones/Pinecone/src/main/java/com/pinecone/framework/unit/ConcurrentReferenceHashMap.java: [Add Parameter Annotation(220), Add Method Annotation(102), Extract Method(78), Rename Variable(28), Rename Parameter(28), Add Attribute Annotation(27), Inline Method(16), Extract Variable(10), Change Parameter Type(8), Remove Parameter Modifier(8), Remove Variable Modifier(8), Change Variable Type(8), Merge Conditional(5), Add Attribute Modifier(4), Parameterize Variable(4), Replace Anonymous With Lambda(4), Localize Parameter(4), Replace Attribute With Variable(4), Change Type Declaration Kind(2), Change Attribute Type(2), Remove Attribute Modifier(2)]"
com.pinecone.hydra.file.entity.Folder,interface,147 -> 177,3dac7bf879091d2c203dae686dc9420e66bd5662 -> 301d10f55f881dc10bbff149503a73b6010dc6ff,"['https://github.com/DragonKingpin/Hydra/commit/592923cc2735615f9b895b634d9b0a4a24588d74', 'https://github.com/DragonKingpin/Hydra/commit/3dac7bf879091d2c203dae686dc9420e66bd5662', 'https://github.com/DragonKingpin/Hydra/commit/301d10f55f881dc10bbff149503a73b6010dc6ff']",0,0,0,4,7.0,6.0,1.0,1.0,153.0,406.0,22.0,33.0,0.0,0.0,0.0,0.0,18.0,29.0,getGuid[  ] setName[  ] setGuid[  ] getCreateTime[  ] getName[  ] getEnumId[  ] setChildrenGuids[  ] put[  ] remove[  ] copyTo[  ] setFolderMeta[  ] setEnumId[  ] keySet[  ] listItem[  ] entrySet[  ] containsKey[  ] isEmpty[  ] setCreateTime[  ] setNodeAttribute[  ] getFolderMeta[  ] copyNamespaceMetaTo[  ] getUpdateTime[  ] getChildren[  ] getFileTree[  ] size[  ] evinceFolder[  ] getNodeAttribute[  ] setUpdateTime[  ] getChildrenGuids[  ] ,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/file/entity/Folder.java: [Move Method(6), Change Return Type(4), Pull Up Method(4), Remove Parameter(3), Extract Interface(2)]"
com.pinecone.hydra.umc.msg.UMCMessage,interface,146 -> 147,97d6540cf6a241ac3422ea1f2722cb6685f35468 -> 3dac7bf879091d2c203dae686dc9420e66bd5662,"['https://github.com/DragonKingpin/Hydra/commit/2e5dd9ae1cc5ca4804309a547b9bd4218d28a438', 'https://github.com/DragonKingpin/Hydra/commit/97d6540cf6a241ac3422ea1f2722cb6685f35468', 'https://github.com/DragonKingpin/Hydra/commit/3dac7bf879091d2c203dae686dc9420e66bd5662', 'https://github.com/DragonKingpin/Hydra/commit/301d10f55f881dc10bbff149503a73b6010dc6ff']",0,0,0,79,6.0,5.0,1.0,1.0,10.0,15.0,15.0,12.0,0.0,0.0,3.0,2.0,5.0,6.0,getExHead[ getHead():1 ] getBody[  ] getHead[  ] getBytesBody[  ] getStreamBody[  ] getMethod[ getHead():1 getMethod():1 ] ,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/umc/msg/UMCMessage.java: [Change Return Type(4), Push Down Method(1)]"
com.pinecone.hydra.account.entity.ArchElementNode,class,231 -> 236,a05231be7bbf687fbe94f46bd3970db02a7ddb30 -> 2db9c6675bc38e038c7649a986496486febec60a,"['https://github.com/DragonKingpin/Hydra/commit/a05231be7bbf687fbe94f46bd3970db02a7ddb30', 'https://github.com/DragonKingpin/Hydra/commit/2db9c6675bc38e038c7649a986496486febec60a']",0,0,0,24,5.0,5.0,1.0,1.0,12.0,12.0,32.0,32.0,3.0,2.0,1.0,1.0,8.0,8.0,getGuid[  ] setName[  ] setGuid[  ] getName[  ] setEnumId[  ] getEnumId[  ] ArchElementNode[ nextGUID72():2 ] ,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/account/entity/ArchElementNode.java: [Pull Up Method(19), Pull Up Attribute(5), Rename Parameter(4), Extract Superclass(1)]"
com.walnut.sparta.system.SystemController,class,71 -> 72,abdae599343edac2fb7c19f43dccce0fd2f18f42 -> ceb8fbeb80d53d5fb9e34538516c8d007ec7e8ba,"['https://github.com/DragonKingpin/Hydra/commit/95c94f72dd8fe05ba4a92e2b350b7c3d465ab9b4', 'https://github.com/DragonKingpin/Hydra/commit/677af872e8067c29b9bce985c381cdc5ac87a757', 'https://github.com/DragonKingpin/Hydra/commit/5d20408a2f8dbb4d5e809514ba6fa0548f9d8cda', 'https://github.com/DragonKingpin/Hydra/commit/11860b1c2e1b6d578f49e74a3bba6d06e86d8a60', 'https://github.com/DragonKingpin/Hydra/commit/a115a10891fffea46e0e5098bec30488e8a7a0d7', 'https://github.com/DragonKingpin/Hydra/commit/373ed45b4cf3ef616fd311398a36286162035cec', 'https://github.com/DragonKingpin/Hydra/commit/d6383afcba3e132770cfe9bf575aad15f644ab15', 'https://github.com/DragonKingpin/Hydra/commit/5c56eed3554453216a441aaf5a8d2892e049abcc', 'https://github.com/DragonKingpin/Hydra/commit/88aa56b11011701c6dc78142507cbc8d792bed02', 'https://github.com/DragonKingpin/Hydra/commit/abdae599343edac2fb7c19f43dccce0fd2f18f42', 'https://github.com/DragonKingpin/Hydra/commit/ceb8fbeb80d53d5fb9e34538516c8d007ec7e8ba']",69,0,69,17,10.0,2.0,1.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,undefined[  ] ,"Walnuts/Sparta/src/main/java/com/walnut/sparta/system/SystemController.java: [Remove Parameter Annotation(9), Extract Class(7), Extract Variable(6), Remove Method Annotation(6), Move Method(3)]"
com.pinecone.framework.util.lang.iterator.JarClassIterator,class,36 -> 130,1c944f2d9df86443d50ab49c079d4cc2488258f9 -> 5b6ee9347ebca63cff1b2c98f659fb5e410c8749,"['https://github.com/DragonKingpin/Hydra/commit/1c944f2d9df86443d50ab49c079d4cc2488258f9', 'https://github.com/DragonKingpin/Hydra/commit/5b6ee9347ebca63cff1b2c98f659fb5e410c8749', 'https://github.com/DragonKingpin/Hydra/commit/542324d6f2f52564dd2423ab51c75f2d69e83b37']",0,0,0,60,4.0,3.0,2.0,2.0,10.0,10.0,52.0,52.0,1.0,1.0,14.0,15.0,15.0,15.0,next[ getName():1 normalizeJarClassName():1 hasNext():1 skipEntries():1 ] hasNext[  ] forEachRemaining[ next():1 requireNonNull():1 hasNext():1 accept():1 ] JarClassIterator[  ] skipEntries[ endsWith():2 lastIndexOf():1 getName():1 hasMoreElements():1 equals():1 substring():1 nextElement():1 startsWith():1 ] ,"Pinecones/Pinecone/src/main/java/com/pinecone/framework/util/lang/iterator/JarClassIterator.java: [Extract Subclass(3), Push Down Method(2), Add Method Annotation(2)]"
com.pinecone.hydra.umct.ArchMsgExpress,class,230 -> 238,fa8617728588c43d85debc95789acd8a3f0b7c1c -> 32ca42d624249ad30973bdb88c906ad8cb3ab1f0,"['https://github.com/DragonKingpin/Hydra/commit/5915c0e98f16f344d1824e310031a261736ca444', 'https://github.com/DragonKingpin/Hydra/commit/29fd715ea378c7d56eecc017b54cd0b3ae6bdb92', 'https://github.com/DragonKingpin/Hydra/commit/fa8617728588c43d85debc95789acd8a3f0b7c1c', 'https://github.com/DragonKingpin/Hydra/commit/32ca42d624249ad30973bdb88c906ad8cb3ab1f0', 'https://github.com/DragonKingpin/Hydra/commit/0ee426716d633f40b3cfca8670ba5d0fcfb3726e']",27,8,19,80,8.0,8.0,1.0,1.0,182.0,147.0,93.0,85.0,1.0,1.0,21.0,18.0,22.0,20.0,ArchMsgExpress[ getSystem():2 className():2 newLogger():1 getTracerScope():1 ] fired[ getName():1 wrap():1 remove():1 getDeliverPool():1 ] getName[  ] syncFired[ writeLock():2 getPoolLock():2 fired():1 unlock():1 lock():1 ] getLogger[  ] getPoolLock[  ] getDeliverPool[  ] getMessagram[  ] spawn[  ] size[ size():1 getDeliverPool():1 ] getSystem[  ] recruit[ getDeliverPool():2 spawn():1 containsKey():1 get():1 register():1 ] wrap[  ] register[ getName():1 wrap():1 put():1 getDeliverPool():1 ] syncRegister[ writeLock():2 getPoolLock():2 unlock():1 lock():1 register():1 ] hasOwnDeliver[ getName():1 containsKey():1 getDeliverPool():1 ] ,Pinecones/Hydra/src/main/java/com/pinecone/hydra/umct/ArchMsgExpress.java: [Extract Method(6)]
com.pinecone.hydra.registry.entity.GenericNamespace,class,177 -> 180,301d10f55f881dc10bbff149503a73b6010dc6ff -> 07f7bb646855c138ddda5c2739c3ba426944323b,"['https://github.com/DragonKingpin/Hydra/commit/5ef0685c2608d5e111dd434ccf59c0b255567d72', 'https://github.com/DragonKingpin/Hydra/commit/141e7f8404d5d2a0da2e2420ee896f590e7a4dbc', 'https://github.com/DragonKingpin/Hydra/commit/b683c964230cb6bdb30948da9b6eb0f3803c0fdd', 'https://github.com/DragonKingpin/Hydra/commit/f5b756782eda50a8788bc5f46bb671861340933f', 'https://github.com/DragonKingpin/Hydra/commit/301d10f55f881dc10bbff149503a73b6010dc6ff', 'https://github.com/DragonKingpin/Hydra/commit/07f7bb646855c138ddda5c2739c3ba426944323b', 'https://github.com/DragonKingpin/Hydra/commit/5915c0e98f16f344d1824e310031a261736ca444']",0,0,0,15,15.0,14.0,2.0,2.0,254.0,254.0,144.0,145.0,0.0,1.0,52.0,51.0,40.0,40.0,setChildrenGuids[  ] GenericNamespace[ setGuid():1 nextGUID72():1 now():1 setCreateTime():1 getGuidAllocator():1 ] parentRegistry[  ] put[ getChildren():2 getGuid():1 affirmOwnedNode():1 get():1 put():1 ] remove[ getChildren():2 remove():2 getGuid():1 get():1 ] copyTo[ getName():4 getGuid():3 setName():1 format():1 getMasterTrieTree():1 copyNamespaceMetaTo():1 copyChildrenTo():1 put():1 copyTo():1 getChildren():1 setNamespaceMeta():1 equals():1 getNamespaceWithMeta():1 setGuidLineage():1 affirmNamespace():1 ] getConfigNode[ getChildren():1 get():1 ] toJSONObject[ getValue():6 getKey():3 put():3 toJSONObject():2 evinceProperties():2 evinceNamespace():2 evinceTextFile():2 getChildren():1 toJSON():1 entrySet():1 ] keySet[ getChildren():1 keySet():1 ] listItem[ getChildren():1 addAll():1 values():1 ] toJSONString[ getGuid():1 getUpdateTime():1 getCreateTime():1 getName():1 size():1 stringifyMapFormat():1 ] apply[  ] entrySet[ getChildren():1 entrySet():1 ] containsKey[ getChildren():1 containsKey():1 ] isEmpty[ isEmpty():1 ] copyChildrenTo[ copyTo():1 getChildren():1 values():1 ] copyNamespaceMetaTo[  ] getChildren[ getName():1 get():1 put():1 ] setNamespaceMeta[  ] size[ size():1 ] getNamespace[ getChildren():1 get():1 ] toString[ toJSONString():1 ] getNamespaceWithMeta[  ] getChildrenGuids[  ] moveTo[ moveTo():2 getGuid():1 getMasterTrieTree():1 affirmNamespace():1 ] ,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/entity/GenericNamespaceNodeMeta.java: [Rename Class(1)] Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/entity/GenericNamespaceMeta.java: [Rename Class(1)] Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/entity/GenericNamespaceNode.java: [Pull Up Method(10), Remove Method Annotation(10), Change Parameter Type(6), Pull Up Attribute(5), Change Return Type(4), Rename Method(3), Change Attribute Type(2), Change Variable Type(2), Rename Variable(2), Rename Parameter(2), Rename Class(1), Rename Attribute(1), Extract Superclass(1)] Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/entity/GenericNamespace.java: [Change Parameter Type(6), Change Return Type(4), Rename Method(3), Change Attribute Type(2), Change Variable Type(2), Rename Variable(2), Rename Parameter(2), Rename Class(1), Rename Attribute(1), Extract Superclass(1)]"
com.pinecone.hydra.registry.entity.ArchConfigNode,class,139 -> 142,e32e89fa8db4c35eeddf80c229e07c633328004e -> 5ef0685c2608d5e111dd434ccf59c0b255567d72,"['https://github.com/DragonKingpin/Hydra/commit/ccc389be794bb870fb36e94a12a29b3f8425e90a', 'https://github.com/DragonKingpin/Hydra/commit/6d0655f449d1d500acb3ec65c2b34c2e5d166c1b', 'https://github.com/DragonKingpin/Hydra/commit/e32e89fa8db4c35eeddf80c229e07c633328004e', 'https://github.com/DragonKingpin/Hydra/commit/5ef0685c2608d5e111dd434ccf59c0b255567d72', 'https://github.com/DragonKingpin/Hydra/commit/b683c964230cb6bdb30948da9b6eb0f3803c0fdd', 'https://github.com/DragonKingpin/Hydra/commit/07f7bb646855c138ddda5c2739c3ba426944323b', 'https://github.com/DragonKingpin/Hydra/commit/5915c0e98f16f344d1824e310031a261736ca444']",108,29,79,120,7.0,12.0,1.0,2.0,204.0,59.0,90.0,55.0,2.0,2.0,4.0,21.0,24.0,15.0,getGuid[  ] setName[  ] setGuid[  ] getCreateTime[  ] getName[  ] toJSONString[ encode():1 ] apply[  ] getRegistry[  ] getNsGuid[  ] getEnumId[  ] setNsGuid[  ] setCreateTime[  ] getParentGuid[  ] setConfigNodeMeta[  ] getConfigNodeMeta[  ] getUpdateTime[  ] setEnumId[  ] setNodeCommonData[  ] ArchConfigNode[  ] setUpdateTime[  ] getNodeCommonData[  ] toString[ toJSONString():1 ] setParentGuid[  ] ,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/entity/ArchConfigNode.java: [Add Parameter(44), Move Method(44), Add Method Annotation(36), Move Attribute(20), Change Attribute Access Modifier(14), Move And Rename Method(6), Change Method Access Modifier(3), Merge Class(1)]"
com.walnut.sparta.Sparta,class,45 -> 104,95c94f72dd8fe05ba4a92e2b350b7c3d465ab9b4 -> cae4e9dac3aee413427479bac17fa66492dfda8f,"['https://github.com/DragonKingpin/Hydra/commit/7c840258bbb3328e7f5177d8621c53e142951384', 'https://github.com/DragonKingpin/Hydra/commit/95c94f72dd8fe05ba4a92e2b350b7c3d465ab9b4', 'https://github.com/DragonKingpin/Hydra/commit/cae4e9dac3aee413427479bac17fa66492dfda8f', 'https://github.com/DragonKingpin/Hydra/commit/f411fc33917a974936b3bffb34392cece3ebf5e6', 'https://github.com/DragonKingpin/Hydra/commit/992375269c45e9636cc5f6946b2f08b59ac2dc60', 'https://github.com/DragonKingpin/Hydra/commit/f06c75e829cfcc2f830a37b1ca925fc8eed5fb68', 'https://github.com/DragonKingpin/Hydra/commit/b35e0c17a5ea3ebcc51e77568c01a6d4e40eb6c1', 'https://github.com/DragonKingpin/Hydra/commit/f0c70e49b1b77518d46e231717879ec772730440', 'https://github.com/DragonKingpin/Hydra/commit/fce0d4f62337030a6acdf679c1877b432010f4e6']",0,0,0,186,5.0,4.0,3.0,2.0,3.0,3.0,24.0,24.0,0.0,0.0,10.0,10.0,5.0,5.0,Sparta[ getStartupCommand():1 ] isTopmostArchy[  ] isBottommostArchy[  ] loadConfig[ getGlobalConfig():1 parentExecutum():1 ] getGlobalConfigScope[  ] loadTracer[  ] getLogger[  ] getServiceArch[  ] getBottommostArchy[  ] getTopmostArchy[  ] vitalize[ getTaskManager():2 sleep():1 add():1 terminate():1 execute():1 syncWaitingTerminated():1 ] getTracerScope[  ] ,"Walnuts/Sparta/src/main/java/com/walnut/sparta/Sparta.java: [Change Parameter Type(8), Rename Parameter(4), Change Variable Type(2), Rename Variable(2), Move And Rename Method(1), Add Method Annotation(1), Move Method(1)]"
