Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.pinecone.summer.ArchWizardum,$_GET,5 -> 100,2e5dd9ae1cc5ca4804309a547b9bd4218d28a438 -> 8b1a61b80b938fa8a2a6fe393ecc2a35c7f071d9,"['https://github.com/DragonKingpin/Hydra/commit/2e5dd9ae1cc5ca4804309a547b9bd4218d28a438', 'https://github.com/DragonKingpin/Hydra/commit/8b1a61b80b938fa8a2a6fe393ecc2a35c7f071d9', 'https://github.com/DragonKingpin/Hydra/commit/21704eb75629096383cc09c991d9e3287589bc27', 'https://github.com/DragonKingpin/Hydra/commit/83c996fcf8bb94d25a8928a4bcb422f73cb46935', 'https://github.com/DragonKingpin/Hydra/commit/03b455f8cad20f2e37826f29480aee14d33c5003', 'https://github.com/DragonKingpin/Hydra/commit/d703d9650b7f7b47479bf06bffe98225018ae66c', 'https://github.com/DragonKingpin/Hydra/commit/0519bddbf8b71edae74daf65041de5ef0d81683f', 'https://github.com/DragonKingpin/Hydra/commit/031328204a041dd5a69e677e4a58650e6055906e']",0,0,0,87,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2,"Pinecones/Summer/src/main/java/com/pinecone/summer/ArchWizardum.java: [Change Return Type(2), Move And Rename Class(1), Move Package(1), Rename Method(1), Extract Superclass(1), Extract Subclass(1)]"
com.pinecone.hydra.registry.RegistryJPathSelector,eval_entities,134 -> 139,542324d6f2f52564dd2423ab51c75f2d69e83b37 -> e32e89fa8db4c35eeddf80c229e07c633328004e,"['https://github.com/DragonKingpin/Hydra/commit/542324d6f2f52564dd2423ab51c75f2d69e83b37', 'https://github.com/DragonKingpin/Hydra/commit/e32e89fa8db4c35eeddf80c229e07c633328004e']",0,0,0,57,5.0,5.0,14.0,14.0,6.0,5.0,4.0,4.0,6,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/RegistryJPathSelector.java: [Add Parameter(8), Rename Variable(2), Rename Class(1), Change Attribute Type(1), Remove Parameter(1), Extract Superclass(1)]"
com.pinecone.hydra.registry.GenericKOMRegistry,removeTextValue,142 -> 247,5ef0685c2608d5e111dd434ccf59c0b255567d72 -> 9c9527f8f4e3ffe4ada61f0f134ea50a270f15d0,"['https://github.com/DragonKingpin/Hydra/commit/5ef0685c2608d5e111dd434ccf59c0b255567d72', 'https://github.com/DragonKingpin/Hydra/commit/9c9527f8f4e3ffe4ada61f0f134ea50a270f15d0', 'https://github.com/DragonKingpin/Hydra/commit/35efb81472595b31228c367afa6326f50c78a2a9']",0,0,0,27,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/GenericKOMRegistry.java: [Extract Method(22), Change Return Type(12), Change Variable Type(8), Rename Method(3), Rename Variable(2), Rename Attribute(2), Change Attribute Type(2), Rename Class(1)]"
com.pinecone.hydra.storage.volume.entity.local.striped.TitanStripBufferInJob,execute,199 -> 201,5915c0e98f16f344d1824e310031a261736ca444 -> ff1930dee4e93fa88ad1ab7357381d2bb12219e7,"['https://github.com/DragonKingpin/Hydra/commit/5915c0e98f16f344d1824e310031a261736ca444', 'https://github.com/DragonKingpin/Hydra/commit/ff1930dee4e93fa88ad1ab7357381d2bb12219e7', 'https://github.com/DragonKingpin/Hydra/commit/f06c75e829cfcc2f830a37b1ca925fc8eed5fb68', 'https://github.com/DragonKingpin/Hydra/commit/7cfd01f794e7e8981e31d38473d9224e47c78a42', 'https://github.com/DragonKingpin/Hydra/commit/b35e0c17a5ea3ebcc51e77568c01a6d4e40eb6c1']",0,0,0,164,9.0,8.0,58.0,58.0,25.0,24.0,10.0,10.0,25,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/storage/volume/entity/local/striped/TitanStripBufferInJob.java: [Move Attribute(16), Move Method(9), Rename Parameter(6), Change Parameter Type(4), Extract Method(4), Remove Parameter(3), Change Attribute Access Modifier(3), Move And Rename Method(2), Add Parameter(2), Add Thrown Exception Type(2), Merge Class(1)]"
com.pinecone.hydra.storage.volume.entity.local.striped.export.TitanStripedChannelExport64,export,200 -> 213,de818e2c58b5b3a529c6594b1524bb0d58baf8ac -> f06c75e829cfcc2f830a37b1ca925fc8eed5fb68,"['https://github.com/DragonKingpin/Hydra/commit/031328204a041dd5a69e677e4a58650e6055906e', 'https://github.com/DragonKingpin/Hydra/commit/7618f24c8641073d6df02f690290f8c3ce88b6b6', 'https://github.com/DragonKingpin/Hydra/commit/b8f74984bec8ca18b7c56b8c40e30ac7aec0b392', 'https://github.com/DragonKingpin/Hydra/commit/24ad0e7f7b9f1e334f701ecd20d3cfd54898c466', 'https://github.com/DragonKingpin/Hydra/commit/327827c3fa4d2d76625da3111f01c4ffd4274e9b', 'https://github.com/DragonKingpin/Hydra/commit/58d6eaa978c00c296e846217bbf583e9256147f0', 'https://github.com/DragonKingpin/Hydra/commit/462c24dc456de0abff75f038e5f4f97efae6d0a8', 'https://github.com/DragonKingpin/Hydra/commit/34111aa61ca9eb5e64225e93f493dd8f3ea1916b', 'https://github.com/DragonKingpin/Hydra/commit/2ae5df1e1aa871efafd1e9a160f400ba3b129ff1', 'https://github.com/DragonKingpin/Hydra/commit/5915c0e98f16f344d1824e310031a261736ca444', 'https://github.com/DragonKingpin/Hydra/commit/de818e2c58b5b3a529c6594b1524bb0d58baf8ac', 'https://github.com/DragonKingpin/Hydra/commit/f06c75e829cfcc2f830a37b1ca925fc8eed5fb68']",0,0,0,105,9.0,6.0,12.0,12.0,12.0,12.0,1.0,1.0,20,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/storage/volume/entity/local/striped/export/TitanStripedChannelExport64.java: [Inline Variable(10), Remove Parameter(6), Change Return Type(4), Change Variable Type(4), Rename Method(2), Move Method(1)]"
com.pinecone.hydra.registry.RegistryJPathSelector,eval,142 -> 154,5ef0685c2608d5e111dd434ccf59c0b255567d72 -> 89b20eefa1925e76df493dfb532b35fdef646af6,"['https://github.com/DragonKingpin/Hydra/commit/542324d6f2f52564dd2423ab51c75f2d69e83b37', 'https://github.com/DragonKingpin/Hydra/commit/5ef0685c2608d5e111dd434ccf59c0b255567d72', 'https://github.com/DragonKingpin/Hydra/commit/89b20eefa1925e76df493dfb532b35fdef646af6', 'https://github.com/DragonKingpin/Hydra/commit/301d10f55f881dc10bbff149503a73b6010dc6ff', 'https://github.com/DragonKingpin/Hydra/commit/07f7bb646855c138ddda5c2739c3ba426944323b']",0,0,0,30,4.0,2.0,53.0,53.0,8.0,8.0,15.0,15.0,8,"Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/RegistryJPathSelector.java: [Extract Method(16), Change Return Type(4), Change Parameter Type(4), Add Parameter(3), Change Attribute Type(2)]"
com.pinecone.hydra.registry.entity.GenericAttributes,toJSONString,142 -> 151,5ef0685c2608d5e111dd434ccf59c0b255567d72 -> b683c964230cb6bdb30948da9b6eb0f3803c0fdd,"['https://github.com/DragonKingpin/Hydra/commit/5ef0685c2608d5e111dd434ccf59c0b255567d72', 'https://github.com/DragonKingpin/Hydra/commit/b683c964230cb6bdb30948da9b6eb0f3803c0fdd']",0,0,0,134,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,Pinecones/Hydra/src/main/java/com/pinecone/hydra/registry/entity/GenericAttributes.java: [Move Method(1)]
com.pinecone.hydra.umc.wolfmc.UnsetUlfAsyncMsgHandleAdapter,onError,226 -> 238,56b88b00fa7aafe140cbee2adbb019896a821e8e -> 32ca42d624249ad30973bdb88c906ad8cb3ab1f0,"['https://github.com/DragonKingpin/Hydra/commit/56b88b00fa7aafe140cbee2adbb019896a821e8e', 'https://github.com/DragonKingpin/Hydra/commit/32ca42d624249ad30973bdb88c906ad8cb3ab1f0']",0,0,0,80,2.0,1.0,9.0,5.0,5.0,0.0,2.0,2.0,5,Pinecones/Hydra/src/main/java/com/pinecone/hydra/umc/wolfmc/UnsetUlfAsyncMsgHandleAdapter.java: [Extract Method(16)]
com.pinecone.hydra.umc.wolfmc.UnsetUlfAsyncMsgHandleAdapter,onErrorMsgReceived,226 -> 238,56b88b00fa7aafe140cbee2adbb019896a821e8e -> 32ca42d624249ad30973bdb88c906ad8cb3ab1f0,"['https://github.com/DragonKingpin/Hydra/commit/56b88b00fa7aafe140cbee2adbb019896a821e8e', 'https://github.com/DragonKingpin/Hydra/commit/32ca42d624249ad30973bdb88c906ad8cb3ab1f0', 'https://github.com/DragonKingpin/Hydra/commit/0ee426716d633f40b3cfca8670ba5d0fcfb3726e']",0,0,0,80,5.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,3,Pinecones/Hydra/src/main/java/com/pinecone/hydra/umc/wolfmc/UnsetUlfAsyncMsgHandleAdapter.java: [Extract Method(16)]
com.pinecone.summer.ArchWizardum,writer,5 -> 100,2e5dd9ae1cc5ca4804309a547b9bd4218d28a438 -> 8b1a61b80b938fa8a2a6fe393ecc2a35c7f071d9,"['https://github.com/DragonKingpin/Hydra/commit/2e5dd9ae1cc5ca4804309a547b9bd4218d28a438', 'https://github.com/DragonKingpin/Hydra/commit/8b1a61b80b938fa8a2a6fe393ecc2a35c7f071d9', 'https://github.com/DragonKingpin/Hydra/commit/21704eb75629096383cc09c991d9e3287589bc27', 'https://github.com/DragonKingpin/Hydra/commit/83c996fcf8bb94d25a8928a4bcb422f73cb46935', 'https://github.com/DragonKingpin/Hydra/commit/03b455f8cad20f2e37826f29480aee14d33c5003', 'https://github.com/DragonKingpin/Hydra/commit/d703d9650b7f7b47479bf06bffe98225018ae66c', 'https://github.com/DragonKingpin/Hydra/commit/0519bddbf8b71edae74daf65041de5ef0d81683f', 'https://github.com/DragonKingpin/Hydra/commit/031328204a041dd5a69e677e4a58650e6055906e']",0,0,0,87,2.0,0.0,11.0,11.0,2.0,2.0,3.0,3.0,2,"Pinecones/Summer/src/main/java/com/pinecone/summer/ArchWizardum.java: [Change Return Type(2), Move And Rename Class(1), Move Package(1), Rename Method(1), Extract Superclass(1), Extract Subclass(1)]"
