Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
org.jppf.server.nio.classloader.AbstractClassContext,deserializeResource,2870 -> 3212,287e1df74fc25675ade10ee0fb73db9a0ba64d6c -> 84aae3e40bbcda469f9b8166a39962619c76fa01,"['https://github.com/jppf-grid/JPPF/commit/287e1df74fc25675ade10ee0fb73db9a0ba64d6c', 'https://github.com/jppf-grid/JPPF/commit/84aae3e40bbcda469f9b8166a39962619c76fa01', 'https://github.com/jppf-grid/JPPF/commit/43bd48f2f59a8dec196418d63f39723a52b08be0', 'https://github.com/jppf-grid/JPPF/commit/bb34e8e9e5650003aeefb0f1a928a635cf30456b']",0,0,0,29,5.0,4.0,7.0,6.0,4.0,5.0,1.0,1.0,4,"server/src/java/org/jppf/server/nio/classloader/AbstractClassContext.java: [Pull Up Method(10), Pull Up Attribute(4), Change Attribute Access Modifier(2), Extract Superclass(1)]"
org.jppf.admin.web.tabletree.AbstractTableTreePage,createTableTree,3598 -> 4506,7119b8b92277805618f2f8aed58f35061a5b02c8 -> bb34e8e9e5650003aeefb0f1a928a635cf30456b,"['https://github.com/jppf-grid/JPPF/commit/4f7a8e1bfdbad725017f5850b9fd9cf2089b3bbb', 'https://github.com/jppf-grid/JPPF/commit/7119b8b92277805618f2f8aed58f35061a5b02c8', 'https://github.com/jppf-grid/JPPF/commit/bb34e8e9e5650003aeefb0f1a928a635cf30456b', 'https://github.com/jppf-grid/JPPF/commit/ad9e9c8a7073efdad948571336e18a8e69b65596', 'https://github.com/jppf-grid/JPPF/commit/ed1c591a0178fe760413865ca9d96363a4180f67', 'https://github.com/jppf-grid/JPPF/commit/73cbaddad6dfdfbb6c6dde9487c0912f05905c0b', 'https://github.com/jppf-grid/JPPF/commit/8b43ecfbf3e234e2d8b7d59873092e717273ec57', 'https://github.com/jppf-grid/JPPF/commit/e06dc4207161b04029284146109da7f49375b326']",0,0,0,55,7.0,6.0,16.0,16.0,13.0,13.0,4.0,4.0,14,admin-web/src/java/org/jppf/admin/web/tabletree/AbstractTableTreePage.java: [Move Method(1)]
org.jppf.management.NodeSelectionHelper,getNodeNioServer,2483 -> 2490,3bc130fdb45e2c2187deb573c05280d5d8a51b26 -> dc9fdb8f9c267fa185e39edea4b4db502dd8e1da,"['https://github.com/jppf-grid/JPPF/commit/6a05b5b2204a17784fef09036ce3e2491d50d347', 'https://github.com/jppf-grid/JPPF/commit/5e415425b658449046876f7b1b374d6d386ea12d', 'https://github.com/jppf-grid/JPPF/commit/3bc130fdb45e2c2187deb573c05280d5d8a51b26', 'https://github.com/jppf-grid/JPPF/commit/dc9fdb8f9c267fa185e39edea4b4db502dd8e1da', 'https://github.com/jppf-grid/JPPF/commit/c71a4916afb68c161ce5358bb97ebe3b16986ea3', 'https://github.com/jppf-grid/JPPF/commit/4c27eeff1508a9ccc77e7a542e43836ae1c868f7', 'https://github.com/jppf-grid/JPPF/commit/f09804142c7fed5922f9b990897dff12052c1902', 'https://github.com/jppf-grid/JPPF/commit/7be4b4158797066048cffc35f9b3a344c5aed8e5', 'https://github.com/jppf-grid/JPPF/commit/db4fcba23e30ff4d80c3d2ec15a1412d47c99812', 'https://github.com/jppf-grid/JPPF/commit/791b1e57a6b826f0d09eae4df7717d6b5a80cb4d', 'https://github.com/jppf-grid/JPPF/commit/97dcc17ebdd6d98fc40a0773e4bc2a4d40e55bf7', 'https://github.com/jppf-grid/JPPF/commit/c9d790011e31df7e86761319603f63f074f92125', 'https://github.com/jppf-grid/JPPF/commit/92b23c5d3bce0e0efaf1f78dd0711162c7d36d97', 'https://github.com/jppf-grid/JPPF/commit/287e1df74fc25675ade10ee0fb73db9a0ba64d6c', 'https://github.com/jppf-grid/JPPF/commit/9b23f99cf307ba236ae7141e77a571b12c7eee44']",0,0,0,12,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"server/src/java/org/jppf/management/NodeSelectionHelper.java: [Extract Class(6), Move Method(5), Extract Method(4), Change Method Access Modifier(1)]"
org.jppf.server.node.JPPFNode,checkInitialBundle,1614 -> 1621,d527deb7aa977a433300099da04fdb514ef8312f -> e2d41ce8a675c6ff3f4283fd871a61ec12d221d8,"['https://github.com/jppf-grid/JPPF/commit/680bd4f585837f9bbbb3240d9a5b9d4238faf4d3', 'https://github.com/jppf-grid/JPPF/commit/2b5ac649d7346d52d59e0cdba5909bcc70fc6c5c', 'https://github.com/jppf-grid/JPPF/commit/c2b9319d738de8f7df0549b6783aec33b6d46cf9', 'https://github.com/jppf-grid/JPPF/commit/d75a82381bc45dc51272e8092dfb660faa077e7c', 'https://github.com/jppf-grid/JPPF/commit/505e2a262ba9cf8b394147e8440849c98286edf7', 'https://github.com/jppf-grid/JPPF/commit/bc73224cf0ecd89efff9599d9aba6a10ce2ac255', 'https://github.com/jppf-grid/JPPF/commit/fc9592131f24c0f122d0e22bfc4251d9f203bf48', 'https://github.com/jppf-grid/JPPF/commit/bf68e251352ed1a043dbe7fbfcc2cb7609ac1306', 'https://github.com/jppf-grid/JPPF/commit/d527deb7aa977a433300099da04fdb514ef8312f', 'https://github.com/jppf-grid/JPPF/commit/e2d41ce8a675c6ff3f4283fd871a61ec12d221d8', 'https://github.com/jppf-grid/JPPF/commit/6e41a6b46c67cbaf418ec5270f8e19dee982b53f', 'https://github.com/jppf-grid/JPPF/commit/ddd8877ee61ea9d83836f4bd6f4c58144be652c4', 'https://github.com/jppf-grid/JPPF/commit/15431639ed13fedccf11b6dd8971ec8ac9f6074c', 'https://github.com/jppf-grid/JPPF/commit/508708e79061a636edfc23baf792b1dd53dee0f9', 'https://github.com/jppf-grid/JPPF/commit/69fe589504ec7fdc7e0c1bb2f57c8014f6eb2ab2', 'https://github.com/jppf-grid/JPPF/commit/65328bd225d1f1e39f7e71c3755e02156c5f43c1', 'https://github.com/jppf-grid/JPPF/commit/6171c79f7c586975241bed81d9e260ce5e01d345', 'https://github.com/jppf-grid/JPPF/commit/02374d42c776486f977c6cc189d97e7efba71c61', 'https://github.com/jppf-grid/JPPF/commit/16f5d5fdecb69b735fd8d0f4ec41bbaa716226a7', 'https://github.com/jppf-grid/JPPF/commit/281df281044b1a0d3e35481067ab48612d9e45e7', 'https://github.com/jppf-grid/JPPF/commit/c7eda4b3444dbbde7df795c2e54a2f46e93e5913', 'https://github.com/jppf-grid/JPPF/commit/36d8ca017d5fb7e14e576811ba6953c2f4151c05']",0,0,0,20,6.0,3.0,18.0,18.0,13.0,13.0,5.0,5.0,15,"server/src/java/org/jppf/server/node/JPPFNode.java: [Extract Method(75), Rename Variable(8), Change Variable Type(8), Change Parameter Type(4), Remove Parameter(3), Change Attribute Access Modifier(2)]"
org.jppf.server.DriverInitializer,getConnectionInformation,1310 -> 1381,1b93ffc1bddd4f2164c62f5d106c78213f67c7bf -> 714c8aa2bc94204585d9a82dd4e8079867ae8e0c,"['https://github.com/jppf-grid/JPPF/commit/1b93ffc1bddd4f2164c62f5d106c78213f67c7bf', 'https://github.com/jppf-grid/JPPF/commit/714c8aa2bc94204585d9a82dd4e8079867ae8e0c', 'https://github.com/jppf-grid/JPPF/commit/1286bca1d617b0119f3d1e3ba326985654811503', 'https://github.com/jppf-grid/JPPF/commit/07563ab8523ed8621ec3b14583ad7ef1c3f7847d', 'https://github.com/jppf-grid/JPPF/commit/dff7b25b112b6b2ce1d2ada4883c9298aec8c75d', 'https://github.com/jppf-grid/JPPF/commit/b5a51a55617d52969ff5fa9fc786f99d5a6e8fd7', 'https://github.com/jppf-grid/JPPF/commit/fc9592131f24c0f122d0e22bfc4251d9f203bf48', 'https://github.com/jppf-grid/JPPF/commit/e0fcb34c3be75cb20be0e1db6f0065b6b0b1371c', 'https://github.com/jppf-grid/JPPF/commit/949665c63b2d13fb2b8e601c8a75603f081721c9', 'https://github.com/jppf-grid/JPPF/commit/09d4620df4be9cf9e2b2b53cff178c43b55cd443', 'https://github.com/jppf-grid/JPPF/commit/b8a7cc3674742c8f7f382f2702ff976b377ca777', 'https://github.com/jppf-grid/JPPF/commit/361911e24322ccc717d4899cca4eeb2a0944f933', 'https://github.com/jppf-grid/JPPF/commit/5c2801e4384afad95a766fbaf874958d44936d86', 'https://github.com/jppf-grid/JPPF/commit/cacaf7264604c2fb39d4ee6ae4557e181882b7d4', 'https://github.com/jppf-grid/JPPF/commit/fd713b7d75e8e91dfd076386194d8aee8efa035f', 'https://github.com/jppf-grid/JPPF/commit/2b28422322ff8cef0cbc8efe5c5bb152d3a679bb', 'https://github.com/jppf-grid/JPPF/commit/4e84e1351807a20161add9e779c62124e87194be', 'https://github.com/jppf-grid/JPPF/commit/093dbe7dbd142ea9cd321d35e26d94ec0c7899c9', 'https://github.com/jppf-grid/JPPF/commit/0f59b17581862ced173ce025a318054775985d00', 'https://github.com/jppf-grid/JPPF/commit/3bc130fdb45e2c2187deb573c05280d5d8a51b26', 'https://github.com/jppf-grid/JPPF/commit/e98f7e45df8b7025545727f52af4ac54e480d717', 'https://github.com/jppf-grid/JPPF/commit/dc9fdb8f9c267fa185e39edea4b4db502dd8e1da', 'https://github.com/jppf-grid/JPPF/commit/c71a4916afb68c161ce5358bb97ebe3b16986ea3', 'https://github.com/jppf-grid/JPPF/commit/6c0b5f5465cc0c94c7eab6fec597b7f33b5d86ce', 'https://github.com/jppf-grid/JPPF/commit/4c27eeff1508a9ccc77e7a542e43836ae1c868f7', 'https://github.com/jppf-grid/JPPF/commit/dd18405cdecf499ee972320399d7362c88c429d0', 'https://github.com/jppf-grid/JPPF/commit/71e154aadd3aae73eff94134b6f429ce7518383a', 'https://github.com/jppf-grid/JPPF/commit/7be4b4158797066048cffc35f9b3a344c5aed8e5', 'https://github.com/jppf-grid/JPPF/commit/a24363c965a1f6dfbe6a047fad1e7f038ef5d368', 'https://github.com/jppf-grid/JPPF/commit/287e1df74fc25675ade10ee0fb73db9a0ba64d6c', 'https://github.com/jppf-grid/JPPF/commit/1ca08c590c85d094f9d91745e81ac5c516f7af33', 'https://github.com/jppf-grid/JPPF/commit/d6403e76de3fceba1e346ec4c5c5928785337466', 'https://github.com/jppf-grid/JPPF/commit/14c9229a652dc2b676438ebef2c0e453f4cab86d', 'https://github.com/jppf-grid/JPPF/commit/34bd97f8ab090932c30f72a1d97f8774f7c1ca1c', 'https://github.com/jppf-grid/JPPF/commit/384df3677a40bcb1f48561d9e478bd29f5ca2462']",0,0,0,18,5.0,2.0,17.0,17.0,6.0,6.0,4.0,4.0,6,"server/src/java/org/jppf/server/DriverInitializer.java: [Extract And Move Method(43), Replace Variable With Attribute(8), Move Attribute(4), Move Method(4), Rename Method(2), Change Method Access Modifier(1)]"
org.jppf.nio.StateTransitionManager,StateTransitionManager,3792 -> 3805,ba1e29b077c3da654b8494cb727faeb17e657c23 -> fa7f09e5307ceab352b20b3cbf82c6bd2bdbb069,"['https://github.com/jppf-grid/JPPF/commit/01159a2cae4bbb87b3b91f9747de23665d09ba3e', 'https://github.com/jppf-grid/JPPF/commit/9a634b4abbb90126de96031545edbc27103dbede', 'https://github.com/jppf-grid/JPPF/commit/ba1e29b077c3da654b8494cb727faeb17e657c23', 'https://github.com/jppf-grid/JPPF/commit/fa7f09e5307ceab352b20b3cbf82c6bd2bdbb069']",0,0,0,400,3.0,4.0,6.0,3.0,3.0,1.0,2.0,1.0,4,"common/src/java/org/jppf/nio/StateTransitionManager.java: [Extract Class(5), Change Attribute Access Modifier(2), Move Method(2), Rename Variable(2), Remove Method Modifier(1), Move Attribute(1), Add Attribute Modifier(1)]"
org.jppf.ui.monitoring.node.NodeDataPanel,NodeDataPanel,1333 -> 1548,e83662e98a8c410510498e9255010fc2aca1f72f -> 0d5fa3a4af2daa444ed7ca01dc5ac74c5d70881f,"['https://github.com/jppf-grid/JPPF/commit/2b3c8e67fdbef55b96eb385299fa13faa3727a0b', 'https://github.com/jppf-grid/JPPF/commit/ff46f72d0aa3923889c5f1e25469a97a96d138e9', 'https://github.com/jppf-grid/JPPF/commit/8c2bf2f3b7ce333dfe7de3fedbe22a3a4918d9ce', 'https://github.com/jppf-grid/JPPF/commit/e83662e98a8c410510498e9255010fc2aca1f72f', 'https://github.com/jppf-grid/JPPF/commit/0d5fa3a4af2daa444ed7ca01dc5ac74c5d70881f', 'https://github.com/jppf-grid/JPPF/commit/84fc1df05a8c44793a4b2c02d8c7667ed564d2db', 'https://github.com/jppf-grid/JPPF/commit/7490eeac2090d96a711746781a684e2252b27110', 'https://github.com/jppf-grid/JPPF/commit/372ad3827abfc59b050bfea1d8e920638aef202f', 'https://github.com/jppf-grid/JPPF/commit/c3f38313b70bcbaa6feb50f30b1811f61295946c']",0,0,0,27,3.0,2.0,10.0,7.0,5.0,3.0,2.0,2.0,2,"admin/src/java/org/jppf/ui/monitoring/node/NodeDataPanel.java: [Add Parameter Modifier(32), Remove Method Modifier(16), Change Method Access Modifier(6), Extract Class(6), Move Method(4), Encapsulate Attribute(3)] admin/src/java/org/jppf/ui/monitoring/node/NodeDataPanelManager.java: [Extract Class(5), Move Method(4), Change Method Access Modifier(4), Remove Method Modifier(4)]"
org.jppf.server.peer.PeerNode,run,2751 -> 2871,7be4b4158797066048cffc35f9b3a344c5aed8e5 -> 1ca08c590c85d094f9d91745e81ac5c516f7af33,"['https://github.com/jppf-grid/JPPF/commit/a3f2ecee29cd03ec1deef17b001cd174ef2cc0cf', 'https://github.com/jppf-grid/JPPF/commit/5ed92c34af1c7681f8445c797f87afd9179a43f7', 'https://github.com/jppf-grid/JPPF/commit/55f46315761880a6cd107be045ba350b675d8773', 'https://github.com/jppf-grid/JPPF/commit/5cbedb8634cba6013fd4deb5733945b0b5503078', 'https://github.com/jppf-grid/JPPF/commit/26e857f3e494fabd43bc2b1ded4c454f063eb870', 'https://github.com/jppf-grid/JPPF/commit/d69a1fa3e6dc0e47e4f0629108374e1af972a6e7', 'https://github.com/jppf-grid/JPPF/commit/42b68c244482eb70153b2e6c8377f6574337ae50', 'https://github.com/jppf-grid/JPPF/commit/2535232989fde7f7205be7426fe2c7a2c90cecf4', 'https://github.com/jppf-grid/JPPF/commit/e884974ed452a088706c6e5269b3e714898a2edb', 'https://github.com/jppf-grid/JPPF/commit/d709a3ac96938abc76f05724bdf0bc6e01c605a3', 'https://github.com/jppf-grid/JPPF/commit/fc1b420185f671854e3ceaaefe2c47ae1bf9409c', 'https://github.com/jppf-grid/JPPF/commit/60fdb420cf430c9e12160b1fcae3eadb67337885', 'https://github.com/jppf-grid/JPPF/commit/1b93ffc1bddd4f2164c62f5d106c78213f67c7bf', 'https://github.com/jppf-grid/JPPF/commit/714c8aa2bc94204585d9a82dd4e8079867ae8e0c', 'https://github.com/jppf-grid/JPPF/commit/1286bca1d617b0119f3d1e3ba326985654811503', 'https://github.com/jppf-grid/JPPF/commit/07563ab8523ed8621ec3b14583ad7ef1c3f7847d', 'https://github.com/jppf-grid/JPPF/commit/dff7b25b112b6b2ce1d2ada4883c9298aec8c75d', 'https://github.com/jppf-grid/JPPF/commit/b5a51a55617d52969ff5fa9fc786f99d5a6e8fd7', 'https://github.com/jppf-grid/JPPF/commit/566c125b41e67ac5e8ade2bd6439d859b9b80bc1', 'https://github.com/jppf-grid/JPPF/commit/dbfdb47a3abf8a6e512372f3cbf2ba28bfcbe7a9', 'https://github.com/jppf-grid/JPPF/commit/3cbcd5b3924e3b337a52d757b9512a8e3226124a', 'https://github.com/jppf-grid/JPPF/commit/648540fc7cc43b5010c34d34ca75daff9ab6a499', 'https://github.com/jppf-grid/JPPF/commit/d527deb7aa977a433300099da04fdb514ef8312f', 'https://github.com/jppf-grid/JPPF/commit/3965fe28dc9aef1257215e752dfecc5850dd8279', 'https://github.com/jppf-grid/JPPF/commit/49ec3d3ee7c57490d7586a21d7d1ce8499106b2d', 'https://github.com/jppf-grid/JPPF/commit/6423acf594c983e33b3338b3db3966691e9e6c5a', 'https://github.com/jppf-grid/JPPF/commit/0f59b17581862ced173ce025a318054775985d00', 'https://github.com/jppf-grid/JPPF/commit/3e4a73f12801ea213805c2536965c5ea99faa707', 'https://github.com/jppf-grid/JPPF/commit/66b003038cb562b8e4745597b79ddba43d55b802', 'https://github.com/jppf-grid/JPPF/commit/3bc130fdb45e2c2187deb573c05280d5d8a51b26', 'https://github.com/jppf-grid/JPPF/commit/dc9fdb8f9c267fa185e39edea4b4db502dd8e1da', 'https://github.com/jppf-grid/JPPF/commit/ed55ada8b395d857be14a82a657077504cc65080', 'https://github.com/jppf-grid/JPPF/commit/7be4b4158797066048cffc35f9b3a344c5aed8e5', 'https://github.com/jppf-grid/JPPF/commit/1ca08c590c85d094f9d91745e81ac5c516f7af33', 'https://github.com/jppf-grid/JPPF/commit/d6403e76de3fceba1e346ec4c5c5928785337466', 'https://github.com/jppf-grid/JPPF/commit/1b89fab3bbb4ba79c4af29f893d82a0dc4e596b1', 'https://github.com/jppf-grid/JPPF/commit/8403f05d11499a90382fddee9ea85545cc57577e', 'https://github.com/jppf-grid/JPPF/commit/22cdbab73e631b893be26243b14b02e763496f09']",0,0,0,8,2.0,3.0,30.0,29.0,13.0,11.0,10.0,9.0,8,"server/src/java/org/jppf/server/peer/PeerNode.java: [Extract Variable(10), Change Attribute Access Modifier(9), Pull Up Attribute(9), Pull Up Method(6), Add Attribute Modifier(2), Change Attribute Type(2), Extract Superclass(2)]"
org.jppf.serialization.Deserializer,readClassHandle,3209 -> 3211,ab403028d568c8bead92552d933b5be24c618357 -> 095405d4a68f65b72f16fdf398d576291b455ace,"['https://github.com/jppf-grid/JPPF/commit/ab403028d568c8bead92552d933b5be24c618357', 'https://github.com/jppf-grid/JPPF/commit/095405d4a68f65b72f16fdf398d576291b455ace']",0,0,0,8,1.0,1.0,7.0,3.0,2.0,1.0,2.0,1.0,2,"common/src/java/org/jppf/serialization/Deserializer.java: [Extract Method(26), Change Method Access Modifier(18), Rename Variable(16), Add Parameter(6), Change Variable Type(4), Change Attribute Access Modifier(2)]"
org.jppf.management.JMXConnectionWrapper$JMXConnectionThread,resume,312 -> 593,e1e0a59f1f16db32572beadc6f13e0b9b98cad1a -> 3c955764e9d75547eaf8265139810249bbe4555b,"['https://github.com/jppf-grid/JPPF/commit/9ef1fe8cc2dfac47fbf47dacb2d2018c9da66b79', 'https://github.com/jppf-grid/JPPF/commit/3c4924a6c6eab66115459eecc4ec4346e3224cb1', 'https://github.com/jppf-grid/JPPF/commit/e1e0a59f1f16db32572beadc6f13e0b9b98cad1a', 'https://github.com/jppf-grid/JPPF/commit/3c955764e9d75547eaf8265139810249bbe4555b', 'https://github.com/jppf-grid/JPPF/commit/e08960f04bdd5fbb2e63284109b8f45ab30438ac', 'https://github.com/jppf-grid/JPPF/commit/60fdb420cf430c9e12160b1fcae3eadb67337885', 'https://github.com/jppf-grid/JPPF/commit/fc9592131f24c0f122d0e22bfc4251d9f203bf48']",0,0,0,10,3.0,2.0,6.0,6.0,4.0,4.0,2.0,2.0,2,"common/src/java/org/jppf/management/JMXConnectionWrapper.java: [Extract Superclass(4), Pull Up Method(3), Change Method Access Modifier(3)]"
