Class,Type,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
org.jupiter.rpc.consumer.dispatcher.DefaultBroadcastDispatcher,class,1412 -> 1551,c3dba6e47c7ea92650baefd4a0c8e63cea13fda7 -> dd05d7b7dff3582d004085aee475cc0077b42ec5,"['https://github.com/fengjiachun/Jupiter/commit/361a8d0111d09636169ed394fc21bd4fe55eb9c2', 'https://github.com/fengjiachun/Jupiter/commit/ab5785b79dd0d58485da22aadbde622d68ef29fc', 'https://github.com/fengjiachun/Jupiter/commit/c49dedcd084bac4e494dc3b585ecffc64b0c62ca', 'https://github.com/fengjiachun/Jupiter/commit/254f5eaadea162dd6af0d3c11e2275e7941e0550', 'https://github.com/fengjiachun/Jupiter/commit/51e17bc9cdf9ecba04020414f49604d9ef0d66ba', 'https://github.com/fengjiachun/Jupiter/commit/db5efee894742b69d63ea169c455d5d7f72f2f68', 'https://github.com/fengjiachun/Jupiter/commit/33c64f934169a221ea33ef89bdb76da53becfe1b', 'https://github.com/fengjiachun/Jupiter/commit/eb65cdd5c5be18812ecd561780392da2d60fe91d', 'https://github.com/fengjiachun/Jupiter/commit/da20adf803aaa81005b31ba95ba057d5531abeb0', 'https://github.com/fengjiachun/Jupiter/commit/f8ebe261deb43022288b1890020383a44653b7e7', 'https://github.com/fengjiachun/Jupiter/commit/afc0ca251840cc6d477d64a1658f2d37f56942dd', 'https://github.com/fengjiachun/Jupiter/commit/e1bd6ab730fbc5afff7903411f2ea2b61ea56dce', 'https://github.com/fengjiachun/Jupiter/commit/4ed92523eac15ce698421bb3dfc96ef9f2cac8ce', 'https://github.com/fengjiachun/Jupiter/commit/973c9308f733e84c1e6b747b2089b7713762d0b4', 'https://github.com/fengjiachun/Jupiter/commit/e4f6e8229b3679a347325bdb5c9dae87092ac3c5', 'https://github.com/fengjiachun/Jupiter/commit/1f959c171f4ea4a44f82711a2d2d23cdeafcebae', 'https://github.com/fengjiachun/Jupiter/commit/449f01bc3e92cf5f08d4d581c1ac5740c27a7a9c', 'https://github.com/fengjiachun/Jupiter/commit/39c7c2a1f9ee97aba58c7edbc1e4784c1e9e23cd', 'https://github.com/fengjiachun/Jupiter/commit/ff7b4305b8df856c47d0a932f2bf68ada1a4a0db', 'https://github.com/fengjiachun/Jupiter/commit/063600ef394c16425acb2d0ab1d78f699b150b0f', 'https://github.com/fengjiachun/Jupiter/commit/b8a9a537faf1c6268b276302f49e0da4c710300b', 'https://github.com/fengjiachun/Jupiter/commit/e5b10a94e25810c546e92823aac87c76671dfbd5', 'https://github.com/fengjiachun/Jupiter/commit/caa2bfee57bf44f22247f26c50610d96cd16f578', 'https://github.com/fengjiachun/Jupiter/commit/396e984ef7203dace8a59786f00b74ab95684f14', 'https://github.com/fengjiachun/Jupiter/commit/b745b06c37d92f390f84ccb48de8a59a8fcba566', 'https://github.com/fengjiachun/Jupiter/commit/d1c83905e4a60bbfe14c41427d59f97ca6d36fdd', 'https://github.com/fengjiachun/Jupiter/commit/1c919125d78cc298e94ad9479670bbddba15ce0f', 'https://github.com/fengjiachun/Jupiter/commit/d332f62946f174f1d98e7ccf963e5394dd2b2005', 'https://github.com/fengjiachun/Jupiter/commit/3b54518133cb0da8134a07ce86791dfc0997f2da', 'https://github.com/fengjiachun/Jupiter/commit/4efadc28e8a729e3556672e565991fdc09dad1d2', 'https://github.com/fengjiachun/Jupiter/commit/528a8e7f959336d30663822a80c68a75b86f2100', 'https://github.com/fengjiachun/Jupiter/commit/1ccba5ac95e7aba8b91bea31602b05365ad29625', 'https://github.com/fengjiachun/Jupiter/commit/1a74f1591e5bbd6df6d8e53baa134a1d2851aea1', 'https://github.com/fengjiachun/Jupiter/commit/5273b280ba95a45bc1531819071962dc91a98cbc', 'https://github.com/fengjiachun/Jupiter/commit/ed9dda7473e4bdd343cce54ee9f469f46e66202a', 'https://github.com/fengjiachun/Jupiter/commit/daf2adcd28aca003ad2a24c73491f986e68bbd9d', 'https://github.com/fengjiachun/Jupiter/commit/c19d396ae1da678f7f1647973dd194e17c3c996d', 'https://github.com/fengjiachun/Jupiter/commit/15b1cb4897aeb267fa1bd05f4e2a885571877e3b', 'https://github.com/fengjiachun/Jupiter/commit/c3dba6e47c7ea92650baefd4a0c8e63cea13fda7', 'https://github.com/fengjiachun/Jupiter/commit/dd05d7b7dff3582d004085aee475cc0077b42ec5']",0,0,0,8,16.0,15.0,2.0,2.0,1.0,1.0,34.0,30.0,0.0,0.0,22.0,14.0,6.0,6.0,DefaultBroadcastDispatcher[  ] dispatch[ add():1 next():1 recycleArrayList():1 writeObject():1 isEmpty():1 listener():1 message():1 directory():1 getHooks():1 getTimeoutMills():1 getSerializer():1 bytes():1 getListener():1 hooks():1 write():1 newRecyclableArrayList():1 ] ,"jupiter-rpc/src/main/java/org/jupiter/rpc/consumer/dispatcher/DefaultBroadcastDispatcher.java: [Reorder Parameter(10), Move Method(2)]"
org.jupiter.serialization.proto.io.VarInts,class,1537 -> 1541,64c4e414321d84abaa1fe4b46abd1238421a5db3 -> 70ebbeaef9601b42de073f2dafe56f0c6da0fab7,"['https://github.com/fengjiachun/Jupiter/commit/64c4e414321d84abaa1fe4b46abd1238421a5db3', 'https://github.com/fengjiachun/Jupiter/commit/70ebbeaef9601b42de073f2dafe56f0c6da0fab7']",0,0,0,4,0.0,0.0,1.0,1.0,3.0,3.0,49.0,40.0,0.0,0.0,0.0,0.0,29.0,20.0,computeRawVarInt32Size[  ] computeRawVarInt64Size[  ] VarInts[  ] ,"jupiter-serialization/jupiter-serialization-protostuff/src/main/java/org/jupiter/serialization/proto/io/VarInts.java: [Change Method Access Modifier(2), Move Method(2)]"
org.jupiter.rpc.consumer.GenericProxyFactory,class,1071 -> 1073,9370a6058a634e463a9e49abf279829d9a17d0d6 -> 1b1719182546648605d4836c8bf496280be2d271,"['https://github.com/fengjiachun/Jupiter/commit/d73e4cabecb853e109f54a654f1a4ec6ccb7faf6', 'https://github.com/fengjiachun/Jupiter/commit/3405af7eb5e5c23ce3677a6c64efc1affa6288c1', 'https://github.com/fengjiachun/Jupiter/commit/e1bd6ab730fbc5afff7903411f2ea2b61ea56dce', 'https://github.com/fengjiachun/Jupiter/commit/93ac206a867be6fcc9da0f6c6f42d54668447cd0', 'https://github.com/fengjiachun/Jupiter/commit/a92a11be373cf2d88e91bcc69d4df673b19e89d1', 'https://github.com/fengjiachun/Jupiter/commit/449f01bc3e92cf5f08d4d581c1ac5740c27a7a9c', 'https://github.com/fengjiachun/Jupiter/commit/39c7c2a1f9ee97aba58c7edbc1e4784c1e9e23cd', 'https://github.com/fengjiachun/Jupiter/commit/caa2bfee57bf44f22247f26c50610d96cd16f578', 'https://github.com/fengjiachun/Jupiter/commit/b745b06c37d92f390f84ccb48de8a59a8fcba566', 'https://github.com/fengjiachun/Jupiter/commit/1c919125d78cc298e94ad9479670bbddba15ce0f', 'https://github.com/fengjiachun/Jupiter/commit/1421d45645e469d9170f9a4f95c5af3911167325', 'https://github.com/fengjiachun/Jupiter/commit/d332f62946f174f1d98e7ccf963e5394dd2b2005', 'https://github.com/fengjiachun/Jupiter/commit/1b84fc63cc570c7a16f0fcecf72b5fe572827839', 'https://github.com/fengjiachun/Jupiter/commit/2d275ab5665d5a2a81e854e4e5df77e7af9dbb7c', 'https://github.com/fengjiachun/Jupiter/commit/528a8e7f959336d30663822a80c68a75b86f2100', 'https://github.com/fengjiachun/Jupiter/commit/5ab2b6e1232205c5b85a450929f6ddfb7e2bc46b', 'https://github.com/fengjiachun/Jupiter/commit/d017adf2431b4ef0242f752b83c9377e1fdffe4e', 'https://github.com/fengjiachun/Jupiter/commit/61bcc0f5964f94175c68590e6dcf2c1531f7b105', 'https://github.com/fengjiachun/Jupiter/commit/82c1d50961f72557e1ec7146e9102254d860f9ec', 'https://github.com/fengjiachun/Jupiter/commit/9370a6058a634e463a9e49abf279829d9a17d0d6', 'https://github.com/fengjiachun/Jupiter/commit/1b1719182546648605d4836c8bf496280be2d271', 'https://github.com/fengjiachun/Jupiter/commit/daf2adcd28aca003ad2a24c73491f986e68bbd9d', 'https://github.com/fengjiachun/Jupiter/commit/11309c202eb295f84a9f0370981a0c6df3b754cb', 'https://github.com/fengjiachun/Jupiter/commit/ab5a6fe85c6a82f928a9fd19395c429754ad7677']",0,0,0,25,28.0,25.0,1.0,1.0,169.0,154.0,136.0,125.0,0.0,0.0,32.0,32.0,33.0,29.0,addHook[ addAll():1 ] factory[ newArrayList():2 ] newProxyInstance[ checkNotNull():5 setTimeoutMills():1 setHooks():1 checkArgument():1 setListener():1 addChannelGroup():1 group():1 ] listener[  ] asyncMode[ checkNotNull():1 ] version[  ] dispatchMode[ checkNotNull():1 ] connector[  ] addProviderAddress[ addAll():2 ] GenericProxyFactory[  ] timeoutMills[  ] providerName[  ] group[  ] ,jupiter-rpc/src/main/java/org/jupiter/rpc/consumer/GenericProxyFactory.java: [Extract Method(7)]
org.jupiter.common.util.StringBuilderHelper$StringBuilderHolder,innerclass,325 -> 412,5ec4ddfbe6ae9ae4d4c33cc3583600bcfdce08c9 -> ad18fd7296665dd8c11a7aac21c6a5f71ff6f8f8,"['https://github.com/fengjiachun/Jupiter/commit/245ed970a136d0d81617ce3caad8759b27003ee7', 'https://github.com/fengjiachun/Jupiter/commit/5ec4ddfbe6ae9ae4d4c33cc3583600bcfdce08c9', 'https://github.com/fengjiachun/Jupiter/commit/ad18fd7296665dd8c11a7aac21c6a5f71ff6f8f8']",0,0,0,4,4.0,3.0,1.0,1.0,0.0,0.0,18.0,13.0,0.0,0.0,5.0,4.0,4.0,3.0,truncate[ setLength():1 setValue():1 putObject():1 capacity():1 ] getStringBuilder[ truncate():1 ] StringBuilderHolder[  ] ,"jupiter-common/src/main/java/org/jupiter/common/util/StringBuilderHelper.java: [Extract Method(20), Extract Class(7), Change Variable Type(4), Rename Variable(4), Move Method(2), Move Attribute(2), Move And Rename Method(2)]"
org.jupiter.registry.AbstractRegistryService,class,465 -> 627,495fc89857049612a967df99a48facf287a38f7a -> 6f04a13f1c5ca74d8abc1bf135d7c02e3e748839,"['https://github.com/fengjiachun/Jupiter/commit/361a8d0111d09636169ed394fc21bd4fe55eb9c2', 'https://github.com/fengjiachun/Jupiter/commit/a9a62973f82dda825b4ccc826f69ade6e12e5669', 'https://github.com/fengjiachun/Jupiter/commit/47db1367796a492e6672fef4b774c90d26bbb030', 'https://github.com/fengjiachun/Jupiter/commit/b78af9b1d4ba83b1ac08144b4c801703f5329645', 'https://github.com/fengjiachun/Jupiter/commit/b7fbee5f2175408dbecaa8ddb076b3695f0192cb', 'https://github.com/fengjiachun/Jupiter/commit/b899d733456cee3108d565cc68f8f84b7ce53f1f', 'https://github.com/fengjiachun/Jupiter/commit/1a4854fc4b2d49fea3f9d199e8c52d79cdc6ef1b', 'https://github.com/fengjiachun/Jupiter/commit/eeeebdb63ea1bee14ec325822d39f323d1a6d8e3', 'https://github.com/fengjiachun/Jupiter/commit/495fc89857049612a967df99a48facf287a38f7a', 'https://github.com/fengjiachun/Jupiter/commit/6f04a13f1c5ca74d8abc1bf135d7c02e3e748839', 'https://github.com/fengjiachun/Jupiter/commit/b359db8cf4087566577de59f6b2398c79007e383', 'https://github.com/fengjiachun/Jupiter/commit/528a8e7f959336d30663822a80c68a75b86f2100', 'https://github.com/fengjiachun/Jupiter/commit/7344b041f7d99e7f73230ddbc6457296cab45a6c', 'https://github.com/fengjiachun/Jupiter/commit/d0da64e273774ee11c65eae02b1637e9f331722b', 'https://github.com/fengjiachun/Jupiter/commit/8414083175a7d7aec645b30dfd6413101b425d50', 'https://github.com/fengjiachun/Jupiter/commit/fe44198d622082bfd57047ece1abbb571362d8b8', 'https://github.com/fengjiachun/Jupiter/commit/134e7b7168bf4c8938e009cb1c62034e45a59163', 'https://github.com/fengjiachun/Jupiter/commit/74fc28daee53dc7d438b8d5b3ba7b7036003f2b5', 'https://github.com/fengjiachun/Jupiter/commit/35ead73070080a8d0ebb6338da92760e36bc8397', 'https://github.com/fengjiachun/Jupiter/commit/363cc0ae9d2f54bff36f112a6f0a364698a149ba', 'https://github.com/fengjiachun/Jupiter/commit/d733183bb4400e80f6256bbcacdb4e01e8632da4', 'https://github.com/fengjiachun/Jupiter/commit/ee23e3deda46c4b65e1521b37681f91211746118', 'https://github.com/fengjiachun/Jupiter/commit/8a6315f150b73a837b9f0df1b43f72a8d64b3b65', 'https://github.com/fengjiachun/Jupiter/commit/04bdc43294e87f254bf12db0fb52675ed79eeb2b', 'https://github.com/fengjiachun/Jupiter/commit/c6dfc07b9140855993ad3179c910094cc3967497', 'https://github.com/fengjiachun/Jupiter/commit/c5b6ebc4b5cbae960a619a1d347312d88ad9faae', 'https://github.com/fengjiachun/Jupiter/commit/ab8edf61e5e462477d5f03e261fe5b5b7c23c306', 'https://github.com/fengjiachun/Jupiter/commit/722de5ef473e12cbda85bd8961f0d9d168341b3f']",0,0,0,28,15.0,15.0,1.0,1.0,120.0,110.0,162.0,149.0,2.0,2.0,35.0,34.0,37.0,35.0,doSubscribe[  ] lookup[ getValue():1 emptyList():1 newArrayList():1 get():1 ] doUnregister[  ] subscribe[ add():1 doSubscribe():1 get():1 putIfAbsent():1 ] unregister[ doUnregister():1 ] doRegister[  ] AbstractRegistryService[ execute():1 ] shutdown[ getAndSet():1 shutdown():1 ] notify[ get():2 getKey():1 put():1 notify():1 ] isShutdown[ get():1 ] register[ add():1 ] ,"jupiter-registry/src/main/java/org/jupiter/registry/AbstractRegistryService.java: [Remove Method Annotation(2), Pull Up Method(2), Pull Up Attribute(1)]"
org.jupiter.spring.support.JupiterSpringServer,class,1351 -> 1570,b1b050aac469f613ecc9c677a012b64daf26055d -> 1f16f8c2760d51ac12f9a202ced1a8deb99fae73,"['https://github.com/fengjiachun/Jupiter/commit/d332f62946f174f1d98e7ccf963e5394dd2b2005', 'https://github.com/fengjiachun/Jupiter/commit/d017adf2431b4ef0242f752b83c9377e1fdffe4e', 'https://github.com/fengjiachun/Jupiter/commit/9cd6e1462039ee968ece7ef90b64a0af3e9ac230', 'https://github.com/fengjiachun/Jupiter/commit/ba63fc4893d76fd8d5206b01a9b362e5a0cc05d4', 'https://github.com/fengjiachun/Jupiter/commit/e3b69490f08f5be6d1e486f6f5f03a58c43c6f80', 'https://github.com/fengjiachun/Jupiter/commit/9554ffbf9f08dc769a5214b7b25a1a288233fee9', 'https://github.com/fengjiachun/Jupiter/commit/f7445c31e5b3a3941fc001bcfb27b7de96d733c5', 'https://github.com/fengjiachun/Jupiter/commit/6a1c09ea6b53cf92c012026caaaea1c6b7387dca', 'https://github.com/fengjiachun/Jupiter/commit/a477dbd2e0963c4c6156f6a96fb10f63fab7d57b', 'https://github.com/fengjiachun/Jupiter/commit/b1b050aac469f613ecc9c677a012b64daf26055d', 'https://github.com/fengjiachun/Jupiter/commit/1f16f8c2760d51ac12f9a202ced1a8deb99fae73', 'https://github.com/fengjiachun/Jupiter/commit/87a3a428118bce6a65a050b2cdb2b3bef4478047']",0,0,0,14,20.0,14.0,1.0,1.0,156.0,156.0,123.0,123.0,0.0,0.0,25.0,25.0,33.0,33.0,getServer[  ] setRegistryServerAddresses[  ] init[ setGlobalFlowController():1 setGlobalProviderProxyHandler():1 isNotBlank():1 start():1 addShutdownHook():1 getRuntime():1 throwException():1 connectToRegistryServer():1 withIntercept():1 ] getFlowController[  ] getProviderInterceptors[  ] setFlowController[  ] afterPropertiesSet[ init():1 ] setProviderInterceptors[  ] isHasRegistryServer[  ] setServer[  ] getRegistryServerAddresses[  ] setHasRegistryServer[  ] ,"jupiter-spring-support/src/main/java/org/jupiter/spring/support/JupiterSpringServer.java: [Move Method(15), Move Attribute(6), Change Variable Type(2), Rename Variable(2), Merge Class(1)]"
org.jupiter.serialization.proto.VarIntTest,class,1535 -> 1539,858e20ffd52082ddfad69149f97b08b7507cc889 -> e9d0cc7f7aacee6729350b9053106a1224eabfce,"['https://github.com/fengjiachun/Jupiter/commit/858e20ffd52082ddfad69149f97b08b7507cc889', 'https://github.com/fengjiachun/Jupiter/commit/e9d0cc7f7aacee6729350b9053106a1224eabfce']",0,0,0,1,14.0,15.0,1.0,1.0,13.0,0.0,124.0,79.0,0.0,0.0,16.0,16.0,50.0,22.0,doWriteVarInt32_1[ setByte():2 address():2 position():1 ] computeRawVarInt32Size[  ] doWriteVarInt32_2[ address():7 setByte():3 setShort():2 setInt():2 computeRawVarInt32Size():1 position():1 ] doWriteVarInt32_3[ setBytes():1 address():1 position():1 ] address[  ] writeVarInt32_3[ doWriteVarInt32_3():1 ] writeVarInt32_2[ doWriteVarInt32_2():1 ] writeVarInt32_1[ doWriteVarInt32_1():1 ] main[ include():1 allocateDirect():1 addressOffset():1 build():1 getSimpleName():1 run():1 ] computeRawVarInt64Size[  ] ,"jupiter-serialization/jupiter-serialization-protostuff/src/test/java/org/jupiter/serialization/proto/VarIntTest.java: [Change Method Access Modifier(1), Move Method(1)]"
org.jupiter.rpc.JResponse,class,778 -> 798,d332f62946f174f1d98e7ccf963e5394dd2b2005 -> 3b54518133cb0da8134a07ce86791dfc0997f2da,"['https://github.com/fengjiachun/Jupiter/commit/9b0712b230cfeaf1606e714a52941d14e1105002', 'https://github.com/fengjiachun/Jupiter/commit/4ed92523eac15ce698421bb3dfc96ef9f2cac8ce', 'https://github.com/fengjiachun/Jupiter/commit/caa2bfee57bf44f22247f26c50610d96cd16f578', 'https://github.com/fengjiachun/Jupiter/commit/b745b06c37d92f390f84ccb48de8a59a8fcba566', 'https://github.com/fengjiachun/Jupiter/commit/d332f62946f174f1d98e7ccf963e5394dd2b2005', 'https://github.com/fengjiachun/Jupiter/commit/3b54518133cb0da8134a07ce86791dfc0997f2da', 'https://github.com/fengjiachun/Jupiter/commit/da0184d5ec755f7fc92604aed5a5015e35fe2c25', 'https://github.com/fengjiachun/Jupiter/commit/15b1cb4897aeb267fa1bd05f4e2a885571877e3b']",0,0,0,13,6.0,6.0,1.0,1.0,0.0,0.0,40.0,37.0,0.0,0.0,9.0,8.0,12.0,11.0,result[  ] JResponse[  ] toString[ parse():1 ] id[  ] status[  ] ,"jupiter-rpc/src/main/java/org/jupiter/rpc/JResponse.java: [Move And Inline Method(24), Extract Class(4), Add Parameter(3), Move Attribute(2), Add Attribute Modifier(1)]"
org.jupiter.transport.netty.channel.NettyChannelGroup,class,1454 -> 1461,d21bf8cdf941c70fa3800373f9ae45de4988ff86 -> 74a0ffdbf6ccf4f5b2b0f4457e1ae37a3e560251,"['https://github.com/fengjiachun/Jupiter/commit/361a8d0111d09636169ed394fc21bd4fe55eb9c2', 'https://github.com/fengjiachun/Jupiter/commit/b76b28a17184660f3afb02389cb826c9555b5b48', 'https://github.com/fengjiachun/Jupiter/commit/1d9111528668ba9863ca723e128109b9207d3ba3', 'https://github.com/fengjiachun/Jupiter/commit/f973b654fb368e6f4c0e938227b2600028bcfeba', 'https://github.com/fengjiachun/Jupiter/commit/08cb2c9bcc838398b4895e149651c669b640d2df', 'https://github.com/fengjiachun/Jupiter/commit/c72ea3f8d153ea7fd11e71a5db03b1e210d8bb55', 'https://github.com/fengjiachun/Jupiter/commit/b70d9f3ceb47355c228a6a41079e1165a83c3c43', 'https://github.com/fengjiachun/Jupiter/commit/944188ccdd96710b5ccb47e892eadad43b1b43ce', 'https://github.com/fengjiachun/Jupiter/commit/5d795a2f2e6e28eecc96d1ce775db4e6c8fb9282', 'https://github.com/fengjiachun/Jupiter/commit/a8ff3ccb195905b5bb5628601831365d5d761a51', 'https://github.com/fengjiachun/Jupiter/commit/6b698697e4f9f86c3eb0b638e7f9cda954025bc1', 'https://github.com/fengjiachun/Jupiter/commit/bae22120e07cc5ae6139e5ca081760c9d4bc9aff', 'https://github.com/fengjiachun/Jupiter/commit/eeeebdb63ea1bee14ec325822d39f323d1a6d8e3', 'https://github.com/fengjiachun/Jupiter/commit/80acbfe01b6b192e66b9c54e61e1462c3cc6651b', 'https://github.com/fengjiachun/Jupiter/commit/ebe98f5fd983836cec9074eb662988ece4c03722', 'https://github.com/fengjiachun/Jupiter/commit/e0f6ae063ac1985839d61c16ece8bee8db260140', 'https://github.com/fengjiachun/Jupiter/commit/1aa2f53c019305821089a1e322f3c2be485667d8', 'https://github.com/fengjiachun/Jupiter/commit/a003f55db16f9c71a801ad541944d342c4dfe604', 'https://github.com/fengjiachun/Jupiter/commit/0c730127f8c1f5c729f6821c330c606c6b5a8029', 'https://github.com/fengjiachun/Jupiter/commit/1e86c14e1f253188fd07845dbbb7644ce2f7e1c7', 'https://github.com/fengjiachun/Jupiter/commit/574515d50117b9d43e039959d3709a4ab7f22dc6', 'https://github.com/fengjiachun/Jupiter/commit/5716a7af179cde21e784e9569d2cde1df0d14b90', 'https://github.com/fengjiachun/Jupiter/commit/68e73cdd4ab474ca2368d0323790cd99de822a86', 'https://github.com/fengjiachun/Jupiter/commit/af2b1d3154dc3eac3dfc9b96db137ca425091ad1', 'https://github.com/fengjiachun/Jupiter/commit/89bda97c4170cf2c640fbb5598fdb32e74bcc04e', 'https://github.com/fengjiachun/Jupiter/commit/8562ca692edd472945bbf6f9b684ca6a061433f6', 'https://github.com/fengjiachun/Jupiter/commit/b295d0403313bd40b2c04626532795f15fb3476f', 'https://github.com/fengjiachun/Jupiter/commit/d334090fa691d71cad8c9474b7069c769da5c0bc', 'https://github.com/fengjiachun/Jupiter/commit/1fb04450e81656333d2fc93371c46f181a42fcd6', 'https://github.com/fengjiachun/Jupiter/commit/268403aa08b776044088844495fdba6386b3a11e', 'https://github.com/fengjiachun/Jupiter/commit/d21bf8cdf941c70fa3800373f9ae45de4988ff86', 'https://github.com/fengjiachun/Jupiter/commit/74a0ffdbf6ccf4f5b2b0f4457e1ae37a3e560251', 'https://github.com/fengjiachun/Jupiter/commit/87a3a428118bce6a65a050b2cdb2b3bef4478047']",0,0,0,3,15.0,15.0,1.0,1.0,225.0,225.0,191.0,184.0,0.0,0.0,41.0,40.0,50.0,50.0,next[ getValue():1 toNanos():1 getAndIncrement():1 abs():1 parkNanos():1 getObjectVolatile():1 ] add[ add():1 closeFuture():1 channel():1 addListener():1 ] getWarmUp[  ] getWeight[  ] setWeight[  ] isEmpty[ isEmpty():1 ] setWarmUp[  ] remove[ remove():1 ] getTimestamps[  ] NettyChannelGroup[  ] size[ size():1 ] hashCode[ hashCode():1 ] equals[ getClass():2 equals():1 ] resetTimestamps[ millisClock():1 now():1 ] remoteAddress[  ] ,"jupiter-transport-netty/src/main/java/org/jupiter/transport/netty/channel/NettyChannelGroup.java: [Extract Method(16), Rename Variable(4)]"
org.jupiter.transport.netty.channel.NettyChannel,class,1672 -> 1685,6b305ec57c5f6b819485a0e5ed06084fc4a74fdb -> 87a3a428118bce6a65a050b2cdb2b3bef4478047,"['https://github.com/fengjiachun/Jupiter/commit/361a8d0111d09636169ed394fc21bd4fe55eb9c2', 'https://github.com/fengjiachun/Jupiter/commit/f973b654fb368e6f4c0e938227b2600028bcfeba', 'https://github.com/fengjiachun/Jupiter/commit/c1ad77940b73aab97ca831c5cb2970f48bc711a9', 'https://github.com/fengjiachun/Jupiter/commit/afc0ca251840cc6d477d64a1658f2d37f56942dd', 'https://github.com/fengjiachun/Jupiter/commit/e4fad52c721a10ccacd707d5cb14f69def115f33', 'https://github.com/fengjiachun/Jupiter/commit/15b1cb4897aeb267fa1bd05f4e2a885571877e3b', 'https://github.com/fengjiachun/Jupiter/commit/516fce1f8eecbd0dface01a58ffea86f51d1f21e', 'https://github.com/fengjiachun/Jupiter/commit/5ccb00501465a152e1e46812f93f25bbcd044422', 'https://github.com/fengjiachun/Jupiter/commit/a4e8bf15f46c284f6e49a090f73813247a570c90', 'https://github.com/fengjiachun/Jupiter/commit/5e6df55c9184a8451d50ba01ba8a1ecdcd96b8e2', 'https://github.com/fengjiachun/Jupiter/commit/a32a28605efcf49e1532e0af2bdfc4006bb1afd4', 'https://github.com/fengjiachun/Jupiter/commit/566c3f9129548fb16042a031ce841c53388ac715', 'https://github.com/fengjiachun/Jupiter/commit/d007b83fa84664d64a64d780f0f1897ae2254271', 'https://github.com/fengjiachun/Jupiter/commit/68595e47c05b82fb7d145e21fdd48baa34c2dc44', 'https://github.com/fengjiachun/Jupiter/commit/b6d7f4ff4660ffd1e7ab73d1ecccba5e93f4abea', 'https://github.com/fengjiachun/Jupiter/commit/11309c202eb295f84a9f0370981a0c6df3b754cb', 'https://github.com/fengjiachun/Jupiter/commit/6b305ec57c5f6b819485a0e5ed06084fc4a74fdb', 'https://github.com/fengjiachun/Jupiter/commit/87a3a428118bce6a65a050b2cdb2b3bef4478047', 'https://github.com/fengjiachun/Jupiter/commit/bdad6d9dfd0418eaeb65fc7c8771e52ccbdb392f', 'https://github.com/fengjiachun/Jupiter/commit/35168868df46171d34d86d151c59effef65924fd', 'https://github.com/fengjiachun/Jupiter/commit/62373afbd54c2fea4d2cbdb4174113acce4a327d']",0,0,0,19,12.0,12.0,1.0,1.0,0.0,0.0,149.0,145.0,0.0,0.0,26.0,30.0,24.0,26.0,channel[  ] isActive[ isActive():1 ] isWritable[ isWritable():1 ] attachChannel[ get():1 setIfAbsent():1 attr():1 ] isIoThread[ inEventLoop():1 eventLoop():1 ] localAddress[ localAddress():1 ] hashCode[ hashCode():1 ] NettyChannel[  ] equals[ equals():1 ] toString[ toString():1 ] id[ asShortText():1 id():1 ] close[ close():2 addListener():1 ] write[ writeAndFlush():2 addListener():1 ] remoteAddress[ remoteAddress():1 ] ,jupiter-transport/jupiter-transport-netty/src/main/java/org/jupiter/transport/netty/channel/NettyChannel.java: [Extract Method(7)]
