Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
org.jupiter.rpc.consumer.invoker.AsyncInvoker,invoke,1208 -> 1214,ed9dda7473e4bdd343cce54ee9f469f46e66202a -> dda9089d427a63da4c999ded7c48cd7f7acb3c64,"['https://github.com/fengjiachun/Jupiter/commit/2d275ab5665d5a2a81e854e4e5df77e7af9dbb7c', 'https://github.com/fengjiachun/Jupiter/commit/528a8e7f959336d30663822a80c68a75b86f2100', 'https://github.com/fengjiachun/Jupiter/commit/69df3c317eac87419951eeb268f56e54c7af9f85', 'https://github.com/fengjiachun/Jupiter/commit/ed9dda7473e4bdd343cce54ee9f469f46e66202a', 'https://github.com/fengjiachun/Jupiter/commit/dda9089d427a63da4c999ded7c48cd7f7acb3c64']",0,0,0,6,11.0,7.0,10.0,6.0,8.0,5.0,1.0,1.0,5,"jupiter-rpc/src/main/java/org/jupiter/rpc/consumer/invoker/AsyncInvoker.java: [Add Parameter(3), Extract Superclass(2)]"
org.jupiter.registry.ConfigServer$MessageDecoder,decode,421 -> 426,077cfa73e56171d0e2c2ce5b8837618a17debea5 -> a92a11be373cf2d88e91bcc69d4df673b19e89d1,"['https://github.com/fengjiachun/Jupiter/commit/361a8d0111d09636169ed394fc21bd4fe55eb9c2', 'https://github.com/fengjiachun/Jupiter/commit/a9a62973f82dda825b4ccc826f69ade6e12e5669', 'https://github.com/fengjiachun/Jupiter/commit/020ccb2151f5d797e5aa72d2040fead726a35d29', 'https://github.com/fengjiachun/Jupiter/commit/37ba06d79be05d1678b8c31759e5ec46f92ba8fb', 'https://github.com/fengjiachun/Jupiter/commit/077cfa73e56171d0e2c2ce5b8837618a17debea5', 'https://github.com/fengjiachun/Jupiter/commit/a92a11be373cf2d88e91bcc69d4df673b19e89d1']",0,0,0,26,12.0,10.0,49.0,47.0,20.0,18.0,13.0,13.0,21,jupiter-registry-default/src/main/java/org/jupiter/registry/ConfigServer.java: [Extract Method(10)]
org.jupiter.common.util.StringBuilderHelper$StringBuilderHolder,truncate,324 -> 412,245ed970a136d0d81617ce3caad8759b27003ee7 -> ad18fd7296665dd8c11a7aac21c6a5f71ff6f8f8,"['https://github.com/fengjiachun/Jupiter/commit/245ed970a136d0d81617ce3caad8759b27003ee7', 'https://github.com/fengjiachun/Jupiter/commit/ad18fd7296665dd8c11a7aac21c6a5f71ff6f8f8']",0,0,0,4,3.0,2.0,11.0,6.0,4.0,3.0,3.0,2.0,4,"jupiter-common/src/main/java/org/jupiter/common/util/StringBuilderHelper.java: [Extract Method(20), Extract Class(7), Change Variable Type(4), Rename Variable(4), Move Method(2), Move Attribute(2), Move And Rename Method(2)]"
org.jupiter.rpc.consumer.invoker.SyncGenericInvoker,$invoke,1208 -> 1214,ed9dda7473e4bdd343cce54ee9f469f46e66202a -> dda9089d427a63da4c999ded7c48cd7f7acb3c64,"['https://github.com/fengjiachun/Jupiter/commit/d73e4cabecb853e109f54a654f1a4ec6ccb7faf6', 'https://github.com/fengjiachun/Jupiter/commit/449f01bc3e92cf5f08d4d581c1ac5740c27a7a9c', 'https://github.com/fengjiachun/Jupiter/commit/961b67444d5c6b87bce3608c2f3e89f4f352b759', 'https://github.com/fengjiachun/Jupiter/commit/b745b06c37d92f390f84ccb48de8a59a8fcba566', 'https://github.com/fengjiachun/Jupiter/commit/1b84fc63cc570c7a16f0fcecf72b5fe572827839', 'https://github.com/fengjiachun/Jupiter/commit/528a8e7f959336d30663822a80c68a75b86f2100', 'https://github.com/fengjiachun/Jupiter/commit/69df3c317eac87419951eeb268f56e54c7af9f85', 'https://github.com/fengjiachun/Jupiter/commit/ed9dda7473e4bdd343cce54ee9f469f46e66202a', 'https://github.com/fengjiachun/Jupiter/commit/dda9089d427a63da4c999ded7c48cd7f7acb3c64']",0,0,0,6,5.0,1.0,7.0,3.0,4.0,1.0,1.0,1.0,2,"jupiter-rpc/src/main/java/org/jupiter/rpc/consumer/invoker/SyncGenericInvoker.java: [Change Variable Type(4), Rename Variable(4), Add Parameter(3), Extract Superclass(2)]"
org.jupiter.spring.support.JupiterSpringServer,init,1351 -> 1570,b1b050aac469f613ecc9c677a012b64daf26055d -> 1f16f8c2760d51ac12f9a202ced1a8deb99fae73,"['https://github.com/fengjiachun/Jupiter/commit/d332f62946f174f1d98e7ccf963e5394dd2b2005', 'https://github.com/fengjiachun/Jupiter/commit/d017adf2431b4ef0242f752b83c9377e1fdffe4e', 'https://github.com/fengjiachun/Jupiter/commit/9cd6e1462039ee968ece7ef90b64a0af3e9ac230', 'https://github.com/fengjiachun/Jupiter/commit/ba63fc4893d76fd8d5206b01a9b362e5a0cc05d4', 'https://github.com/fengjiachun/Jupiter/commit/e3b69490f08f5be6d1e486f6f5f03a58c43c6f80', 'https://github.com/fengjiachun/Jupiter/commit/f7445c31e5b3a3941fc001bcfb27b7de96d733c5', 'https://github.com/fengjiachun/Jupiter/commit/a477dbd2e0963c4c6156f6a96fb10f63fab7d57b', 'https://github.com/fengjiachun/Jupiter/commit/b1b050aac469f613ecc9c677a012b64daf26055d', 'https://github.com/fengjiachun/Jupiter/commit/1f16f8c2760d51ac12f9a202ced1a8deb99fae73', 'https://github.com/fengjiachun/Jupiter/commit/87a3a428118bce6a65a050b2cdb2b3bef4478047']",0,0,0,14,12.0,6.0,42.0,42.0,18.0,18.0,12.0,12.0,9,"jupiter-spring-support/src/main/java/org/jupiter/spring/support/JupiterSpringServer.java: [Move Method(15), Move Attribute(6), Change Variable Type(2), Rename Variable(2), Merge Class(1)]"
org.jupiter.rpc.provider.processor.task.RecyclableTask,run,136 -> 141,06af6b6b798c6003a1adb5d5754f034231e4634f -> 908f864d0b7a92a3c9bba219f75248d9ca59a575,"['https://github.com/fengjiachun/Jupiter/commit/361a8d0111d09636169ed394fc21bd4fe55eb9c2', 'https://github.com/fengjiachun/Jupiter/commit/9d412a2f1d7ff4e512818e5903446e4faa94c2a4', 'https://github.com/fengjiachun/Jupiter/commit/8453a4f1c7dadc487385f1311f37180ff3ca44b1', 'https://github.com/fengjiachun/Jupiter/commit/1a7d9e4b66a2808e364ab0b0a9d18fd59ca1fb40', 'https://github.com/fengjiachun/Jupiter/commit/06af6b6b798c6003a1adb5d5754f034231e4634f', 'https://github.com/fengjiachun/Jupiter/commit/908f864d0b7a92a3c9bba219f75248d9ca59a575', 'https://github.com/fengjiachun/Jupiter/commit/fcbefba927c4670dc445d1aa0673d8f0d72db7c2', 'https://github.com/fengjiachun/Jupiter/commit/33c64f934169a221ea33ef89bdb76da53becfe1b']",0,0,0,2,11.0,11.0,38.0,36.0,16.0,16.0,6.0,5.0,21,"jupiter-rpc/src/main/java/org/jupiter/rpc/provider/processor/task/RecyclableTask.java: [Extract Method(199), Add Variable Modifier(4), Remove Parameter(3), Move Attribute(2), Add Attribute Modifier(1)]"
org.jupiter.common.util.internal.UnsafeUtil,getSystemClassLoader,1442 -> 1683,0ef8330be2cf6c332962d387da588fb4cacdfd21 -> 5ee33118e183b9325dc592197869895fe775f992,"['https://github.com/fengjiachun/Jupiter/commit/0ef8330be2cf6c332962d387da588fb4cacdfd21', 'https://github.com/fengjiachun/Jupiter/commit/5ee33118e183b9325dc592197869895fe775f992']",0,0,0,13,0.0,0.0,13.0,8.0,3.0,3.0,2.0,2.0,3,"jupiter-common/src/main/java/org/jupiter/common/util/internal/UnsafeUtil.java: [Remove Attribute Modifier(4), Move Attribute(3), Extract Class(2), Change Attribute Access Modifier(2), Move Method(2)]"
org.jupiter.rpc.provider.processor.task.RecyclableTask,process,136 -> 141,06af6b6b798c6003a1adb5d5754f034231e4634f -> 908f864d0b7a92a3c9bba219f75248d9ca59a575,"['https://github.com/fengjiachun/Jupiter/commit/06af6b6b798c6003a1adb5d5754f034231e4634f', 'https://github.com/fengjiachun/Jupiter/commit/908f864d0b7a92a3c9bba219f75248d9ca59a575', 'https://github.com/fengjiachun/Jupiter/commit/9ebea850e826e5d87acc0626127c9e25f435ae76']",0,0,0,2,17.0,17.0,49.0,45.0,22.0,22.0,2.0,2.0,22,"jupiter-rpc/src/main/java/org/jupiter/rpc/provider/processor/task/RecyclableTask.java: [Extract Method(199), Add Variable Modifier(4), Remove Parameter(3), Move Attribute(2), Add Attribute Modifier(1)]"
org.jupiter.rpc.DefaultClient,manageConnections,778 -> 784,d332f62946f174f1d98e7ccf963e5394dd2b2005 -> 574515d50117b9d43e039959d3709a4ab7f22dc6,"['https://github.com/fengjiachun/Jupiter/commit/d332f62946f174f1d98e7ccf963e5394dd2b2005', 'https://github.com/fengjiachun/Jupiter/commit/574515d50117b9d43e039959d3709a4ab7f22dc6']",0,0,0,27,2.0,2.0,104.0,102.0,1.0,1.0,1.0,1.0,1,"jupiter-rpc/src/main/java/org/jupiter/rpc/DefaultClient.java: [Extract Class(5), Move Method(4), Change Variable Type(2)]"
org.jupiter.serialization.io.OutputStreams,resetBuf,1477 -> 1730,e4104f623480d5454ff2b6531ab55acf725a5a49 -> a6012d948eda0f4892ca3e36e4ae4efa0ac03192,"['https://github.com/fengjiachun/Jupiter/commit/e4104f623480d5454ff2b6531ab55acf725a5a49', 'https://github.com/fengjiachun/Jupiter/commit/a6012d948eda0f4892ca3e36e4ae4efa0ac03192']",0,0,0,32,2.0,2.0,7.0,6.0,3.0,3.0,3.0,2.0,3,"jupiter-serialization/jupiter-serialization-api/src/main/java/org/jupiter/serialization/io/OutputStreams.java: [Extract Class(8), Move Attribute(4), Parameterize Variable(4), Move Method(2)]"
