Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.microraft.impl.MembershipChangeTest,when_appendNopEntryOnLeaderElection_then_canMakeMemberChangeAfterNopEntryCommitted,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,5.0,6.0,17.0,16.0,8.0,10.0,3.0,3.0,8,"microraft/src/test/java/io/microraft/impl/MembershipChangeTest.java: [Change Thrown Exception Type(28), Change Variable Type(24), Rename Variable(16), Move Package(1), Move Class(1), Rename Method(1), Extract Superclass(1)]"
io.microraft.impl.LeadershipTransferTest,when_leadershipTransferTriggeredOnFollower_then_leadershipTransferFails,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,4.0,4.0,12.0,11.0,8.0,8.0,2.0,2.0,8,"microraft/src/test/java/io/microraft/impl/LeadershipTransferTest.java: [Inline Variable(22), Change Variable Type(8), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.TerminateRaftGroupTest,when_terminateOpIsAppendedButNotCommitted_then_cannotAppendNewEntry,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,5.0,5.0,15.0,14.0,12.0,12.0,2.0,2.0,12,"microraft/src/test/java/io/microraft/impl/TerminateRaftGroupTest.java: [Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.RaftNodeImpl,isLeaderHeartbeatTimeoutElapsed,7 -> 9,c636857fb9cd1e69040ad32c2faffa75b56454e3 -> ced1cfe078be8d28c980fea2dc767a98c4ab5080,0,0,0,8,1.0,1.0,11.0,3.0,3.0,2.0,3.0,1.0,2,microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Extract Method(13)]
io.microraft.impl.LinearizableQueryTest,when_newCommitIsDoneWhileThereAreMultipleQueries_then_allQueriesRunAfterCommit,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,7.0,7.0,21.0,20.0,17.0,17.0,1.0,1.0,17,"microraft/src/test/java/io/microraft/impl/LinearizableQueryTest.java: [Change Variable Type(26), Extract Variable(12), Rename Variable(4), Remove Variable Modifier(2), Move Package(1), Move Class(1), Rename Method(1), Extract Superclass(1)]"
io.microraft.impl.RaftNodeImpl,tryRunQueries,75 -> 219,d7cf3d88a4f4cbbb6e91edcaf207ae30b51e0e17 -> bf415940d4dc9d82bea4e178a019fe42e14bc6b1,183,83,100,12,5.0,4.0,15.0,15.0,14.0,12.0,4.0,4.0,15,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Change Variable Type(44), Extract Method(30), Change Return Type(12), Extract Variable(12), Change Parameter Type(10), Rename Parameter(10), Rename Variable(8), Replace Pipeline With Loop(6), Add Parameter(6), Move Method(6), Extract And Move Method(6), Remove Parameter(5), Rename Method(4), Move And Rename Class(2), Modify Class Annotation(2), Inline Method(2), Parameterize Variable(2), Add Method Annotation(2), Rename Attribute(2), Move And Rename Method(2), Change Method Access Modifier(2), Move Package(1), Move Class(1), Merge Class(1), Change Attribute Type(1), Remove Method Annotation(1), Remove Method Modifier(1)]"
io.microraft.impl.LinearizableQueryTest,when_linearizableQueryIsIssuedWithoutCommitIndex_then_itReadsLastState,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,7.0,7.0,21.0,20.0,15.0,14.0,1.0,1.0,15,"microraft/src/test/java/io/microraft/impl/LinearizableQueryTest.java: [Change Variable Type(26), Extract Variable(12), Rename Variable(4), Remove Variable Modifier(2), Move Package(1), Move Class(1), Rename Method(1), Extract Superclass(1)]"
io.microraft.impl.local.LocalRaftGroup,getLeaderNode,35 -> 40,fa028e3ecbeda596a4ab928d0c662b65e30a78f2 -> 2987a2d8e875dc6ecf076434af2b0c78d938baf0,62,26,36,120,4.0,4.0,15.0,11.0,5.0,3.0,5.0,4.0,5,"microraft/src/test/java/io/microraft/impl/local/LocalRaftGroup.java: [Change Variable Type(12), Rename Variable(12), Change Parameter Type(10), Change Return Type(6), Extract Method(4), Rename Method(3), Rename Parameter(2), Move Package(1), Move Class(1), Rename Attribute(1), Change Attribute Type(1)]"
io.microraft.impl.RaftNodeImpl,getMaxBackoffRounds,7 -> 23,c636857fb9cd1e69040ad32c2faffa75b56454e3 -> 5561a5f6dbb4e8e2e4e103a7cd45c9a99fc69ba6,0,0,0,27,1.0,1.0,4.0,10.0,4.0,3.0,1.0,3.0,4,microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Extract Method(13)]
io.microraft.impl.LocalQueryTest,when_queryFromFollowerWithCommitIndex_withoutAnyCommit_thenReturnDefaultValue,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,6.0,6.0,13.0,12.0,10.0,10.0,2.0,2.0,10,"microraft/src/test/java/io/microraft/impl/LocalQueryTest.java: [Change Variable Type(16), Rename Method(3), Inline Variable(2), Rename Variable(2), Move Package(1), Move Class(1), Extract Superclass(1)]"
