Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
org.apache.bookkeeper.bookie.IndexPersistenceMgr,findIndexFile,476 -> 2853,0f853a49d7e6899151f63ae9b1912ed936e5a5fb -> 34746858b47e3962914f646803e930afe77859a3,"['https://github.com/apache/bookkeeper/commit/0f853a49d7e6899151f63ae9b1912ed936e5a5fb', 'https://github.com/apache/bookkeeper/commit/34746858b47e3962914f646803e930afe77859a3', 'https://github.com/apache/bookkeeper/commit/505ee5fcd43b32f947dd716b3bf96e7da0140617', 'https://github.com/apache/bookkeeper/commit/eef34477befc27e01f2e4531677236427ed859ef', 'https://github.com/apache/bookkeeper/commit/4ee8c0411878689417c39b7027899ed7ce815e7e', 'https://github.com/apache/bookkeeper/commit/0982d888eb412f7a5117e32d4020916359b29749', 'https://github.com/apache/bookkeeper/commit/2eb70b1f8216b2c6621d0e57cd491a2067824316', 'https://github.com/apache/bookkeeper/commit/1e2c6ef082b53742fa4d7a405f2ab952e6e3df88']",0,0,0,7,2.0,1.0,10.0,10.0,3.0,3.0,3.0,3.0,3,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/IndexPersistenceMgr.java: [Extract Class(20), Move Method(11), Move Attribute(8), Change Method Access Modifier(3), Add Attribute Modifier(2), Rename Parameter(2), Add Parameter(2), Move And Rename Method(2), Parameterize Variable(2), Localize Parameter(2)]"
org.apache.bookkeeper.bookie.BookieImpl,mountLedgerStorageOffline,3034 -> 3045,405e72acf42bb1104296447ea8840d805094c787 -> e7636086ed0ad8615fd30807da1ea740ed400756,"['https://github.com/apache/bookkeeper/commit/c1847af5a6d75436aafd13501cb15973ea6b4995', 'https://github.com/apache/bookkeeper/commit/abf1a96e38bb74f7f7a47e9b6f2b337bd07d622f', 'https://github.com/apache/bookkeeper/commit/405e72acf42bb1104296447ea8840d805094c787', 'https://github.com/apache/bookkeeper/commit/e7636086ed0ad8615fd30807da1ea740ed400756', 'https://github.com/apache/bookkeeper/commit/d0adb60fb718b75f7935933952b5ccb7a5ff20c1']",0,0,0,595,7.0,6.0,23.0,23.0,10.0,10.0,2.0,2.0,7,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieImpl.java: [Extract Subclass(89), Push Down Method(58), Push Down Attribute(29), Move Class(2), Move And Rename Method(2), Extract Superclass(1)]"
org.apache.bookkeeper.client.PendingAddOp,sendWriteRequest,1114 -> 1674,34e8bf200c6f3797bd6fa4c5d86646e9eb7f0d3b -> 843dd035b3ed8ff890bad176021319abf4871220,"['https://github.com/apache/bookkeeper/commit/e353a8f93ad48d8785bbaa7162a8a9ebca40a15f', 'https://github.com/apache/bookkeeper/commit/bd50cacd2b759d53b06a2356c5a9369b6100d635', 'https://github.com/apache/bookkeeper/commit/34e8bf200c6f3797bd6fa4c5d86646e9eb7f0d3b', 'https://github.com/apache/bookkeeper/commit/843dd035b3ed8ff890bad176021319abf4871220', 'https://github.com/apache/bookkeeper/commit/7ec196624f0cd0cd1d57b47d24d35788adfcbcde']",0,0,0,22,2.0,1.0,5.0,5.0,3.0,3.0,2.0,2.0,2,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java: [Extract Method(25), Remove Parameter(6), Rename Method(2), Remove Attribute Modifier(2), Change Method Access Modifier(2), Extract And Move Method(2)]"
org.apache.bookkeeper.tools.cli.commands.bookies.InfoCommand,apply,2073 -> 2277,6b602f77883ceaf926e8246ba622c54d048b55a3 -> 26120e0436d0076bf7990b5cea1e41a3e287af04,"['https://github.com/apache/bookkeeper/commit/6b602f77883ceaf926e8246ba622c54d048b55a3', 'https://github.com/apache/bookkeeper/commit/26120e0436d0076bf7990b5cea1e41a3e287af04', 'https://github.com/apache/bookkeeper/commit/62a5074044ce9d5571b133f4a0a29d77dc4f5163', 'https://github.com/apache/bookkeeper/commit/057f85ec1b977379938350f12d7ec99ff1162f29', 'https://github.com/apache/bookkeeper/commit/b1e602afc93cfd6299c43f99d26c9a6b7bcd27a7']",0,0,0,57,8.0,8.0,29.0,29.0,14.0,13.0,4.0,4.0,14,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/cli/commands/bookies/InfoCommand.java: [Move Method(1)]
org.apache.bookkeeper.client.BookieWatcherImpl,newEnsemble,1823 -> 2013,511fc810d753dbdf147a2e2eabb9065192cdf7e5 -> 6b7c2efc249783033965c6d79e0a5180a4083bef,"['https://github.com/apache/bookkeeper/commit/511fc810d753dbdf147a2e2eabb9065192cdf7e5', 'https://github.com/apache/bookkeeper/commit/6b7c2efc249783033965c6d79e0a5180a4083bef', 'https://github.com/apache/bookkeeper/commit/4c8587715104cde6dbd70d1e7de0fc1853122eda', 'https://github.com/apache/bookkeeper/commit/42fe1506afe04b8068b897c530c7ca7188da503e', 'https://github.com/apache/bookkeeper/commit/b34162a932b93a7e65451dce3f6e10bfda707997', 'https://github.com/apache/bookkeeper/commit/05fe83d6ca97d6bc415bb304e4f24537b7b06c0a', 'https://github.com/apache/bookkeeper/commit/26120e0436d0076bf7990b5cea1e41a3e287af04', 'https://github.com/apache/bookkeeper/commit/057f85ec1b977379938350f12d7ec99ff1162f29']",0,0,0,3,4.0,2.0,16.0,16.0,8.0,8.0,3.0,3.0,8,"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcherImpl.java: [Extract Subclass(20), Push Down Attribute(11), Add Method Annotation(10), Push Down Method(9)]"
org.apache.bookkeeper.bookie.SyncThread,flush,3055 -> 3302,700d45f43566f49299f70b7d2c64e05bfd05b25a -> ee56a953fe0f7ff5ea5ecc2c1afd57c5376ff780,"['https://github.com/apache/bookkeeper/commit/f3731732ce984f41b8530939254706f9e597583d', 'https://github.com/apache/bookkeeper/commit/3a20fe0ab6c0259ae9143641105c46e48f625f7c', 'https://github.com/apache/bookkeeper/commit/34746858b47e3962914f646803e930afe77859a3', 'https://github.com/apache/bookkeeper/commit/505ee5fcd43b32f947dd716b3bf96e7da0140617', 'https://github.com/apache/bookkeeper/commit/4ee8c0411878689417c39b7027899ed7ce815e7e', 'https://github.com/apache/bookkeeper/commit/a58f11ff13b7690fbb1e7da92be4b65cded5d4bf', 'https://github.com/apache/bookkeeper/commit/e6722848e0a599f215e68e1340196c9dfe8e906e', 'https://github.com/apache/bookkeeper/commit/405e72acf42bb1104296447ea8840d805094c787', 'https://github.com/apache/bookkeeper/commit/e7636086ed0ad8615fd30807da1ea740ed400756', 'https://github.com/apache/bookkeeper/commit/700d45f43566f49299f70b7d2c64e05bfd05b25a', 'https://github.com/apache/bookkeeper/commit/ee56a953fe0f7ff5ea5ecc2c1afd57c5376ff780', 'https://github.com/apache/bookkeeper/commit/2eb70b1f8216b2c6621d0e57cd491a2067824316', 'https://github.com/apache/bookkeeper/commit/47ef48e074df42705bc0bf14bac5b3cc05c5f0c3']",0,0,0,47,3.0,1.0,26.0,26.0,6.0,6.0,5.0,5.0,5,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/SyncThread.java: [Extract Method(15), Add Attribute Modifier(2)]"
org.apache.bookkeeper.util.LocalBookKeeper,runBookie,2988 -> 3045,830116280ff6fb04ef330a1f01e0a009060ae507 -> e7636086ed0ad8615fd30807da1ea740ed400756,"['https://github.com/apache/bookkeeper/commit/abf1a96e38bb74f7f7a47e9b6f2b337bd07d622f', 'https://github.com/apache/bookkeeper/commit/677ccec3eb84f5be1b3556537871e14eb5e8359c', 'https://github.com/apache/bookkeeper/commit/4ee8c0411878689417c39b7027899ed7ce815e7e', 'https://github.com/apache/bookkeeper/commit/67208fb74181faa640e793cd5757712fd9b5d9d5', 'https://github.com/apache/bookkeeper/commit/830116280ff6fb04ef330a1f01e0a009060ae507', 'https://github.com/apache/bookkeeper/commit/e7636086ed0ad8615fd30807da1ea740ed400756', 'https://github.com/apache/bookkeeper/commit/c217385ea4a50fc3721b4750f5625fbc7355e853']",0,0,0,595,5.0,3.0,55.0,55.0,24.0,24.0,14.0,14.0,24,"bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java: [Extract Method(101), Remove Parameter(15), Add Parameter(9), Change Variable Type(8), Rename Variable(8), Parameterize Variable(4), Rename Parameter(4), Change Return Type(4), Replace Variable With Attribute(4), Move And Inline Method(4), Add Thrown Exception Type(3), Remove Method Annotation(3), Extract Class(3), Rename Method(2), Change Method Access Modifier(2), Rename Attribute(2), Change Attribute Type(2), Move Attribute(2), Replace Attribute(1), Change Attribute Access Modifier(1)]"
org.apache.hedwig.server.persistence.BookKeeperTestBase,stopAllBookieServers,122 -> 125,76818a6aadd4aa40a45aca6f5b0acba79cd42515 -> cb8296636b961253f9586f535db285bfafa54a8a,"['https://github.com/apache/bookkeeper/commit/76818a6aadd4aa40a45aca6f5b0acba79cd42515', 'https://github.com/apache/bookkeeper/commit/cb8296636b961253f9586f535db285bfafa54a8a']",0,0,0,7,1.0,1.0,11.0,6.0,3.0,2.0,3.0,2.0,3,"hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java: [Extract Method(13), Rename Variable(4)]"
org.apache.bookkeeper.bookie.EntryLogger,readLastLogId,132 -> 2069,33bef6356dfcf14928314e14c20ae73de80bdf99 -> 73f36a2272ef061444fcb871976ef89c5ca9ded8,"['https://github.com/apache/bookkeeper/commit/33bef6356dfcf14928314e14c20ae73de80bdf99', 'https://github.com/apache/bookkeeper/commit/73f36a2272ef061444fcb871976ef89c5ca9ded8']",0,0,0,3,0.0,0.0,27.0,16.0,3.0,2.0,5.0,3.0,3,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java: [Extract Method(36), Rename Parameter(4)]"
org.apache.bookkeeper.meta.ZkLedgerAuditorManager,createElectorPath,2541 -> 2881,746f9f6ff5f54203a6f1c25b7d0f02642455ea04 -> 4ee8c0411878689417c39b7027899ed7ce815e7e,"['https://github.com/apache/bookkeeper/commit/746f9f6ff5f54203a6f1c25b7d0f02642455ea04', 'https://github.com/apache/bookkeeper/commit/4ee8c0411878689417c39b7027899ed7ce815e7e']",0,0,0,553,4.0,3.0,26.0,26.0,6.0,6.0,7.0,7.0,6,"bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/ZkLedgerAuditorManager.java: [Extract Class(12), Move Attribute(9), Move Method(4), Change Thrown Exception Type(4), Add Parameter(2), Remove Parameter(2), Add Method Annotation(2), Move Class(1), Remove Thrown Exception Type(1), Remove Method Modifier(1)]"
