Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.linkedin.datastream.connectors.kafka.AbstractKafkaBasedConnectorTask,pausePartitions,846 -> 847,c5e20f6aa48ac63b06ec96fb6f90c4bda3d7ff89 -> d64a06d21b56bfffd81b71f72bc0089f0d6672dd,"['https://github.com/linkedin/brooklin/commit/6f489d3deae526e2ce086b6ba563f789e7bff482', 'https://github.com/linkedin/brooklin/commit/c5e20f6aa48ac63b06ec96fb6f90c4bda3d7ff89', 'https://github.com/linkedin/brooklin/commit/d64a06d21b56bfffd81b71f72bc0089f0d6672dd', 'https://github.com/linkedin/brooklin/commit/7c05342dcf4819fa5d8a37a733b3693a9e1e5a38', 'https://github.com/linkedin/brooklin/commit/d6908cf048bf94fce8074963586c82fe69d39069', 'https://github.com/linkedin/brooklin/commit/19c1c070042864ce5c3cf3305b4b0c24bc40bb46', 'https://github.com/linkedin/brooklin/commit/30b6281bf4d2ee36ba079bf806dc0cd7be440ec5', 'https://github.com/linkedin/brooklin/commit/1a83107d515573453cc0f56bdfd8d2fb49ad2306', 'https://github.com/linkedin/brooklin/commit/14730086e979651c32ce32cedd79a9ef75a38ae7', 'https://github.com/linkedin/brooklin/commit/956c9913f04c7fbd81193b8a29e4f4e17b0e7bd7', 'https://github.com/linkedin/brooklin/commit/cac66bf347d540fc62dfe0ac6daca07bbc53cc95']",0,0,0,1,2.0,1.0,27.0,20.0,11.0,13.0,4.0,5.0,13,"datastream-kafka-connector/src/main/java/com/linkedin/datastream/connectors/kafka/AbstractKafkaBasedConnectorTask.java: [Extract Method(21), Rename Variable(16), Extract Variable(10), Change Variable Type(4), Rename Parameter(4), Add Parameter(3), Rename Attribute(2)]"
com.linkedin.datastream.DatastreamRestClientFactory,getClient,730 -> 796,78813b9f1ac161b596a4aaf7cc142a18b7fa6ac7 -> aa1546b64cb4b6c57a3b896e51144b2aa0aaa1d9,"['https://github.com/linkedin/brooklin/commit/78813b9f1ac161b596a4aaf7cc142a18b7fa6ac7', 'https://github.com/linkedin/brooklin/commit/aa1546b64cb4b6c57a3b896e51144b2aa0aaa1d9']",0,0,0,10,2.0,2.0,7.0,3.0,3.0,1.0,2.0,1.0,3,datastream-client/src/main/java/com/linkedin/datastream/DatastreamRestClientFactory.java: [Extract Method(14)]
com.linkedin.datastream.server.zk.ZkAdapter,onBecomeFollower,1171 -> 1248,e9d92bbe9a50109b4cb60bb8827ec616d4d6ece1 -> 8a2ae4573ff3d867ed2f1393183f47cb29b2273f,"['https://github.com/linkedin/brooklin/commit/5c9e3aae149209dbe6cf0d7a4bdef1904596643c', 'https://github.com/linkedin/brooklin/commit/eebdef361c4a60a4541319a91f50ab96a616dd43', 'https://github.com/linkedin/brooklin/commit/3a542130b39a87aeea4028b3050a686db0190ac3', 'https://github.com/linkedin/brooklin/commit/112eb1a5e890b11abff9f1debac2e20a4f4f6bc3', 'https://github.com/linkedin/brooklin/commit/254001f460a759b2a8713b4fc988c3853ad5d305', 'https://github.com/linkedin/brooklin/commit/6452c26330488286154d53cc292b2340c8aaae82', 'https://github.com/linkedin/brooklin/commit/7719dee9753c07dbb78f08e2fffbb01e03371b6c', 'https://github.com/linkedin/brooklin/commit/e9d92bbe9a50109b4cb60bb8827ec616d4d6ece1', 'https://github.com/linkedin/brooklin/commit/8a2ae4573ff3d867ed2f1393183f47cb29b2273f']",0,0,0,7,3.0,1.0,16.0,8.0,4.0,2.0,4.0,2.0,5,"datastream-server/src/main/java/com/linkedin/datastream/server/zk/ZkAdapter.java: [Extract Method(24), Rename Variable(4)]"
com.linkedin.datastream.server.TestDestinationManager,testDeleteDatastreamDestinationShouldNotCallDropTopicWhenThereAreReferences,325 -> 484,eb24e5ecfaca1a9136fc395b4c951cbfb5e809ab -> 9fa7aa68bd2fe62c7e5f6c6598ee2cf5b7400260,"['https://github.com/linkedin/brooklin/commit/d8ea5cf72cd8423e8fb824413ba703e3dd8be904', 'https://github.com/linkedin/brooklin/commit/eb24e5ecfaca1a9136fc395b4c951cbfb5e809ab', 'https://github.com/linkedin/brooklin/commit/9fa7aa68bd2fe62c7e5f6c6598ee2cf5b7400260']",0,0,0,11,5.0,5.0,12.0,14.0,13.0,14.0,2.0,1.0,12,"datastream-server/src/test/java/com/linkedin/datastream/server/TestDestinationManager.java: [Extract Method(60), Rename Variable(24), Change Thrown Exception Type(20), Rename Method(2)]"
com.linkedin.datastream.server.Coordinator,scheduleLeaderDoAssignmentRetry,1404 -> 1424,84f0e951773cab7e8cd99eae9a897477bf4209b9 -> d19a2c25dd8b71f157a288b3de1dc65669fdfe03,"['https://github.com/linkedin/brooklin/commit/84f0e951773cab7e8cd99eae9a897477bf4209b9', 'https://github.com/linkedin/brooklin/commit/d19a2c25dd8b71f157a288b3de1dc65669fdfe03']",0,0,0,9,4.0,3.0,10.0,10.0,7.0,6.0,1.0,1.0,7,"datastream-server/src/main/java/com/linkedin/datastream/server/Coordinator.java: [Extract Method(94), Replace Attribute With Variable(4)] datastream-server/src/main/java/com/linkedin/datastream/server/CoordinatorConfig.java: [Rename Method(2), Rename Attribute(2)]"
com.linkedin.datastream.server.Coordinator,handleLeaderDoAssignment,717 -> 722,6183ba61b081be4defbaf6bcec02b2af381c01d9 -> b9729b697ddacfe93c1abc9ccaf3bc8772f0457d,"['https://github.com/linkedin/brooklin/commit/704eb00f4b1a0a05d7b44a1ddafad5e58e70d462', 'https://github.com/linkedin/brooklin/commit/ff21d3520340993746c362f97b55ff6bed1bb8db', 'https://github.com/linkedin/brooklin/commit/1e281288b346f23409c05ef9b114448e80e3362a', 'https://github.com/linkedin/brooklin/commit/bd31a99f07861a995dbd5a309090f41d25b329eb', 'https://github.com/linkedin/brooklin/commit/79e196f1eda52e7c2ce6a2d25d1aae357eb86390', 'https://github.com/linkedin/brooklin/commit/827e19e0a9c3c16c8b88d3a286629825dd05a938', 'https://github.com/linkedin/brooklin/commit/f36284ac7b4653979cbc3bd5cdaf508c9653fee4', 'https://github.com/linkedin/brooklin/commit/0341d6d7fe1fb4482d4a2a9a10ebb29c3b5abc16', 'https://github.com/linkedin/brooklin/commit/ca2d8060a77065ec8106220898bc0632fb7cc425', 'https://github.com/linkedin/brooklin/commit/51120afa141a7801af8bcc5e7a99c66e09bea8ab', 'https://github.com/linkedin/brooklin/commit/88b19bc611f577854c5735a688e58a27bdfb93c1', 'https://github.com/linkedin/brooklin/commit/b31d91bb5899e4456a0bcb8357c93d702e25099a', 'https://github.com/linkedin/brooklin/commit/ba31b70667f11aa7cf53660388b135f42a618466', 'https://github.com/linkedin/brooklin/commit/d0aea6cb4521c5976e1e7be0d662e34a90a6803d', 'https://github.com/linkedin/brooklin/commit/b81ce0213bff0f1dc6c66d4def8f8331fcebdd14', 'https://github.com/linkedin/brooklin/commit/054aefc6e8aed6a14d691b7dc7d06fec46f89bb5', 'https://github.com/linkedin/brooklin/commit/cb04b12560553e627b59afccf3f564d60047ec5c', 'https://github.com/linkedin/brooklin/commit/c56b29f7247b86e7c63bf74a3dbb97261955857a', 'https://github.com/linkedin/brooklin/commit/39b99927bcc2d6403a85147261d78f4b3d7311ad', 'https://github.com/linkedin/brooklin/commit/a142109bd2590f696b5ba9e03c81c1c6156f584d', 'https://github.com/linkedin/brooklin/commit/0baca7ad677fbc3734f24f04e8a972d956577bd6', 'https://github.com/linkedin/brooklin/commit/1def49edd321dfe40d3bf50ace71dec1aa7e639a', 'https://github.com/linkedin/brooklin/commit/254001f460a759b2a8713b4fc988c3853ad5d305', 'https://github.com/linkedin/brooklin/commit/6452c26330488286154d53cc292b2340c8aaae82', 'https://github.com/linkedin/brooklin/commit/7719dee9753c07dbb78f08e2fffbb01e03371b6c', 'https://github.com/linkedin/brooklin/commit/93d3b73e029b9a46bf555c9f41fdcac9f597f57c', 'https://github.com/linkedin/brooklin/commit/82811fcb5adb408ae5c4adb5fab8f54dd784620e', 'https://github.com/linkedin/brooklin/commit/6183ba61b081be4defbaf6bcec02b2af381c01d9', 'https://github.com/linkedin/brooklin/commit/b9729b697ddacfe93c1abc9ccaf3bc8772f0457d', 'https://github.com/linkedin/brooklin/commit/6d946025507dde539b4015e23b1a61e8771a2b8b', 'https://github.com/linkedin/brooklin/commit/a980c88488f2693f995027e7b30f14a676210b38', 'https://github.com/linkedin/brooklin/commit/705798d4e2812f2c8a905867b45e6eea4c0adee5', 'https://github.com/linkedin/brooklin/commit/93786ffa60b80b5aadca17cf60321429b8a30928', 'https://github.com/linkedin/brooklin/commit/1b500664e2cbc9b749cd0323120cc46ae3ec84cd', 'https://github.com/linkedin/brooklin/commit/cbec78c0c742b27b12380d72ec862226cafd2997']",0,0,0,4,8.0,8.0,32.0,32.0,19.0,18.0,5.0,5.0,36,datastream-server/src/main/java/com/linkedin/datastream/server/Coordinator.java: [Extract Method(57)]
com.linkedin.datastream.server.EventProducer,getMetrics,474 -> 510,ec05f0f9662ad99207c307bd108dc2cab99f855d -> 8f11dc67e8d71e9459c0b81f74ad6c722c4543d0,"['https://github.com/linkedin/brooklin/commit/3c2a1897d1b5bec091d30119609211da456105dc', 'https://github.com/linkedin/brooklin/commit/d3391a50d19be5b8c7e83985dc69178261ab6cda', 'https://github.com/linkedin/brooklin/commit/ec05f0f9662ad99207c307bd108dc2cab99f855d', 'https://github.com/linkedin/brooklin/commit/8f11dc67e8d71e9459c0b81f74ad6c722c4543d0', 'https://github.com/linkedin/brooklin/commit/01f6c2419100cd2bafbbb2867661e0145fd91b6d']",0,0,0,9,3.0,3.0,10.0,9.0,4.0,4.0,1.0,1.0,4,"datastream-server/src/main/java/com/linkedin/datastream/server/EventProducer.java: [Extract Method(22), Rename Attribute(2)]"
com.linkedin.datastream.connectors.kafka.KafkaConnectorDiagUtils,reduceTopicPartitionStatsResponses,1209 -> 1271,4e0173fe6b5a320811c7900d33208f29461442f3 -> 47d2c2c20ab1648ce654825e12f2f8b9c8429efa,"['https://github.com/linkedin/brooklin/commit/4e0173fe6b5a320811c7900d33208f29461442f3', 'https://github.com/linkedin/brooklin/commit/47d2c2c20ab1648ce654825e12f2f8b9c8429efa']",0,0,0,4,4.0,4.0,33.0,18.0,16.0,5.0,5.0,2.0,16,"datastream-kafka-connector/src/main/java/com/linkedin/datastream/connectors/kafka/KafkaConnectorDiagUtils.java: [Add Parameter(2), Change Method Access Modifier(1), Add Method Modifier(1), Move Method(1)]"
com.linkedin.datastream.connectors.CommonConnectorMetrics,deregisterMetrics,805 -> 1173,63ec1026f19811be1c861085fc2f2eaf4e12a817 -> 4035478f520d1ef11f4ee6abbf019d642da7fd23,"['https://github.com/linkedin/brooklin/commit/63ec1026f19811be1c861085fc2f2eaf4e12a817', 'https://github.com/linkedin/brooklin/commit/4035478f520d1ef11f4ee6abbf019d642da7fd23']",0,0,0,109,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,3,"datastream-common/src/main/java/com/linkedin/datastream/connectors/CommonConnectorMetrics.java: [Extract Class(65), Change Attribute Access Modifier(54), Move Attribute(54), Add Attribute Modifier(28), Merge Attribute(17), Remove Attribute Modifier(14), Split Attribute(12), Rename Parameter(4), Rename Attribute(2)]"
com.linkedin.datastream.server.assignment.LoadBasedPartitionAssigner,assignPartitions,1371 -> 1381,7380202b1522ce07423176667ef4d3ccf0c20590 -> a67108bcff9e3c8f5c22dbc44e04f91f200cc1cc,"['https://github.com/linkedin/brooklin/commit/3b16a2f728e637377cd7bb01720f481687bfe519', 'https://github.com/linkedin/brooklin/commit/ddde7ae0ee3dcec716d351bef934184274521e3e', 'https://github.com/linkedin/brooklin/commit/7c0aa1d7c83ce6178787dd91e36648412980cca2', 'https://github.com/linkedin/brooklin/commit/065450e6620e1ce5634a247d7830ef41f174ab56', 'https://github.com/linkedin/brooklin/commit/7380202b1522ce07423176667ef4d3ccf0c20590', 'https://github.com/linkedin/brooklin/commit/a67108bcff9e3c8f5c22dbc44e04f91f200cc1cc', 'https://github.com/linkedin/brooklin/commit/886c4c665b75939f841ab6a0fe2cd41e66e31c9c']",0,0,0,3,8.0,8.0,106.0,100.0,69.0,73.0,13.0,12.0,55,"datastream-server/src/main/java/com/linkedin/datastream/server/assignment/LoadBasedPartitionAssigner.java: [Extract Method(28), Extract And Move Method(7), Rename Variable(4)]"
