Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.netflix.conductor.service.WorkflowService,searchWorkflows,1366 -> 1373,f88cc92f24e4301732474c3ce7f7333c5c3c88a0 -> 4de3598a0b79615007664ebb4876f5ad12167f41,"['https://github.com/conductor-oss/conductor/commit/bec39ba71dbe2e52a0f0d2698eeb081400531030', 'https://github.com/conductor-oss/conductor/commit/8ccdd5b8e4f5baef57297cc836e0a945ff59d425', 'https://github.com/conductor-oss/conductor/commit/03fa460010ed4d5cc80b77bd5254346716f49310', 'https://github.com/conductor-oss/conductor/commit/714dc3f74f7bf9f416fea2cf795c06477edd862a', 'https://github.com/conductor-oss/conductor/commit/3a0fb4988b4688e798587e5d54550d8a4866e7ed', 'https://github.com/conductor-oss/conductor/commit/273d445293c35056ef3ab93f115a27177c7ecf68', 'https://github.com/conductor-oss/conductor/commit/af4a27ab3b7eef4fcdc8d20e243f9b56093199f2', 'https://github.com/conductor-oss/conductor/commit/f430ba153fa236573da100a7739fa03c865eb17d', 'https://github.com/conductor-oss/conductor/commit/9ee9be9efbd5da715c20a334bb528cc2d42de3ef', 'https://github.com/conductor-oss/conductor/commit/1e52214d32b7dda407c70bddf02d33c2c35be10d', 'https://github.com/conductor-oss/conductor/commit/f88cc92f24e4301732474c3ce7f7333c5c3c88a0', 'https://github.com/conductor-oss/conductor/commit/4de3598a0b79615007664ebb4876f5ad12167f41', 'https://github.com/conductor-oss/conductor/commit/a6de1d9ac153117643ce7c0126fa682f128e81ff', 'https://github.com/conductor-oss/conductor/commit/7a5222f7a9002959acab9faf0c6ac929b30e41c3', 'https://github.com/conductor-oss/conductor/commit/68af6dcbc01543ff814e5fde42758ab2bede545e', 'https://github.com/conductor-oss/conductor/commit/b86280d5e72f7507b2a0a61c6b6dac613fac9395', 'https://github.com/conductor-oss/conductor/commit/7cdd645470701416722f211bbfd899dd1e89987a', 'https://github.com/conductor-oss/conductor/commit/1f60a1af9d3e5548e6fbfcdf76e5baa25f4f744e', 'https://github.com/conductor-oss/conductor/commit/dbac08aac2361a3dbc3d677f311181b74217ad8b', 'https://github.com/conductor-oss/conductor/commit/d1a2188077209f2815cf28b76711b5fea4befaaa', 'https://github.com/conductor-oss/conductor/commit/bee9444a4da0c3e26fc74e27566d9bd05b6db213', 'https://github.com/conductor-oss/conductor/commit/d83937665013ead66c626c4395153680672cd169', 'https://github.com/conductor-oss/conductor/commit/d3827cf194efdd2f6d328ebde0cd68ee70496d8a']",0,0,0,15,4.0,6.0,4.0,3.0,4.0,2.0,2.0,1.0,4,"core/src/main/java/com/netflix/conductor/service/WorkflowService.java: [Extract Method(23), Inline Variable(3)]"
com.netflix.conductor.es6.dao.index.TestElasticSearchDAOV6,shouldSearchRecentRunningWorkflows,2301 -> 2302,c5c56a38a06e26fee9c269bdd900deeadda50b47 -> 017ad34a610b1547b7e8cb9682d3a8a9645e3ef5,"['https://github.com/conductor-oss/conductor/commit/c5c56a38a06e26fee9c269bdd900deeadda50b47', 'https://github.com/conductor-oss/conductor/commit/017ad34a610b1547b7e8cb9682d3a8a9645e3ef5', 'https://github.com/conductor-oss/conductor/commit/125400472960366bcd97e8540103075f098fc818', 'https://github.com/conductor-oss/conductor/commit/2b39a4dc8404566908a58e63aee35c64293c6c47', 'https://github.com/conductor-oss/conductor/commit/17754477138bbc750a8dd9bba838184106b81914']",0,0,0,190,5.0,4.0,18.0,18.0,13.0,13.0,1.0,1.0,13,"es6-persistence/src/test/java/com/netflix/conductor/es6/dao/index/TestElasticSearchDAOV6.java: [Move Class(1), Merge Package(1), Extract Superclass(1)]"
com.netflix.conductor.jedis.JedisCluster,hscan,1839 -> 1928,3ed60fc043b23c8f0507db4f615652c59702547e -> a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873,"['https://github.com/conductor-oss/conductor/commit/3ed60fc043b23c8f0507db4f615652c59702547e', 'https://github.com/conductor-oss/conductor/commit/a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873']",0,0,0,9,3.0,5.0,10.0,5.0,3.0,10.0,2.0,1.0,3,"redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterSentinelTest.java: [Remove Thrown Exception Type(2), Rename Class(1), Change Attribute Type(1)] redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterTest.java: [Rename Class(1), Change Attribute Type(1), Remove Thrown Exception Type(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisClusterSentinel.java: [Change Parameter Type(10), Remove Method Annotation(6), Merge Parameter(4), Rename Class(1), Change Attribute Type(1), Move Method(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisCluster.java: [Change Parameter Type(10), Remove Method Annotation(3), Merge Parameter(2), Rename Class(1), Change Attribute Type(1), Move Method(1)]"
com.netflix.conductor.jedis.JedisCluster,geopos,1839 -> 1928,3ed60fc043b23c8f0507db4f615652c59702547e -> a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873,"['https://github.com/conductor-oss/conductor/commit/3ed60fc043b23c8f0507db4f615652c59702547e', 'https://github.com/conductor-oss/conductor/commit/a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873']",0,0,0,9,2.0,1.0,10.0,3.0,3.0,1.0,2.0,1.0,3,"redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterSentinelTest.java: [Remove Thrown Exception Type(2), Rename Class(1), Change Attribute Type(1)] redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterTest.java: [Rename Class(1), Change Attribute Type(1), Remove Thrown Exception Type(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisClusterSentinel.java: [Change Parameter Type(10), Remove Method Annotation(6), Merge Parameter(4), Rename Class(1), Change Attribute Type(1), Move Method(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisCluster.java: [Change Parameter Type(10), Remove Method Annotation(3), Merge Parameter(2), Rename Class(1), Change Attribute Type(1), Move Method(1)]"
com.netflix.conductor.tests.integration.AbstractWorkflowServiceTest,testDeciderUpdate,1085 -> 1234,a657c98dcd8824a63f132fc32e767b6f416c8567 -> 0318f5bec1eae30a6133cf0ab597c290890cd8d6,"['https://github.com/conductor-oss/conductor/commit/a657c98dcd8824a63f132fc32e767b6f416c8567', 'https://github.com/conductor-oss/conductor/commit/0318f5bec1eae30a6133cf0ab597c290890cd8d6', 'https://github.com/conductor-oss/conductor/commit/57cbcdf8308906607665f1fd40a91074ba303b1d', 'https://github.com/conductor-oss/conductor/commit/26cfd71620ab540384a36084f66648b891173cca']",0,0,0,19,6.0,6.0,22.0,22.0,14.0,13.0,2.0,2.0,14,"test-harness/src/test/java/com/netflix/conductor/tests/integration/AbstractWorkflowServiceTest.java: [Pull Up Method(60), Pull Up Attribute(24), Change Attribute Access Modifier(8), Extract Superclass(1)]"
com.netflix.conductor.jedis.JedisCluster,expireAt,1839 -> 1928,3ed60fc043b23c8f0507db4f615652c59702547e -> a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873,"['https://github.com/conductor-oss/conductor/commit/3ed60fc043b23c8f0507db4f615652c59702547e', 'https://github.com/conductor-oss/conductor/commit/a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873']",0,0,0,9,1.0,0.0,10.0,3.0,3.0,1.0,2.0,1.0,3,"redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterSentinelTest.java: [Remove Thrown Exception Type(2), Rename Class(1), Change Attribute Type(1)] redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterTest.java: [Rename Class(1), Change Attribute Type(1), Remove Thrown Exception Type(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisClusterSentinel.java: [Change Parameter Type(10), Remove Method Annotation(6), Merge Parameter(4), Rename Class(1), Change Attribute Type(1), Move Method(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisCluster.java: [Change Parameter Type(10), Remove Method Annotation(3), Merge Parameter(2), Rename Class(1), Change Attribute Type(1), Move Method(1)]"
com.netflix.conductor.dao.es5.index.ElasticSearchRestDAOV5,removeWorkflow,1807 -> 2251,8344cfce7fe5aea8f2baa16299f9eda843c26c9b -> 842a56dc0c7562130090cb01bdc84346c6925847,"['https://github.com/conductor-oss/conductor/commit/62f8244720f69d3e35d71b61b22e333eaa390e99', 'https://github.com/conductor-oss/conductor/commit/8344cfce7fe5aea8f2baa16299f9eda843c26c9b', 'https://github.com/conductor-oss/conductor/commit/842a56dc0c7562130090cb01bdc84346c6925847', 'https://github.com/conductor-oss/conductor/commit/fc8b99a89b0c1f94075fc6d2fac27f447595eac5']",0,0,0,1,3.0,3.0,18.0,13.0,11.0,4.0,3.0,3.0,4,"es5-persistence/src/main/java/com/netflix/conductor/dao/es5/index/ElasticSearchRestDAOV5.java: [Extract Method(8), Change Variable Type(4), Add Parameter(3), Add Attribute Modifier(2), Change Attribute Type(2)]"
com.netflix.conductor.service.WorkflowService,searchWorkflows,1382 -> 1386,68af6dcbc01543ff814e5fde42758ab2bede545e -> b86280d5e72f7507b2a0a61c6b6dac613fac9395,"['https://github.com/conductor-oss/conductor/commit/bec39ba71dbe2e52a0f0d2698eeb081400531030', 'https://github.com/conductor-oss/conductor/commit/8ccdd5b8e4f5baef57297cc836e0a945ff59d425', 'https://github.com/conductor-oss/conductor/commit/03fa460010ed4d5cc80b77bd5254346716f49310', 'https://github.com/conductor-oss/conductor/commit/714dc3f74f7bf9f416fea2cf795c06477edd862a', 'https://github.com/conductor-oss/conductor/commit/3a0fb4988b4688e798587e5d54550d8a4866e7ed', 'https://github.com/conductor-oss/conductor/commit/273d445293c35056ef3ab93f115a27177c7ecf68', 'https://github.com/conductor-oss/conductor/commit/af4a27ab3b7eef4fcdc8d20e243f9b56093199f2', 'https://github.com/conductor-oss/conductor/commit/f430ba153fa236573da100a7739fa03c865eb17d', 'https://github.com/conductor-oss/conductor/commit/9ee9be9efbd5da715c20a334bb528cc2d42de3ef', 'https://github.com/conductor-oss/conductor/commit/1e52214d32b7dda407c70bddf02d33c2c35be10d', 'https://github.com/conductor-oss/conductor/commit/f88cc92f24e4301732474c3ce7f7333c5c3c88a0', 'https://github.com/conductor-oss/conductor/commit/4de3598a0b79615007664ebb4876f5ad12167f41', 'https://github.com/conductor-oss/conductor/commit/a6de1d9ac153117643ce7c0126fa682f128e81ff', 'https://github.com/conductor-oss/conductor/commit/7a5222f7a9002959acab9faf0c6ac929b30e41c3', 'https://github.com/conductor-oss/conductor/commit/68af6dcbc01543ff814e5fde42758ab2bede545e', 'https://github.com/conductor-oss/conductor/commit/b86280d5e72f7507b2a0a61c6b6dac613fac9395', 'https://github.com/conductor-oss/conductor/commit/7cdd645470701416722f211bbfd899dd1e89987a', 'https://github.com/conductor-oss/conductor/commit/1f60a1af9d3e5548e6fbfcdf76e5baa25f4f744e', 'https://github.com/conductor-oss/conductor/commit/dbac08aac2361a3dbc3d677f311181b74217ad8b', 'https://github.com/conductor-oss/conductor/commit/d1a2188077209f2815cf28b76711b5fea4befaaa', 'https://github.com/conductor-oss/conductor/commit/bee9444a4da0c3e26fc74e27566d9bd05b6db213', 'https://github.com/conductor-oss/conductor/commit/d83937665013ead66c626c4395153680672cd169', 'https://github.com/conductor-oss/conductor/commit/d3827cf194efdd2f6d328ebde0cd68ee70496d8a']",0,0,0,1,4.0,2.0,4.0,1.0,4.0,0.0,2.0,1.0,4,"core/src/main/java/com/netflix/conductor/service/WorkflowService.java: [Extract Method(23), Inline Variable(3)]"
com.netflix.conductor.jedis.JedisCluster,zscan,1839 -> 1928,3ed60fc043b23c8f0507db4f615652c59702547e -> a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873,"['https://github.com/conductor-oss/conductor/commit/3ed60fc043b23c8f0507db4f615652c59702547e', 'https://github.com/conductor-oss/conductor/commit/a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873']",0,0,0,9,4.0,3.0,10.0,3.0,3.0,2.0,2.0,1.0,3,"redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterSentinelTest.java: [Remove Thrown Exception Type(2), Rename Class(1), Change Attribute Type(1)] redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterTest.java: [Rename Class(1), Change Attribute Type(1), Remove Thrown Exception Type(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisClusterSentinel.java: [Change Parameter Type(10), Remove Method Annotation(6), Merge Parameter(4), Rename Class(1), Change Attribute Type(1), Move Method(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisCluster.java: [Change Parameter Type(10), Remove Method Annotation(3), Merge Parameter(2), Rename Class(1), Change Attribute Type(1), Move Method(1)]"
com.netflix.conductor.jedis.JedisCluster,setex,1839 -> 1928,3ed60fc043b23c8f0507db4f615652c59702547e -> a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873,"['https://github.com/conductor-oss/conductor/commit/3ed60fc043b23c8f0507db4f615652c59702547e', 'https://github.com/conductor-oss/conductor/commit/a3b9da22e4e48edd6b6f8dfbdc3ac4d9fa03b873']",0,0,0,9,1.0,0.0,10.0,3.0,3.0,1.0,2.0,1.0,3,"redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterSentinelTest.java: [Remove Thrown Exception Type(2), Rename Class(1), Change Attribute Type(1)] redis-persistence/src/test/java/com/netflix/conductor/jedis/JedisClusterTest.java: [Rename Class(1), Change Attribute Type(1), Remove Thrown Exception Type(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisClusterSentinel.java: [Change Parameter Type(10), Remove Method Annotation(6), Merge Parameter(4), Rename Class(1), Change Attribute Type(1), Move Method(1)] redis-persistence/src/main/java/com/netflix/conductor/jedis/JedisCluster.java: [Change Parameter Type(10), Remove Method Annotation(3), Merge Parameter(2), Rename Class(1), Change Attribute Type(1), Move Method(1)]"
