Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.atomix.copycat.server.state.ServerState,transition,354 -> 383,cd7c1fe1ee4e80193535e80264026e96d4efa882 -> 51e760c67507a8fbdcea7e86d091f41805551bbf,"['https://github.com/atomix/copycat/commit/b88b415a8189376e9d0e9dff85375de11f7267b5', 'https://github.com/atomix/copycat/commit/184608b1e29fcd9065b2eb8e3e12bfb1e92a888d', 'https://github.com/atomix/copycat/commit/19b82dd0d5e11da8c28b38a4b2763541582286b9', 'https://github.com/atomix/copycat/commit/657e1b6a4d616f9f14a4d37fc959e776a887615b', 'https://github.com/atomix/copycat/commit/cd7c1fe1ee4e80193535e80264026e96d4efa882', 'https://github.com/atomix/copycat/commit/51e760c67507a8fbdcea7e86d091f41805551bbf', 'https://github.com/atomix/copycat/commit/72a273c7337dd33cad1c79546ca2241f3fde85e6']",0,0,0,2,5.0,3.0,24.0,24.0,14.0,12.0,6.0,6.0,12,"server/src/main/java/io/atomix/copycat/server/state/ServerState.java: [Change Variable Type(28), Rename Variable(16), Inline Method(13), Replace Attribute With Variable(12), Extract And Move Method(8), Change Parameter Type(4), Move Attribute(1), Remove Attribute Modifier(1), Move Method(1)]"
io.atomix.copycat.server.state.ServerState,leave,354 -> 383,cd7c1fe1ee4e80193535e80264026e96d4efa882 -> 51e760c67507a8fbdcea7e86d091f41805551bbf,"['https://github.com/atomix/copycat/commit/0594601ec48057fe543883e9d4d2f80f619cc3a8', 'https://github.com/atomix/copycat/commit/184608b1e29fcd9065b2eb8e3e12bfb1e92a888d', 'https://github.com/atomix/copycat/commit/19b82dd0d5e11da8c28b38a4b2763541582286b9', 'https://github.com/atomix/copycat/commit/657e1b6a4d616f9f14a4d37fc959e776a887615b', 'https://github.com/atomix/copycat/commit/cd7c1fe1ee4e80193535e80264026e96d4efa882', 'https://github.com/atomix/copycat/commit/51e760c67507a8fbdcea7e86d091f41805551bbf', 'https://github.com/atomix/copycat/commit/ca1d36baa181bfbe4676f036739eeb188eaebba2']",0,0,0,2,0.0,0.0,15.0,15.0,9.0,7.0,2.0,2.0,7,"server/src/main/java/io/atomix/copycat/server/state/ServerState.java: [Change Variable Type(28), Rename Variable(16), Inline Method(13), Replace Attribute With Variable(12), Extract And Move Method(8), Change Parameter Type(4), Move Attribute(1), Remove Attribute Modifier(1), Move Method(1)]"
io.atomix.copycat.server.state.LeaderState,applyCommand,926 -> 929,06db006dcb54c40f77053a768bb8cd621613db2e -> 5c2efd27f443b043ea832726cb022106e37d75bc,"['https://github.com/atomix/copycat/commit/4dfe81bb9eda9e77537a8af86f021ef4143f7fa2', 'https://github.com/atomix/copycat/commit/06db006dcb54c40f77053a768bb8cd621613db2e', 'https://github.com/atomix/copycat/commit/5c2efd27f443b043ea832726cb022106e37d75bc']",0,0,0,18,17.0,12.0,40.0,13.0,35.0,19.0,8.0,1.0,36,"server/src/main/java/io/atomix/copycat/server/state/LeaderState.java: [Extract Method(16), Rename Method(8), Change Variable Type(4), Remove Variable Modifier(4), Rename Variable(4), Change Return Type(4), Add Parameter(3)]"
io.atomix.copycat.client.CopycatClient$Builder,build,937 -> 941,bcc46e91f8fdd887c51ecc95cfc1dcac32282be1 -> 8ad210194124bc86e02be675aa909464a01d293c,"['https://github.com/atomix/copycat/commit/eebe1b75e7140015fb4a6719e866719fcfc34c3f', 'https://github.com/atomix/copycat/commit/ac8d8e2a2c0794b713d9853e05220cb23df57efe', 'https://github.com/atomix/copycat/commit/c8e157aa7294cdbc382a91e0ee534b36056f660b', 'https://github.com/atomix/copycat/commit/1d0058aef2230a358aeea59362681a560a6b5b1d', 'https://github.com/atomix/copycat/commit/3538a8fbf839c3f65d5d00869a2356d4471f919c', 'https://github.com/atomix/copycat/commit/f803f20132680c8c4f9b2fcdce49cf1a2e1b0572', 'https://github.com/atomix/copycat/commit/34f07ec7b17f5eba2de1081ec597c4d23cbad8c4', 'https://github.com/atomix/copycat/commit/db04b8023fe8ff4f95327224b77c1d8b410f973c', 'https://github.com/atomix/copycat/commit/27d49ad357546cc77acff517caa81dde7393268f', 'https://github.com/atomix/copycat/commit/5c2efd27f443b043ea832726cb022106e37d75bc', 'https://github.com/atomix/copycat/commit/bcc46e91f8fdd887c51ecc95cfc1dcac32282be1', 'https://github.com/atomix/copycat/commit/8ad210194124bc86e02be675aa909464a01d293c', 'https://github.com/atomix/copycat/commit/b38630d5cb4044868c305fd9c41524539aef76fb']",0,0,0,2,9.0,9.0,28.0,20.0,4.0,3.0,6.0,5.0,2,"client/src/main/java/io/atomix/copycat/client/CopycatClient.java: [Extract Method(6), Add Parameter(3), Add Method Annotation(3)]"
io.atomix.copycat.client.session.ClientSessionSubmitter,submitCommand,541 -> 553,c74828d4b2ac482e5ee1d7df20fa333593ff14b8 -> 70c5850417d2e0816e6c0876b9cb3b48ecd0fd61,"['https://github.com/atomix/copycat/commit/c74828d4b2ac482e5ee1d7df20fa333593ff14b8', 'https://github.com/atomix/copycat/commit/70c5850417d2e0816e6c0876b9cb3b48ecd0fd61']",0,0,0,2,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,3,client/src/main/java/io/atomix/copycat/client/session/ClientSessionSubmitter.java: [Extract Class(2)]
io.atomix.catalog.server.storage.Log,compact,31 -> 39,5f851a43b225e62d24dd2259bf966b07daa2268d -> 2f604ae3138fd8277ce5400f1a1b69219a00c668,"['https://github.com/atomix/copycat/commit/b4d339e24eb10844c91e0347238b55861705bb0d', 'https://github.com/atomix/copycat/commit/5f851a43b225e62d24dd2259bf966b07daa2268d', 'https://github.com/atomix/copycat/commit/2f604ae3138fd8277ce5400f1a1b69219a00c668']",0,0,0,8,4.0,2.0,14.0,5.0,7.0,2.0,4.0,1.0,6,storage/src/main/java/io/atomix/catalog/server/storage/Log.java: [Extract Method(18)]
io.atomix.copycat.server.state.LeaderAppender,failAttempt,604 -> 607,0ac28a040988771f74700d28d95b51d7bec6a59b -> 9b2c456493b5c33a5948367d78a03d482e540597,"['https://github.com/atomix/copycat/commit/50d5617789e4a97d54b96fb992c05744e4e848ad', 'https://github.com/atomix/copycat/commit/b41a897ee25eea923678d1f188ca3e1252ce3a77', 'https://github.com/atomix/copycat/commit/0ac28a040988771f74700d28d95b51d7bec6a59b', 'https://github.com/atomix/copycat/commit/9b2c456493b5c33a5948367d78a03d482e540597', 'https://github.com/atomix/copycat/commit/64aa6587412bcb90a539265f33c882981a252613', 'https://github.com/atomix/copycat/commit/ea7d959d7c7a81c2d13c37f80224330540b752d0', 'https://github.com/atomix/copycat/commit/4230dbbc09f7cd109b5a0669106de274a2cdb650']",0,0,0,1,7.0,6.0,18.0,17.0,21.0,19.0,7.0,7.0,17,"server/src/main/java/io/atomix/copycat/server/state/LeaderAppender.java: [Move Method(18), Remove Method Annotation(6), Move Attribute(6), Change Attribute Access Modifier(1), Add Attribute Modifier(1)]"
io.atomix.copycat.client.session.ClientSession,ClientSession,290 -> 294,d1ecbb25dee8bdd3a8a7fdd0640a44c60e3dfeda -> d972bf7475cc1f332bba7f0452403b96cd4b56c3,"['https://github.com/atomix/copycat/commit/d1ecbb25dee8bdd3a8a7fdd0640a44c60e3dfeda', 'https://github.com/atomix/copycat/commit/d972bf7475cc1f332bba7f0452403b96cd4b56c3']",0,0,0,3,5.0,5.0,8.0,8.0,6.0,5.0,1.0,1.0,6,"client/src/main/java/io/atomix/copycat/client/session/ClientSession.java: [Extract Method(7), Add Parameter(3), Change Attribute Type(2)]"
io.atomix.copycat.client.session.ClientSessionManager,close,541 -> 547,c74828d4b2ac482e5ee1d7df20fa333593ff14b8 -> 1cdb84a05ad5f3f2eeb3174f5ded0c03bdff93ee,"['https://github.com/atomix/copycat/commit/c74828d4b2ac482e5ee1d7df20fa333593ff14b8', 'https://github.com/atomix/copycat/commit/1cdb84a05ad5f3f2eeb3174f5ded0c03bdff93ee', 'https://github.com/atomix/copycat/commit/8bf6199ca4e55a203edca041aa77ed4d836c7b6d', 'https://github.com/atomix/copycat/commit/711379df6c14656983edc558527f34dc506b9a92', 'https://github.com/atomix/copycat/commit/feb211b77bbb84264a63ae3838fad661bca04d75', 'https://github.com/atomix/copycat/commit/6d0c7c814011d87436d137ccec1cc8211b91e006', 'https://github.com/atomix/copycat/commit/7197ac0a1479b0f1d74f1830a30a8eb6b34445f7', 'https://github.com/atomix/copycat/commit/a3058497464f8d9d0d56b2c043b7d60e0afecb56', 'https://github.com/atomix/copycat/commit/3b864462f6b26c24160005bb2a577495888ac0e1', 'https://github.com/atomix/copycat/commit/449fb43e4116ab50c6b6355fbf787a85cdb057b4', 'https://github.com/atomix/copycat/commit/04a86282aa005053a0aa9dd2809a236aeef8cbcb']",0,0,0,2,2.0,0.0,7.0,9.0,3.0,4.0,1.0,1.0,3,"client/src/main/java/io/atomix/copycat/client/session/ClientSessionManager.java: [Extract Class(3), Move Method(1), Move Attribute(1), Add Attribute Modifier(1), Change Method Access Modifier(1), Move And Rename Method(1)]"
io.atomix.copycat.client.session.ClientSession,register,290 -> 455,d1ecbb25dee8bdd3a8a7fdd0640a44c60e3dfeda -> 69e42149b2e6f2817c29dfb139f352d2ac3c2259,"['https://github.com/atomix/copycat/commit/eebe1b75e7140015fb4a6719e866719fcfc34c3f', 'https://github.com/atomix/copycat/commit/ae0379f7ffc60ec8d0dfeb70b0bef5e2796580f2', 'https://github.com/atomix/copycat/commit/af1fd8bb1e26128123c6accc1f80f7e9d63f8fb6', 'https://github.com/atomix/copycat/commit/d1ecbb25dee8bdd3a8a7fdd0640a44c60e3dfeda', 'https://github.com/atomix/copycat/commit/69e42149b2e6f2817c29dfb139f352d2ac3c2259', 'https://github.com/atomix/copycat/commit/5eceb161dd440e5872afb8f8192ad19a3de451bd', 'https://github.com/atomix/copycat/commit/3c6988ccda994bccd4ff391224dcaf5de1e35b97', 'https://github.com/atomix/copycat/commit/9fafb85c2b9a02d1a100718bd38cd0e93f81f6d6', 'https://github.com/atomix/copycat/commit/c839dfecda25a381c5d120eeebc2ef54fd2c1c76', 'https://github.com/atomix/copycat/commit/bcc46e91f8fdd887c51ecc95cfc1dcac32282be1']",0,0,0,1,6.0,1.0,25.0,3.0,26.0,1.0,3.0,1.0,25,"client/src/main/java/io/atomix/copycat/client/session/ClientSession.java: [Extract Method(7), Add Parameter(3), Change Attribute Type(2)]"
