Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
com.ibm.crail.storage.rdma.RdmaStorageServer,class,237 -> 247,444ba1b8ba0e8e573d5d8c64438f6a39b321bf99 -> 3bb6c1469f4da47d9f56cca5a2a9d4af8842bcc0,40,4,36,8,14.0,13.0,1.0,1.0,30.0,19.0,155.0,124.0,0.0,0.0,56.0,48.0,26.0,22.0,getDatanodeServerEndpoint[  ] run[ info():2 getEndpointId():1 size():1 printStackTrace():1 put():1 accept():1 ] RdmaStorageServer[  ] close[ info():2 getEndpointId():1 size():1 getMessage():1 remove():1 ] ,"storage-rdma/src/main/java/com/ibm/crail/storage/rdma/RdmaStorageServer.java: [Move Method(4), Inline Variable(2), Add Parameter(2), Change Thrown Exception Type(2), Move Attribute(1), Remove Thrown Exception Type(1), Move And Rename Method(1)]"
com.ibm.crail.CrailBufferedOutputStream,class,241 -> 242,82bc71ac58f3e1905efb702c6940ddc722e4c852 -> efe869b3a54b77e5027fb6934ec6b7892ba2cda4,0,0,0,2,16.0,16.0,2.0,2.0,15.0,17.0,296.0,282.0,0.0,0.0,62.0,60.0,60.0,58.0,writeAsync[ writeAsync():1 ] isOpen[ isOpen():1 ] getWriteHint[ getWriteHint():1 ] getPos[ position():1 ] getRemaining[ remaining():1 ] CrailBufferedOutputStream[ allocateBuffer():1 clear():1 ] purge[ writeAsync():1 clear():1 flip():1 ] position[ position():1 ] write[ remaining():5 limit():3 write():3 min():2 writeAsync():2 get():2 clear():2 flip():2 put():2 position():1 ] sync[ sync():1 ] close[ isOpen():1 freeBuffer():1 clear():1 position():1 flip():1 write():1 close():1 ] ,"client/src/main/java/com/ibm/crail/CrailBufferedOutputStream.java: [Extract Method(25), Inline Variable(10), Rename Attribute(2)]"
com.ibm.crail.core.CoreFileSystem,class,121 -> 122,742dfcadd129616bf28048a76d75da8843c2adf9 -> 54de63319adeac6da3fd62a6c677b845c9d64c8f,0,0,0,13,58.0,56.0,2.0,2.0,199.0,226.0,485.0,453.0,0.0,0.0,173.0,138.0,98.0,89.0,getBlockLocations[ getInetAddress():4 get():4 getAddress():4 getHostAddress():4 info():4 blockStartAddress():3 getError():3 size():3 getStorageTier():2 put():2 min():2 getLocationAffinity():2 getPort():2 toString():2 setStorageTiers():1 getLocation():1 values():1 getOffset():1 setTopologyPaths():1 getBlockInfo():1 setLocationAffinities():1 setHosts():1 setOffset():1 add():1 setNames():1 getDnInfo():1 setLength():1 ] getFsId[  ] allocateBuffer[ getBuffer():1 ] ping[ getError():3 pingNameNode():1 get():1 info():1 ] CoreFileSystem[ createInstance():2 printConf():2 add():1 init():1 getAndIncrement():1 hasMoreTokens():1 getHostName():1 updateConstants():1 getNameNodeAddress():1 getLocalHost():1 getRpcClient():1 nextToken():1 hashCode():1 verify():1 info():1 ] getBufferCache[  ] delete[ removeFile():1 info():1 ] _create[ getError():8 getFd():7 getParent():2 createKey():2 getDirOffset():2 remove():2 put():2 getBlockCache():2 info():2 allocateBuffer():1 getFileBlock():1 clear():1 getFile():1 getDirBlock():1 seek():1 writeAsync():1 getToken():1 getOutputStream():1 write():1 flip():1 ] getBufferCheckpoint[  ] _lookup[ getError():3 getFd():3 info():2 getFileBlock():1 getBlockCache():1 createKey():1 getFile():1 put():1 ] printStatistics[ getBlockingOps():2 getAvgCapacity():2 getCachedOps():2 getPrefetchedBlockingOps():2 getPrefetchedOps():2 getPrefetchedNonblockingOps():2 getRemoteOps():2 getLocalOps():2 getTotalStreams():2 getRemoteDirOps():2 getLocalDirOps():2 getAvgOpLen():2 getNonblockingOps():2 size():2 getTotalOps():2 getCapacity():2 missedHeap():1 getClose():1 getCloseOutput():1 getOpen():1 getMaxInput():1 getCloseInputDir():1 getOpenInput():1 getMaxOutput():1 put():1 getCloseInput():1 getOpenInputDir():1 get():1 info():1 getOpenOutput():1 max():1 missed():1 missedMap():1 getCloseOutputDir():1 getOpenOutputDir():1 ] getNextBlockCache[ getFileBlockCache():1 ] create[ createFile():1 info():1 ] _delete[ getError():5 info():3 getParent():2 allocateBuffer():1 clear():1 getDirOffset():1 getFile():1 seek():1 remove():1 getFd():1 writeAsync():1 getOutputStream():1 write():1 flip():1 ] closeFileSystem[ close():4 add():1 values():1 ] lookupFile[ getFile():1 info():1 ] closeFile[ setFile():1 getToken():1 get():1 ] freeBuffer[ putBuffer():1 ] resetStatistics[ reset():4 ] _rename[ getError():9 getDirOffset():6 info():6 getFd():5 getDstParent():3 getDstFile():3 getParent():2 allocateBuffer():2 clear():2 createKey():2 seek():2 put():2 writeAsync():2 getBlockCache():2 getOutputStream():2 write():2 flip():2 getCapacity():2 remove():1 getSrcParent():1 getSrcBlock():1 getSrcFile():1 getDstBlock():1 ] getHostHash[  ] getDatanodeEndpointCache[  ] unregister[ add():2 getCoreStatistics():2 getFile():2 isDir():2 incClose():1 getStreamId():1 incCloseInput():1 remove():1 incCloseOutputDir():1 incCloseInputDir():1 decCurrentInput():1 incCloseOutput():1 decCurrentOutput():1 ] dumpNameNode[ get():1 dumpNameNode():1 ] getInputStream[ incrementAndGet():1 incMaxInput():1 incOpen():1 getStreamId():1 incCurrentInput():1 incOpenInputDir():1 put():1 incOpenInput():1 isDir():1 ] getNamenodeClientRpc[  ] listEntries[ _listEntries():1 ] getDirectoryInputStream[ incrementAndGet():1 incMaxInput():1 incOpen():1 getStreamId():1 incCurrentInput():1 incOpenInputDir():1 put():1 incOpenInput():1 isDir():1 ] rename[ renameFile():1 info():1 ] getBlockCache[ getFileBlockCache():1 ] getOutputStream[ incOpenOutput():1 incrementAndGet():1 incOpen():1 incOpenOutputDir():1 incMaxOutput():1 getStreamId():1 incCurrentOutput():1 put():1 isDir():1 ] _listEntries[ getError():3 info():3 getFile():2 get():1 getDirectoryInputStream():1 isDir():1 ] ,"client/src/main/java/com/ibm/crail/core/CoreFileSystem.java: [Change Variable Type(12), Move And Inline Method(7), Rename Variable(4), Change Parameter Type(4), Remove Parameter(4), Rename Method(2), Move Method(2)]"
com.ibm.crail.CrailFile,interface,198 -> 222,fcbbf0643d26a123a6b619af5fa32e0269a1962f -> abb43b82744a18debed7f9a5a301d194a104fe23,0,0,0,61,7.0,6.0,1.0,1.0,36.0,15.0,15.0,12.0,0.0,0.0,0.0,0.0,9.0,6.0,getBlockLocations[  ] storageAffinity[  ] getBufferedOutputStream[ getDirectOutputStream():1 getFileSystem():1 ] getDirectOutputStream[  ] getToken[  ] locationAffinity[  ] getDirectInputStream[  ] close[  ] getFd[  ] getBufferedInputStream[ getDirectInputStream():1 getFileSystem():1 ] ,"client/src/main/java/com/ibm/crail/CrailFile.java: [Pull Up Method(3), Change Type Declaration Kind(2)]"
com.ibm.crail.namenode.rpc.darpc.DaRPCNameNode,class,232 -> 237,548d9c8e7484c7f62c89fcfe15c3cab6b6a121fa -> 444ba1b8ba0e8e573d5d8c64438f6a39b321bf99,57,2,55,23,12.0,5.0,2.0,2.0,0.0,0.0,51.0,5.0,0.0,0.0,21.0,0.0,9.0,1.0,getRpcClient[ info():4 createDefault():2 getCqSize():1 getMaxSge():1 getRpcpipeline():1 createClientEndpoint():1 getNameNodeAddress():1 equalsIgnoreCase():1 connect():1 ] DaRPCNameNode[  ] run[ info():2 getCqSize():1 printStackTrace():1 getMaxSge():1 intValue():1 getRpcpipeline():1 getMessage():1 createServerEndpoint():1 getNameNodeAddress():1 decode():1 error():1 accept():1 split():1 bind():1 createDefault():1 ] close[ close():4 info():1 ] ,"rpc-darpc/src/main/java/com/ibm/crail/namenode/rpc/darpc/DaRPCNameNodeClient.java: [Extract Class(27), Move Method(15), Move Attribute(3), Change Variable Type(2), Rename Variable(2), Move And Rename Method(1)] rpc-darpc/src/main/java/com/ibm/crail/namenode/rpc/darpc/DaRPCNameNodeConnection.java: [Extract Class(13), Move Method(10), Move Attribute(2), Move And Rename Method(1)] rpc-darpc/src/main/java/com/ibm/crail/namenode/rpc/darpc/DaRPCNameNode.java: [Move Method(3), Change Variable Type(2), Rename Variable(2), Move Attribute(1)]"
com.ibm.crail.CrailBufferedOutputStream,class,37 -> 60,8be85bf57ade83a8b1998c13885c7ee482ce5bfb -> f06715cb156fe21edd522cd451c0a51310301e13,76,46,30,7,8.0,6.0,2.0,2.0,0.0,0.0,173.0,192.0,0.0,0.0,30.0,27.0,41.0,44.0,writeAsync[ writeAsync():1 ] isOpen[ isOpen():1 ] getWriteHint[ getWriteHint():1 ] getPos[ position():1 ] getRemaining[ remaining():1 ] CrailBufferedOutputStream[ allocateBuffer():1 clear():1 ] purge[ writeAsync():1 clear():1 flip():1 ] position[ position():1 ] write[ remaining():5 limit():3 write():3 min():2 writeAsync():2 get():2 clear():2 flip():2 put():2 position():1 ] sync[ sync():1 ] close[ isOpen():1 freeBuffer():1 clear():1 position():1 flip():1 write():1 close():1 ] ,"client/src/main/java/com/ibm/crail/CrailBufferedOutputStream.java: [Extract Method(25), Inline Variable(10), Rename Attribute(2)]"
com.ibm.crail.CrailBufferedInputStream,class,187 -> 189,609f3c3df3b99e4a5d389e3fe17f7b3f9a50b197 -> b714bf0f02ee3158d2942b549f5469674e06d330,389,10,379,33,11.0,4.0,2.0,3.0,13.0,0.0,386.0,21.0,0.0,0.0,64.0,7.0,76.0,5.0,read[ remaining():5 limit():5 read():4 get():3 position():3 clear():2 seek():2 min():2 getLen():2 flip():2 readAsync():2 printStackTrace():1 put():1 getPos():1 ] markSupported[  ] available[ available():1 ] skip[ position():2 seek():1 ] getReadHint[ getReadHint():1 ] seek[ position():7 clear():2 flip():2 seek():1 remaining():1 ] setReadahead[  ] isOpen[ isOpen():1 ] readFully[ read():1 readFully():1 ] getPos[ position():1 ] reset[ seek():1 ] seekToNewSource[  ] position[ position():1 ] CrailBufferedInputStream[ allocateBuffer():1 clear():1 flip():1 ] readAsync[ readAsync():1 ] close[ isOpen():1 freeBuffer():1 close():1 ] mark[  ] ,"client/src/main/java/com/ibm/crail/CrailBufferedInputStream.java: [Replace Attribute With Variable(68), Inline Method(35), Extract Method(33), Rename Variable(12), Change Method Access Modifier(8)]"
com.ibm.crail.core.CoreStream,class,170 -> 187,40f8518f656c896b03f0c754bdd423398915511b -> 609f3c3df3b99e4a5d389e3fe17f7b3f9a50b197,10,4,6,43,24.0,24.0,1.0,1.0,30.0,30.0,190.0,188.0,2.0,2.0,75.0,73.0,38.0,37.0,prepareAndTrigger[ limit():3 getDnInfo():2 getLen():2 position():2 getInetAddress():1 getDataEndpoint():1 incStats():1 getStorageTier():1 getAllocationBuffer():1 getBufferCache():1 trigger():1 isLocal():1 info():1 ] incStats[ isDir():2 incRemoteOps():1 incRemoteDirOps():1 incLocalDirOps():1 incLocalOps():1 ] CoreStream[ getFd():2 getNextBlockCache():1 getDatanodeEndpointCache():1 getBlockCache():1 getFileSystem():1 getFileInfo():1 getNamenodeClientRpc():1 getBufferCheckpoint():1 getCapacity():1 ] prefetchMetadata[ containsKey():2 getFd():2 nextBlockAddress():1 getBlock():1 storageAffinity():1 setPrefetched():1 getToken():1 createKey():1 locationAffinity():1 incPrefetchedOps():1 put():1 getCapacity():1 ] getStreamId[  ] update[  ] getCoreStatistics[  ] trigger[  ] blockRemaining[  ] seek[ getCapacity():2 min():1 max():1 ] sync[ getCapacity():2 setFile():1 getToken():1 ] getFile[  ] isOpen[  ] position[  ] setCapacity[ setCapacity():1 ] dataOperation[ key():5 get():4 add():4 put():3 getError():3 getTicket():3 poll():2 prepareAndTrigger():2 isPrefetched():2 containsKey():2 clear():2 isDone():2 remaining():2 getFd():2 position():2 incTotalOps():1 blockRemaining():1 getBlockInfo():1 incNonblockingOps():1 newOp():1 info():1 getBlock():1 storageAffinity():1 locationAffinity():1 incPrefetchedBlockingOps():1 incCachedOps():1 incBlockingOps():1 getToken():1 minFileBuf():1 incPrefetchedNonblockingOps():1 getCapacity():1 ] close[ syncDir():1 get():1 unregister():1 setCapacity():1 sync():1 getCapacity():1 ] ,"client/src/main/java/com/ibm/crail/core/CoreStream.java: [Change Return Type(12), Change Variable Type(12), Replace Variable With Attribute(4), Remove Parameter(3), Move Attribute(1), Move Method(1)]"
com.ibm.crail.namenode.rpc.RpcRequestMessage$CreateFileReq,innerclass,111 -> 119,249d242926ef92f5c47ffc16e724c1e4972635e2 -> f33afca8975ea65c80474de0428925e589c21ebb,0,0,0,1,3.0,2.0,1.0,1.0,1.0,1.0,52.0,52.0,0.0,0.0,6.0,4.0,10.0,12.0,size[  ] getType[  ] CreateFileReq[  ] update[ getInt():3 update():1 ] getFileName[  ] write[ putInt():3 write():1 ] getLocationAffinity[  ] isDir[  ] getStorageAffinity[  ] ,"client/src/main/java/com/ibm/crail/namenode/rpc/RpcRequestMessage.java: [Change Parameter Type(4), Rename Parameter(4), Extract Class(3), Rename Attribute(2), Change Attribute Type(2), Move Method(1)]"
com.ibm.crail.CrailMultiStream$SubStream,innerclass,65 -> 66,a25fed02153611252bd0295799ad9b0db65c217d -> d9cce1660e80808425c99ced3442a3d2d47106fb,54,33,21,2,3.0,3.0,1.0,1.0,0.0,0.0,30.0,38.0,0.0,0.0,6.0,5.0,8.0,10.0,SubStream[  ] available[ available():1 ] copyOut[  ] close[ close():1 ] isEnd[ position():1 getCapacity():1 ] ,"client/src/main/java/com/ibm/crail/CrailMultiStream.java: [Extract Method(26), Rename Variable(8), Rename Parameter(4), Rename Attribute(4)]"
