Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.ibm.crail.namenode.AbstractNode,AbstractNode,232 -> 250,548d9c8e7484c7f62c89fcfe15c3cab6b6a121fa -> dac24bab5245c215c45f5f03f021f427ccf04553,69,24,45,25,3.0,2.0,10.0,8.0,2.0,2.0,1.0,1.0,2,"namenode/src/main/java/com/ibm/crail/namenode/AbstractNode.java: [Add Parameter(3), Remove Method Modifier(1), Move Method(1)]"
com.ibm.crail.BufferedInputStream,BufferedInputStream,189 -> 193,b714bf0f02ee3158d2942b549f5469674e06d330 -> 2ab2a344e2c86fcc3add11f8baaec4ee54856fa8,16,8,8,6,5.0,5.0,35.0,35.0,12.0,11.0,5.0,5.0,12,"client/src/main/java/com/ibm/crail/BufferedInputStream.java: [Pull Up Method(16), Pull Up Attribute(13), Extract Class(11), Rename Variable(10), Move Method(7), Remove Method Modifier(5), Rename Parameter(4), Move Attribute(3), Add Method Annotation(2), Change Variable Type(2), Extract Superclass(1)]"
com.ibm.crail.rpc.RpcDispatcher,setFile,232 -> 237,548d9c8e7484c7f62c89fcfe15c3cab6b6a121fa -> 444ba1b8ba0e8e573d5d8c64438f6a39b321bf99,40,25,15,23,4.0,5.0,6.0,4.0,2.0,3.0,1.0,1.0,2,"client/src/main/java/com/ibm/crail/rpc/RpcDispatcher.java: [Extract Class(12), Move Method(2)]"
com.ibm.crail.namenode.rpc.RpcRequestMessage$CreateFileReq,update,111 -> 119,249d242926ef92f5c47ffc16e724c1e4972635e2 -> f33afca8975ea65c80474de0428925e589c21ebb,0,0,0,1,2.0,1.0,7.0,7.0,3.0,2.0,1.0,2.0,2,"client/src/main/java/com/ibm/crail/namenode/rpc/RpcRequestMessage.java: [Change Parameter Type(4), Rename Parameter(4), Extract Class(3), Rename Attribute(2), Change Attribute Type(2), Move Method(1)]"
com.ibm.crail.namenode.rpc.RpcRequestMessage$CreateFileReq,write,111 -> 119,249d242926ef92f5c47ffc16e724c1e4972635e2 -> f33afca8975ea65c80474de0428925e589c21ebb,0,0,0,1,2.0,1.0,8.0,8.0,3.0,2.0,1.0,2.0,2,"client/src/main/java/com/ibm/crail/namenode/rpc/RpcRequestMessage.java: [Change Parameter Type(4), Rename Parameter(4), Extract Class(3), Rename Attribute(2), Change Attribute Type(2), Move Method(1)]"
com.ibm.crail.core.DirectoryInputStream,fetchIfEmpty,58 -> 59,616b46e5c7215bf089fbcd9ab5eb846a7130f31e -> 46f1af8b02635027675ac8585dc84d9a4f00a38d,17,12,5,12,3.0,3.0,24.0,23.0,7.0,7.0,6.0,6.0,8,"client/src/main/java/com/ibm/crail/core/DirectoryInputStream.java: [Remove Parameter(6), Add Parameter(3), Move Attribute(2), Rename Variable(2), Remove Thrown Exception Type(2), Remove Method Annotation(1), Move Method(1), Change Method Access Modifier(1), Move And Rename Method(1)]"
com.ibm.crail.CrailBufferedInputStream,close,187 -> 189,609f3c3df3b99e4a5d389e3fe17f7b3f9a50b197 -> b714bf0f02ee3158d2942b549f5469674e06d330,389,10,379,33,5.0,1.0,21.0,9.0,9.0,2.0,5.0,2.0,3,"client/src/main/java/com/ibm/crail/CrailBufferedInputStream.java: [Replace Attribute With Variable(68), Inline Method(35), Extract Method(33), Rename Variable(12), Change Method Access Modifier(8)]"
com.ibm.crail.core.CoreStream,prefetchMetadata,170 -> 222,40f8518f656c896b03f0c754bdd423398915511b -> abb43b82744a18debed7f9a5a301d194a104fe23,2,1,1,61,9.0,8.0,14.0,14.0,12.0,10.0,3.0,3.0,13,"client/src/main/java/com/ibm/crail/core/CoreStream.java: [Change Return Type(12), Change Variable Type(12), Replace Variable With Attribute(4), Remove Parameter(3), Move Attribute(1), Move Method(1)]"
com.ibm.crail.CrailBufferedInputStream,CrailBufferedInputStream,187 -> 189,609f3c3df3b99e4a5d389e3fe17f7b3f9a50b197 -> b714bf0f02ee3158d2942b549f5469674e06d330,389,10,379,33,7.0,2.0,35.0,4.0,15.0,5.0,4.0,1.0,7,"client/src/main/java/com/ibm/crail/CrailBufferedInputStream.java: [Replace Attribute With Variable(68), Inline Method(35), Extract Method(33), Rename Variable(12), Change Method Access Modifier(8)]"
com.ibm.crail.core.DirectoryInputStream,close,55 -> 100,17dd586833d81ac31c3b8792fc8def06c2b9716e -> 14aba27251d50862978250113954f933bbfdad1f,24,21,3,27,3.0,2.0,12.0,14.0,3.0,2.0,3.0,3.0,3,"client/src/main/java/com/ibm/crail/core/DirectoryInputStream.java: [Remove Parameter(6), Add Parameter(3), Move Attribute(2), Rename Variable(2), Remove Thrown Exception Type(2), Remove Method Annotation(1), Move Method(1), Change Method Access Modifier(1), Move And Rename Method(1)]"
com.ibm.crail.BufferedInputStream,seek,194 -> 196,ab00a22d903a0ff5b6a0c358cf00985bade3101e -> 8055c50dc84945c0ece218b068263b8399162306,4,2,2,7,6.0,6.0,63.0,63.0,17.0,15.0,16.0,16.0,16,"client/src/main/java/com/ibm/crail/BufferedInputStream.java: [Pull Up Method(16), Pull Up Attribute(13), Extract Class(11), Rename Variable(10), Move Method(7), Remove Method Modifier(5), Rename Parameter(4), Move Attribute(3), Add Method Annotation(2), Change Variable Type(2), Extract Superclass(1)]"
com.ibm.crail.CrailBufferedOutputStream,purgeIfFull,36 -> 60,326ef24f7844117cec58b8353cc49d88695358a7 -> f06715cb156fe21edd522cd451c0a51310301e13,76,46,30,7,1.0,2.0,10.0,12.0,3.0,2.0,3.0,3.0,3,"client/src/main/java/com/ibm/crail/CrailBufferedOutputStream.java: [Extract Method(25), Inline Variable(10), Rename Attribute(2)]"
com.ibm.crail.namenode.rpc.darpc.DaRPCNameNodeClient,connect,232 -> 233,548d9c8e7484c7f62c89fcfe15c3cab6b6a121fa -> 8894e60b20714bf9fd54441f7cdc508d763ebf13,11,6,5,7,4.0,3.0,10.0,7.0,9.0,6.0,1.0,1.0,9,"rpc-darpc/src/main/java/com/ibm/crail/namenode/rpc/darpc/DaRPCNameNodeClient.java: [Extract Class(27), Move Method(15), Move Attribute(3), Change Variable Type(2), Rename Variable(2), Move And Rename Method(1)]"
com.ibm.crail.CrailBufferedOutputStream,write,36 -> 37,326ef24f7844117cec58b8353cc49d88695358a7 -> 8be85bf57ade83a8b1998c13885c7ee482ce5bfb,76,35,41,13,2.0,1.0,22.0,23.0,9.0,7.0,4.0,5.0,10,"client/src/main/java/com/ibm/crail/CrailBufferedOutputStream.java: [Extract Method(25), Inline Variable(10), Rename Attribute(2)]"
com.ibm.crail.CrailBufferedInputStream,read,36 -> 37,326ef24f7844117cec58b8353cc49d88695358a7 -> 8be85bf57ade83a8b1998c13885c7ee482ce5bfb,68,21,47,13,3.0,1.0,34.0,28.0,10.0,7.0,7.0,7.0,12,"client/src/main/java/com/ibm/crail/CrailBufferedInputStream.java: [Extract Method(69), Move And Inline Method(18), Inline Variable(10), Rename Attribute(2)]"
com.ibm.crail.tools.CrailFsck,blockStatistics,35 -> 46,4a25bfab48e19f146ed0bc69b1deb4542d9fff61 -> fdf6f209d3758a8709b15cd05aed1a06315d1627,21,8,13,11,4.0,6.0,20.0,15.0,14.0,13.0,3.0,2.0,14,"client/src/main/java/com/ibm/crail/tools/CrailFsck.java: [Add Parameter(16), Rename Variable(10), Add Thrown Exception Type(10), Move And Rename Method(5), Move Method(4), Remove Parameter(3), Remove Thrown Exception Type(3), Remove Method Annotation(3), Rename Method(2), Add Method Modifier(2), Change Variable Type(2), Change Method Access Modifier(1)]"
com.ibm.crail.core.DirectoryInputStream,fetchIfEmpty,55 -> 58,17dd586833d81ac31c3b8792fc8def06c2b9716e -> 616b46e5c7215bf089fbcd9ab5eb846a7130f31e,74,38,36,7,2.0,3.0,25.0,24.0,8.0,7.0,5.0,6.0,8,"client/src/main/java/com/ibm/crail/core/DirectoryInputStream.java: [Remove Parameter(6), Add Parameter(3), Move Attribute(2), Rename Variable(2), Remove Thrown Exception Type(2), Remove Method Annotation(1), Move Method(1), Change Method Access Modifier(1), Move And Rename Method(1)]"
