Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
io.github.gravetii.App,class,333 -> 337,a974d8a2856f9e789387984f5a57e3557de971d0 -> 19ef031bd4b4d974e6340215fd2086ddee73fc8c,55,16,39,3,16.0,15.0,2.0,2.0,0.0,0.0,71.0,50.0,0.0,0.0,24.0,17.0,11.0,7.0,main[ println():1 ] ,src/main/java/io/github/gravetii/App.java: [Extract Method(14)]
io.github.gravetii.controller.download.DownloadResultController,class,286 -> 291,8f3b27498b1e0a904498ddf473d3f1a0314bb1e1 -> e4fe57506b45984d8655ae3d3462ec1cddeb19f1,23,5,18,145,11.0,11.0,1.0,1.0,34.0,34.0,116.0,104.0,0.0,0.0,40.0,40.0,18.0,18.0,DownloadResultController[  ] show[ add():1 getItems():1 ] reset[ getItems():1 clear():1 ] initialize[ setCellValueFactory():4 forTableColumn():1 setCellFactory():1 ] ,ui/src/main/java/io/github/gravetii/controller/download/DownloadResultController.java: [Extract Method(70)]
io.github.gravetii.controller.start.ResultListController,class,345 -> 349,83300777f58bbf4888f100f5bd2ceaa3c0d7d04a -> f7705bf600d543ff637ac801de281785830e365b,50,0,50,6,19.0,16.0,1.0,1.0,10.0,3.0,109.0,62.0,0.0,0.0,28.0,28.0,11.0,10.0,ResultListController[  ] show[ add():1 getItems():1 ] reset[ getItems():1 clear():1 ] initialize[ setCellValueFactory():4 download():1 setOnMouseClicked():1 getSource():1 setRowFactory():1 get():1 getClickCount():1 isEmpty():1 getItem():1 getFile():1 ] ,"src/main/java/io/github/gravetii/controller/start/ResultListController.java: [Rename Parameter(6), Rename Attribute(4), Change Attribute Type(4), Extract Class(3), Move Attribute(1), Change Method Access Modifier(1), Move And Rename Method(1)]"
io.github.gravetii.scene.start.FileSearchScene,class,299 -> 300,a503608ed72e14a06189692853fa5566103a4660 -> ad41838e4c4c589a8cbd3a556151200e5ed605e5,10,2,8,8,7.0,6.0,2.0,2.0,1.0,1.0,15.0,11.0,0.0,0.0,2.0,2.0,3.0,2.0,FileSearchScene[  ] build[ getNode():2 setBottom():1 setCenter():1 ] title[  ] ,"ui/src/main/java/io/github/gravetii/scene/start/FileSearchScene.java: [Extract Class(2), Move Attribute(1)]"
io.github.gravetii.gen.Diztl$RegisterRespOrBuilder,interface,244 -> 256,f2af6068bb45eccfeb4c62c514271e3b71d50fbe -> 162d8da781c0987caac0b2603647130360ca47ba,0,0,0,11,3.0,3.0,1.0,1.0,15.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,getNodeOrBuilder[  ] hasNode[  ] getNode[  ] ,"ui/src/main/java/io/github/gravetii/gen/Diztl.java: [Move Method(30), Extract Class(22), Move Attribute(8)]"
io.github.gravetii.client.DiztlClient,class,304 -> 307,9ceade9798e9c97acb32b2856f0e10f148e9bf3c -> aa0021e71b6fc41850ee79cce795d2315156099f,0,0,0,2,18.0,18.0,1.0,1.0,0.0,0.0,35.0,34.0,0.0,0.0,25.0,24.0,5.0,5.0,download[ setSource():1 setMetadata():1 getStub():1 println():1 download():1 build():1 newBuilder():1 ] DiztlClient[ build():1 usePlaintext():1 getMyIP():1 forAddress():1 ] find[ println():2 forEach():2 getStub():1 getResponsesList():1 download():1 getName():1 build():1 find():1 setPattern():1 getNode():1 newBuilder():1 getFilesList():1 ] getMyIP[ getHostAddress():1 close():1 connect():1 getLocalAddress():1 info():1 ] ,"src/main/java/io/github/gravetii/client/DiztlClient.java: [Change Method Access Modifier(1), Move Method(1)]"
io.github.gravetii.scene.start.TabPaneComponent,class,232 -> 234,467ecdf2951d5e1e000af50bdc322c1b36bf7fee -> c3dcd65b7a7504856420fe64badf7d127bde259a,8,3,5,13,6.0,5.0,2.0,2.0,8.0,10.0,20.0,18.0,0.0,0.0,5.0,5.0,5.0,5.0,addTab[ addTab():1 getController():1 ] createController[  ] createNode[ loadNode():1 ] TabPaneComponent[ create():1 ] ,ui/src/main/java/io/github/gravetii/scene/start/TabPaneComponent.java: [Extract Method(6)]
io.github.gravetii.controller.userdir.UserDirsController,class,301 -> 320,6a3832d99abe6559d7e75c213603c80fdc9c0f05 -> 4cfd649f54a8d3b234fbda2acc355ae3839b938f,48,21,27,15,11.0,12.0,1.0,1.0,5.0,3.0,75.0,73.0,0.0,0.0,31.0,29.0,17.0,16.0,getShareDirs[  ] updateDir[ chooseDir():1 displayOutputDir():1 ] removeDir[ size():2 remove():2 getItems():1 getSelectedItems():1 getSelectionModel():1 forEach():1 getText():1 ] displayOutputDir[ setText():1 ] addDir[ contains():1 chooseDir():1 singletonList():1 displayShareDirs():1 ] initialize[ bind():1 disableProperty():1 getShareDirs():1 getSelectionModel():1 isNull():1 displayOutputDir():1 selectedItemProperty():1 getOutputDir():1 displayShareDirs():1 ] UserDirsController[  ] getOutputDir[ getText():1 ] displayShareDirs[ add():2 getItems():1 forEach():1 ] ,"src/main/java/io/github/gravetii/controller/userdir/UserDirsController.java: [Extract Method(20), Replace Attribute With Variable(16), Rename Parameter(4)]"
io.github.gravetii.gen.Diztl$UpdateTrackerReqOrBuilder,interface,244 -> 256,f2af6068bb45eccfeb4c62c514271e3b71d50fbe -> 162d8da781c0987caac0b2603647130360ca47ba,0,0,0,11,3.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,hasTracker[  ] getTracker[  ] getTrackerOrBuilder[  ] ,"ui/src/main/java/io/github/gravetii/gen/Diztl.java: [Move Method(30), Extract Class(22), Move Attribute(8)]"
io.github.gravetii.client.DiztlClient,class,293 -> 304,d150ae33283bf8c5e8b06388d1bebbc2f187c24d -> 9ceade9798e9c97acb32b2856f0e10f148e9bf3c,0,0,0,2,21.0,18.0,1.0,1.0,0.0,0.0,36.0,35.0,0.0,0.0,32.0,25.0,5.0,5.0,download[ setSource():1 setMetadata():1 getStub():1 println():1 download():1 build():1 newBuilder():1 ] DiztlClient[ build():1 usePlaintext():1 getMyIP():1 forAddress():1 ] find[ println():2 forEach():2 getStub():1 getResponsesList():1 download():1 getName():1 build():1 find():1 setPattern():1 getNode():1 newBuilder():1 getFilesList():1 ] getMyIP[ getHostAddress():1 close():1 connect():1 getLocalAddress():1 info():1 ] ,"src/main/java/io/github/gravetii/client/DiztlClient.java: [Change Method Access Modifier(1), Move Method(1)]"
io.github.gravetii.util.Utils,class,319 -> 325,50e39f6298aa8fc1b0d230bd129ac7d38a00079b -> ece18ced5d6ea0d82e35269aad461aa8fb7bce93,21,0,21,8,8.0,1.0,1.0,1.0,15.0,3.0,39.0,22.0,0.0,0.0,23.0,8.0,10.0,6.0,humanReadableByteCount[ log():2 format():1 pow():1 charAt():1 ] ,src/main/java/io/github/gravetii/util/Utils.java: [Move Method(1)]
