Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.github.gravetii.gen.Diztl$UpdateTrackerReq$Builder,mergeFrom,244 -> 256,f2af6068bb45eccfeb4c62c514271e3b71d50fbe -> 162d8da781c0987caac0b2603647130360ca47ba,"['https://github.com/gravetii/diztl/commit/f2af6068bb45eccfeb4c62c514271e3b71d50fbe', 'https://github.com/gravetii/diztl/commit/162d8da781c0987caac0b2603647130360ca47ba']",0,0,0,11,2.0,2.0,9.0,10.0,6.0,5.0,3.0,3.0,6,"ui/src/main/java/io/github/gravetii/gen/Diztl.java: [Move Method(30), Extract Class(22), Move Attribute(8)]"
io.github.gravetii.scene.start.StartScene,show,202 -> 230,33c3719953888147431de505a5987adc4498ac9f -> feefe792ea12285e0a77883524a74fa3912e2a81,"['https://github.com/gravetii/diztl/commit/0449343a93ca6f9734faefa1e0da921b30ec0508', 'https://github.com/gravetii/diztl/commit/33c3719953888147431de505a5987adc4498ac9f', 'https://github.com/gravetii/diztl/commit/feefe792ea12285e0a77883524a74fa3912e2a81', 'https://github.com/gravetii/diztl/commit/bf47206b38102a8434eeb742cb9d82aeebc3ffa8']",16,9,7,17,4.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,2,"ui/src/main/java/io/github/gravetii/scene/start/StartScene.java: [Extract Class(5), Rename Method(4), Move And Inline Method(4), Move Attribute(3), Rename Attribute(2), Change Attribute Type(2)]"
io.github.gravetii.App,stop,329 -> 337,258d5a92a2c8a1020e00d8eefcaa255fa5e022ab -> 19ef031bd4b4d974e6340215fd2086ddee73fc8c,"['https://github.com/gravetii/diztl/commit/258d5a92a2c8a1020e00d8eefcaa255fa5e022ab', 'https://github.com/gravetii/diztl/commit/19ef031bd4b4d974e6340215fd2086ddee73fc8c', 'https://github.com/gravetii/diztl/commit/6b3903b96d52a6a3ed52c750cf092c90abfd51fb', 'https://github.com/gravetii/diztl/commit/22f2ab373c66fbbbce4df9b06cb10126f4474613']",55,16,39,3,1.0,2.0,14.0,4.0,6.0,2.0,3.0,2.0,6,"src/main/java/io/github/gravetii/App.java: [Parameterize Variable(8), Add Parameter(4), Change Method Access Modifier(1), Move Method(1)]"
io.github.gravetii.gen.Diztl$RegisterResp,equals,244 -> 256,f2af6068bb45eccfeb4c62c514271e3b71d50fbe -> 162d8da781c0987caac0b2603647130360ca47ba,"['https://github.com/gravetii/diztl/commit/acf78becfb1ed43a47c2f8daf5a5b591b66043c2', 'https://github.com/gravetii/diztl/commit/f2af6068bb45eccfeb4c62c514271e3b71d50fbe', 'https://github.com/gravetii/diztl/commit/162d8da781c0987caac0b2603647130360ca47ba']",0,0,0,11,2.0,2.0,20.0,16.0,7.0,5.0,7.0,5.0,5,"ui/src/main/java/io/github/gravetii/gen/Diztl.java: [Move Method(30), Extract Class(22), Move Attribute(8)]"
io.github.gravetii.gen.Diztl$UpdateTrackerReq$Builder,clearTracker,244 -> 256,f2af6068bb45eccfeb4c62c514271e3b71d50fbe -> 162d8da781c0987caac0b2603647130360ca47ba,"['https://github.com/gravetii/diztl/commit/f2af6068bb45eccfeb4c62c514271e3b71d50fbe', 'https://github.com/gravetii/diztl/commit/162d8da781c0987caac0b2603647130360ca47ba']",0,0,0,11,1.0,2.0,11.0,5.0,1.0,3.0,2.0,1.0,1,"ui/src/main/java/io/github/gravetii/gen/Diztl.java: [Move Method(30), Extract Class(22), Move Attribute(8)]"
io.github.gravetii.controller.start.ResultListController,initialize,199 -> 291,a7bb9e18efe4c79a96e36d8919c68e181500decf -> e4fe57506b45984d8655ae3d3462ec1cddeb19f1,"['https://github.com/gravetii/diztl/commit/0bc290df03114044946b23519acc53ffefb22655', 'https://github.com/gravetii/diztl/commit/9a6ca25d1ce04f2bfb97f9880f14564d79f241f1', 'https://github.com/gravetii/diztl/commit/a7bb9e18efe4c79a96e36d8919c68e181500decf', 'https://github.com/gravetii/diztl/commit/e4fe57506b45984d8655ae3d3462ec1cddeb19f1', 'https://github.com/gravetii/diztl/commit/83300777f58bbf4888f100f5bd2ceaa3c0d7d04a']",61,10,51,145,4.0,4.0,21.0,17.0,9.0,9.0,3.0,3.0,10,ui/src/main/java/io/github/gravetii/controller/start/ResultListController.java: [Extract Method(6)]
io.github.gravetii.scene.start.StartScene,reset,202 -> 230,33c3719953888147431de505a5987adc4498ac9f -> feefe792ea12285e0a77883524a74fa3912e2a81,"['https://github.com/gravetii/diztl/commit/0449343a93ca6f9734faefa1e0da921b30ec0508', 'https://github.com/gravetii/diztl/commit/33c3719953888147431de505a5987adc4498ac9f', 'https://github.com/gravetii/diztl/commit/feefe792ea12285e0a77883524a74fa3912e2a81']",16,9,7,17,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,2,"ui/src/main/java/io/github/gravetii/scene/start/StartScene.java: [Extract Class(5), Rename Method(4), Move And Inline Method(4), Move Attribute(3), Rename Attribute(2), Change Attribute Type(2)]"
io.github.gravetii.controller.userdir.UserDirsController,ok,301 -> 320,6a3832d99abe6559d7e75c213603c80fdc9c0f05 -> 4cfd649f54a8d3b234fbda2acc355ae3839b938f,"['https://github.com/gravetii/diztl/commit/a3d135bd64b4afe131f2b25140ba6f438f80ad51', 'https://github.com/gravetii/diztl/commit/82c59acc49b699c1e1b9c5ad3583dd80cddb4df8', 'https://github.com/gravetii/diztl/commit/3c254acb166870c1c277293ab2233ab4b5176886', 'https://github.com/gravetii/diztl/commit/e4fe57506b45984d8655ae3d3462ec1cddeb19f1', 'https://github.com/gravetii/diztl/commit/6a3832d99abe6559d7e75c213603c80fdc9c0f05', 'https://github.com/gravetii/diztl/commit/4cfd649f54a8d3b234fbda2acc355ae3839b938f', 'https://github.com/gravetii/diztl/commit/0c66c5aa2868ad96f1f91051cbf955b1acfedc76']",48,21,27,15,3.0,4.0,6.0,4.0,6.0,2.0,3.0,2.0,8,"src/main/java/io/github/gravetii/controller/userdir/UserDirsController.java: [Extract Method(20), Replace Attribute With Variable(16), Rename Parameter(4)]"
io.github.gravetii.gen.Diztl$RegisterResp,writeTo,244 -> 256,f2af6068bb45eccfeb4c62c514271e3b71d50fbe -> 162d8da781c0987caac0b2603647130360ca47ba,"['https://github.com/gravetii/diztl/commit/acf78becfb1ed43a47c2f8daf5a5b591b66043c2', 'https://github.com/gravetii/diztl/commit/f2af6068bb45eccfeb4c62c514271e3b71d50fbe', 'https://github.com/gravetii/diztl/commit/162d8da781c0987caac0b2603647130360ca47ba']",0,0,0,11,2.0,2.0,9.0,6.0,4.0,3.0,3.0,2.0,3,"ui/src/main/java/io/github/gravetii/gen/Diztl.java: [Move Method(30), Extract Class(22), Move Attribute(8)]"
io.github.gravetii.controller.download.DownloadResultController,addClearMenuItem,286 -> 291,8f3b27498b1e0a904498ddf473d3f1a0314bb1e1 -> e4fe57506b45984d8655ae3d3462ec1cddeb19f1,"['https://github.com/gravetii/diztl/commit/8f3b27498b1e0a904498ddf473d3f1a0314bb1e1', 'https://github.com/gravetii/diztl/commit/e4fe57506b45984d8655ae3d3462ec1cddeb19f1']",23,5,18,145,1.0,1.0,9.0,6.0,7.0,7.0,1.0,1.0,7,ui/src/main/java/io/github/gravetii/controller/download/DownloadResultController.java: [Extract Method(70)]
