Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
dslabs.framework.testing.search.Search,class,37 -> 52,aa87cecaa5ffe98a7dcc7ed17855ae5ec1b5d9b9 -> 8fdee6031e3070a5fa971cd7aecc5176a34d5604,4,2,2,2,10.0,10.0,1.0,1.0,32.0,32.0,195.0,188.0,2.0,2.0,44.0,42.0,51.0,49.0,bfs[ run():1 ] ,"framework/tst/dslabs/framework/testing/search/Search.java: [Extract And Move Method(32), Add Parameter Annotation(5), Move Class(2), Change Class Access Modifier(2), Remove Class Modifier(2), Change Attribute Type(2), Add Attribute Modifier(2), Change Method Access Modifier(2), Move Method(2)]"
dslabs.paxos.PaxosTest,class,73 -> 88,6c42fefab63e1ec07dc3c249fe2a82457aad024e -> 633785340430c00f008569cf6cf169fcbd37cbb2,242,115,127,29,35.0,34.0,2.0,2.0,543.0,509.0,589.0,587.0,0.0,0.0,128.0,129.0,118.0,121.0,test06ProgressAfterHeal[ client():3 server():2 addClient():2 getResult():2 maxTimeSecs():2 start():1 resetNetwork():1 run():1 assertEquals():1 putOk():1 put():1 setupStates():1 sendCommandAndCheck():1 sendCommand():1 partition():1 get():1 ] test17ConstantRepartition[ add():4 sleep():4 start():2 reconnect():2 currentTimeMillis():2 client():2 shutdownStartedThreads():1 addClientWorker():1 addInvariant():1 interrupted():1 setupStates():1 assertRunInvariantsHold():1 serverAddresses():1 partition():1 stop():1 addAll():1 get():1 shuffle():1 assertMaxFinishTimeLessThan():1 ] test12BasicUnreliable[ networkDeliverRate():1 test02Basic():1 ] test16ToleratesHoles[ server():3 sleep():3 assertRunInvariantsHold():3 currentTimeMillis():2 client():2 add():1 addClientWorker():1 newArrayList():1 addInvariant():1 start():1 setupStates():1 partition():1 reconnect():1 stop():1 assertMaxFinishTimeLessThan():1 ] test07ServerSwitchesPartitions[ server():6 client():4 addClient():2 start():2 sendCommandAndCheck():2 partition():2 resetNetwork():1 putOk():1 put():1 setupStates():1 stop():1 get():1 getResult():1 ] test21TwoClientsSearch[ server():14 client():9 bfs():7 partition():7 resetNetwork():6 addInvariant():3 assertNotEndConditionAndContinue():3 clearInvariants():2 addClientWorker():2 assertEndConditionAndContinue():2 build():2 appendResult():2 builder():2 results():2 commands():2 append():2 assertEndCondition():1 invariantViolatingState():1 addPrune():1 setupStates():1 negate():1 maxTimeSecs():1 deliverTimeouts():1 assertNotEndCondition():1 ] setupBuilder[ clone():2 serverSupplier():1 clientSupplier():1 ] test18ConstantRepartitionUnreliable[ networkDeliverRate():1 test17ConstantRepartition():1 ] setupTest[ builder():1 workloadSupplier():1 emptyWorkload():1 ] setupStates[ servers():2 build():2 addServer():2 setupBuilder():1 ] test08SynchronousClients[ addCommand():2 waitFor():2 addClientWorker():1 start():1 addInvariant():1 commandStrings():1 setupStates():1 assertRunInvariantsHold():1 stop():1 build():1 builder():1 client():1 workloadSupplier():1 ] servers[ server():1 ] test02Basic[ setupStates():1 assertRunInvariantsHold():1 addClientWorker():1 addInvariant():1 client():1 run():1 ] test14SynchronousClientsUnreliable[ networkDeliverRate():1 test08SynchronousClients():1 ] builder[ builder():1 workloadSupplier():1 setupBuilder():1 emptyWorkload():1 ] nodesSize[ nodes():1 size():1 ] test09ConcurrentAppends[ addInvariant():2 setupStates():1 assertRunInvariantsHold():1 addClientWorker():1 client():1 appendSameKeyWorkload():1 run():1 ] test19basicSearch[ bfs():4 addInvariant():3 invariantViolatingState():3 server():2 clearInvariants():2 client():2 maxTimeSecs():2 addClientWorker():1 assertEndCondition():1 resetNetwork():1 addPrune():1 assertNotEndConditionAndContinue():1 assertEndConditionAndContinue():1 setupStates():1 partition():1 negate():1 deliverTimeouts():1 assertNotEndCondition():1 ] test03NoPartition[ sendCommandAndCheck():3 addClient():3 client():3 putOk():2 put():2 setupStates():1 get():1 getResult():1 start():1 ] test11ClearsMemory[ readableSize():3 println():3 assertTrue():3 nodesSize():3 server():2 start():2 putOk():2 put():2 sendCommandAndCheck():2 stop():2 client():2 pow():2 addClient():1 randomAscii():1 resetNetwork():1 sleep():1 setupStates():1 partition():1 ] test05NoProgressInMinority[ server():2 client():2 setupStates():1 sendCommand():1 waitForClients():1 partition():1 addClient():1 assertFalse():1 hasResult():1 run():1 maxTimeSecs():1 put():1 ] test20NoProgressInMinoritySearch[ server():2 client():2 bfs():2 setupStates():1 addClientWorker():1 partition():1 addInvariant():1 maxTimeSecs():1 deliverTimeouts():1 assertNotEndConditionAndContinue():1 assertNotEndCondition():1 ] test15ConcurrentAppendsUnreliable[ networkDeliverRate():1 test09ConcurrentAppends():1 ] test10MessageCount[ setupStates():1 fail():1 addClientWorker():1 serverAddresses():1 client():1 appendSameKeyWorkload():1 run():1 numMessagesSentTo():1 network():1 ] test01ThrowsException[ sleep():1 setupStates():1 currentThread():1 sendCommand():1 addClient():1 get():1 getResult():1 start():1 interrupt():1 client():1 ] test04ProgressInMajority[ server():3 client():2 setupStates():1 sendCommandAndCheck():1 partition():1 addClient():1 start():1 putOk():1 put():1 ] test13SimplePutGetUnreliable[ sendCommandAndCheck():2 addClient():2 client():2 networkDeliverRate():1 setupStates():1 get():1 getResult():1 start():1 putOk():1 put():1 ] ,"labs/lab3-paxos/tst/dslabs/paxos/PaxosTest.java: [Extract Method(83), Inline Method(32), Change Variable Type(20), Rename Variable(20)]"
dslabs.framework.testing.TestSettings,class,88 -> 217,633785340430c00f008569cf6cf169fcbd37cbb2 -> 38d684f5018b5ecbcf8bd3dee96991006427f1db,0,0,0,10,10.0,11.0,1.0,1.0,218.0,177.0,147.0,137.0,0.0,0.0,31.0,30.0,41.0,37.0,clearInvariants[ clear():1 ] timeUp[ currentTimeMillis():1 timeLimited():1 ] addInvariant[ add():1 ] shouldDeliver[ get():3 rootAddress():2 equals():1 from():1 to():1 ] clear[ clearPrunes():1 clearInvariants():1 singleThreaded():1 resetNetwork():1 deliverTimeouts():1 timeLimited():1 ] resetNetwork[ reconnect():1 ] addPrune[ add():1 ] receiverActive[ rootAddress():1 put():1 ] whichInvariantViolated[ test():1 ] invariantsHold[ test():1 ] clearPrunes[ clear():1 ] nodeActive[ senderActive():1 receiverActive():1 ] invariantViolated[ invariantsHold():1 ] partition[ rootAddress():4 partition():1 equals():1 networkActive():1 linkActive():1 asList():1 ] reconnect[ clear():3 ] senderActive[ rootAddress():1 put():1 ] multiThreaded[ singleThreaded():1 ] shouldPrune[ test():1 ] linkActive[ rootAddress():2 put():1 ] timeLimited[ timeLimited():1 ] ,"framework/tst/dslabs/framework/testing/TestSettings.java: [Change Return Type(56), Remove Method Modifier(4), Add Class Modifier(2), Change Parameter Type(2), Move Attribute(1), Move Method(1)]"
dslabs.framework.testing.search.Search,class,115 -> 117,5ab85dbb6e49d6a69a54cc966bf01f1609e72cc9 -> dcad33e9f0453894d07bc8c43bb5d9f030785b75,0,0,0,1,14.0,13.0,1.0,1.0,44.0,32.0,243.0,234.0,2.0,2.0,64.0,62.0,66.0,62.0,bfs[ run():1 ] ,"framework/tst/dslabs/framework/testing/search/Search.java: [Extract And Move Method(32), Add Parameter Annotation(5), Move Class(2), Change Class Access Modifier(2), Remove Class Modifier(2), Change Attribute Type(2), Add Attribute Modifier(2), Change Method Access Modifier(2), Move Method(2)]"
dslabs.framework.testing.junit.DSLabsTestListener,class,243 -> 244,e5d6c7b8083d96671b51f43a326502508c8e8a03 -> cba45f6ee2720c60775a3d2312c52f9798c22323,16,0,16,2,13.0,13.0,2.0,2.0,35.0,16.0,104.0,89.0,1.0,1.0,35.0,27.0,22.0,19.0,isInCategory[ contains():1 getAnnotation():1 value():1 asList():1 ] DSLabsTestListener[  ] testFinished[ print():2 println():1 currentTimeMillis():1 totalPoints():1 elapsedTimeAsString():1 ] totalPoints[ getChildren():1 getAnnotation():1 totalPoints():1 value():1 ] testAssumptionFailure[ println():2 getDescription():1 testName():1 ] testStarted[ println():2 totalPoints():2 currentTimeMillis():1 testName():1 ] testFailure[ getException():2 isInCategory():1 startVisualization():1 println():1 pleaseStop():1 getDescription():1 getStackTraceAsString():1 preventExitOnFailure():1 ] testIgnored[  ] elapsedTimeAsString[ format():1 getInstance():1 ] testRunFinished[ println():8 getRunTime():1 getRunCount():1 format():1 wasSuccessful():1 elapsedTimeAsString():1 ] testName[ isInCategory():3 getAnnotation():1 getDisplayName():1 value():1 ] ,"framework/tst/dslabs/framework/testing/junit/DSLabsTestListener.java: [Extract Method(8), Change Attribute Access Modifier(4)]"
dslabs.framework.testing.junit.BaseJUnitTest,class,6 -> 21,b16dc207150654acd4b3a64dee5fda88d8ef6d4e -> 591b7355257e0eae134766e05bba64933b81f6a0,0,0,0,10,23.0,23.0,1.0,1.0,145.0,145.0,210.0,196.0,6.0,6.0,53.0,49.0,48.0,44.0,shutdownStartedThreads[ interrupt():1 join():1 ] server[  ] assertEndCondition[ append():7 equals():4 otherSearchFailure():3 endCondition():2 negate():2 assertEndCondition():1 assertSearchTestsPassed():1 invariantViolated():1 size():1 invariantsTested():1 get():1 name():1 toString():1 ] assertNotEndConditionAndContinue[ assertNotEndCondition():1 ] readableSize[ log10():2 format():1 pow():1 ] setupTest[  ] assertSearchTestsPassed[ fail():1 ] assertEndConditionAndContinue[ assertEndCondition():1 ] assertRunInvariantsHold[ fail():2 errorMessage():1 invariantsHold():1 whichInvariantViolated():1 ] otherSearchFailure[ println():2 fail():1 ] sendCommandAndCheck[ sendCommand():1 getResult():1 assertEquals():1 ] cleanupTest[ sleep():1 shutdownStartedThreads():1 currentThread():1 stop():1 interrupt():1 gc():1 ] invariantViolated[ append():4 invariantViolated():2 toString():2 setDaemon():1 printTrace():1 startVisualization():1 printStackTrace():1 errorMessage():1 start():1 humanReadableTraceEndState():1 invariantViolatingState():1 run():1 ] client[  ] assertMaxFinishTimeLessThan[ add():1 addLast():1 fail():1 println():1 finishTimes():1 max():1 values():1 addFirst():1 ] assertNotEndCondition[ equals():3 otherSearchFailure():2 invariantViolated():1 endCondition():1 assertNotEndCondition():1 assertSearchTestsPassed():1 ] ,"framework/tst/dslabs/framework/testing/junit/BaseJUnitTest.java: [Change Method Access Modifier(1), Pull Up Method(1)]"
dslabs.shardmaster.ShardMasterTest,class,163 -> 164,53fb41a064f90df8a43ef04b82067f570dd99e90 -> a242f8a83d0d6936eefd488e3447985358053a67,0,0,0,1,26.0,26.0,2.0,1.0,111.0,111.0,219.0,219.0,0.0,0.0,55.0,55.0,39.0,39.0,test05BasicJoinLeave[ checkConfig():5 getLatest():5 execute():5 checkShardMovement():4 group():3 ] test08Determinism[ execute():6 getConfig():6 checkConfig():5 group():4 get():2 getRight():1 size():1 assertTrue():1 groupInfo():1 sort():1 ] test01commandsReturnOk[ assertEquals():4 execute():4 group():2 getLatest():1 getRight():1 stream():1 findAny():1 get():1 groupInfo():1 orElseThrow():1 ] execute[ clone():1 execute():1 ] test04InitialConfigCorrect[ group():2 getLatest():1 fullShardRange():1 assertEquals():1 execute():1 put():1 ] getConfig[ configNum():8 assertTrue():3 assertEquals():3 execute():2 fail():1 containsKey():1 get():1 put():1 ] test02initialQueryReturnsNoConfig[ assertEquals():1 execute():1 ] checkConfig[ groupInfo():7 assertEquals():3 getRight():3 keySet():3 values():2 orElse():2 size():2 stream():2 assertTrue():2 get():2 map():2 add():1 max():1 assertFalse():1 asList():1 checkConfig():1 contains():1 min():1 fullShardRange():1 group():1 getLeft():1 ] getLatest[ getConfig():1 ] checkShardMovement[ groupInfo():13 size():6 assertEquals():5 keySet():5 getRight():4 get():4 stream():3 configNum():2 orElseThrow():2 filter():2 contains():2 findAny():2 containsKey():1 sum():1 removeAll():1 abs():1 assertTrue():1 checkShardMovement():1 mapToInt():1 ] fullShardRange[ toSet():1 boxed():1 rangeClosed():1 collect():1 ] test07MoveShards[ execute():4 getLatest():3 size():3 group():3 checkConfig():2 getRight():2 get():2 groupInfo():2 assertTrue():1 assertEquals():1 remove():1 ] test03CommandsReturnError[ execute():8 assertEquals():6 group():3 getLatest():1 getRight():1 stream():1 findAny():1 get():1 groupInfo():1 orElseThrow():1 ] setup[  ] group[ toSet():1 rangeClosed():1 collect():1 mapToObj():1 ] test06HistoricalQueries[ test05BasicJoinLeave():1 getConfig():1 ] ,"labs/lab4-shardedstore/tst/dslabs/shardmaster/ShardMasterTest.java: [Add Method Annotation(24), Remove Method Annotation(24), Add Class Annotation(6), Remove Class Annotation(6), Extract Superclass(2)]"
dslabs.framework.testing.junit.DSLabsTestListener,class,169 -> 240,e5b1a741632cc4da43c822f5e686b210c5985403 -> bd067edd819c0b637130fc3321626a1a1b336d18,23,5,18,4,15.0,13.0,2.0,2.0,52.0,42.0,117.0,110.0,1.0,1.0,40.0,38.0,27.0,24.0,isInCategory[ contains():1 getAnnotation():1 value():1 asList():1 ] DSLabsTestListener[  ] testFinished[ print():2 println():1 currentTimeMillis():1 totalPoints():1 elapsedTimeAsString():1 ] totalPoints[ getChildren():1 getAnnotation():1 totalPoints():1 value():1 ] testAssumptionFailure[ println():2 getDescription():1 testName():1 ] testStarted[ println():2 totalPoints():2 currentTimeMillis():1 testName():1 ] testFailure[ getException():2 isInCategory():1 startVisualization():1 println():1 pleaseStop():1 getDescription():1 getStackTraceAsString():1 preventExitOnFailure():1 ] testIgnored[  ] elapsedTimeAsString[ format():1 getInstance():1 ] testRunFinished[ println():8 getRunTime():1 getRunCount():1 format():1 wasSuccessful():1 elapsedTimeAsString():1 ] testName[ isInCategory():3 getAnnotation():1 getDisplayName():1 value():1 ] ,"framework/tst/dslabs/framework/testing/junit/DSLabsTestListener.java: [Extract Method(8), Change Attribute Access Modifier(4)]"
dslabs.primarybackup.ViewServerTest,class,163 -> 164,53fb41a064f90df8a43ef04b82067f570dd99e90 -> a242f8a83d0d6936eefd488e3447985358053a67,0,0,0,1,20.0,21.0,2.0,1.0,108.0,108.0,173.0,173.0,0.0,0.0,37.0,37.0,31.0,31.0,sendPing[ sendMessage():1 ] test02firstPrimary[ server():1 setupView():1 ] setupView[ sendPing():5 check():2 setupView():1 ] test01StartupViewCorrect[ check():1 ] test08WaitForPrimaryAck[ server():10 sendPing():4 check():3 timeoutFully():1 ] test09DeadBackupRemoved[ server():4 setupView():1 timeoutFully():1 check():1 ] sendMessage[ handleMessage():1 ] check[ assertEquals():3 backup():1 viewNum():1 getView():1 primary():1 ] test04BackupPingsFirst[ server():5 sendPing():2 setupView():1 check():1 ] test06OldServerBecomesBackup[ server():8 sendPing():2 check():2 setupView():1 timeoutFully():1 ] timeout[ timeout():2 assertTrue():1 assertFalse():1 onTimeout():1 isEmpty():1 to():1 remove():1 ] test07IdleThirdServerBecomesBackup[ server():6 setupView():1 timeoutFully():1 check():1 ] test03FirstBackup[ server():2 setupView():1 ] setup[ add():2 getRight():2 getLeft():2 init():1 setAccessible():1 getMiddle():1 getDeclaredMethod():1 invoke():1 ] timeoutFully[ sendPing():1 viewNum():1 getView():1 timeout():1 ] test10UninitializedNotPromoted[ server():9 timeoutFully():2 check():2 setupView():1 ] test05BackupTakesOver[ server():9 check():3 sendPing():2 timeout():2 setupView():1 ] getView[ assertEquals():2 message():2 view():1 assertTrue():1 handleMessage():1 assertFalse():1 isEmpty():1 from():1 to():1 getLast():1 ] ,"labs/lab2-primarybackup/tst/dslabs/primarybackup/ViewServerTest.java: [Add Method Annotation(36), Remove Method Annotation(36), Add Class Annotation(6), Remove Class Annotation(6), Extract Superclass(2)]"
dslabs.framework.testing.visualization.DebuggerWindow,class,279 -> 281,e07e49388a5ce5b9484d5c88d51a60e505dcf95b -> 1da27bb85c6eca5e9ee24daa2f4cb408e6ad1a85,29,13,16,2,29.0,29.0,6.0,6.0,0.0,0.0,410.0,409.0,0.0,0.0,147.0,144.0,51.0,49.0,layoutNodes[ add():6 get():3 setWeight():2 isSelected():2 toString():2 setRowLayout():1 layoutByWeight():1 values():1 count():1 displayNode():1 setFloatingDividers():1 remove():1 filter():1 setLayoutMode():1 removeAll():1 size():1 stream():1 setModel():1 setRemoveDividers():1 getMultiSplitLayout():1 setChildren():1 ] DebuggerWindow[ add():18 put():8 addActionListener():7 getKeyStroke():4 getRootPane():3 addPredicatePaneToSidebar():3 newArrayList():3 fill():3 addAll():3 comparing():2 sort():2 getActionMap():2 getState():2 getPreferredSize():2 setState():2 setJMenuBar():1 getInputMap():1 setupLightTheme():1 showEvent():1 setToolTipText():1 setSelected():1 clientAddresses():1 convert():1 setLayout():1 setupDarkTheme():1 setPreferredSize():1 serverAddresses():1 min():1 layoutNodes():1 setSize():1 addSeparator():1 prunes():1 toArray():1 setDefaultCloseOperation():1 setupThemeOnStartup():1 goals():1 setVisible():1 pack():1 clientWorkerAddresses():1 setResizeWeight():1 reset():1 dispose():1 toString():1 setDividerPainter():1 setMinimumSize():1 invariants():1 updatePredicatePanes():1 setLocationRelativeTo():1 ] runningInWSL[ contains():1 of():1 toLowerCase():1 readString():1 ] addPredicatePaneToSidebar[ add():3 getLayout():1 setGap():1 of():1 isEmpty():1 format():1 name():1 getContentPane():1 ] reset[ reset():2 setState():1 convert():1 ] setState[ updateState():1 showEvent():1 addresses():1 containsKey():1 get():1 update():1 updatePredicatePanes():1 ] deliverEvent[ setState():1 step():1 ] updatePredicatePanes[ setIcon():6 makeIcon():6 setToolTipText():6 state():6 getKey():3 getValue():3 test():3 getColor():3 detail():3 desaturate():1 ] ,framework/tst/dslabs/framework/testing/visualization/DebuggerWindow.java: [Extract Method(20)]
