Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.netflix.genie.server.services.impl.jpa.CommandConfigServiceJPAImpl,createCommand,326 -> 327,b583c51c498e3ee06e6bcc146fb2055607cb62db -> 73a50c7ae6758a493e0ea6ec23b42993783dd0dd,"['https://github.com/Netflix/genie/commit/b8bb92a63047f0e25a71260427f74a938def9172', 'https://github.com/Netflix/genie/commit/e7c6caded480e6b4d6075bc50b6d26d75d06d536', 'https://github.com/Netflix/genie/commit/bff516fa32d130585ee04e90d3033dcd84de0a36', 'https://github.com/Netflix/genie/commit/15727d8e3377a962814a8b8c44d7fff8b4fd65de', 'https://github.com/Netflix/genie/commit/8071b319a78967c8138bddf87ac6c6171f9f4b49', 'https://github.com/Netflix/genie/commit/73393bd08228a4e359bd609f77ea2628d4478397', 'https://github.com/Netflix/genie/commit/20e96733ffe39c514bc658dfe631125131d8c572', 'https://github.com/Netflix/genie/commit/16916e63c4c5d85fdba008df3d407b1ae4a31c42', 'https://github.com/Netflix/genie/commit/61a38c43f9c3c0d6ea174ceda72925aeb1da03d3', 'https://github.com/Netflix/genie/commit/cd0585f83bcd7ce885e33b5f8f8208e2b14ab613', 'https://github.com/Netflix/genie/commit/dec092c9e0e19ac80b0d44f782812dc686e5b145', 'https://github.com/Netflix/genie/commit/b583c51c498e3ee06e6bcc146fb2055607cb62db', 'https://github.com/Netflix/genie/commit/73a50c7ae6758a493e0ea6ec23b42993783dd0dd', 'https://github.com/Netflix/genie/commit/0a9297dc5beb15c9f61f3f4def99a922b436acd7', 'https://github.com/Netflix/genie/commit/b7481e0d0cbc4c7bccebba78b6101d2d6572d714', 'https://github.com/Netflix/genie/commit/4858321388fee3ba0b3bca77383bef53efb2a61f', 'https://github.com/Netflix/genie/commit/0b31c45e751c14038306945966d40952bf1ea180', 'https://github.com/Netflix/genie/commit/49d8e632debdc47d22cf3a6793e3342ddf533365', 'https://github.com/Netflix/genie/commit/31c70b27467d891d41164b494935cadbc04039bc', 'https://github.com/Netflix/genie/commit/57bba05f314866e4597ebbffc1f9e9325c276dbf', 'https://github.com/Netflix/genie/commit/cde77a889ba0a92de277ec138a289d7d1ca4988c', 'https://github.com/Netflix/genie/commit/5c3a5a04916f0182ee825916a9fa59914343f6bc']",0,0,0,3,6.0,3.0,24.0,11.0,17.0,10.0,4.0,3.0,23,"genie-server/src/main/java/com/netflix/genie/server/services/impl/jpa/CommandConfigServiceJPAImpl.java: [Extract Method(48), Rename Method(10), Change Return Type(4), Remove Parameter(3)]"
com.netflix.genie.common.model.Cluster,getCmdIds,254 -> 266,1efbf87f882f82061825aa6829b38d50df52f8ad -> dbfa9a386196ec90a0b32dd68577bb1fcb66ee3d,"['https://github.com/Netflix/genie/commit/1efbf87f882f82061825aa6829b38d50df52f8ad', 'https://github.com/Netflix/genie/commit/dbfa9a386196ec90a0b32dd68577bb1fcb66ee3d']",0,0,0,73,2.0,1.0,9.0,7.0,2.0,3.0,3.0,2.0,2,"genie-common/src/main/java/com/netflix/genie/common/model/ClusterConfig.java: [Modify Attribute Annotation(2), Change Return Type(2), Change Parameter Type(2), Change Variable Type(2), Add Parameter Modifier(2), Pull Up Method(2), Rename Class(1), Change Attribute Type(1), Extract Superclass(1), Pull Up Attribute(1)] genie-common/src/main/java/com/netflix/genie/common/model/Cluster.java: [Modify Attribute Annotation(2), Change Return Type(2), Change Parameter Type(2), Change Variable Type(2), Rename Class(1), Change Attribute Type(1), Extract Superclass(1)]"
com.netflix.genie.server.services.impl.jpa.JobServiceJPAImpl,getJob,400 -> 450,16f17cb7d4d382b27ae010ed3c9b3fcb14ce31d3 -> 17bc5529c6a6997af0b7dafe27c6846690f53048,"['https://github.com/Netflix/genie/commit/16f17cb7d4d382b27ae010ed3c9b3fcb14ce31d3', 'https://github.com/Netflix/genie/commit/17bc5529c6a6997af0b7dafe27c6846690f53048', 'https://github.com/Netflix/genie/commit/57bba05f314866e4597ebbffc1f9e9325c276dbf', 'https://github.com/Netflix/genie/commit/cde77a889ba0a92de277ec138a289d7d1ca4988c', 'https://github.com/Netflix/genie/commit/5c3a5a04916f0182ee825916a9fa59914343f6bc']",0,0,0,9,3.0,4.0,13.0,11.0,3.0,3.0,3.0,2.0,3,"genie-server/src/main/java/com/netflix/genie/server/services/impl/jpa/JobServiceJPAImpl.java: [Extract Class(17), Move Method(15), Add Parameter Modifier(2), Move Attribute(1), Move And Rename Method(1)]"
com.netflix.genie.web.services.impl.JobResolverServiceImpl,resolveArchiveLocation,2855 -> 2886,ef8de1d9207dc347288cb491cd33fe5c8adc7886 -> 489448d8fe972ed115dff961378ebba3c3000e36,"['https://github.com/Netflix/genie/commit/ef8de1d9207dc347288cb491cd33fe5c8adc7886', 'https://github.com/Netflix/genie/commit/489448d8fe972ed115dff961378ebba3c3000e36']",0,0,0,26,1.0,1.0,6.0,3.0,8.0,2.0,3.0,1.0,8,"genie-web/src/main/java/com/netflix/genie/web/services/impl/JobResolverServiceImpl.java: [Localize Parameter(44), Merge Parameter(20), Extract Method(17), Change Return Type(16), Extract Variable(10), Add Method Annotation(9), Remove Parameter(9), Merge Variable(5), Rename Method(4), Rename Variable(4), Merge Method(3), Inline Variable(3), Add Parameter(3)]"
com.netflix.genie.server.services.impl.jpa.TestApplicationConfigServiceJPAImpl,testAddConfigsToApplicationNoApp,782 -> 821,cde77a889ba0a92de277ec138a289d7d1ca4988c -> 5c3a5a04916f0182ee825916a9fa59914343f6bc,"['https://github.com/Netflix/genie/commit/cd7b6b2542538886845c453d76a7fc60a4cb8ab1', 'https://github.com/Netflix/genie/commit/57bba05f314866e4597ebbffc1f9e9325c276dbf', 'https://github.com/Netflix/genie/commit/cde77a889ba0a92de277ec138a289d7d1ca4988c', 'https://github.com/Netflix/genie/commit/5c3a5a04916f0182ee825916a9fa59914343f6bc']",0,0,0,2,3.0,3.0,5.0,5.0,7.0,4.0,1.0,1.0,3,"genie-server/src/test/java/com/netflix/genie/server/services/impl/jpa/TestApplicationConfigServiceJPAImpl.java: [Extract Class(76), Extract Variable(75), Add Method Annotation(66), Move Method(61), Inline Variable(15), Move Attribute(13), Remove Class Annotation(3), Remove Attribute Annotation(3), Change Attribute Type(2)]"
com.netflix.genie.server.services.impl.jpa.TestCommandConfigServiceJPAImpl,testUpdateTagsForCommandNoCommand,782 -> 821,cde77a889ba0a92de277ec138a289d7d1ca4988c -> 5c3a5a04916f0182ee825916a9fa59914343f6bc,"['https://github.com/Netflix/genie/commit/0b31c45e751c14038306945966d40952bf1ea180', 'https://github.com/Netflix/genie/commit/57bba05f314866e4597ebbffc1f9e9325c276dbf', 'https://github.com/Netflix/genie/commit/cde77a889ba0a92de277ec138a289d7d1ca4988c', 'https://github.com/Netflix/genie/commit/5c3a5a04916f0182ee825916a9fa59914343f6bc']",0,0,0,2,3.0,3.0,5.0,5.0,6.0,4.0,1.0,1.0,3,"genie-server/src/test/java/com/netflix/genie/server/services/impl/jpa/TestCommandConfigServiceJPAImpl.java: [Extract Class(75), Extract Variable(65), Move Method(50), Add Method Annotation(48), Inline Variable(20), Move Attribute(19), Change Variable Type(18), Rename Variable(16), Rename Method(10), Modify Method Annotation(8), Move And Rename Method(7), Remove Class Annotation(3), Remove Attribute Annotation(3), Change Attribute Type(2)]"
com.netflix.genie.web.configs.GenieApiAutoConfigurationUnitTests,canGetGenieResourceHttpRequestHandler,2147 -> 2301,1cf3c6ee8a6b2a4f19511193b66baf32a9ae3dcf -> 1bcff06dbac9095025613eda4f3f503063985301,"['https://github.com/Netflix/genie/commit/1cf3c6ee8a6b2a4f19511193b66baf32a9ae3dcf', 'https://github.com/Netflix/genie/commit/1bcff06dbac9095025613eda4f3f503063985301']",0,0,0,16,6.0,5.0,7.0,7.0,5.0,5.0,1.0,1.0,5,"genie-web/src/test/java/com/netflix/genie/web/configs/GenieApiAutoConfigurationUnitTests.java: [Move Method(11), Inline Variable(2), Merge Class(1)]"
com.netflix.genie.server.services.impl.jpa.CommandConfigServiceJPAImpl,removeApplicationForCommand,326 -> 327,b583c51c498e3ee06e6bcc146fb2055607cb62db -> 73a50c7ae6758a493e0ea6ec23b42993783dd0dd,"['https://github.com/Netflix/genie/commit/b8bb92a63047f0e25a71260427f74a938def9172', 'https://github.com/Netflix/genie/commit/e7c6caded480e6b4d6075bc50b6d26d75d06d536', 'https://github.com/Netflix/genie/commit/bff516fa32d130585ee04e90d3033dcd84de0a36', 'https://github.com/Netflix/genie/commit/15727d8e3377a962814a8b8c44d7fff8b4fd65de', 'https://github.com/Netflix/genie/commit/8071b319a78967c8138bddf87ac6c6171f9f4b49', 'https://github.com/Netflix/genie/commit/73393bd08228a4e359bd609f77ea2628d4478397', 'https://github.com/Netflix/genie/commit/20e96733ffe39c514bc658dfe631125131d8c572', 'https://github.com/Netflix/genie/commit/16916e63c4c5d85fdba008df3d407b1ae4a31c42', 'https://github.com/Netflix/genie/commit/61a38c43f9c3c0d6ea174ceda72925aeb1da03d3', 'https://github.com/Netflix/genie/commit/cd0585f83bcd7ce885e33b5f8f8208e2b14ab613', 'https://github.com/Netflix/genie/commit/dec092c9e0e19ac80b0d44f782812dc686e5b145', 'https://github.com/Netflix/genie/commit/b583c51c498e3ee06e6bcc146fb2055607cb62db', 'https://github.com/Netflix/genie/commit/73a50c7ae6758a493e0ea6ec23b42993783dd0dd']",0,0,0,3,6.0,3.0,32.0,19.0,13.0,4.0,6.0,5.0,13,"genie-server/src/main/java/com/netflix/genie/server/services/impl/jpa/CommandConfigServiceJPAImpl.java: [Extract Method(48), Rename Method(10), Change Return Type(4), Remove Parameter(3)]"
com.netflix.genie.server.services.impl.jpa.TestClusterConfigServiceJPAImpl,testRemoveCommandForClusterNoCommand,782 -> 821,cde77a889ba0a92de277ec138a289d7d1ca4988c -> 5c3a5a04916f0182ee825916a9fa59914343f6bc,"['https://github.com/Netflix/genie/commit/236ad9c3356948c001544ca72bb1b51550452790', 'https://github.com/Netflix/genie/commit/7f020b82bc872f92a5b3396cc9ea7995dbc01a9c', 'https://github.com/Netflix/genie/commit/cde77a889ba0a92de277ec138a289d7d1ca4988c', 'https://github.com/Netflix/genie/commit/5c3a5a04916f0182ee825916a9fa59914343f6bc']",0,0,0,2,4.0,3.0,7.0,3.0,7.0,3.0,1.0,1.0,3,"genie-server/src/test/java/com/netflix/genie/server/services/impl/jpa/TestClusterConfigServiceJPAImpl.java: [Extract Class(78), Extract Variable(60), Move Method(60), Add Method Annotation(54), Inline Variable(30), Change Variable Type(16), Rename Variable(14), Move Attribute(14), Remove Class Annotation(3), Remove Attribute Annotation(3), Rename Method(2), Change Attribute Type(2)]"
com.netflix.genie.web.jpa.services.JpaJobPersistenceImplIntegrationTests,canSaveAndRetrieveJobSpecification,2077 -> 2085,78a600c9c0da5270e0e78e62c49efff98cabef73 -> 88cfe1370ed0ec3fbffc46277be6ac889096d061,"['https://github.com/Netflix/genie/commit/78a600c9c0da5270e0e78e62c49efff98cabef73', 'https://github.com/Netflix/genie/commit/88cfe1370ed0ec3fbffc46277be6ac889096d061', 'https://github.com/Netflix/genie/commit/488a1beecc604acce11f71798ac0346ac95f9046']",0,0,0,21,10.0,4.0,19.0,7.0,24.0,11.0,1.0,1.0,24,genie-web/src/test/java/com/netflix/genie/web/jpa/services/JpaJobPersistenceImplIntegrationTests.java: [Extract Method(45)]
