Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.github.hpsocket.soa.starter.mqtt.properties.SoaMqttProperties,parseSocketFactory,45 -> 55,e42294fb381ba1bd51b3634b712e723d48ee761d -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/e42294fb381ba1bd51b3634b712e723d48ee761d', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,3.0,1.0,19.0,19.0,10.0,9.0,6.0,6.0,10,hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/properties/SoaMqttProperties.java: [Move Method(1)]
io.github.hpsocket.soa.starter.web.config.WebConfig,securityFilterChain,54 -> 55,5516d66293444f9c503f01ca3c19b43073218384 -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/5516d66293444f9c503f01ca3c19b43073218384', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,9.0,7.0,26.0,26.0,17.0,17.0,5.0,5.0,17,"hp-soa-starter/hp-soa-starter-web/src/main/java/io/github/hpsocket/soa/starter/web/config/WebConfig.java: [Add Method Annotation(6), Rename Method(2), Move Method(1)]"
io.github.hpsocket.soa.starter.sentinel.exception.DefaultSentinelBlockExceptionHandler,handle,49 -> 55,f8782ebae5f5e658143cc35bb21ee788aee44ecf -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/d80ea207a6116622a8b449db61cb26168998ad19', 'https://github.com/ldcsaa/hp-soa/commit/f8782ebae5f5e658143cc35bb21ee788aee44ecf', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,8.0,7.0,13.0,13.0,13.0,13.0,2.0,2.0,10,"hp-soa-starter/hp-soa-starter-sentinel/src/main/java/io/github/hpsocket/soa/starter/sentinel/exception/DefaultSentinelBlockExceptionHandler.java: [Extract Method(6), Change Thrown Exception Type(4)]"
io.github.hpsocket.soa.starter.web.config.ContextConfig,springContextHolder,54 -> 55,5516d66293444f9c503f01ca3c19b43073218384 -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/d80ea207a6116622a8b449db61cb26168998ad19', 'https://github.com/ldcsaa/hp-soa/commit/5516d66293444f9c503f01ca3c19b43073218384', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7', 'https://github.com/ldcsaa/hp-soa/commit/539c8ba67408833e81cf540c7c4df46cb5eb43aa']",0,0,0,159,7.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,4,hp-soa-starter/hp-soa-starter-web/src/main/java/io/github/hpsocket/soa/starter/web/config/ContextConfig.java: [Move Method(1)]
io.github.hpsocket.soa.starter.mqtt.config.SoaAbstractMqttConfig,mqttClientPersistence,30 -> 45,5c6ec1b471c48a165049f46327e57ad3d46e5115 -> e42294fb381ba1bd51b3634b712e723d48ee761d,"['https://github.com/ldcsaa/hp-soa/commit/5c6ec1b471c48a165049f46327e57ad3d46e5115', 'https://github.com/ldcsaa/hp-soa/commit/e42294fb381ba1bd51b3634b712e723d48ee761d', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,10,3.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,3,"hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/config/SoaAbstractMqttConfig.java: [Remove Parameter(5), Remove Method Annotation(5), Move Method(5), Add Parameter(2)]"
io.github.hpsocket.soa.starter.web.config.ContextConfig,checkProxy,54 -> 55,5516d66293444f9c503f01ca3c19b43073218384 -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/5516d66293444f9c503f01ca3c19b43073218384', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,3.0,2.0,44.0,44.0,20.0,20.0,17.0,17.0,20,hp-soa-starter/hp-soa-starter-web/src/main/java/io/github/hpsocket/soa/starter/web/config/ContextConfig.java: [Move Method(1)]
io.github.hpsocket.soa.starter.mqtt.properties.SoaMqttProperties,setWillMessage,45 -> 55,e42294fb381ba1bd51b3634b712e723d48ee761d -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/e42294fb381ba1bd51b3634b712e723d48ee761d', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3,hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/properties/SoaMqttProperties.java: [Move Method(1)]
io.github.hpsocket.soa.framework.core.exception.ServiceException,logServiceException,13 -> 49,e449a47d4001f13f7b07420af601b56de4e06302 -> f8782ebae5f5e658143cc35bb21ee788aee44ecf,"['https://github.com/ldcsaa/hp-soa/commit/e449a47d4001f13f7b07420af601b56de4e06302', 'https://github.com/ldcsaa/hp-soa/commit/f8782ebae5f5e658143cc35bb21ee788aee44ecf']",0,0,0,23,3.0,3.0,13.0,13.0,5.0,4.0,4.0,4.0,5,hp-soa-framework/hp-soa-framework-core/src/main/java/io/github/hpsocket/soa/framework/core/exception/ServiceException.java: [Extract Method(25)]
io.github.hpsocket.soa.starter.mqtt.config.SoaAbstractMqttConfig,parseMessageListener,30 -> 55,5c6ec1b471c48a165049f46327e57ad3d46e5115 -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/5c6ec1b471c48a165049f46327e57ad3d46e5115', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,4.0,2.0,5.0,5.0,4.0,4.0,3.0,3.0,4,"hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/config/SoaAbstractMqttConfig.java: [Remove Parameter(5), Remove Method Annotation(5), Move Method(5), Add Parameter(2)]"
io.github.hpsocket.soa.starter.mqtt.config.SoaAbstractMqttConfig,mqttClientPersistence,45 -> 55,e42294fb381ba1bd51b3634b712e723d48ee761d -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/5c6ec1b471c48a165049f46327e57ad3d46e5115', 'https://github.com/ldcsaa/hp-soa/commit/e42294fb381ba1bd51b3634b712e723d48ee761d', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,3.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,3,"hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/config/SoaAbstractMqttConfig.java: [Inline Method(28), Extract Variable(6), Extract Attribute(3), Move Method(1)]"
io.github.hpsocket.soa.starter.leaf.config.SoaLeafConfig,findLeafSegmentDataSource,26 -> 55,fda13b9a85ef14291aa088d58e01a2550c59237e -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/fda13b9a85ef14291aa088d58e01a2550c59237e', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7']",0,0,0,159,3.0,2.0,17.0,17.0,7.0,7.0,6.0,6.0,7,"hp-soa-starter/hp-soa-starter-leaf/src/main/java/io/github/hpsocket/soa/starter/leaf/config/SoaLeafConfig.java: [Remove Parameter Annotation(5), Modify Class Annotation(4), Modify Method Annotation(4), Localize Parameter(4), Add Method Annotation(3), Remove Method Annotation(3), Move Method(2)]"
io.github.hpsocket.soa.framework.web.support.WebServerHelper,parseRequestField,13 -> 78,e449a47d4001f13f7b07420af601b56de4e06302 -> 341c4498dd76b88faa5ce5657b46fc278b013967,"['https://github.com/ldcsaa/hp-soa/commit/e449a47d4001f13f7b07420af601b56de4e06302', 'https://github.com/ldcsaa/hp-soa/commit/341c4498dd76b88faa5ce5657b46fc278b013967']",0,0,0,143,4.0,3.0,11.0,14.0,5.0,5.0,5.0,6.0,5,"hp-soa-framework/hp-soa-framework-web/src/main/java/io/github/hpsocket/soa/framework/web/support/WebServerHelper.java: [Rename Method(2), Change Method Access Modifier(1), Add Method Modifier(1), Move Method(1)]"
io.github.hpsocket.soa.starter.data.redis.config.SoaAbstractRedisConfig,redisson,10 -> 72,56b03d84a342a37f53d7abb057843b1fbc36875a -> d18ac5e030ec7bc252a054b486a5fc943c1875ec,"['https://github.com/ldcsaa/hp-soa/commit/56b03d84a342a37f53d7abb057843b1fbc36875a', 'https://github.com/ldcsaa/hp-soa/commit/d18ac5e030ec7bc252a054b486a5fc943c1875ec']",0,0,0,320,12.0,10.0,171.0,171.0,46.0,46.0,46.0,46.0,46,"hp-soa-starter/hp-soa-starter-data-redis/src/main/java/io/github/hpsocket/soa/starter/data/redis/config/SoaAbstractRedisConfig.java: [Extract Class(15), Remove Method Annotation(14), Move Method(9), Move Attribute(5), Change Attribute Access Modifier(5), Remove Parameter Annotation(4), Rename Parameter(2), Move And Rename Method(1)]"
io.github.hpsocket.soa.starter.rabbitmq.consumer.listener.RabbitmqReadOnlyEventListener,doSwitch,13 -> 44,e449a47d4001f13f7b07420af601b56de4e06302 -> 98fcc67abf516eabf4653465d3d21745a31b7d22,"['https://github.com/ldcsaa/hp-soa/commit/e449a47d4001f13f7b07420af601b56de4e06302', 'https://github.com/ldcsaa/hp-soa/commit/98fcc67abf516eabf4653465d3d21745a31b7d22']",0,0,0,1,0.0,0.0,5.0,4.0,3.0,2.0,5.0,2.0,3,hp-soa-starter/hp-soa-starter-rabbitmq/src/main/java/io/github/hpsocket/soa/starter/rabbitmq/consumer/listener/RabbitmqReadOnlyEventListener.java: [Extract Method(14)]
io.github.hpsocket.soa.starter.mqtt.properties.SoaMqttProperties,parseClientId,45 -> 55,e42294fb381ba1bd51b3634b712e723d48ee761d -> 0b4c3571de505292c1b2e5ca7249b1619aa317b7,"['https://github.com/ldcsaa/hp-soa/commit/e42294fb381ba1bd51b3634b712e723d48ee761d', 'https://github.com/ldcsaa/hp-soa/commit/0b4c3571de505292c1b2e5ca7249b1619aa317b7', 'https://github.com/ldcsaa/hp-soa/commit/d18ac5e030ec7bc252a054b486a5fc943c1875ec']",0,0,0,159,2.0,0.0,13.0,13.0,8.0,8.0,5.0,5.0,8,hp-soa-starter/hp-soa-starter-mqtt/src/main/java/io/github/hpsocket/soa/starter/mqtt/properties/SoaMqttProperties.java: [Move Method(1)]
