Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
org.jgroups.tests.LogTest,class,552 -> 553,486cb82037d48a75b5b0693e1ec824985f88015a -> 3e49de14f856747abea6bdff9dbb6c86a6c7064b,0,0,0,4,14.0,14.0,1.0,1.0,0.0,0.0,314.0,302.0,0.0,0.0,40.0,40.0,66.0,64.0,testAtomicFields[ votedFor():3 currentTerm():3 init():2 equals():2 destroy():1 createRandomAddress():1 ] destroy[ destroy():1 ] logProvider[  ] ,tests/junit-functional/org/jgroups/tests/LogTest.java: [Extract Method(115)]
org.jgroups.tests.LogTest,class,106 -> 130,615b39f33e8ac39aba64710677ff13ef38036983 -> da6fe024cde2d38d669e0e8f9fdd141a519a591f,14,3,11,21,12.0,11.0,1.0,1.0,0.0,0.0,217.0,210.0,0.0,0.0,27.0,28.0,36.0,36.0,testAtomicFields[ votedFor():3 currentTerm():3 init():2 equals():2 destroy():1 createRandomAddress():1 ] destroy[ destroy():1 ] logProvider[  ] ,tests/junit-functional/org/jgroups/tests/LogTest.java: [Extract Method(115)]
org.jgroups.protocols.raft.ELECTION,class,527 -> 583,374ee4f324a36c4d3242e65f890c2c2d92c27f8a -> 54d8cd3fd202acc10f209e4d1f89725d05f69c52,268,1,267,24,23.0,8.0,2.0,3.0,226.0,0.0,239.0,29.0,0.0,0.0,80.0,17.0,68.0,10.0,init[ getTransport():1 findProtocol():1 getTimer():1 ] votedFor[ toString():1 ] role[ toString():1 ] stopHeartbeatTimer[ cancel():1 ] handleEvent[ term():3 src():1 handleVoteResponse():1 handleVoteRequest():1 handleHeartbeat():1 ] handleVoteResponse[ trace():1 changeRole():1 ] voteFor[ equals():1 ] handleVoteRequest[ sendVoteResponse():1 currentTerm():1 voteFor():1 equals():1 ] sendHeartbeat[ setTransientFlag():1 putHeader():1 down():1 ] stopElectionTimer[ cancel():1 ] startHeartbeatTimer[ scheduleAtFixedRate():1 isDone():1 ] handleHeartbeat[ heartbeatReceived():1 updateTermAndLeader():1 equals():1 changeRole():1 ] changeRole[ leader():2 stopHeartbeatTimer():1 stopElectionTimer():1 startHeartbeatTimer():1 changeRole():1 startElectionTimer():1 ] down[ down():2 getType():1 stopElectionTimer():1 getArg():1 changeRole():1 startElectionTimer():1 ] handleElectionTimeout[ startElection():2 trace():1 changeRole():1 ] heartbeatReceived[  ] sendVoteResponse[ trace():1 putHeader():1 down():1 ] sendVoteRequest[ trace():1 setTransientFlag():1 putHeader():1 down():1 ] startElection[ createNewTerm():1 sendVoteRequest():1 voteFor():1 ] findProtocol[ getClass():2 getSimpleName():2 equals():1 getUpProtocol():1 ] isElectionTimerRunning[ isDone():1 ] up[ handleEvent():2 up():2 getHeader():2 getType():1 getArg():1 isEmpty():1 remove():1 ] startElectionTimer[ scheduleWithDynamicInterval():1 isDone():1 ] isHeartbeatTaskRunning[ isDone():1 ] ,"src/org/jgroups/protocols/raft/ELECTION.java: [Inline Method(25), Add Parameter(6), Rename Method(4), Change Variable Type(4), Rename Variable(4), Move And Inline Method(3), Rename Attribute(2), Add Method Modifier(2), Move Method(2)]"
org.jgroups.tests.AppendEntriesTest,class,592 -> 593,70cbbb816314226edf72c1f58171da8fdcbdfaa9 -> 9a05186b77c2472dc254182a15e3f6332a28a565,616,269,347,33,23.0,25.0,1.0,4.0,366.0,364.0,542.0,397.0,0.0,0.0,119.0,96.0,96.0,56.0,destroy[ findProtocol():1 log():1 getProtocolStack():1 delete():1 close():1 asList():1 ] create[ name():1 majority():1 getTestStack():1 noElections():1 ] ,"tests/junit-functional/org/jgroups/tests/AppendEntriesTest.java: [Extract Method(11), Change Variable Type(4)]"
org.jgroups.protocols.raft.LevelDBLog,class,62 -> 64,f216c1adb09e42ab3b490daf7029a489ae92c4f5 -> ebb65168f6edc72ef0a3ddbd913a4c9b607123d0,115,65,50,3,13.0,13.0,1.0,1.0,35.0,20.0,213.0,221.0,0.0,0.0,32.0,26.0,40.0,41.0,init[  ] votedFor[  ] lastApplied[  ] currentTerm[  ] forEach[  ] destroy[  ] first[  ] commitIndex[  ] append[  ] ,src/org/jgroups/protocols/raft/LevelDBLog.java: [Extract Method(40)]
org.jgroups.protocols.raft.InMemoryLog,class,564 -> 566,99592cfda3f3d5b7391d8ff99ecad5b21a34e834 -> 1deb2a87bd1e555dd416187c5a1f0bace62fe617,183,72,111,2,9.0,6.0,1.0,1.0,20.0,114.0,194.0,143.0,0.0,0.0,33.0,26.0,42.0,40.0,init[ putIfAbsent():1 ] votedFor[  ] lastApplied[  ] forEach[ max():2 apply():1 forEach():1 ] deleteAllEntriesStartingFrom[ get():1 ] delete[ remove():1 ] firstApplied[  ] expand[ max():1 arraycopy():1 ] currentTerm[  ] truncate[ arraycopy():1 ] get[  ] toString[ append():8 toString():1 ] close[  ] commitIndex[  ] append[ expand():1 ] InMemoryLog[  ] ,"src/org/jgroups/protocols/raft/InMemoryLog.java: [Remove Method Modifier(18), Change Variable Type(16), Extract Class(13), Move Attribute(8), Change Attribute Access Modifier(8), Extract Variable(7), Add Attribute Modifier(4), Rename Variable(4), Add Class Annotation(3)]"
org.jgroups.protocols.raft.ELECTION,class,593 -> 594,9a05186b77c2472dc254182a15e3f6332a28a565 -> 890bce51cdce0f6e479cf7dfe9f352a5388a8ed5,1,0,1,14,8.0,8.0,3.0,3.0,0.0,0.0,30.0,29.0,0.0,0.0,18.0,17.0,10.0,10.0,init[ getTransport():1 findProtocol():1 getTimer():1 ] votedFor[ toString():1 ] role[ toString():1 ] stopHeartbeatTimer[ cancel():1 ] handleEvent[ term():3 src():1 handleVoteResponse():1 handleVoteRequest():1 handleHeartbeat():1 ] handleVoteResponse[ trace():1 changeRole():1 ] voteFor[ equals():1 ] handleVoteRequest[ sendVoteResponse():1 currentTerm():1 voteFor():1 equals():1 ] sendHeartbeat[ setTransientFlag():1 putHeader():1 down():1 ] stopElectionTimer[ cancel():1 ] startHeartbeatTimer[ scheduleAtFixedRate():1 isDone():1 ] handleHeartbeat[ heartbeatReceived():1 updateTermAndLeader():1 equals():1 changeRole():1 ] changeRole[ leader():2 stopHeartbeatTimer():1 stopElectionTimer():1 startHeartbeatTimer():1 changeRole():1 startElectionTimer():1 ] down[ down():2 getType():1 stopElectionTimer():1 getArg():1 changeRole():1 startElectionTimer():1 ] handleElectionTimeout[ startElection():2 trace():1 changeRole():1 ] heartbeatReceived[  ] sendVoteResponse[ trace():1 putHeader():1 down():1 ] sendVoteRequest[ trace():1 setTransientFlag():1 putHeader():1 down():1 ] startElection[ createNewTerm():1 sendVoteRequest():1 voteFor():1 ] findProtocol[ getClass():2 getSimpleName():2 equals():1 getUpProtocol():1 ] isElectionTimerRunning[ isDone():1 ] up[ handleEvent():2 up():2 getHeader():2 getType():1 getArg():1 isEmpty():1 remove():1 ] startElectionTimer[ scheduleWithDynamicInterval():1 isDone():1 ] isHeartbeatTaskRunning[ isDone():1 ] ,"src/org/jgroups/protocols/raft/ELECTION.java: [Inline Method(25), Add Parameter(6), Rename Method(4), Change Variable Type(4), Rename Variable(4), Move And Inline Method(3), Rename Attribute(2), Add Method Modifier(2), Move Method(2)]"
org.jgroups.raft.testfwk.RaftCluster,class,387 -> 583,efde60601dcef6c46210b60725f47c3874af6228 -> 54d8cd3fd202acc10f209e4d1f89725d05f69c52,17,3,14,24,5.0,6.0,1.0,2.0,50.0,0.0,83.0,68.0,0.0,0.0,32.0,28.0,28.0,24.0,add[ put():1 ] clear[ clear():1 ] handleView[ forEach():1 values():1 requireNonNull():1 raft():1 handleView():1 keySet():1 getMembers():1 retainAll():1 ] toString[ size():1 format():1 keySet():1 ] send[ up():2 getKey():1 getValue():1 isFlagSet():1 src():1 entrySet():1 get():1 equals():1 dest():1 ] remove[ remove():1 ] ,src/org/jgroups/raft/testfwk/RaftCluster.java: [Extract Method(34)]
org.jgroups.raft.demos.ReplicatedStateMachineDemo,class,349 -> 387,66d345ff3a3aa2244cc578ff2c44530dc5c02232 -> efde60601dcef6c46210b60725f47c3874af6228,0,0,0,29,18.0,17.0,1.0,1.0,73.0,59.0,243.0,234.0,0.0,0.0,67.0,65.0,59.0,55.0,read[ readStringFromStdin():1 ] start[ channel():2 unregisterChannel():1 getMBeanServer():1 addNotificationListener():1 timeout():1 addRoleChangeListener():1 setReceiver():1 disableElections():1 loop():1 raftId():1 registerChannel():1 name():1 close():1 connect():1 ] main[ equals():4 println():1 parseLong():1 start():1 ] firstApplied[ findProtocol():1 log():1 channel():1 getProtocolStack():1 firstApplied():1 ] viewAccepted[ println():1 ] put[ println():1 put():1 printf():1 ] remove[ println():1 remove():1 ] disableElections[ findProtocol():1 getProtocolStack():1 noElections():1 ] loop[ read():4 lastApplied():1 printStackTrace():1 firstApplied():1 keyPress():1 printBytes():1 put():1 remove():1 println():1 get():1 logSize():1 dumpLog():1 commitIndex():1 snapshot():1 ] get[ get():1 printf():1 ] roleChanged[ println():1 ] logSize[ logSize():1 ] dumpLog[ println():2 dumpLog():1 ] ,"src/org/jgroups/raft/demos/ReplicatedStateMachineDemo.java: [Change Return Type(16), Extract Method(12), Add Parameter(9), Extract Variable(5), Rename Variable(4), Change Method Access Modifier(2)]"
org.jgroups.raft.util.CommitTable,class,427 -> 477,81fc6b6684436e14487749b3080a630a583ac591 -> e62765ee5dadf89f0ba5a51e531a947661835c69,0,0,0,4,3.0,3.0,1.0,1.0,0.0,0.0,94.0,83.0,0.0,0.0,19.0,18.0,14.0,11.0,snapshotInProgress[ snapshotInProgress():1 get():1 ] CommitTable[ adjust():1 ] keys[ keySet():1 ] adjust[ stream():1 forEach():1 computeIfAbsent():1 keySet():1 retainAll():1 ] forEach[ getValue():1 getKey():1 entrySet():1 accept():1 ] update[ max():3 get():1 ] toString[ append():4 getKey():1 getValue():1 entrySet():1 toString():1 ] ,"src/org/jgroups/raft/util/CommitTable.java: [Extract Method(21), Rename Variable(4)]"
