Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
org.jgroups.protocols.raft.RAFT,currentTerm,12 -> 35,a35534159f26ed663bd49ccd2175508fa8555ab0 -> af72c3e50821d2949c42e6a3bbc12b9d8d930f64,"['https://github.com/jgroups-extras/jgroups-raft/commit/a35534159f26ed663bd49ccd2175508fa8555ab0', 'https://github.com/jgroups-extras/jgroups-raft/commit/af72c3e50821d2949c42e6a3bbc12b9d8d930f64', 'https://github.com/jgroups-extras/jgroups-raft/commit/463208f88c7d440b4a57078d9efc21ca421c0522', 'https://github.com/jgroups-extras/jgroups-raft/commit/ca5c8e272811e530f2fb7855cd7e1fd66f77f8a9', 'https://github.com/jgroups-extras/jgroups-raft/commit/69ad96154919f2060102ce83c0d3ca97d940fcbc', 'https://github.com/jgroups-extras/jgroups-raft/commit/6a60aa7e6c6060784709211cc267555fab8eff25']",84,25,59,1,1.0,1.0,9.0,4.0,1.0,0.0,1.0,2.0,1,"src/org/jgroups/protocols/raft/RAFT.java: [Extract Method(16), Encapsulate Attribute(6), Parameterize Attribute(4), Add Attribute Annotation(3), Remove Attribute Modifier(2)]"
org.jgroups.protocols.raft.RAFT,updateTermAndLeader,24 -> 35,d23ee27066e0dfe0f967e4471037fc412d0a2d76 -> af72c3e50821d2949c42e6a3bbc12b9d8d930f64,"['https://github.com/jgroups-extras/jgroups-raft/commit/d23ee27066e0dfe0f967e4471037fc412d0a2d76', 'https://github.com/jgroups-extras/jgroups-raft/commit/af72c3e50821d2949c42e6a3bbc12b9d8d930f64']",84,25,59,1,2.0,1.0,13.0,8.0,1.0,1.0,1.0,5.0,1,"src/org/jgroups/protocols/raft/RAFT.java: [Move Attribute(11), Add Parameter(5), Rename Parameter(4), Move Method(3), Rename Method(2), Move Class(1), Change Class Access Modifier(1), Remove Class Modifier(1), Add Attribute Annotation(1), Move And Rename Method(1)]"
org.jgroups.protocols.raft.ELECTION,runVotingProcess,387 -> 397,efde60601dcef6c46210b60725f47c3874af6228 -> f71da7332639e7153917a32554c1259846d6d96a,"['https://github.com/jgroups-extras/jgroups-raft/commit/efde60601dcef6c46210b60725f47c3874af6228', 'https://github.com/jgroups-extras/jgroups-raft/commit/f71da7332639e7153917a32554c1259846d6d96a', 'https://github.com/jgroups-extras/jgroups-raft/commit/374ee4f324a36c4d3242e65f890c2c2d92c27f8a']",48,9,39,7,3.0,3.0,19.0,18.0,17.0,14.0,3.0,2.0,17,"src/org/jgroups/protocols/raft/ELECTION.java: [Inline Method(25), Add Parameter(6), Rename Method(4), Change Variable Type(4), Rename Variable(4), Move And Inline Method(3), Rename Attribute(2), Add Method Modifier(2), Move Method(2)]"
org.jgroups.tests.AppendEntriesTest,testInitialAppends,372 -> 593,9bb58dda25cb04e9fe665d270450f8ba587f02bd -> 9a05186b77c2472dc254182a15e3f6332a28a565,"['https://github.com/jgroups-extras/jgroups-raft/commit/2a150c06f59c84e772fd6097dd3e06121e728737', 'https://github.com/jgroups-extras/jgroups-raft/commit/9bb58dda25cb04e9fe665d270450f8ba587f02bd', 'https://github.com/jgroups-extras/jgroups-raft/commit/9a05186b77c2472dc254182a15e3f6332a28a565']",616,269,347,33,6.0,8.0,20.0,15.0,10.0,11.0,1.0,1.0,11,"tests/junit-functional/org/jgroups/tests/AppendEntriesTest.java: [Replace Variable With Attribute(80), Extract Method(15), Rename Parameter(4)]"
org.jgroups.raft.filelog.LogEntryStorage,removeNew,405 -> 413,8675aa873ca185d16d03d2974b71220d03406776 -> f7b4faadbd69078b7102fa822ef11607946778c5,"['https://github.com/jgroups-extras/jgroups-raft/commit/032ea8bbf21b755851bba81a2732763620e650ff', 'https://github.com/jgroups-extras/jgroups-raft/commit/8675aa873ca185d16d03d2974b71220d03406776', 'https://github.com/jgroups-extras/jgroups-raft/commit/f7b4faadbd69078b7102fa822ef11607946778c5']",4,0,4,3,5.0,4.0,17.0,16.0,6.0,5.0,3.0,3.0,8,"src/org/jgroups/raft/filelog/LogEntryStorage.java: [Extract Method(37), Inline Method(14), Add Parameter(9), Remove Parameter(6), Parameterize Variable(4), Replace Variable With Attribute(4), Remove Method Modifier(1), Move Method(1)]"
org.jgroups.raft.blocks.AsyncCounterImpl,AsyncCounterImpl,488 -> 548,3f435a517c8191514e5f3510a90340f0068f0e4d -> 9e8b0f1c83c6dc70504a6879e1996cb3870c50de,"['https://github.com/jgroups-extras/jgroups-raft/commit/2012b6cdbfb58b931f6cbf1beec50a0b60ca5d17', 'https://github.com/jgroups-extras/jgroups-raft/commit/f0ab6fc137e036443764ece0e39e2a7ba0bbfedd', 'https://github.com/jgroups-extras/jgroups-raft/commit/609a33ae1fa0ddba857c3fea1a7e694915de8603', 'https://github.com/jgroups-extras/jgroups-raft/commit/27fc8d0682314c90a283d27c7abb28a03d703ba4', 'https://github.com/jgroups-extras/jgroups-raft/commit/3f435a517c8191514e5f3510a90340f0068f0e4d', 'https://github.com/jgroups-extras/jgroups-raft/commit/9e8b0f1c83c6dc70504a6879e1996cb3870c50de']",24,15,9,4,3.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1,"src/org/jgroups/raft/blocks/AsyncCounterImpl.java: [Extract Variable(10), Add Method Annotation(6), Extract Method(6), Rename Parameter(4), Rename Attribute(2), Remove Method Annotation(1), Move Method(1)]"
org.jgroups.raft.filelog.LogEntryStorage,reload,405 -> 413,8675aa873ca185d16d03d2974b71220d03406776 -> f7b4faadbd69078b7102fa822ef11607946778c5,"['https://github.com/jgroups-extras/jgroups-raft/commit/8675aa873ca185d16d03d2974b71220d03406776', 'https://github.com/jgroups-extras/jgroups-raft/commit/f7b4faadbd69078b7102fa822ef11607946778c5']",4,0,4,3,5.0,3.0,29.0,21.0,5.0,3.0,7.0,5.0,5,"src/org/jgroups/raft/filelog/LogEntryStorage.java: [Extract Method(37), Inline Method(14), Add Parameter(9), Remove Parameter(6), Parameterize Variable(4), Replace Variable With Attribute(4), Remove Method Modifier(1), Move Method(1)]"
org.jgroups.protocols.raft.InMemoryLog,truncate,564 -> 566,99592cfda3f3d5b7391d8ff99ecad5b21a34e834 -> 1deb2a87bd1e555dd416187c5a1f0bace62fe617,"['https://github.com/jgroups-extras/jgroups-raft/commit/42462d2aa1a32d6ad3c0f12fdbb45155b1121ae7', 'https://github.com/jgroups-extras/jgroups-raft/commit/99592cfda3f3d5b7391d8ff99ecad5b21a34e834', 'https://github.com/jgroups-extras/jgroups-raft/commit/1deb2a87bd1e555dd416187c5a1f0bace62fe617']",183,72,111,2,2.0,1.0,11.0,8.0,3.0,2.0,2.0,2.0,1,"src/org/jgroups/protocols/raft/InMemoryLog.java: [Remove Method Modifier(18), Change Variable Type(16), Extract Class(13), Move Attribute(8), Change Attribute Access Modifier(8), Extract Variable(7), Add Attribute Modifier(4), Rename Variable(4), Add Class Annotation(3)]"
org.jgroups.protocols.raft.RAFT,changeRole,24 -> 35,d23ee27066e0dfe0f967e4471037fc412d0a2d76 -> af72c3e50821d2949c42e6a3bbc12b9d8d930f64,"['https://github.com/jgroups-extras/jgroups-raft/commit/d23ee27066e0dfe0f967e4471037fc412d0a2d76', 'https://github.com/jgroups-extras/jgroups-raft/commit/af72c3e50821d2949c42e6a3bbc12b9d8d930f64', 'https://github.com/jgroups-extras/jgroups-raft/commit/fc9f35f59ee642444fdfd7b96f6a6f1f709af740', 'https://github.com/jgroups-extras/jgroups-raft/commit/fd4160fc223d0f64a973c0a103ed5a1550798f2e', 'https://github.com/jgroups-extras/jgroups-raft/commit/efde60601dcef6c46210b60725f47c3874af6228', 'https://github.com/jgroups-extras/jgroups-raft/commit/f71da7332639e7153917a32554c1259846d6d96a', 'https://github.com/jgroups-extras/jgroups-raft/commit/d9148d0cec83cc8e23f6b699233a0f5b8032a8ab']",84,25,59,1,6.0,5.0,16.0,12.0,1.0,6.0,3.0,7.0,1,"src/org/jgroups/protocols/raft/RAFT.java: [Move Attribute(11), Add Parameter(5), Rename Parameter(4), Move Method(3), Rename Method(2), Move Class(1), Change Class Access Modifier(1), Remove Class Modifier(1), Add Attribute Annotation(1), Move And Rename Method(1)]"
org.jgroups.protocols.raft.RAFT,createNewTerm,24 -> 35,d23ee27066e0dfe0f967e4471037fc412d0a2d76 -> af72c3e50821d2949c42e6a3bbc12b9d8d930f64,"['https://github.com/jgroups-extras/jgroups-raft/commit/134c1aad7f1378570d7ee6bc9a0b15fcda274375', 'https://github.com/jgroups-extras/jgroups-raft/commit/ed54de4cbc2c578eb6c1138a2380933f78ae75ee', 'https://github.com/jgroups-extras/jgroups-raft/commit/d23ee27066e0dfe0f967e4471037fc412d0a2d76', 'https://github.com/jgroups-extras/jgroups-raft/commit/af72c3e50821d2949c42e6a3bbc12b9d8d930f64', 'https://github.com/jgroups-extras/jgroups-raft/commit/c111f0b57405dc50fea7526377fbbb109b7c8e63']",84,25,59,1,1.0,0.0,8.0,3.0,1.0,0.0,1.0,1.0,1,"src/org/jgroups/protocols/raft/RAFT.java: [Move Attribute(11), Add Parameter(5), Rename Parameter(4), Move Method(3), Rename Method(2), Move Class(1), Change Class Access Modifier(1), Remove Class Modifier(1), Add Attribute Annotation(1), Move And Rename Method(1)]"
