Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.kronotop.redis.BaseHandlerTest,tearDown,23 -> 91,f0376680f5b066951cb02fe1c198f60032a0be3a -> 6111512e718a3abfaab24749cb974a0bd8ecf68a,"['https://github.com/kronotop/kronotop/commit/f0376680f5b066951cb02fe1c198f60032a0be3a', 'https://github.com/kronotop/kronotop/commit/6111512e718a3abfaab24749cb974a0bd8ecf68a', 'https://github.com/kronotop/kronotop/commit/948898fcd7faa64e7fc0d0fc77b52e017767f928']",25,0,25,274,2.0,1.0,6.0,6.0,1.0,1.0,2.0,2.0,1,"kronotop/src/test/java/com/kronotop/redis/BaseHandlerTest.java: [Replace Variable With Attribute(4), Change Variable Type(4), Remove Parameter(4), Change Method Access Modifier(3), Rename Method(2), Remove Method Modifier(1), Move Method(1)]"
com.kronotop.redis.handlers.connection.AuthHandler,execute,108 -> 139,b2a4200fad09201fab03f9c11e87ee5db9ffd051 -> f2341d612706e3590941d318e02d55a2862406af,"['https://github.com/kronotop/kronotop/commit/b2a4200fad09201fab03f9c11e87ee5db9ffd051', 'https://github.com/kronotop/kronotop/commit/f2341d612706e3590941d318e02d55a2862406af']",0,0,0,646,6.0,5.0,43.0,43.0,16.0,16.0,8.0,8.0,16,kronotop/src/main/java/com/kronotop/redis/handlers/connection/AuthHandler.java: [Move Class(1)] kronotop/src/test/java/com/kronotop/redis/handlers/connection/AuthHandlerTest.java: [Move Class(1)] kronotop/src/test/java/com/kronotop/redis/handlers/connection/AuthHandlerRequirePassTest.java: [Move Method(1)]
com.kronotop.volume.Segment,updateMetadataPosition,95 -> 103,0d2f3ad98b192c528ba6ea4f2d3566b5a07104dc -> c90e3bfa57d77a86466fe9714342511c386dfebe,"['https://github.com/kronotop/kronotop/commit/0d2f3ad98b192c528ba6ea4f2d3566b5a07104dc', 'https://github.com/kronotop/kronotop/commit/c90e3bfa57d77a86466fe9714342511c386dfebe', 'https://github.com/kronotop/kronotop/commit/5f4e5e4c2f95089b50bef05ae4bdebe65f1e9865']",0,0,0,80,2.0,1.0,14.0,14.0,8.0,8.0,2.0,2.0,8,"kronotop/src/main/java/com/kronotop/volume/Segment.java: [Extract Method(6), Change Parameter Type(4), Rename Parameter(4), Remove Parameter(3), Move Attribute(3), Change Class Access Modifier(2), Change Attribute Access Modifier(2), Remove Attribute Modifier(1)]"
com.kronotop.redis.server.CommandHandler,execute,103 -> 139,c90e3bfa57d77a86466fe9714342511c386dfebe -> f2341d612706e3590941d318e02d55a2862406af,"['https://github.com/kronotop/kronotop/commit/fab201dc6575062858d6eab93af9a150fd74c87a', 'https://github.com/kronotop/kronotop/commit/eb652d4fc806c2fadc196492e54abe0cda6ec87f', 'https://github.com/kronotop/kronotop/commit/2c9b6304561bc015c85d2d48e282e43914755521', 'https://github.com/kronotop/kronotop/commit/2f30580cd6f68119a334eb1bd046e5866bd6d766', 'https://github.com/kronotop/kronotop/commit/c90e3bfa57d77a86466fe9714342511c386dfebe', 'https://github.com/kronotop/kronotop/commit/f2341d612706e3590941d318e02d55a2862406af']",0,0,0,646,6.0,5.0,36.0,36.0,16.0,16.0,9.0,9.0,31,"kronotop/src/main/java/com/kronotop/redis/server/CommandHandler.java: [Extract Method(224), Rename Variable(8), Inline Variable(7), Parameterize Variable(4)]"
com.kronotop.core.cluster.coordinator.CoordinatorService$CoordinatorEventsJournalWatcher,run,17 -> 22,866d359e78d55c68b83e8f463fe03a051ae83959 -> 4118cff51395ca4ef5e934da70f5b9433f0df25b,"['https://github.com/kronotop/kronotop/commit/866d359e78d55c68b83e8f463fe03a051ae83959', 'https://github.com/kronotop/kronotop/commit/4118cff51395ca4ef5e934da70f5b9433f0df25b', 'https://github.com/kronotop/kronotop/commit/63973609f41895499756e4c5ddbf70e1625d05f2']",24,23,1,79,6.0,5.0,29.0,29.0,16.0,16.0,5.0,5.0,16,"kronotop/src/main/java/com/kronotop/core/cluster/coordinator/CoordinatorService.java: [Extract Class(5), Invert Condition(2), Move Attribute(2), Move And Rename Class(1)]"
com.kronotop.core.cluster.coordinator.CoordinatorService,completeAssignShardTask,17 -> 22,866d359e78d55c68b83e8f463fe03a051ae83959 -> 4118cff51395ca4ef5e934da70f5b9433f0df25b,"['https://github.com/kronotop/kronotop/commit/866d359e78d55c68b83e8f463fe03a051ae83959', 'https://github.com/kronotop/kronotop/commit/4118cff51395ca4ef5e934da70f5b9433f0df25b']",396,290,106,79,5.0,5.0,5.0,4.0,7.0,6.0,1.0,1.0,7,"kronotop/src/main/java/com/kronotop/core/cluster/coordinator/CoordinatorService.java: [Extract Class(5), Invert Condition(2), Move Attribute(2), Move And Rename Class(1)]"
com.kronotop.NamespaceUtils,open,105 -> 164,6e4a5af7e55a58de05243eaf5dfdde69f46ce3a0 -> 10b44c6dd4a39973beba45e0c2ccc73e88d21afa,"['https://github.com/kronotop/kronotop/commit/1f3bce618683711f47478136f32d57a0782f7047', 'https://github.com/kronotop/kronotop/commit/6e4a5af7e55a58de05243eaf5dfdde69f46ce3a0', 'https://github.com/kronotop/kronotop/commit/10b44c6dd4a39973beba45e0c2ccc73e88d21afa']",1,0,1,1,5.0,5.0,15.0,14.0,8.0,6.0,3.0,3.0,15,kronotop/src/main/java/com/kronotop/NamespaceUtils.java: [Extract Method(27)]
com.kronotop.cluster.MembershipService,processMemberJoinEvent,108 -> 109,b2a4200fad09201fab03f9c11e87ee5db9ffd051 -> 08d741ec79cd5537581a97dfa551814c18bfa4e6,"['https://github.com/kronotop/kronotop/commit/c90e3bfa57d77a86466fe9714342511c386dfebe', 'https://github.com/kronotop/kronotop/commit/b2a4200fad09201fab03f9c11e87ee5db9ffd051', 'https://github.com/kronotop/kronotop/commit/08d741ec79cd5537581a97dfa551814c18bfa4e6', 'https://github.com/kronotop/kronotop/commit/2b8b62d5d0c96b4cd0f97bf29470753b43b0442f', 'https://github.com/kronotop/kronotop/commit/7b444e2c850fb42183297990bb989b7546adbc5d']",28,4,24,100,10.0,9.0,11.0,11.0,11.0,11.0,1.0,1.0,8,"kronotop/src/main/java/com/kronotop/cluster/MembershipService.java: [Change Return Type(16), Extract Method(9), Remove Thrown Exception Type(9), Move And Inline Method(9), Change Variable Type(8), Parameterize Variable(6), Rename Variable(6), Change Method Access Modifier(4), Add Parameter Annotation(4), Extract Variable(3), Rename Attribute(2), Remove Parameter(2), Move And Rename Method(2), Move Attribute(1), Add Method Modifier(1), Add Parameter(1)]"
com.kronotop.volume.replication.ReplicationSlot,load,111 -> 130,1a02b36acf1820cbba32152b9e0dc70f83d649ba -> 86cc818f36ceb62d4f449d413d59651546c6fcf9,"['https://github.com/kronotop/kronotop/commit/1a02b36acf1820cbba32152b9e0dc70f83d649ba', 'https://github.com/kronotop/kronotop/commit/86cc818f36ceb62d4f449d413d59651546c6fcf9']",146,134,12,57,7.0,4.0,8.0,3.0,4.0,5.0,2.0,1.0,4,"kronotop/src/main/java/com/kronotop/volume/replication/ReplicationSlotNotFoundException.java: [Rename Class(1)] kronotop/src/main/java/com/kronotop/volume/replication/ReplicationSlot.java: [Extract Method(32), Rename Variable(12), Add Parameter(9), Remove Parameter(9), Parameterize Variable(4), Change Return Type(4), Add Class Annotation(3)]"
com.kronotop.KronotopTestInstance,start,108 -> 111,b2a4200fad09201fab03f9c11e87ee5db9ffd051 -> 1a02b36acf1820cbba32152b9e0dc70f83d649ba,"['https://github.com/kronotop/kronotop/commit/9f7c76a71454bb363864bb5c728215fe742bacd9', 'https://github.com/kronotop/kronotop/commit/7afa4760eb2176657795f4cfa123da24d1c8bfd4', 'https://github.com/kronotop/kronotop/commit/509435cab557b94d052f88b3a45c51a3acb1f3b5', 'https://github.com/kronotop/kronotop/commit/0d2f3ad98b192c528ba6ea4f2d3566b5a07104dc', 'https://github.com/kronotop/kronotop/commit/2f30580cd6f68119a334eb1bd046e5866bd6d766', 'https://github.com/kronotop/kronotop/commit/c90e3bfa57d77a86466fe9714342511c386dfebe', 'https://github.com/kronotop/kronotop/commit/b2a4200fad09201fab03f9c11e87ee5db9ffd051', 'https://github.com/kronotop/kronotop/commit/1a02b36acf1820cbba32152b9e0dc70f83d649ba', 'https://github.com/kronotop/kronotop/commit/3933a42bf18e452ecfb2697ff838dd90098d6e7b', 'https://github.com/kronotop/kronotop/commit/8c62d3d41b81e4689ff81be2eef4bd99cacfcea1']",73,55,18,139,4.0,2.0,12.0,11.0,11.0,10.0,2.0,2.0,4,"kronotop/src/test/java/com/kronotop/KronotopTestInstance.java: [Extract Method(10), Change Variable Type(4)]"
