Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
services.moleculer.transporter.InternalTransporter$SubscriptionSet,innerclass,511 -> 519,34aa883e32ecddbb2bca41818c68edade19cb8b1 -> da38b1270230c127bc8b1d15ea450a1841ee94dc,0,0,0,20,3.0,3.0,1.0,1.0,0.0,0.0,50.0,49.0,0.0,0.0,13.0,12.0,8.0,7.0,SubscriptionSet[ writeLock():1 readLock():1 ] deregister[ unlock():1 lock():1 remove():1 ] send[ unlock():1 isEmpty():1 lock():1 received():1 write():1 keySet():1 ] register[ unlock():1 lock():1 put():1 ] ,"src/main/java/services/moleculer/transporter/InternalTransporter.java: [Extract Method(18), Remove Parameter(3), Change Class Access Modifier(2), Add Attribute Modifier(2), Remove Attribute Modifier(2)]"
services.moleculer.cacher.RedisCacher,class,128 -> 218,a226988a9d8e711de3f571c5f48ffa413ac163a5 -> 5f8e35cf900bb25c390ed47078e9ef5bced94d07,291,291,0,44,19.0,19.0,3.0,4.0,126.0,146.0,253.0,206.0,0.0,0.0,49.0,35.0,57.0,49.0,getClusteredClient[  ] setPassword[  ] set[ set():4 del():2 serialize():1 getBytes():1 ] setClusteredClient[  ] start[ get():7 components():2 isEmpty():2 async():2 executor():2 create():2 connect():2 add():1 createClientResources():1 parseURLs():1 asList():1 ex():1 trim():1 size():1 toArray():1 asString():1 isPrimitive():1 ] setTtl[  ] del[ del():2 getBytes():1 ] getClient[  ] clean[  ] setUseSSL[  ] getPassword[  ] setClient[  ] RedisCacher[  ] stop[ close():2 shutdownGracefully():1 ] setStartTLS[  ] get[ warn():2 get():2 getBytes():1 thenApplyAsync():1 ] setUrls[  ] isStartTLS[  ] isUseSSL[  ] getUrls[  ] getTtl[  ] ,"src/main/java/services/moleculer/cacher/RedisCacher.java: [Extract Superclass(2), Pull Up Attribute(1)]"
services.moleculer.transporter.Transporter,class,171 -> 173,83c14b9e7c31a01c0f1b7b448556c133bbec5ca1 -> f8c659bd5e01b315dfeeed9df665ea90166fb08e,382,108,274,18,19.0,17.0,1.0,1.0,467.0,466.0,574.0,444.0,8.0,8.0,99.0,80.0,122.0,112.0,connected[ subscribe():12 execute():1 ] subscribed[ put():2 warn():1 equals():1 publish():1 execute():1 info():1 ] disconnected[  ] stop[  ] subscribe[ subscribe():1 channel():1 ] publish[ publish():1 channel():1 ] start[ channel():12 components():2 registry():1 executor():1 get():1 nodeID():1 ] channel[ append():5 isEmpty():1 toString():1 ] received[ equals():3 warn():2 receive():1 println():1 failed():1 execute():1 deserialize():1 ] failed[  ] Transporter[  ] ,"src/main/java/services/moleculer/transporter/Transporter.java: [Add Parameter(3), Extract Class(3), Add Attribute Modifier(1), Move Attribute(1), Change Attribute Access Modifier(1)]"
services.moleculer.transporter.TcpTransporter,class,186 -> 187,05d46e587f7680175b4b2a314ae5a0070a09d4a9 -> 30aa4471a1585c4792abcca09c669501be219ae4,6,3,3,9,18.0,16.0,2.0,2.0,805.0,776.0,724.0,809.0,0.0,0.0,93.0,96.0,188.0,194.0,TcpTransporter[  ] disconnect[ close():1 ] reconnect[ disconnect():1 schedule():1 info():1 ] sendToNode[ get():1 write():1 ] stop[ disconnect():1 ] subscribe[ resolve():1 ] publish[ warn():3 substring():3 indexOf():2 sendToNode():1 reconnect():1 sendToAllNodes():1 write():1 ] start[  ] sendToAllNodes[  ] error[ warn():1 reconnect():1 ] connect[ endsWith():2 connected():1 disconnect():1 warn():1 reconnect():1 isEmpty():1 getMessage():1 open():1 info():1 ] ,"src/main/java/services/moleculer/transporter/TcpTransporter.java: [Remove Method Modifier(2), Move Method(2)]"
services.moleculer.transporter.InternalTransporter$Subscriptions,innerclass,511 -> 587,34aa883e32ecddbb2bca41818c68edade19cb8b1 -> 8edc35926c7505f2d72579518bdbb488643da268,0,0,0,9,4.0,4.0,1.0,1.0,4.0,0.0,70.0,63.0,0.0,0.0,13.0,13.0,14.0,10.0,getSubscriptionSet[ get():2 tryOptimisticRead():1 readLock():1 validate():1 unlockRead():1 ] Subscriptions[  ] deregister[ getSubscriptionSet():1 writeLock():1 deregister():1 remove():1 unlockWrite():1 ] send[ getSubscriptionSet():1 send():1 ] register[ getSubscriptionSet():1 writeLock():1 putIfAbsent():1 unlockWrite():1 register():1 ] ,"src/main/java/services/moleculer/transporter/InternalTransporter.java: [Extract Method(18), Remove Parameter(3), Change Class Access Modifier(2), Add Attribute Modifier(2), Remove Attribute Modifier(2)]"
services.moleculer.util.CommonUtils,class,219 -> 222,c8771765065a36220554394b84c253456dd737da -> 7d85d5d251dbafa0e0c75abac6cfe093dd453024,89,27,62,14,13.0,13.0,1.0,1.0,169.0,118.0,341.0,307.0,0.0,0.0,70.0,70.0,101.0,86.0,decompress[ inflate():1 toByteArray():1 finished():1 write():1 setInput():1 ] compress[ deflate():1 toByteArray():1 finish():1 finished():1 write():1 setInput():1 ] readFully[ read():1 toByteArray():1 write():1 close():1 ] getFormat[ lastIndexOf():1 getReader():1 toLowerCase():1 substring():1 ] nameOf[ trim():3 getName():2 isEmpty():2 substring():2 lastIndexOf():2 getClass():1 max():1 toLowerCase():1 getAnnotation():1 get():1 requireNonNull():1 value():1 indexOf():1 charAt():1 ] typeOf[ get():1 isEmpty():1 asString():1 isPrimitive():1 ] readTree[ readFully():1 ] ,src/main/java/services/moleculer/util/CommonUtils.java: [Extract Method(23)]
services.moleculer.service.AbstractContainer,class,64 -> 65,46958e69fddc9bd25276a73127d998a27c2d4a1c -> 38ecd30414d34df679330a6073db623d3d6590a5,0,0,0,16,9.0,12.0,1.0,1.0,28.0,33.0,73.0,70.0,2.0,2.0,7.0,15.0,17.0,16.0,call[ call():1 putObject():1 setObject():1 ] AbstractContainer[  ] stop[  ] cached[  ] start[ get():4 split():1 ] name[  ] cacheKeys[  ] nodeID[  ] ,"src/main/java/services/moleculer/service/AbstractContainer.java: [Change Attribute Access Modifier(11), Remove Attribute Modifier(8), Pull Up Method(8), Pull Up Attribute(8), Extract Class(3), Move Attribute(3), Extract Superclass(1)]"
services.moleculer.util.redis.RedisGetSetClient,class,375 -> 428,0ea9e48eb4bd2d5bd1f6b09e53438159468cf598 -> f6f70e1d154f61271b0962d190aedf84c2ff35b1,141,8,133,62,20.0,17.0,1.0,2.0,0.0,0.0,242.0,134.0,0.0,0.0,55.0,35.0,53.0,38.0,RedisGetSetClient[  ] connect[ eventLoopGroupProvider():1 resolve():1 eventBus():1 build():1 reject():1 builder():1 parseURLs():1 eventExecutorGroup():1 ] ,"src/main/java/services/moleculer/util/redis/RedisGetSetClient.java: [Extract And Move Method(34), Change Return Type(4), Add Class Modifier(2), Rename Attribute(2), Change Method Access Modifier(1), Move Method(1)]"
services.moleculer.context.DefaultContextFactory,class,63 -> 64,563c2d1a424b70e2468c65f4e060863d09733a22 -> 46958e69fddc9bd25276a73127d998a27c2d4a1c,35,11,24,23,8.0,9.0,2.0,2.0,0.0,0.0,21.0,12.0,0.0,0.0,6.0,4.0,5.0,2.0,init[ components():1 uidGenerator():1 nodeID():1 ] create[ meta():2 parentContext():1 equals():1 nextUID():1 nodeID():1 copyFrom():1 ] ,src/main/java/services/moleculer/context/DefaultContextFactory.java: [Move Method(1)]
services.moleculer.transporter.TcpTransporter,class,171 -> 173,83c14b9e7c31a01c0f1b7b448556c133bbec5ca1 -> f8c659bd5e01b315dfeeed9df665ea90166fb08e,933,333,600,18,19.0,19.0,2.0,2.0,721.0,774.0,905.0,701.0,0.0,0.0,94.0,88.0,225.0,187.0,TcpTransporter[  ] disconnect[ close():1 ] reconnect[ disconnect():1 schedule():1 info():1 ] sendToNode[ get():1 write():1 ] stop[ disconnect():1 ] subscribe[ resolve():1 ] publish[ warn():3 substring():3 indexOf():2 sendToNode():1 reconnect():1 sendToAllNodes():1 write():1 ] start[  ] sendToAllNodes[  ] error[ warn():1 reconnect():1 ] connect[ endsWith():2 connected():1 disconnect():1 warn():1 reconnect():1 isEmpty():1 getMessage():1 open():1 info():1 ] ,"src/main/java/services/moleculer/transporter/TcpTransporter.java: [Extract Attribute(24), Extract Method(20), Rename Parameter(4), Change Parameter Type(4)]"
