Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
services.moleculer.service.DefaultServiceRegistry,receive,64 -> 65,46958e69fddc9bd25276a73127d998a27c2d4a1c -> 38ecd30414d34df679330a6073db623d3d6590a5,0,0,0,16,2.0,3.0,31.0,27.0,7.0,5.0,5.0,5.0,5,"src/main/java/services/moleculer/service/DefaultServiceRegistry.java: [Extract Variable(10), Rename Attribute(10), Rename Variable(8), Change Attribute Type(6), Reorder Parameter(6), Change Variable Type(4), Add Method Modifier(2), Add Attribute Modifier(2), Remove Variable Modifier(2), Remove Parameter(2), Move Attribute(1), Add Parameter(1), Move Method(1)]"
services.moleculer.transporter.tcp.TcpWriter,run,150 -> 151,073bc5ffa548dba753a60ffa90726eefc141c717 -> 585037231e4083f5e8a362403efc2e4ecfef50cf,217,65,152,9,2.0,3.0,90.0,61.0,29.0,24.0,20.0,16.0,29,"src/main/java/services/moleculer/transporter/tcp/TcpWriter.java: [Extract Method(63), Extract Variable(10), Extract And Move Method(10), Rename Variable(8), Remove Thrown Exception Type(3)]"
services.moleculer.config.ComponentRegistry,stop,50 -> 53,f1c622e996e478f7dd68afe2142ebff4daeb54b9 -> 20bf5268910a6e1f0d574b0b523a24fa2256aa12,351,44,307,13,1.0,0.0,13.0,2.0,3.0,0.0,2.0,1.0,4,"src/main/java/services/moleculer/config/ComponentRegistry.java: [Extract And Move Method(11), Remove Attribute Modifier(8), Add Parameter(2), Move Method(2), Move And Rename Class(1), Add Class Modifier(1)]"
services.moleculer.service.DefaultServiceRegistry,isServicesOnline,415 -> 587,b7a1b615dde8427a671a5c9ccc01e6283024eb13 -> 8edc35926c7505f2d72579518bdbb488643da268,0,0,0,9,1.0,1.0,22.0,11.0,6.0,4.0,6.0,2.0,6,src/main/java/services/moleculer/service/DefaultServiceRegistry.java: [Extract Method(25)]
services.moleculer.transporter.AmqpTransporter,publish,103 -> 293,18bc9a3547417bcffa8b40b5aaa5b17a7a3a017e -> e077958c125ddabce4a992ba7110bd5a72b3f527,217,133,84,7,3.0,2.0,13.0,22.0,6.0,7.0,4.0,6.0,6,"src/main/java/services/moleculer/transporter/AmqpTransporter.java: [Extract Method(35), Change Attribute Type(2)]"
services.moleculer.transporter.tcp.TcpWriter,disconnect,150 -> 151,073bc5ffa548dba753a60ffa90726eefc141c717 -> 585037231e4083f5e8a362403efc2e4ecfef50cf,217,65,152,9,1.0,1.0,27.0,24.0,5.0,5.0,5.0,5.0,8,"src/main/java/services/moleculer/transporter/tcp/TcpWriter.java: [Extract Method(63), Extract Variable(10), Extract And Move Method(10), Rename Variable(8), Remove Thrown Exception Type(3)]"
services.moleculer.service.NodeDescriptor,switchToOffline,173 -> 177,f8c659bd5e01b315dfeeed9df665ea90166fb08e -> 5e29ccfffed018ab16903b6ca196b48210d201b2,42,26,16,14,1.0,2.0,8.0,7.0,3.0,3.0,2.0,2.0,3,"src/main/java/services/moleculer/service/NodeDescriptor.java: [Extract Class(4), Change Attribute Access Modifier(2), Move Attribute(2), Move Method(2), Change Method Access Modifier(2), Remove Method Modifier(2), Remove Attribute Modifier(1), Add Attribute Modifier(1)]"
services.moleculer.transporter.tcp.TcpWriter,send,151 -> 152,585037231e4083f5e8a362403efc2e4ecfef50cf -> f428d3c752cca0f4fb678c1f24d7177b9850b868,164,119,45,5,4.0,5.0,44.0,27.0,13.0,9.0,6.0,5.0,13,"src/main/java/services/moleculer/transporter/tcp/TcpWriter.java: [Extract Method(44), Inline Method(40), Change Variable Type(8), Rename Variable(4), Parameterize Variable(4), Remove Method Annotation(3), Add Parameter(3), Change Attribute Type(2)]"
services.moleculer.service.NodeDescriptor,switchToOnline,177 -> 178,5e29ccfffed018ab16903b6ca196b48210d201b2 -> 2e333d152a607b9a5175396409ea32e16180c75b,294,133,161,14,2.0,2.0,6.0,3.0,3.0,1.0,2.0,1.0,3,"src/main/java/services/moleculer/service/NodeDescriptor.java: [Extract Class(4), Change Attribute Access Modifier(2), Move Attribute(2), Move Method(2), Change Method Access Modifier(2), Remove Method Modifier(2), Remove Attribute Modifier(1), Add Attribute Modifier(1)]"
services.moleculer.stream.PacketStream,transferTo,384 -> 393,c4140252035216a9cd674ae899fd2c5940811c80 -> 78abcb093b4828836f9d73bfb8c551c9485d78e4,469,469,0,22,2.0,1.0,4.0,26.0,1.0,6.0,2.0,6.0,1,"src/main/java/services/moleculer/stream/PacketStream.java: [Inline Method(153), Rename Parameter(16), Extract Method(6), Add Parameter(6), Change Variable Type(4), Add Thrown Exception Type(3), Rename Method(2)]"
services.moleculer.ServiceBroker,getLogger,31 -> 216,db8967b8b4c9eb993389dd9051ff03b44d84c8f3 -> b24739d766841c69093d8b3a46971978e1651485,255,249,6,38,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"src/main/java/services/moleculer/ServiceBroker.java: [Extract Method(47), Add Method Modifier(4), Change Return Type(4), Rename Parameter(4), Extract And Move Method(4), Add Class Modifier(2), Add Attribute Modifier(2), Rename Attribute(2), Move Attribute(1)]"
services.moleculer.config.BaseComponentRegistry,start,153 -> 154,658e33995a0c88140c9c56368409f079120f98ed -> fdfd5ad8984a58662f9205e5fb86eaabf305f082,0,0,0,16,16.0,15.0,102.0,102.0,34.0,34.0,31.0,31.0,31,"src/main/java/services/moleculer/config/BaseComponentRegistry.java: [Change Method Access Modifier(1), Move Method(1)]"
services.moleculer.transporter.TransporterTest,setUp,288 -> 289,7d455ad315df82a0a78c6363344dc3a4fa4b5aeb -> 8ab3e4025113e52ac92cf7c71271731638bc80cf,133,121,12,16,7.0,7.0,18.0,14.0,11.0,11.0,1.0,1.0,11,"src/test/java/services/moleculer/transporter/TransporterTest.java: [Pull Up Method(2), Extract Superclass(1)]"
services.moleculer.config.ServiceBrokerConfig,setScheduler,62 -> 215,fff362794e27ddfebda1aa19fcf645a9d07e4834 -> 734d3d52d5f96e70f3887bdba620dcc5c9afdcbd,115,115,0,141,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1,"src/main/java/services/moleculer/config/ServiceBrokerConfig.java: [Change Return Type(6), Rename Method(4), Rename Parameter(4), Change Parameter Type(4), Remove Parameter(2), Change Method Access Modifier(2), Move And Rename Method(1), Move Method(1)]"
services.moleculer.service.DefaultServiceRegistry,stop,68 -> 77,647c31e7a1294493c5f6adcdf3b1ebbe15f64f6e -> 6d24b1513a077d14491c5a8fbd8553ec83bbfbb2,0,0,0,17,3.0,3.0,35.0,26.0,14.0,11.0,7.0,5.0,8,"src/main/java/services/moleculer/service/DefaultServiceRegistry.java: [Extract Variable(10), Rename Attribute(10), Rename Variable(8), Change Attribute Type(6), Reorder Parameter(6), Change Variable Type(4), Add Method Modifier(2), Add Attribute Modifier(2), Remove Variable Modifier(2), Remove Parameter(2), Move Attribute(1), Add Parameter(1), Move Method(1)]"
services.moleculer.transporter.MqttTransporter,disconnect,99 -> 158,eb7dc723d1b2bf387566700d2fa7af5abac8f6d7 -> 02493eb1d997f297403c4bc9971b55fbbfc63a5b,0,0,0,14,1.0,0.0,30.0,29.0,13.0,12.0,7.0,7.0,2,"src/main/java/services/moleculer/transporter/MqttTransporter.java: [Extract Method(24), Change Attribute Type(10), Rename Attribute(8), Encapsulate Attribute(4)]"
services.moleculer.util.CommonUtils,scan,153 -> 154,658e33995a0c88140c9c56368409f079120f98ed -> fdfd5ad8984a58662f9205e5fb86eaabf305f082,22,4,18,16,1.0,1.0,54.0,38.0,29.0,20.0,13.0,9.0,24,src/main/java/services/moleculer/util/CommonUtils.java: [Extract Method(23)]
services.moleculer.eventbus.DefaultEventbus,broadcast,559 -> 561,bbd644c457650f3086281feac0ac6afd7232ce97 -> 105eadaa8e1a85528abc440fdc58d8bd4a233121,20,10,10,25,5.0,4.0,25.0,25.0,6.0,5.0,6.0,6.0,25,"src/main/java/services/moleculer/eventbus/DefaultEventbus.java: [Extract Method(418), Extract Variable(10), Remove Method Annotation(3), Extract Interface(2)]"
services.moleculer.ServiceBroker,destroyService,31 -> 61,db8967b8b4c9eb993389dd9051ff03b44d84c8f3 -> 0996ed8fc9bddb683d8c6aa9458860d2a6e8b974,96,73,23,6,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2,"src/main/java/services/moleculer/ServiceBroker.java: [Extract Method(47), Add Method Modifier(4), Change Return Type(4), Rename Parameter(4), Extract And Move Method(4), Add Class Modifier(2), Add Attribute Modifier(2), Rename Attribute(2), Move Attribute(1)]"
services.moleculer.ServiceBroker,start,36 -> 39,4a250689fa2faf80fd717d9b83be8a6458c523a9 -> eafdc6884817f980dd65e1e417ff68cea5dba755,22,8,14,26,1.0,2.0,16.0,13.0,7.0,4.0,5.0,3.0,7,"src/main/java/services/moleculer/ServiceBroker.java: [Extract Method(47), Add Method Modifier(4), Change Return Type(4), Rename Parameter(4), Extract And Move Method(4), Add Class Modifier(2), Add Attribute Modifier(2), Rename Attribute(2), Move Attribute(1)]"
services.moleculer.cacher.RedisCacher,start,120 -> 126,9aa54d22bd5d40f5aee25a79832300e01a17f05d -> 57d2a9c8023eb7223ed7f524ca90f77c058e5afd,0,0,0,6,7.0,7.0,53.0,52.0,23.0,22.0,9.0,9.0,18,"src/main/java/services/moleculer/cacher/RedisCacher.java: [Extract Superclass(2), Pull Up Attribute(1)]"
services.moleculer.transporter.KafkaTransporter,start,154 -> 157,fdfd5ad8984a58662f9205e5fb86eaabf305f082 -> 67e4f244555f98945466ca209f7cc30536fd1b49,20,2,18,13,3.0,4.0,24.0,7.0,13.0,4.0,5.0,1.0,16,"src/main/java/services/moleculer/transporter/KafkaTransporter.java: [Extract Method(17), Rename Method(6), Rename Parameter(4), Encapsulate Attribute(4), Rename Attribute(2)]"
services.moleculer.ServiceBroker,createService,219 -> 222,c8771765065a36220554394b84c253456dd737da -> 7d85d5d251dbafa0e0c75abac6cfe093dd453024,19,12,7,14,2.0,2.0,8.0,3.0,2.0,2.0,2.0,1.0,2,"src/main/java/services/moleculer/ServiceBroker.java: [Extract Method(14), Inline Method(13), Move And Inline Method(10), Change Parameter Type(4), Change Attribute Type(2)]"
services.moleculer.context.CallingOptions,retryCount,112 -> 115,5f1c32db752b508f7c2c3e979d33863646f7a9cc -> 8a4de407ad26c5371aca83d6807ed3b7d489e0b1,55,23,32,17,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,1,"src/main/java/services/moleculer/context/CallingOptions.java: [Extract Class(13), Move Attribute(6), Remove Attribute Modifier(6), Change Return Type(4), Move Method(4), Add Parameter(3), Add Method Modifier(2)]"
services.moleculer.actions.ActionContainer,handler,21 -> 24,9265fb7f26edb9612665945f8cbfb211be716943 -> bb9108a66f53fc978772c4ae5fd3f92dc9338d12,0,0,0,4,3.0,3.0,21.0,21.0,5.0,5.0,6.0,5.0,5,"src/main/java/services/moleculer/actions/ActionContainer.java: [Remove Method Annotation(2), Pull Up Method(2)]"
