Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.nosqlbench.driver.pulsar.PulsarSpace,getEffectiveProducerTopicName,1809 -> 3946,adf1ea03e6b32da94694156fdc53430ae4e8a7c8 -> 4b04cb3aa70baeddde325e31b754aabb188477c3,"['https://github.com/nosqlbench/nosqlbench/commit/adf1ea03e6b32da94694156fdc53430ae4e8a7c8', 'https://github.com/nosqlbench/nosqlbench/commit/4b04cb3aa70baeddde325e31b754aabb188477c3', 'https://github.com/nosqlbench/nosqlbench/commit/0c0156201cc5e2b8772512e31520ae80f0103fd4', 'https://github.com/nosqlbench/nosqlbench/commit/d1d21c8e5df129a9ed9c8bd7730e3c4d53048cee', 'https://github.com/nosqlbench/nosqlbench/commit/72dd19cb2a15dae328b567d8a2dbdf0a4bb1a0ed', 'https://github.com/nosqlbench/nosqlbench/commit/bd129c442ee4fa91a35f743273c9f934f2070f6b']",0,0,0,1,1.0,0.0,10.0,10.0,2.0,2.0,3.0,3.0,2,"driver-pulsar/src/main/java/io/nosqlbench/driver/pulsar/PulsarSpace.java: [Pull Up Method(16), Add Parameter(5), Pull Up Attribute(3), Reorder Parameter(3), Rename Attribute(2)]"
io.nosqlbench.driver.pulsar.PulsarActivity,initActivity,2427 -> 2430,686af3d9cab596ec4c27b0824f702f3aa61e6f27 -> 2fdbf8ec1ee7fbc7081b128693bd18694fc97b44,"['https://github.com/nosqlbench/nosqlbench/commit/41fd6f2fd2c790c3e30984bb8f061eedd2c99364', 'https://github.com/nosqlbench/nosqlbench/commit/ae8d733a56064988bc48c9bcfe07d8b2e04e9d3b', 'https://github.com/nosqlbench/nosqlbench/commit/70709d3d9fb04d6f7ce98cc09069075b9b9fd0ef', 'https://github.com/nosqlbench/nosqlbench/commit/ddc7544b8f9547ab757438da33f44846c740f4ac', 'https://github.com/nosqlbench/nosqlbench/commit/f4076dc5d14916c9278f11934e575ee6ca8b9ba0', 'https://github.com/nosqlbench/nosqlbench/commit/c3910d69a470fb9acb69408c18097b96b312ec36', 'https://github.com/nosqlbench/nosqlbench/commit/adf1ea03e6b32da94694156fdc53430ae4e8a7c8', 'https://github.com/nosqlbench/nosqlbench/commit/63158fcdd16c2d922398f46385007a2e267b7d34', 'https://github.com/nosqlbench/nosqlbench/commit/22ab5841609e2565578a5c9499059a5e9a196149', 'https://github.com/nosqlbench/nosqlbench/commit/feac6a94246a3d29ecb3f3aa08156bc837314611', 'https://github.com/nosqlbench/nosqlbench/commit/806f5380ae6444784758b892bbe23510686f573e', 'https://github.com/nosqlbench/nosqlbench/commit/d43c6c191b13cc7087d0987d4b678588a144102a', 'https://github.com/nosqlbench/nosqlbench/commit/10dd0cb02f293082bf7a32ea225b770cb80a6baf', 'https://github.com/nosqlbench/nosqlbench/commit/0ecf83f863edd343ababbcfbbe36e3b247bd1635', 'https://github.com/nosqlbench/nosqlbench/commit/0f53ea63a20815c7ea3bc3deff94225ea84ba776', 'https://github.com/nosqlbench/nosqlbench/commit/c166b479ca0bc05e1c8f71fea5f1b5b2b49a5719', 'https://github.com/nosqlbench/nosqlbench/commit/5fd0992e30a65873211484146222f59a5cd77c3a', 'https://github.com/nosqlbench/nosqlbench/commit/04cf2f74ab4539be1f68f4d14406fd971c61fdd1', 'https://github.com/nosqlbench/nosqlbench/commit/d3579bf40ee2b27207dfa1706dcffb8e089fd74d', 'https://github.com/nosqlbench/nosqlbench/commit/30e4942341072a2a54cbe865e26996842a698510', 'https://github.com/nosqlbench/nosqlbench/commit/6e1dbef0f1421b76c9c51bb01ac48704d85db1f8', 'https://github.com/nosqlbench/nosqlbench/commit/7a8c9d58e09f26c9054fab365426860df7868ccb', 'https://github.com/nosqlbench/nosqlbench/commit/31865d26a99d1f8e10e510044a6816b5322ac22b', 'https://github.com/nosqlbench/nosqlbench/commit/fca986e15a8ab2340cc07f4b1604c621d07b8ad4', 'https://github.com/nosqlbench/nosqlbench/commit/3ef807172b5abca200eadef86c05f646602d8094', 'https://github.com/nosqlbench/nosqlbench/commit/55d5c450511123bcde56c0414554910006cc4ccd', 'https://github.com/nosqlbench/nosqlbench/commit/6903a230496d8c652ffe12bfc5dca1c9a5f7d0a5', 'https://github.com/nosqlbench/nosqlbench/commit/686af3d9cab596ec4c27b0824f702f3aa61e6f27', 'https://github.com/nosqlbench/nosqlbench/commit/2fdbf8ec1ee7fbc7081b128693bd18694fc97b44', 'https://github.com/nosqlbench/nosqlbench/commit/e53af8bf5f99b1154feb74fed6ae8265f75c8194', 'https://github.com/nosqlbench/nosqlbench/commit/e6608234730adc8746b16604041c476ca6e9c917', 'https://github.com/nosqlbench/nosqlbench/commit/7a6ec96544d347ef2cffe62c67bfd7c641ef1449', 'https://github.com/nosqlbench/nosqlbench/commit/38307eee83b7d23b4ced0fdeea83b02f2e9656eb', 'https://github.com/nosqlbench/nosqlbench/commit/2fbf0b4ad3ba3ea5e1eface013651e8fe7845b44', 'https://github.com/nosqlbench/nosqlbench/commit/d47843b04f5c7bc661aff5a34293386f22d9ec84', 'https://github.com/nosqlbench/nosqlbench/commit/dbd42862813c3e4c00c413eed1fbf1249e425d25', 'https://github.com/nosqlbench/nosqlbench/commit/9074676d90d2eb96ec0dbeb702e3a0b971b28ba8', 'https://github.com/nosqlbench/nosqlbench/commit/f599f66516248e320ebbc102e51cb78e59f326a1', 'https://github.com/nosqlbench/nosqlbench/commit/f699b4f83f86e880e5ee886a42f3e76ae1b662ad', 'https://github.com/nosqlbench/nosqlbench/commit/ada8117a459e8474cab5c395d04b447757cd8077', 'https://github.com/nosqlbench/nosqlbench/commit/c7e469549241ca7e5debce0909e67aff31db4011', 'https://github.com/nosqlbench/nosqlbench/commit/c55bbfc1272dcb86d61601b99e773a465e32e5e6']",0,0,0,1,5.0,5.0,24.0,21.0,12.0,12.0,1.0,1.0,8,"driver-pulsar/src/main/java/io/nosqlbench/driver/pulsar/PulsarActivity.java: [Change Attribute Access Modifier(12), Rename Method(6), Rename Attribute(6), Move Method(1)]"
io.nosqlbench.driver.pulsar.ops.PulsarProducerOp,run,2930 -> 2952,04d3031ec804237cf25ffff2c3153fc877204e5c -> 366feda873b2f1c94a59e64a97a69b6c7226ca08,"['https://github.com/nosqlbench/nosqlbench/commit/f10bd283f3ec72bbedd3723924863438f93f81d2', 'https://github.com/nosqlbench/nosqlbench/commit/5dfcc59602199133e06a4637a197ea99d32858e8', 'https://github.com/nosqlbench/nosqlbench/commit/2d4fb33ab74c7e2618ee6218e4c80cdcc5a76cfe', 'https://github.com/nosqlbench/nosqlbench/commit/30e4942341072a2a54cbe865e26996842a698510', 'https://github.com/nosqlbench/nosqlbench/commit/6e1dbef0f1421b76c9c51bb01ac48704d85db1f8', 'https://github.com/nosqlbench/nosqlbench/commit/7a8c9d58e09f26c9054fab365426860df7868ccb', 'https://github.com/nosqlbench/nosqlbench/commit/31865d26a99d1f8e10e510044a6816b5322ac22b', 'https://github.com/nosqlbench/nosqlbench/commit/fca986e15a8ab2340cc07f4b1604c621d07b8ad4', 'https://github.com/nosqlbench/nosqlbench/commit/3ef807172b5abca200eadef86c05f646602d8094', 'https://github.com/nosqlbench/nosqlbench/commit/55d5c450511123bcde56c0414554910006cc4ccd', 'https://github.com/nosqlbench/nosqlbench/commit/6903a230496d8c652ffe12bfc5dca1c9a5f7d0a5', 'https://github.com/nosqlbench/nosqlbench/commit/949790b797d2d24f22c9f02e7c1a7f013718357c', 'https://github.com/nosqlbench/nosqlbench/commit/686af3d9cab596ec4c27b0824f702f3aa61e6f27', 'https://github.com/nosqlbench/nosqlbench/commit/ed4ba2725e3ae9e51c5e1afd14908ea869570110', 'https://github.com/nosqlbench/nosqlbench/commit/2fdbf8ec1ee7fbc7081b128693bd18694fc97b44', 'https://github.com/nosqlbench/nosqlbench/commit/e53af8bf5f99b1154feb74fed6ae8265f75c8194', 'https://github.com/nosqlbench/nosqlbench/commit/d940b40b104cdef96c76e4110f78b440ad1b68e5', 'https://github.com/nosqlbench/nosqlbench/commit/e75131413e8e4bca56fb675ae1c77ce8a995f7f0', 'https://github.com/nosqlbench/nosqlbench/commit/8dce4e75c37e44c9bfafd27ae731b23c6f5db577', 'https://github.com/nosqlbench/nosqlbench/commit/1afe7f5ef5dd168291a90e7ccbb42ce9be087219', 'https://github.com/nosqlbench/nosqlbench/commit/275aef1c3b96dc038beef8ddde92a519dc881a81', 'https://github.com/nosqlbench/nosqlbench/commit/0ff75f20d25ac3f690c15d91345f4df2efd18b5d', 'https://github.com/nosqlbench/nosqlbench/commit/11245c07ae26bd9dcbe967116f7e0f99eeb46cea', 'https://github.com/nosqlbench/nosqlbench/commit/70789ee99696ccd16c661ee8250a8ac6ed216265', 'https://github.com/nosqlbench/nosqlbench/commit/3b1bb5df68a6f3f1d4093c498e409424b38eb719', 'https://github.com/nosqlbench/nosqlbench/commit/15a7da061e7c83cdcaab22c25e0de663c2aeba49', 'https://github.com/nosqlbench/nosqlbench/commit/d07a8f6644fc72617bff1b25013f74ffe4b961e1', 'https://github.com/nosqlbench/nosqlbench/commit/de819020b1213dc1200cc4681e1309a70189311a', 'https://github.com/nosqlbench/nosqlbench/commit/50b73e277dbb4285d5f2ccc19d4918c4609d2b7d', 'https://github.com/nosqlbench/nosqlbench/commit/d7e0a6bc6789d6de8c530c8f13f9e89dfdf225b0', 'https://github.com/nosqlbench/nosqlbench/commit/41b17ffa62ea760823db70d4426b118ce809e88a', 'https://github.com/nosqlbench/nosqlbench/commit/04d3031ec804237cf25ffff2c3153fc877204e5c', 'https://github.com/nosqlbench/nosqlbench/commit/366feda873b2f1c94a59e64a97a69b6c7226ca08', 'https://github.com/nosqlbench/nosqlbench/commit/6efdfcf1b42e2c8a28d7a1407a4081cd058108e1', 'https://github.com/nosqlbench/nosqlbench/commit/4b04cb3aa70baeddde325e31b754aabb188477c3', 'https://github.com/nosqlbench/nosqlbench/commit/1adb553b3c9b72a7332b9cba89ad7d663d240cef', 'https://github.com/nosqlbench/nosqlbench/commit/0c0156201cc5e2b8772512e31520ae80f0103fd4', 'https://github.com/nosqlbench/nosqlbench/commit/d1d21c8e5df129a9ed9c8bd7730e3c4d53048cee', 'https://github.com/nosqlbench/nosqlbench/commit/72dd19cb2a15dae328b567d8a2dbdf0a4bb1a0ed', 'https://github.com/nosqlbench/nosqlbench/commit/bd129c442ee4fa91a35f743273c9f934f2070f6b', 'https://github.com/nosqlbench/nosqlbench/commit/bf5a31b342a5b944d06f42625abdc4abbccfff3a', 'https://github.com/nosqlbench/nosqlbench/commit/0f4263f46c25d42e553dcfc8767681fdd4c5b37e']",0,0,0,1,17.0,13.0,111.0,98.0,43.0,37.0,17.0,15.0,22,"driver-pulsar/src/main/java/io/nosqlbench/driver/pulsar/ops/PulsarProducerOp.java: [Extract Method(23), Replace Variable With Attribute(8)]"
io.nosqlbench.virtdata.library.basics.shared.from_long.to_string.DirectoryLinesStable,apply,6245 -> 6249,77e599d5747e2e3875c8206c8007fe68dcbe676f -> 72f68f077f9b0d57f21c235b1e17d0e38f233634,"['https://github.com/nosqlbench/nosqlbench/commit/aef992c3cc3c422c43109d1a099d06d5ca90c65d', 'https://github.com/nosqlbench/nosqlbench/commit/77e599d5747e2e3875c8206c8007fe68dcbe676f', 'https://github.com/nosqlbench/nosqlbench/commit/72f68f077f9b0d57f21c235b1e17d0e38f233634', 'https://github.com/nosqlbench/nosqlbench/commit/a57b7697457c6303443790a00ae541468f76d82a', 'https://github.com/nosqlbench/nosqlbench/commit/e7154f5c20433d55a4f6ef19194ef2afded0b6f5', 'https://github.com/nosqlbench/nosqlbench/commit/e43bcc9a0f86aedcade4effcc7edbab5bfc5c99c', 'https://github.com/nosqlbench/nosqlbench/commit/f8025524699e093abea2d4938e24c6307e40b6cf']",0,0,0,1,1.0,0.0,9.0,10.0,1.0,2.0,2.0,2.0,2,"virtdata-lib-basics/src/main/java/io/nosqlbench/virtdata/library/basics/shared/from_long/to_string/DirectoryLinesStable.java: [Extract Method(11), Parameterize Variable(4)]"
io.nosqlbench.engine.api.activityimpl.SimpleActivity,onActivityDefUpdate,3243 -> 3255,fa2847a613e76ccb574543bc33aba35ef10c18f4 -> ada8117a459e8474cab5c395d04b447757cd8077,"['https://github.com/nosqlbench/nosqlbench/commit/a986fe442196c103adada95052ada53cd815d667', 'https://github.com/nosqlbench/nosqlbench/commit/fa2847a613e76ccb574543bc33aba35ef10c18f4', 'https://github.com/nosqlbench/nosqlbench/commit/ada8117a459e8474cab5c395d04b447757cd8077', 'https://github.com/nosqlbench/nosqlbench/commit/c7e469549241ca7e5debce0909e67aff31db4011', 'https://github.com/nosqlbench/nosqlbench/commit/a2ac3e3f75d6c8df1c5c5f92daa0a1ca782712ce']",0,0,0,1,2.0,1.0,3.0,5.0,1.0,6.0,1.0,1.0,6,engine-api/src/main/java/io/nosqlbench/engine/api/activityimpl/SimpleActivity.java: [Extract Method(16)]
io.nosqlbench.adapter.jdbc.optypes.JDBCExecuteOp,run,4397 -> 4580,a021649cd9e3e104d459be2b2cdb97ca87575ca4 -> d69d3a6eab226ba3de765fa4806ec6ff1861ef48,"['https://github.com/nosqlbench/nosqlbench/commit/d92c73b8cf5c9d95c9a1fb46b603ce440cc1e3d7', 'https://github.com/nosqlbench/nosqlbench/commit/a2c983b23fbddd54979a676307a2dc9b2d46cb1e', 'https://github.com/nosqlbench/nosqlbench/commit/6c4a8351d3ae5374dcd2b6693f4f7e58af69c42a', 'https://github.com/nosqlbench/nosqlbench/commit/3a18a84da07f85a030b2a08d0b01f4ccb1bfbfe8', 'https://github.com/nosqlbench/nosqlbench/commit/a021649cd9e3e104d459be2b2cdb97ca87575ca4', 'https://github.com/nosqlbench/nosqlbench/commit/d69d3a6eab226ba3de765fa4806ec6ff1861ef48']",0,0,0,12,3.0,1.0,44.0,27.0,18.0,10.0,9.0,5.0,21,adapter-jdbc/src/main/java/io/nosqlbench/adapter/jdbc/optypes/JDBCExecuteOp.java: [Push Down Method(1)]
io.nosqlbench.engine.api.activityimpl.SimpleActivity,getErrorHandler,3328 -> 4289,f52647e86127804d97f7f8f6958785101e1837d9 -> 53832ec0270393de3e0a924a31bdfc96623eec80,"['https://github.com/nosqlbench/nosqlbench/commit/5ecda12f441dc746c2a42c03f13fb7d5909dcf4a', 'https://github.com/nosqlbench/nosqlbench/commit/a986fe442196c103adada95052ada53cd815d667', 'https://github.com/nosqlbench/nosqlbench/commit/548ae08ec4d9f37fa63b12f2c0ccc0b797ddf9d5', 'https://github.com/nosqlbench/nosqlbench/commit/069e96fcebceba00b9d399a3d1d17fd99bc517fb', 'https://github.com/nosqlbench/nosqlbench/commit/a6c1502cc7de0cd96d4de930afae737e47e83553', 'https://github.com/nosqlbench/nosqlbench/commit/a1371af997cd234b0dccc492062d2bb11db1c866', 'https://github.com/nosqlbench/nosqlbench/commit/b76bfd8dc95dfcd6e2d31a391d258fd1d6e74a0a', 'https://github.com/nosqlbench/nosqlbench/commit/f1bf47e71958873bd500a55d2a28ca3639296deb', 'https://github.com/nosqlbench/nosqlbench/commit/37150c33a77a8067e85cabb36646e4470ce3faa6', 'https://github.com/nosqlbench/nosqlbench/commit/fee23ab4803f3a1571a7ce49449f5befd063133b', 'https://github.com/nosqlbench/nosqlbench/commit/edc43c5b020441fe0c304f8a345a36dce881f975', 'https://github.com/nosqlbench/nosqlbench/commit/422c3bcb6d0a35ae11dd673e136dbf1b3962066e', 'https://github.com/nosqlbench/nosqlbench/commit/6a1c9337f34b570cb5ab5d569ea70fcdfb740d4b', 'https://github.com/nosqlbench/nosqlbench/commit/b7967bd0c3428d3df6fca9672a041c8e4b56a424', 'https://github.com/nosqlbench/nosqlbench/commit/9074676d90d2eb96ec0dbeb702e3a0b971b28ba8', 'https://github.com/nosqlbench/nosqlbench/commit/f599f66516248e320ebbc102e51cb78e59f326a1', 'https://github.com/nosqlbench/nosqlbench/commit/f52647e86127804d97f7f8f6958785101e1837d9', 'https://github.com/nosqlbench/nosqlbench/commit/53832ec0270393de3e0a924a31bdfc96623eec80', 'https://github.com/nosqlbench/nosqlbench/commit/8552cf00dcef3363702821e3ab93dbdf6909e346', 'https://github.com/nosqlbench/nosqlbench/commit/5736a48de8b233ff0d60e5503a89ec1b1780201f', 'https://github.com/nosqlbench/nosqlbench/commit/0638c71f6fb1505322e7df56c11b2d2cabb41602', 'https://github.com/nosqlbench/nosqlbench/commit/b8f206726594214c96506c85ba6c8c2faedbea06', 'https://github.com/nosqlbench/nosqlbench/commit/8728d305eed85ffe23ecd2ac09ac34fb368a6987', 'https://github.com/nosqlbench/nosqlbench/commit/2ce57971b6cc1834db1c7bc42f729093ae97818b', 'https://github.com/nosqlbench/nosqlbench/commit/152593388afe33315d062972770e3cec49ac5249', 'https://github.com/nosqlbench/nosqlbench/commit/375af41131efe16e75720ff07a63cc22e9702370', 'https://github.com/nosqlbench/nosqlbench/commit/a6dc563cc19b6cfd6f4b7cf7fc894db6434aee3b', 'https://github.com/nosqlbench/nosqlbench/commit/b33389824980c41c7d227a465ffa5875287763d1', 'https://github.com/nosqlbench/nosqlbench/commit/136ae35a1101db0644eaa85fe7dc54f95990ecba', 'https://github.com/nosqlbench/nosqlbench/commit/5ab00a2c112dbaa45fecf7fa96c6f8378f676a1a', 'https://github.com/nosqlbench/nosqlbench/commit/423c872484ad88e6645357bc0fde0ec1fbdbdbd2', 'https://github.com/nosqlbench/nosqlbench/commit/8cb3051af2aab8b4f445ca8dfa4edfc01c1d817b']",0,0,0,596,2.0,1.0,6.0,6.0,4.0,4.0,2.0,2.0,5,"engine-api/src/main/java/io/nosqlbench/engine/api/activityimpl/SimpleActivity.java: [Extract Method(42), Rename Variable(8), Change Variable Type(4), Add Parameter(3)]"
io.nosqlbench.driver.pulsar.PulsarSpace,createPulsarSchemaFromConf,1801 -> 1805,b0da4a149ba1c535ae87276d2fe811fb515ce7f0 -> 8b0f4615a7dbd76e2f3fb2cfa15892692bb39875,"['https://github.com/nosqlbench/nosqlbench/commit/ddc7544b8f9547ab757438da33f44846c740f4ac', 'https://github.com/nosqlbench/nosqlbench/commit/b0da4a149ba1c535ae87276d2fe811fb515ce7f0', 'https://github.com/nosqlbench/nosqlbench/commit/8b0f4615a7dbd76e2f3fb2cfa15892692bb39875', 'https://github.com/nosqlbench/nosqlbench/commit/ada7aaadc6f97adbfb6af97c57dd22463db6f19e', 'https://github.com/nosqlbench/nosqlbench/commit/feac6a94246a3d29ecb3f3aa08156bc837314611', 'https://github.com/nosqlbench/nosqlbench/commit/806f5380ae6444784758b892bbe23510686f573e', 'https://github.com/nosqlbench/nosqlbench/commit/d43c6c191b13cc7087d0987d4b678588a144102a', 'https://github.com/nosqlbench/nosqlbench/commit/10dd0cb02f293082bf7a32ea225b770cb80a6baf', 'https://github.com/nosqlbench/nosqlbench/commit/0ecf83f863edd343ababbcfbbe36e3b247bd1635', 'https://github.com/nosqlbench/nosqlbench/commit/0f53ea63a20815c7ea3bc3deff94225ea84ba776', 'https://github.com/nosqlbench/nosqlbench/commit/04cf2f74ab4539be1f68f4d14406fd971c61fdd1', 'https://github.com/nosqlbench/nosqlbench/commit/d3579bf40ee2b27207dfa1706dcffb8e089fd74d']",0,0,0,7,2.0,2.0,15.0,13.0,6.0,6.0,5.0,3.0,6,"driver-pulsar/src/main/java/io/nosqlbench/driver/pulsar/PulsarSpace.java: [Change Attribute Access Modifier(8), Extract Subclass(6), Change Method Access Modifier(5), Push Down Method(4), Change Variable Type(4), Reorder Parameter(3), Change Return Type(2), Push Down Attribute(1)]"
io.nosqlbench.engine.api.activityconfig.rawyaml.UniformWorkloadSpecificationTest,runTest,2119 -> 3272,32a42f19a08d44fd3faef3ccdd19e3874fcd5420 -> ecabd71048da095aeca79f6d4b2ad32b42f0d200,"['https://github.com/nosqlbench/nosqlbench/commit/32a42f19a08d44fd3faef3ccdd19e3874fcd5420', 'https://github.com/nosqlbench/nosqlbench/commit/ecabd71048da095aeca79f6d4b2ad32b42f0d200']",0,0,0,8,3.0,2.0,14.0,14.0,9.0,9.0,3.0,3.0,9,"engine-api/src/test/java/io/nosqlbench/engine/api/activityconfig/rawyaml/UniformWorkloadSpecificationTest.java: [Move Method(7), Add Parameter(4), Move Class(2), Move And Rename Method(1)]"
io.nosqlbench.engine.api.activityimpl.SimpleActivity,createOpSequence,3328 -> 4289,f52647e86127804d97f7f8f6958785101e1837d9 -> 53832ec0270393de3e0a924a31bdfc96623eec80,"['https://github.com/nosqlbench/nosqlbench/commit/f52647e86127804d97f7f8f6958785101e1837d9', 'https://github.com/nosqlbench/nosqlbench/commit/53832ec0270393de3e0a924a31bdfc96623eec80', 'https://github.com/nosqlbench/nosqlbench/commit/8552cf00dcef3363702821e3ab93dbdf6909e346', 'https://github.com/nosqlbench/nosqlbench/commit/5736a48de8b233ff0d60e5503a89ec1b1780201f', 'https://github.com/nosqlbench/nosqlbench/commit/0638c71f6fb1505322e7df56c11b2d2cabb41602', 'https://github.com/nosqlbench/nosqlbench/commit/b8f206726594214c96506c85ba6c8c2faedbea06', 'https://github.com/nosqlbench/nosqlbench/commit/8728d305eed85ffe23ecd2ac09ac34fb368a6987', 'https://github.com/nosqlbench/nosqlbench/commit/2ce57971b6cc1834db1c7bc42f729093ae97818b']",0,0,0,596,9.0,8.0,26.0,26.0,15.0,15.0,5.0,5.0,15,"engine-api/src/main/java/io/nosqlbench/engine/api/activityimpl/SimpleActivity.java: [Extract Method(42), Rename Variable(8), Change Variable Type(4), Add Parameter(3)]"
