Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
py4j.Protocol,getMemberOutputCommand,560 -> 581,a2beb44d9b20b68d7fbf85d21a16a9f1e0d5e177 -> 7f193b9054dbc85ca4091a81332dd7abab0fa3b7,0,0,0,4,0.0,0.0,8.0,7.0,2.0,2.0,1.0,1.0,2,"py4j-java/src/py4j/Protocol.java: [Extract Method(6), Change Variable Type(4), Parameterize Variable(4)]"
py4j.ClientServerConnection,initCommands,561 -> 712,80c6fc7fc1b2eddcce9c57cd8c7e1f832b2869aa -> f9bca424315633aeda44b30779c627202cf1531b,15,15,0,22,2.0,3.0,16.0,15.0,6.0,4.0,4.0,4.0,6,"py4j-java/src/py4j/ClientServerConnection.java: [Extract Class(12), Move Method(7), Move Attribute(4), Add Attribute Modifier(3), Remove Method Annotation(2)]"
py4j.Protocol,getOutputErrorCommand,560 -> 581,a2beb44d9b20b68d7fbf85d21a16a9f1e0d5e177 -> 7f193b9054dbc85ca4091a81332dd7abab0fa3b7,0,0,0,4,2.0,2.0,9.0,8.0,5.0,5.0,1.0,1.0,1,"py4j-java/src/py4j/Protocol.java: [Extract Method(6), Change Variable Type(4), Parameterize Variable(4)]"
py4j.Protocol,getOutputCommand,560 -> 581,a2beb44d9b20b68d7fbf85d21a16a9f1e0d5e177 -> 7f193b9054dbc85ca4091a81332dd7abab0fa3b7,0,0,0,4,1.0,1.0,13.0,12.0,5.0,5.0,2.0,2.0,10,"py4j-java/src/py4j/Protocol.java: [Extract Method(6), Change Variable Type(4), Parameterize Variable(4)]"
py4j.GatewayServer,GatewayServer,555 -> 558,10a900e9c7bdec9fb93d7fb45596f8d62dbe36a0 -> f4537863172ece915ad4e2172fc8d4c21d7ee49c,0,0,0,13,3.0,3.0,14.0,14.0,4.0,3.0,1.0,1.0,4,py4j-java/src/py4j/GatewayServer.java: [Extract Method(25)]
py4j.AbstractCommand,getArguments,120 -> 121,87047ff1c8a3255c43cb4edf12de16a584d16a2b -> e3b799e04af5ac1bc352a4cde915d87e7d1a46b3,0,0,0,15,3.0,2.0,9.0,8.0,4.0,3.0,2.0,2.0,6,py4j-java/src/py4j/AbstractCommand.java: [Extract Method(17)]
py4j.ClientServerConnection,waitForCommands,712 -> 713,f9bca424315633aeda44b30779c627202cf1531b -> 216432d859de41441f0d1a0d55b31b5d8d09dd28,0,0,0,16,3.0,4.0,50.0,48.0,12.0,11.0,12.0,12.0,11,"py4j-java/src/main/java/py4j/ClientServerConnection.java: [Extract Method(8), Add Thrown Exception Type(3)]"
py4j.GatewayConnection,run,712 -> 713,f9bca424315633aeda44b30779c627202cf1531b -> 216432d859de41441f0d1a0d55b31b5d8d09dd28,11,3,8,16,3.0,4.0,50.0,48.0,12.0,11.0,12.0,12.0,5,py4j-java/src/main/java/py4j/GatewayConnection.java: [Extract Method(8)]
py4j.Protocol,getMemberOutputCommand,560 -> 581,a2beb44d9b20b68d7fbf85d21a16a9f1e0d5e177 -> 7f193b9054dbc85ca4091a81332dd7abab0fa3b7,0,0,0,4,0.0,0.0,9.0,8.0,3.0,3.0,1.0,1.0,3,"py4j-java/src/py4j/Protocol.java: [Extract Method(6), Change Variable Type(4), Parameterize Variable(4)]"
py4j.ClientServer,createPythonClient,660 -> 710,fd933e3d234890310d180effc090e979942ba134 -> 3ee882f9d8c0d4daad011c4bbc6c562921f705c0,2,1,1,1,2.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1,"py4j-java/src/main/java/py4j/ClientServer.java: [Change Attribute Access Modifier(24), Extract Method(12), Change Attribute Type(4)]"
py4j.ClientServerConnection,waitForCommands,561 -> 571,80c6fc7fc1b2eddcce9c57cd8c7e1f832b2869aa -> 76b1b0f21554fc456335c3d134b1cbdc2fac0011,0,0,0,6,3.0,2.0,31.0,30.0,11.0,10.0,7.0,7.0,11,"py4j-java/src/py4j/ClientServerConnection.java: [Extract Class(12), Move Method(7), Move Attribute(4), Add Attribute Modifier(3), Remove Method Annotation(2)]"
py4j.Protocol,getPythonProxyHandler,560 -> 655,a2beb44d9b20b68d7fbf85d21a16a9f1e0d5e177 -> 493c34aadf9f2d9f648f471ce49018de87d23a8c,0,0,0,15,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3,"py4j-java/src/py4j/Protocol.java: [Extract Method(6), Change Variable Type(4), Parameterize Variable(4)]"
py4j.GatewayServer,addListener,223 -> 674,05d7fa5aa8588339fe72560dbafaf40cf4356f59 -> c8fc68590b935de0bedd5a1fadb5e2d079afc497,0,0,0,1,1.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,2,py4j-java/src/py4j/GatewayServer.java: [Extract Method(12)]
py4j.GatewayConnection,shutdown,653 -> 663,50fe45e46ca3c31f8ae140a3a12448cd5132ca46 -> 960d4f65bb9b2954741dafb2a04677daa8748c45,15,11,4,10,2.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,3,py4j-java/src/main/java/py4j/GatewayConnection.java: [Extract Method(10)]
py4j.ClientServer,ClientServer,660 -> 712,fd933e3d234890310d180effc090e979942ba134 -> f9bca424315633aeda44b30779c627202cf1531b,23,20,3,22,4.0,0.0,23.0,3.0,7.0,0.0,2.0,1.0,6,"py4j-java/src/main/java/py4j/ClientServer.java: [Change Attribute Access Modifier(24), Extract Method(12), Change Attribute Type(4)]"
