Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
com.vrg.rapid.PingPongFailureDetector,class,256 -> 258,5f8cb446e3ac53a90549ca916c2aa1fa441fb370 -> 26ac9daa9979981cd76899750eb266340985cb57,135,51,84,11,12.0,9.0,1.0,1.0,0.0,0.0,101.0,74.0,0.0,0.0,19.0,11.0,10.0,5.0,checkMonitoree[ trace():1 get():1 create():1 sendProbeMessage():1 addCallback():1 ] hasFailed[ get():2 trace():1 containsKey():1 ] PingPongFailureDetector[  ] onMembershipChange[ clear():2 build():1 toString():1 setSender():1 newBuilder():1 putIfAbsent():1 put():1 ] handleProbeOnSuccess[ trace():2 containsKey():1 ] handleProbeOnFailure[ trace():2 incrementAndGet():1 containsKey():1 get():1 ] handleProbeMessage[ getDefaultInstance():1 trace():1 onCompleted():1 getSender():1 onNext():1 ] ,rapid/src/main/java/com/vrg/rapid/PingPongFailureDetector.java: [Move Method(4)]
com.vrg.rapid.RpcClient,class,224 -> 225,97ebd798d9e9f67ddee591081bc78e0eaf484f03 -> efd82873869604895258268d37890a187af76c24,22,6,16,6,24.0,22.0,1.0,1.0,35.0,35.0,156.0,156.0,0.0,0.0,56.0,53.0,25.0,25.0,sendLinkUpdateMessage[ requireNonNull():4 toString():3 receiveLinkUpdateMessage():2 computeIfAbsent():2 withDeadlineAfter():2 setLinkSrc():1 build():1 setLinkDst():1 setSender():1 setConfigurationId():1 newBuilder():1 setLinkStatus():1 ] createBlockingStub[ getPort():1 getHostText():1 build():1 usePlaintext():1 forAddress():1 newFutureStub():1 ] sendJoinMessage[ requireNonNull():5 toString():2 build():1 computeIfAbsent():1 receiveJoinMessage():1 sendJoinMessage():1 setSender():1 setUuid():1 newBuilder():1 withDeadlineAfter():1 ] sendJoinPhase2Message[ requireNonNull():3 toString():2 setRingNumber():1 receiveJoinPhase2Message():1 build():1 computeIfAbsent():1 setSender():1 setUuid():1 newBuilder():1 setConfigurationId():1 withDeadlineAfter():1 ] RpcClient[  ] sendGossip[ requireNonNull():2 gossip():2 getPort():1 getHostText():1 build():1 usePlaintext():1 containsKey():1 get():1 forAddress():1 newFutureStub():1 ] ,rapid/src/main/java/com/vrg/rapid/RpcClient.java: [Extract Method(10)]
com.vrg.rapid.DeferredReceiveInterceptor,class,63 -> 116,1981c44390df08672babdf80e6ef385f315fbb27 -> 4cc8f8c3fc729f221930c7e3428ffeccc806742a,31,5,26,8,5.0,6.0,1.0,1.0,0.0,0.0,33.0,15.0,0.0,0.0,8.0,3.0,5.0,4.0,interceptCall[ startCall():2 currentThread():1 unlock():1 await():1 interrupt():1 lock():1 ] unblock[ unlock():1 lock():1 signal():1 ] ,src/main/java/com/vrg/rapid/DeferredReceiveInterceptor.java: [Extract Class(2)]
com.vrg.rapid.MembershipService,class,336 -> 337,0a1788f671ef6690b5bd3d97951578ede9cf693a -> 74d414be8c4d86a52dec05896aa57cda0e6be7ed,146,15,131,7,42.0,37.0,1.0,1.0,0.0,0.0,426.0,354.0,0.0,0.0,145.0,130.0,74.0,65.0,blockUntilShutdown[ awaitTermination():1 ] startServer[ println():2 getPort():1 build():1 addService():1 stopServer():1 start():1 forPort():1 addShutdownHook():1 getRuntime():1 ] stopServer[ shutdown():1 ] receiveLinkUpdateMessage[ size():1 build():1 getSrc():1 receiveLinkUpdateMessage():1 proposedViewChange():1 getDst():1 onCompleted():1 requireNonNull():1 getStatus():1 newBuilder():1 onNext():1 ] proposedViewChange[ receiveLinkUpdateMessage():1 ] MembershipService[ requireNonNull():1 ] ,"rapid/src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(37), Rename Parameter(4)]"
com.vrg.rapid.FastPaxos,class,299 -> 300,b736b57a5d2cb1d49461953e9f4c03784f4a9ab9 -> 2554520e79ba276e35a1b8a4f69d3459a7f189fb,22,10,12,1,12.0,12.0,1.0,1.0,1.0,1.0,107.0,105.0,0.0,0.0,50.0,50.0,19.0,19.0,FastPaxos[  ] handleFastRoundProposal[ getHostsList():4 trace():3 getSender():2 add():1 incrementAndGet():1 computeIfAbsent():1 toList():1 accept():1 getConfigurationId():1 contains():1 size():1 stream():1 floor():1 collect():1 map():1 ] propose[ broadcast():1 sorted():1 build():1 stream():1 toString():1 setSender():1 toList():1 addAllHosts():1 setConfigurationId():1 newBuilder():1 collect():1 map():1 ] ,"rapid/src/main/java/com/vrg/rapid/FastPaxos.java: [Extract Method(18), Remove Method Annotation(3), Add Parameter(3), Change Attribute Type(2), Add Attribute Modifier(2)]"
com.vrg.rapid.MembershipView,class,331 -> 349,cdf636310d447b55af33cb973729da94fb575264 -> 755223e9eab5fa7fcb464f096d2d7f7a21b57c09,49,44,5,3,12.0,12.0,10.0,10.0,0.0,0.0,342.0,365.0,0.0,0.0,33.0,32.0,50.0,51.0,ringAdd[ writeLock():2 add():1 unlock():1 get():1 requireNonNull():1 lock():1 binarySearch():1 ] monitoreesOf[ size():2 readLock():2 get():2 add():1 unlock():1 requireNonNull():1 lock():1 binarySearch():1 ] MembershipView[ toString():2 put():2 add():1 requireNonNull():1 ] viewRing[ readLock():2 unmodifiableList():1 unlock():1 get():1 lock():1 ] monitorsOf[ size():2 readLock():2 get():2 add():1 unlock():1 floorMod():1 requireNonNull():1 lock():1 binarySearch():1 ] deliver[ incrementAndGet():2 getSrc():2 ringAdd():1 requireNonNull():1 getStatus():1 ringDelete():1 ] ringDelete[ writeLock():2 unlock():1 get():1 requireNonNull():1 lock():1 binarySearch():1 remove():1 ] ,"rapid/src/main/java/com/vrg/rapid/MembershipView.java: [Extract Method(37), Extract Variable(10)]"
com.vrg.rapid.Cluster,class,264 -> 265,4c3d6bb4b5297539cd2dbbc8aae3c3cdfb29b37f -> 91c189a39ee09ff826d3840a71b8c03f0ff297d3,150,67,83,1,20.0,9.0,10.0,10.0,0.0,0.0,197.0,197.0,0.0,0.0,25.0,9.0,10.0,7.0,getMemberlist[ getMembershipView():1 ] start[ singletonList():2 startServer():1 build():1 randomUUID():1 setLogProposals():1 ] Cluster[  ] join[ toStringUtf8():3 toList():3 getConfigurationId():3 getStatusCode():3 stream():3 fromString():3 collect():3 map():3 getHostsList():2 get():2 add():1 allAsList():1 setLogProposals():1 getIdentifiersList():1 startServer():1 build():1 equals():1 sendJoinMessage():1 sendJoinPhase2Message():1 randomUUID():1 toString():1 ] shutdown[ blockUntilShutdown():1 stopServer():1 ] ,src/main/java/com/vrg/rapid/Cluster.java: [Extract Method(148)]
com.vrg.rapid.SharedResources,class,225 -> 226,efd82873869604895258268d37890a187af76c24 -> 05f5c3f7fb02bd7a2ae096b0d7161311ea951398,5,1,4,3,6.0,6.0,1.0,1.0,18.0,18.0,46.0,42.0,0.0,0.0,14.0,13.0,9.0,9.0,newNamedThreadFactory[ setDaemon():1 println():1 getName():1 printStackTrace():1 build():1 setUncaughtExceptionHandler():1 setNameFormat():1 format():1 ] getEventLoopGroup[  ] getProtocolExecutor[  ] SharedResources[ newFixedThreadPool():3 newFastLocalThreadFactory():3 newNamedThreadFactory():2 newSingleThreadExecutor():1 ] getServerExecutor[  ] getBackgroundExecutor[  ] getClientChannelExecutor[  ] shutdown[ shutdownNow():2 shutdownGracefully():1 ] newFastLocalThreadFactory[  ] ,"rapid/src/main/java/com/vrg/rapid/SharedResources.java: [Extract Class(6), Move Attribute(3)]"
com.vrg.rapid.MembershipService,class,336 -> 337,0a1788f671ef6690b5bd3d97951578ede9cf693a -> 74d414be8c4d86a52dec05896aa57cda0e6be7ed,146,15,131,7,42.0,37.0,1.0,1.0,0.0,0.0,426.0,354.0,0.0,0.0,145.0,130.0,74.0,65.0,blockUntilShutdown[ awaitTermination():1 ] startServer[ println():2 getPort():1 build():1 addService():1 stopServer():1 start():1 forPort():1 addShutdownHook():1 getRuntime():1 ] stopServer[ shutdown():1 ] receiveLinkUpdateMessage[ size():1 build():1 getSrc():1 receiveLinkUpdateMessage():1 proposedViewChange():1 getDst():1 onCompleted():1 requireNonNull():1 getStatus():1 newBuilder():1 onNext():1 ] proposedViewChange[ receiveLinkUpdateMessage():1 ] MembershipService[ requireNonNull():1 ] ,rapid/src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(66)]
com.vrg.rapid.PingPongFailureDetector$ProbeCallback,innerclass,256 -> 258,5f8cb446e3ac53a90549ca916c2aa1fa441fb370 -> 26ac9daa9979981cd76899750eb266340985cb57,64,29,35,11,7.0,5.0,1.0,1.0,0.0,4.0,51.0,30.0,0.0,0.0,12.0,7.0,11.0,8.0,onFailure[ set():1 handleProbeOnFailure():1 ] ProbeCallback[  ] onSuccess[ handleProbeOnFailure():2 incrementAndGet():1 set():1 equals():1 computeIfAbsent():1 handleProbeOnSuccess():1 getStatus():1 ] ,rapid/src/main/java/com/vrg/rapid/PingPongFailureDetector.java: [Move Method(4)]
