Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.vrg.rapid.MembershipService,startServer,23 -> 41,b6c2c62c7c08807c8540c8d7e1879d1fcbbcdb7d -> 9c9abbcdc1064bda91d16d44be3c56d0ddee9739,0,0,0,7,3.0,2.0,11.0,6.0,11.0,9.0,1.0,1.0,11,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(18), Extract Variable(5), Change Method Access Modifier(4)]"
com.vrg.rapid.MembershipService,filterLinkUpdateMessages,185 -> 237,538e894e4bd002b20801c447b686f170451d55b7 -> 80e4acdebf66fd01c671b2cd5871f1fbf8b3b6a4,28,10,18,10,4.0,4.0,21.0,21.0,12.0,11.0,7.0,7.0,13,"rapid/src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(37), Rename Parameter(4)]"
com.vrg.rapid.RpcClient,handleFailure,175 -> 256,58ea596227c3beec9dca82c1475b41b5dda8f9c8 -> 5f8cb446e3ac53a90549ca916c2aa1fa441fb370,0,0,0,12,5.0,5.0,13.0,11.0,6.0,6.0,4.0,4.0,7,rapid/src/main/java/com/vrg/rapid/RpcClient.java: [Extract Method(12)]
com.vrg.rapid.MembershipService,broadcastLinkUpdateMessage,23 -> 31,b6c2c62c7c08807c8540c8d7e1879d1fcbbcdb7d -> d86641a1d2f330bed6de60c0e2f37e45baf67912,7,5,2,16,4.0,4.0,4.0,4.0,6.0,2.0,1.0,1.0,6,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(18), Extract Variable(5), Change Method Access Modifier(4)]"
com.vrg.rapid.Cluster,join,75 -> 96,cf1f4e77e8e018eb3547e8c24732e66ea0accfa9 -> 37983635739e56db4366be813f267ef5fc1cfcfa,6,3,3,11,11.0,11.0,68.0,68.0,30.0,28.0,15.0,15.0,30,src/main/java/com/vrg/rapid/Cluster.java: [Extract Method(148)]
com.vrg.rapid.MembershipService$LinkFailureDetectorRunner,run,75 -> 77,cf1f4e77e8e018eb3547e8c24732e66ea0accfa9 -> 5d3661bdbe1cfbde43bb3e642ef1b9541226a0cf,51,31,20,2,8.0,6.0,43.0,34.0,28.0,27.0,7.0,7.0,28,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(16), Change Method Access Modifier(6), Replace Variable With Attribute(4), Extract Attribute(3), Rename Class(2), Change Class Access Modifier(2), Change Attribute Type(2)]"
com.vrg.rapid.MessagingTest,rpcClientErrorHandlingAfterShutdown,284 -> 294,5271b37f02326d79b42f2ee6e9a73df5e7cbe780 -> e452ed0ea5ec7d025619d3ff9e93decae52f00c0,7,3,4,18,8.0,6.0,40.0,16.0,11.0,11.0,6.0,2.0,14,"rapid/src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(7), Extract Variable(5)]"
com.vrg.rapid.RpcServer,startServer,63 -> 126,1981c44390df08672babdf80e6ef385f315fbb27 -> e5a797b8f3fa2099dcfc9e709f20f582b9906dac,15,10,5,4,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2,src/main/java/com/vrg/rapid/RpcServer.java: [Extract Class(3)]
com.vrg.rapid.MessagingTest,droppedMessage,39 -> 45,00a1c2d560fb08618def46ac3e7684c3298694f0 -> 731faaad85742728abfa9aae1072f9ffe6a1c61d,204,48,156,4,6.0,6.0,17.0,15.0,7.0,5.0,2.0,2.0,7,"src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(9), Extract Attribute(5)]"
com.vrg.rapid.MembershipService,processLinkUpdateMessage,164 -> 165,17cc5bac66786c5b653df38e73fad1b645a665e3 -> 4996c8e83182b5b672f7063b29c28e40661142dc,24,0,24,3,8.0,8.0,23.0,20.0,30.0,29.0,5.0,4.0,50,"rapid/src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(37), Rename Parameter(4)]"
com.vrg.standalone.StandaloneAgent,main,315 -> 317,a80a5bd24d312212221d46dba46084e76bc812d6 -> 38ceb8f6cf8523724e657de3118fccacdc023c5f,16,8,8,3,6.0,6.0,20.0,20.0,10.0,9.0,3.0,3.0,20,"rapid-examples/src/main/java/com/vrg/standalone/StandaloneAgent.java: [Remove Thrown Exception Type(3), Move Method(3), Move Attribute(2), Change Method Access Modifier(1), Move And Rename Method(1)]"
com.vrg.rapid.Cluster,joinCluster,225 -> 237,efd82873869604895258268d37890a187af76c24 -> 80e4acdebf66fd01c671b2cd5871f1fbf8b3b6a4,12,5,7,10,20.0,22.0,92.0,92.0,44.0,43.0,20.0,20.0,51,"rapid/src/main/java/com/vrg/rapid/Cluster.java: [Change Variable Type(8), Rename Variable(8), Change Parameter Type(4), Rename Parameter(4), Extract Class(3), Rename Attribute(2), Change Attribute Type(2), Move Attribute(1)]"
com.vrg.rapid.ClusterTest,injectAsymmetricDrops,137 -> 138,d94d03f5fcc415c2f435936a2ecf6eab9a239cdb -> 80cad4c64ecac1c475b68c543b578ac7aabc842f,52,48,4,3,4.0,3.0,12.0,12.0,7.0,7.0,1.0,1.0,7,"rapid/src/test/java/com/vrg/rapid/ClusterTest.java: [Extract Method(40), Rename Variable(8), Rename Parameter(4), Parameterize Variable(4), Rename Method(2)]"
com.vrg.rapid.RpcServer,stopServer,47 -> 50,3e8851e9ae72a1a980b4a6644479945a8ad1418f -> ea2f22171dbfcc2033b69a1199f70d5d3ba7481c,12,4,8,7,0.0,0.0,5.0,3.0,1.0,1.0,2.0,1.0,1,"src/main/java/com/vrg/rapid/RpcServer.java: [Extract Class(9), Move Method(7), Move Attribute(1)]"
com.vrg.rapid.RpcClient,createLongLivedConnections,104 -> 142,3cc8f91caec333498d4d3552ed7aa7634f994c43 -> 856c3e43790bcf5ba1172871c993f0d1633ff566,31,2,29,6,1.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,2,rapid/src/main/java/com/vrg/rapid/RpcClient.java: [Extract Method(10)]
com.vrg.rapid.MembershipService$LinkFailureDetectorRunner,run,81 -> 98,58cbeff461f0f184ca0197f904588cd77340794f -> fc87d21bd0aef103949ce19ed485985f7af57df9,0,0,0,3,6.0,6.0,35.0,33.0,27.0,26.0,7.0,6.0,28,"src/main/java/com/vrg/rapid/MembershipService.java: [Extract Method(16), Change Method Access Modifier(6), Replace Variable With Attribute(4), Extract Attribute(3), Rename Class(2), Change Class Access Modifier(2), Change Attribute Type(2)]"
com.vrg.rapid.DeferredReceiveInterceptor,interceptCall,63 -> 116,1981c44390df08672babdf80e6ef385f315fbb27 -> 4cc8f8c3fc729f221930c7e3428ffeccc806742a,31,5,26,8,4.0,4.0,18.0,8.0,6.0,2.0,4.0,3.0,6,src/main/java/com/vrg/rapid/DeferredReceiveInterceptor.java: [Extract Class(2)]
com.vrg.rapid.MessagingTest,broadcast,31 -> 34,d86641a1d2f330bed6de60c0e2f37e45baf67912 -> da5dd044926d1fcfe122740f89347c41509b8d5d,112,101,11,10,6.0,5.0,15.0,15.0,10.0,10.0,3.0,3.0,10,"src/test/java/com/vrg/rapid/MessagingTest.java: [Extract Method(9), Extract Attribute(5)]"
