Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
net.hasor.rsf.address.AddressPool,updateFlowControl,276 -> 303,659534cea0ce0e2af7d86fd069db15e2238d1374 -> 91cb0192ce8173dab52f62ad104eaa78b5430b2e,"['https://github.com/zycgit/rsf/commit/e7c898492180705b33cd9f99a283da2786ab6b3c', 'https://github.com/zycgit/rsf/commit/3079886862de8b36452e0b738c17215f0b6b2de7', 'https://github.com/zycgit/rsf/commit/e1fd418a81c7502ea0ab931dc048855fcda7b0cd', 'https://github.com/zycgit/rsf/commit/659534cea0ce0e2af7d86fd069db15e2238d1374', 'https://github.com/zycgit/rsf/commit/91cb0192ce8173dab52f62ad104eaa78b5430b2e']",575,125,450,37,3.0,2.0,18.0,14.0,7.0,6.0,4.0,3.0,7,"rsf-core/src/main/java/net/hasor/rsf/address/AddressPool.java: [Change Variable Type(28), Change Return Type(12), Remove Thrown Exception Type(6), Add Attribute Modifier(4), Change Attribute Type(4), Rename Variable(4), Inline Variable(3), Change Method Access Modifier(1), Move Method(1)]"
net.hasor.rsf.center.core.dao.DaoModule,loadModule,97 -> 100,fd75a186828f17d65c620b9a1c633710390146a0 -> 07bf468daef4991d022e3697312f699ac01eace6,"['https://github.com/zycgit/rsf/commit/fd75a186828f17d65c620b9a1c633710390146a0', 'https://github.com/zycgit/rsf/commit/07bf468daef4991d022e3697312f699ac01eace6', 'https://github.com/zycgit/rsf/commit/bf168fb9bf0a079bdcaada6e97b78a9c836be5a4', 'https://github.com/zycgit/rsf/commit/b257a10b283b0ddcba7bc57dd9b7a551c5fb7491']",12,7,5,13,8.0,6.0,22.0,21.0,12.0,9.0,3.0,3.0,12,rsf-center/src/main/java/net/hasor/rsf/center/core/dao/DaoModule.java: [Move Method(2)]
test.net.hasor.rsf.client.sync.SyncClient,doCall,43 -> 137,eeb803a4be288a55414d82e9243f00b439846c35 -> b600e1e415aa035d931c168fcc35ee054be11c7e,"['https://github.com/zycgit/rsf/commit/eeb803a4be288a55414d82e9243f00b439846c35', 'https://github.com/zycgit/rsf/commit/b600e1e415aa035d931c168fcc35ee054be11c7e']",0,0,0,26,5.0,4.0,13.0,13.0,6.0,6.0,3.0,3.0,6,"test-rsf-client/src/main/java/test/net/hasor/rsf/client/sync/SyncClient.java: [Remove Parameter(2), Change Thrown Exception Type(2), Move And Rename Method(1), Remove Method Modifier(1), Move Method(1)]"
net.hasor.rsf.protocol.hprose.HproseHttpCoder,newResponse,482 -> 483,7b68afe88afc94ddfab8ee3ebc3994a61eef31b9 -> f81c9d320928cbf3750289c75cac9c624f7378a3,"['https://github.com/zycgit/rsf/commit/7b68afe88afc94ddfab8ee3ebc3994a61eef31b9', 'https://github.com/zycgit/rsf/commit/f81c9d320928cbf3750289c75cac9c624f7378a3']",48,45,3,8,5.0,5.0,8.0,5.0,5.0,3.0,1.0,1.0,5,src/main/java/net/hasor/rsf/protocol/hprose/HproseHttpCoder.java: [Extract Method(15)]
net.hasor.rsf.rpc.context.DefaultRsfContext,DefaultRsfContext,26 -> 117,ad0dfee962e30b75173622b83659256ed0c0c6f4 -> 60a83e7d6595d6ae5d27474eab1c76f861581700,"['https://github.com/zycgit/rsf/commit/0a5f0f50d010ab4f5404fb9e27e15a346f080827', 'https://github.com/zycgit/rsf/commit/d621212e33f8055f6f678157d8abb2d2ad5447e1', 'https://github.com/zycgit/rsf/commit/3e58c08891a219d1ab95cb450892891e9021add8', 'https://github.com/zycgit/rsf/commit/468e6add8effe3e1e3aecbe7a67b891d9ed0facf', 'https://github.com/zycgit/rsf/commit/d80baac1baa55f9adc78178fdb2a265be3d544d2', 'https://github.com/zycgit/rsf/commit/e6573828eaf0bc826d47ec1b610807902684e04b', 'https://github.com/zycgit/rsf/commit/ad0dfee962e30b75173622b83659256ed0c0c6f4', 'https://github.com/zycgit/rsf/commit/60a83e7d6595d6ae5d27474eab1c76f861581700']",10,8,2,6,2.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,8,"rsf-core/src/main/java/net/hasor/rsf/rpc/context/DefaultRsfContext.java: [Extract And Move Method(13), Pull Up Method(7), Remove Attribute Modifier(5), Pull Up Attribute(5)]"
net.hasor.rsf.center.core.startup.StartAppModule,onStart,97 -> 185,fd75a186828f17d65c620b9a1c633710390146a0 -> 02f4edb486f75c4d665e601c16b3cf12fb560b71,"['https://github.com/zycgit/rsf/commit/a1b87bfd3d6eaa64a290ff1872a8a3ae35fd45ad', 'https://github.com/zycgit/rsf/commit/649ba9c7bd10ff98ce5050deddac3ed33367e05e', 'https://github.com/zycgit/rsf/commit/8488cd6b2123ff46162590aa76cf1922ff713c55', 'https://github.com/zycgit/rsf/commit/fd75a186828f17d65c620b9a1c633710390146a0', 'https://github.com/zycgit/rsf/commit/02f4edb486f75c4d665e601c16b3cf12fb560b71', 'https://github.com/zycgit/rsf/commit/24a1e5521d2043a947c9e74e039b0eefc9082c3a']",10,5,5,11,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,11,"rsf-center/src/main/java/net/hasor/rsf/center/core/startup/StartAppModule.java: [Remove Method Annotation(3), Move Method(2)]"
net.hasor.rsf.address.AddressPool,updateDefaultRoute,129 -> 203,3079886862de8b36452e0b738c17215f0b6b2de7 -> e1fd418a81c7502ea0ab931dc048855fcda7b0cd,"['https://github.com/zycgit/rsf/commit/e7c898492180705b33cd9f99a283da2786ab6b3c', 'https://github.com/zycgit/rsf/commit/3079886862de8b36452e0b738c17215f0b6b2de7', 'https://github.com/zycgit/rsf/commit/e1fd418a81c7502ea0ab931dc048855fcda7b0cd', 'https://github.com/zycgit/rsf/commit/659534cea0ce0e2af7d86fd069db15e2238d1374']",192,149,43,11,3.0,3.0,12.0,11.0,6.0,4.0,2.0,2.0,5,"rsf-core/src/main/java/net/hasor/rsf/address/AddressPool.java: [Change Variable Type(28), Change Return Type(12), Remove Thrown Exception Type(6), Add Attribute Modifier(4), Change Attribute Type(4), Rename Variable(4), Inline Variable(3), Change Method Access Modifier(1), Move Method(1)]"
net.hasor.rsf.rpc.client.RsfClientWrappe,wrapper,28 -> 76,e640dcd9f2a240c956bc21e2d688b76991aecb4e -> 20f67a6769f682a42a6c0d8136397e5e25c212cd,"['https://github.com/zycgit/rsf/commit/e640dcd9f2a240c956bc21e2d688b76991aecb4e', 'https://github.com/zycgit/rsf/commit/20f67a6769f682a42a6c0d8136397e5e25c212cd', 'https://github.com/zycgit/rsf/commit/aa35c75dfe7ff112e3cadab418819b22d6cab6a2']",34,16,18,1,5.0,5.0,21.0,20.0,8.0,6.0,6.0,6.0,8,"rsf-core/src/main/java/net/hasor/rsf/rpc/client/RsfClientWrappe.java: [Add Method Annotation(48), Move Method(27), Change Variable Type(10), Move Attribute(3), Remove Parameter Modifier(2), Add Attribute Modifier(2), Add Parameter Modifier(2), Move Class(1), Merge Class(1), Remove Attribute Modifier(1), Move And Rename Method(1)]"
net.hasor.rsf.rpc.caller.RsfRequestManager,putResponse,146 -> 147,8392d8ea67fd2b67fe6f371432294150c6fda2ed -> c659e90482881f586f59c1e5c0d0694987f981af,"['https://github.com/zycgit/rsf/commit/8392d8ea67fd2b67fe6f371432294150c6fda2ed', 'https://github.com/zycgit/rsf/commit/c659e90482881f586f59c1e5c0d0694987f981af', 'https://github.com/zycgit/rsf/commit/68ed2ee1bcf77197faf2e666a861ce7ea085ff13', 'https://github.com/zycgit/rsf/commit/cbe617aa9243f7b5a6894e78e1c6fb8425239ca5', 'https://github.com/zycgit/rsf/commit/b0e9ce6533a63d3de46a83e0f19be6751c6588df', 'https://github.com/zycgit/rsf/commit/124edf414aa2c8d63fa228ce10969b1ea985604c', 'https://github.com/zycgit/rsf/commit/725219be2796573ffd1bdf385429a1ac9c6d316c', 'https://github.com/zycgit/rsf/commit/7031fd911061c3eb593e9c6957ca86fb37bcea44', 'https://github.com/zycgit/rsf/commit/742c4a62364689cce32010700c001c5a4516962e', 'https://github.com/zycgit/rsf/commit/8cb6264822c211c97b97164182c37837cda037d0', 'https://github.com/zycgit/rsf/commit/ac18b99658122253d2337bfe1b9629e4310bd7df', 'https://github.com/zycgit/rsf/commit/31b54025e10fd95914cbf4b0e541b7f5b35fa08d']",0,0,0,8,10.0,9.0,30.0,24.0,15.0,17.0,4.0,3.0,15,"rsf-core/src/main/java/net/hasor/rsf/rpc/caller/RsfRequestManager.java: [Change Variable Type(4), Localize Parameter(4), Change Return Type(4), Remove Parameter(3), Move Method(2)]"
test.net.hasor.rsf.functions.AddressPoolTest,localDiskCacheTest,436 -> 492,31b54025e10fd95914cbf4b0e541b7f5b35fa08d -> a64866796d93328e28d31337b5ec2a8f10ad0ba5,"['https://github.com/zycgit/rsf/commit/a9f5ff70816cae24280e90e9124d78670b09b990', 'https://github.com/zycgit/rsf/commit/31b54025e10fd95914cbf4b0e541b7f5b35fa08d', 'https://github.com/zycgit/rsf/commit/a64866796d93328e28d31337b5ec2a8f10ad0ba5', 'https://github.com/zycgit/rsf/commit/a948f292cab247559e6019f49f3f2d9336d0b023']",0,0,0,1360,6.0,5.0,18.0,18.0,9.0,9.0,3.0,3.0,9,rsf-core/src/test/java/test/net/hasor/rsf/functions/AddressPoolTest.java: [Extract Method(44)]
