Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.scalar.db.transaction.consensuscommit.TwoPhaseConsensusCommitSpecificIntegrationTestBase,putAndCommit_DeleteGivenInBetweenTransactions_ShouldProduceSerializableResults,887 -> 1017,dde67411d199823289b57b5a1bdf9ee0b2503709 -> b00805c2a24a5a03357063466f2f1952ab129d53,"['https://github.com/scalar-labs/scalardb/commit/dde67411d199823289b57b5a1bdf9ee0b2503709', 'https://github.com/scalar-labs/scalardb/commit/b00805c2a24a5a03357063466f2f1952ab129d53', 'https://github.com/scalar-labs/scalardb/commit/55a15125e5f42438e2701be6a31c925fcb024915', 'https://github.com/scalar-labs/scalardb/commit/503e0d479e16e7b601d9908b2b9af1fb2789e90c']",0,0,0,176,7.0,5.0,29.0,29.0,19.0,18.0,1.0,1.0,19,"core/src/integration-test/java/com/scalar/db/transaction/consensuscommit/TwoPhaseConsensusCommitSpecificIntegrationTestBase.java: [Extract Class(50), Move Method(44), Move Attribute(3), Extract Superclass(1)]"
com.scalar.db.transaction.consensuscommit.ConsensusCommitManager,start,762 -> 1479,270437a9d412954972869b69843b2e3642c5811c -> 0994f699dba1fea9166e7122ea215838ceccabe8,"['https://github.com/scalar-labs/scalardb/commit/caf7384b39cedacb7052b1960c231a1166d65010', 'https://github.com/scalar-labs/scalardb/commit/3c62407b483178933ccd516e3c3b8943b2b21d6c', 'https://github.com/scalar-labs/scalardb/commit/35fcdde71cbb26469d1a7dc81b936597a8d5d8c9', 'https://github.com/scalar-labs/scalardb/commit/739d7a98971fca61c7224db551b7325c853aa755', 'https://github.com/scalar-labs/scalardb/commit/44bf2e939bfcf470c0d1e55d9705eab68414b643', 'https://github.com/scalar-labs/scalardb/commit/43cf19c6f3f4328492a06293052e7ee590953834', 'https://github.com/scalar-labs/scalardb/commit/821540078891cbeb06aa8ed3c3341974dfcd3737', 'https://github.com/scalar-labs/scalardb/commit/710a34eec7af6da3097d22c861b22a67e5166ea9', 'https://github.com/scalar-labs/scalardb/commit/88527bf3ba8fe677c01d38e97ea0bd3fcd0600e1', 'https://github.com/scalar-labs/scalardb/commit/f4b6ddf05f3c23d3744eb6ad3d7874c022e10829', 'https://github.com/scalar-labs/scalardb/commit/87fb829da8ac97ce24cc1530510cec1762a06c7b', 'https://github.com/scalar-labs/scalardb/commit/270437a9d412954972869b69843b2e3642c5811c', 'https://github.com/scalar-labs/scalardb/commit/0994f699dba1fea9166e7122ea215838ceccabe8', 'https://github.com/scalar-labs/scalardb/commit/83cfb5d1b57c90cb4e541ab2c7dcaa28d6ccf0f1', 'https://github.com/scalar-labs/scalardb/commit/86c26d3416cd4bd44d87ddd32eac897ad1321a6a', 'https://github.com/scalar-labs/scalardb/commit/503e0d479e16e7b601d9908b2b9af1fb2789e90c', 'https://github.com/scalar-labs/scalardb/commit/a98b6943aa1496dde95d85d7cc7ad1140f75cde8']",0,0,0,36,6.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3,"core/src/main/java/com/scalar/db/transaction/consensuscommit/ConsensusCommitManager.java: [Extract Method(44), Change Parameter Type(16)] core/src/test/java/com/scalar/db/transaction/consensuscommit/ConsensusCommitManagerTest.java: [Rename Method(2)]"
com.scalar.db.schemaloader.command.DynamoCommand,call,745 -> 1494,6d5dda2b0ebd1fe43c0c91344b2140a1d02cbfaf -> 53a80133e138490611cab7f050e98e47b8b69850,"['https://github.com/scalar-labs/scalardb/commit/ae275730de69b879139f52bb61fc77665db636f4', 'https://github.com/scalar-labs/scalardb/commit/d6011d67a550e1b6e61edd4796a5a66c66f24166', 'https://github.com/scalar-labs/scalardb/commit/6d5dda2b0ebd1fe43c0c91344b2140a1d02cbfaf', 'https://github.com/scalar-labs/scalardb/commit/53a80133e138490611cab7f050e98e47b8b69850', 'https://github.com/scalar-labs/scalardb/commit/88e639f31231d997c42933045e04481c8ecbe81a']",0,0,0,2,1.0,0.0,22.0,22.0,4.0,4.0,5.0,5.0,9,"schema-loader/src/main/java/com/scalar/db/schemaloader/command/DynamoCommand.java: [Change Thrown Exception Type(4), Pull Up Attribute(3), Extract Superclass(2)]"
com.scalar.db.storage.multistorage.MultiStorageIntegrationTest,whenPutDataIntoTable2_DataShouldBeWrittenIntoMySql,577 -> 632,e05ef3e0abb05415834ffb92babb6468f6f654b2 -> 560472fef8eda1588a9a711bea811a2c68ed9851,"['https://github.com/scalar-labs/scalardb/commit/c5d747f27be7aa324fe8a7261f657b41ae6b9a17', 'https://github.com/scalar-labs/scalardb/commit/e05ef3e0abb05415834ffb92babb6468f6f654b2', 'https://github.com/scalar-labs/scalardb/commit/560472fef8eda1588a9a711bea811a2c68ed9851']",0,0,0,63,11.0,9.0,25.0,25.0,21.0,23.0,1.0,1.0,21,"src/integration-test/java/com/scalar/db/storage/multistorage/MultiStorageIntegrationTest.java: [Extract Method(75), Replace Attribute With Variable(48), Rename Method(2), Rename Attribute(2)]"
com.scalar.db.api.Put,withValue,844 -> 854,b7bc0afa5e69c63a271c172465cead0e71bec9a6 -> ab841e3507465e974bf182ba195b9371450b3da8,"['https://github.com/scalar-labs/scalardb/commit/2f777b9e5748b8df034e78b8c7cdde33a43636a3', 'https://github.com/scalar-labs/scalardb/commit/92494dc8bfe133d8a93b7fc22c2bf7bf1b0ce997', 'https://github.com/scalar-labs/scalardb/commit/b7bc0afa5e69c63a271c172465cead0e71bec9a6', 'https://github.com/scalar-labs/scalardb/commit/ab841e3507465e974bf182ba195b9371450b3da8']",0,0,0,106,2.0,2.0,6.0,3.0,2.0,1.0,2.0,1.0,1,"core/src/main/java/com/scalar/db/api/Put.java: [Extract Method(64), Add Method Annotation(39), Rename Parameter(32), Remove Parameter Annotation(15)]"
com.scalar.db.api.Put,withBlobValue,844 -> 854,b7bc0afa5e69c63a271c172465cead0e71bec9a6 -> ab841e3507465e974bf182ba195b9371450b3da8,"['https://github.com/scalar-labs/scalardb/commit/b7bc0afa5e69c63a271c172465cead0e71bec9a6', 'https://github.com/scalar-labs/scalardb/commit/ab841e3507465e974bf182ba195b9371450b3da8']",0,0,0,106,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3,"core/src/main/java/com/scalar/db/api/Put.java: [Extract Method(64), Add Method Annotation(39), Rename Parameter(32), Remove Parameter Annotation(15)]"
com.scalar.db.storage.dynamo.DynamoAdmin,putTableMetadata,853 -> 908,6c9592e6f5bfb1a77935a9a0c80235cd48a7301e -> d6cd42d7d8f844b8be1145dd9424920dea480d94,"['https://github.com/scalar-labs/scalardb/commit/6c9592e6f5bfb1a77935a9a0c80235cd48a7301e', 'https://github.com/scalar-labs/scalardb/commit/d6cd42d7d8f844b8be1145dd9424920dea480d94']",0,0,0,2,5.0,4.0,28.0,27.0,28.0,26.0,6.0,6.0,28,"core/src/main/java/com/scalar/db/storage/dynamo/DynamoAdmin.java: [Extract Method(72), Rename Method(2)]"
com.scalar.db.transaction.consensuscommit.SnapshotTest,get_ScanNotContainedInSnapshotGiven_ShouldReturnEmptyList,1491 -> 1511,1827a4c6dcb8f67f0764317dbf6f3dfd2c10e486 -> 83cfb5d1b57c90cb4e541ab2c7dcaa28d6ccf0f1,"['https://github.com/scalar-labs/scalardb/commit/7d77418f980d8f76bdb7ea63fa32058c811c57f9', 'https://github.com/scalar-labs/scalardb/commit/afcb37d43dad9d106e7b42551aac1d091c365b54', 'https://github.com/scalar-labs/scalardb/commit/9f831bfece8d201b6a4439d8fb8fd834656222d0', 'https://github.com/scalar-labs/scalardb/commit/c2290fe33ee6e6e4990261a585436c4ee804bf00', 'https://github.com/scalar-labs/scalardb/commit/df905ca48278a72940eb2afb9aea5a8bf8b31a1f', 'https://github.com/scalar-labs/scalardb/commit/197ac95e5b3b1ba3d18af5efa0b631a8e9c858ff', 'https://github.com/scalar-labs/scalardb/commit/1827a4c6dcb8f67f0764317dbf6f3dfd2c10e486', 'https://github.com/scalar-labs/scalardb/commit/83cfb5d1b57c90cb4e541ab2c7dcaa28d6ccf0f1']",0,0,0,12,6.0,5.0,6.0,6.0,6.0,6.0,1.0,1.0,5,"core/src/test/java/com/scalar/db/transaction/consensuscommit/SnapshotTest.java: [Extract Method(80), Extract Variable(65), Change Variable Type(20), Rename Variable(16), Rename Method(8), Change Attribute Type(4), Add Thrown Exception Type(3)]"
com.scalar.db.transaction.consensuscommit.SnapshotTest,preparePut,288 -> 632,caf7384b39cedacb7052b1960c231a1166d65010 -> 560472fef8eda1588a9a711bea811a2c68ed9851,"['https://github.com/scalar-labs/scalardb/commit/ecbcb2ce6d260d865f761d6eb99ea56198c64098', 'https://github.com/scalar-labs/scalardb/commit/caf7384b39cedacb7052b1960c231a1166d65010', 'https://github.com/scalar-labs/scalardb/commit/560472fef8eda1588a9a711bea811a2c68ed9851']",0,0,0,63,3.0,2.0,5.0,5.0,4.0,4.0,1.0,1.0,3,src/test/java/com/scalar/db/transaction/consensuscommit/SnapshotTest.java: [Extract Method(14)]
com.scalar.db.transaction.consensuscommit.ConsensusCommitSpecificIntegrationTestBase,putAndCommit_SinglePartitionMutationsGiven_ShouldAccessStorageOnceForPrepareAndCommit,887 -> 1017,dde67411d199823289b57b5a1bdf9ee0b2503709 -> b00805c2a24a5a03357063466f2f1952ab129d53,"['https://github.com/scalar-labs/scalardb/commit/dde67411d199823289b57b5a1bdf9ee0b2503709', 'https://github.com/scalar-labs/scalardb/commit/b00805c2a24a5a03357063466f2f1952ab129d53', 'https://github.com/scalar-labs/scalardb/commit/03f7321282d0e335f333197af2a0a59b07f12c21', 'https://github.com/scalar-labs/scalardb/commit/86c26d3416cd4bd44d87ddd32eac897ad1321a6a']",0,0,0,176,7.0,6.0,12.0,12.0,12.0,12.0,1.0,1.0,12,"core/src/integration-test/java/com/scalar/db/transaction/consensuscommit/ConsensusCommitSpecificIntegrationTestBase.java: [Extract Class(204), Move Method(169), Change Thrown Exception Type(99), Change Variable Type(70), Move Attribute(30), Rename Variable(6), Add Thrown Exception Type(4), Inline Variable(2), Extract Superclass(1)]"
