Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.scalecube.transport.TransportImpl,toMono,215 -> 216,c8dbeb4b4457067017f0bdbb28187f4734f07845 -> 4833d6ead0a26b57134d971bf39f28c1d38a0077,"['https://github.com/scalecube/scalecube-cluster/commit/89dc35a51d32919c21e85efc10449ddce44e598c', 'https://github.com/scalecube/scalecube-cluster/commit/6e917c7a634f7f13fb3bf24cbdf873d12495b6df', 'https://github.com/scalecube/scalecube-cluster/commit/a0bd69b85650c38963cb4c15eacdc2de43e627a1', 'https://github.com/scalecube/scalecube-cluster/commit/05774189608f5ec7d6c9f4c2e04bfed9307a50b1', 'https://github.com/scalecube/scalecube-cluster/commit/c8dbeb4b4457067017f0bdbb28187f4734f07845', 'https://github.com/scalecube/scalecube-cluster/commit/4833d6ead0a26b57134d971bf39f28c1d38a0077', 'https://github.com/scalecube/scalecube-cluster/commit/febbf6c7f7fe7649d13bb247fc8c5d5701e626d2']",0,0,0,3,4.0,4.0,15.0,3.0,7.0,3.0,2.0,1.0,6,transport/src/main/java/io/scalecube/transport/TransportImpl.java: [Extract Method(26)]
io.scalecube.cluster.ClusterImpl,join0,303 -> 308,fbabd2394921fa052cecb4b582d36f5bf661b93f -> 1677aeb71e364acc17873685908cc7659910d142,"['https://github.com/scalecube/scalecube-cluster/commit/84954858239f3867df537543f937c827c484697f', 'https://github.com/scalecube/scalecube-cluster/commit/349099c50a2c2b8f873b3dbeb9f36e7e208e9609', 'https://github.com/scalecube/scalecube-cluster/commit/0f6de2a8aaff6087355b695ee9158c912cadba15', 'https://github.com/scalecube/scalecube-cluster/commit/cea2b781767d14175b15306651ddf5b4e487fa53', 'https://github.com/scalecube/scalecube-cluster/commit/61c9d94c70b41c989fe02f96d8b19dbfe0570996', 'https://github.com/scalecube/scalecube-cluster/commit/296da5843d108308b7edd964e6293bb4cae47af2', 'https://github.com/scalecube/scalecube-cluster/commit/6cd4dcc2ea42b77d321e35b3e2a8b3e715e79d68', 'https://github.com/scalecube/scalecube-cluster/commit/7ad81ca9c51dc2468bb7788c8399385ebb1614fc', 'https://github.com/scalecube/scalecube-cluster/commit/d30a48b2857e61cfc5e061639a1ff5f9190a2da9', 'https://github.com/scalecube/scalecube-cluster/commit/59e713bae9af1feeab29244c5cc73bb23ec9f3a0', 'https://github.com/scalecube/scalecube-cluster/commit/01cbefbd9715dafdf957431202a3c2286afaa41c', 'https://github.com/scalecube/scalecube-cluster/commit/eecbe6869922f33598f2843260acdb5541c23e21', 'https://github.com/scalecube/scalecube-cluster/commit/3371642e1492c96aedfd72a8ff214608632c704d', 'https://github.com/scalecube/scalecube-cluster/commit/7382779dddccaaab98de96ff1385ede3b4696bb9', 'https://github.com/scalecube/scalecube-cluster/commit/e7fe49003a1e9d923b00c19f66f83222c69fb776', 'https://github.com/scalecube/scalecube-cluster/commit/15b2d0f6a9b8f4ba4b8ab15ea5529221bb5607a1', 'https://github.com/scalecube/scalecube-cluster/commit/97513e05b936ca9509188958d1132f40beaa10d7', 'https://github.com/scalecube/scalecube-cluster/commit/dadbdb2bc92023c6fd0f996575ee04bc4191e72b', 'https://github.com/scalecube/scalecube-cluster/commit/fbabd2394921fa052cecb4b582d36f5bf661b93f', 'https://github.com/scalecube/scalecube-cluster/commit/1677aeb71e364acc17873685908cc7659910d142', 'https://github.com/scalecube/scalecube-cluster/commit/b40b59d6a8417048bd807b15985e06037c701216', 'https://github.com/scalecube/scalecube-cluster/commit/bddd3992806e74acd66c74f45877c75e7ede6fdd', 'https://github.com/scalecube/scalecube-cluster/commit/d3554a9118ee6a9ad3a154efc329a38ab535630c', 'https://github.com/scalecube/scalecube-cluster/commit/e479094edc8216774aeeb933c2a13aeda432aee3', 'https://github.com/scalecube/scalecube-cluster/commit/a47aae3bbe892becaef7812a842221a44e5368f1', 'https://github.com/scalecube/scalecube-cluster/commit/9677d28cb6fc6ad380c5839c77d60749474f78da', 'https://github.com/scalecube/scalecube-cluster/commit/eb7f365b93ba8aa12aa8d3e78de1d49cc72c551d', 'https://github.com/scalecube/scalecube-cluster/commit/eac84ad508114a8ae19209c7470999158c08c336', 'https://github.com/scalecube/scalecube-cluster/commit/8f26ccabb9f4d4f616b630d2b6211293e984f54d', 'https://github.com/scalecube/scalecube-cluster/commit/99e0196bfc065f2c04e0700ab36a1e9923df6874', 'https://github.com/scalecube/scalecube-cluster/commit/36233c8564bb3ed3572cd13de09aee9300c59f0b', 'https://github.com/scalecube/scalecube-cluster/commit/513539bab81a6f49696db193f45087868b46aa15', 'https://github.com/scalecube/scalecube-cluster/commit/ddda88836011717035c9e201a683a95900ed1d16', 'https://github.com/scalecube/scalecube-cluster/commit/690be38e86fafce0c885bf910c9e44ec0158821a', 'https://github.com/scalecube/scalecube-cluster/commit/ae162c61868c091514844c8f66b5d6bf6a7f3f1f', 'https://github.com/scalecube/scalecube-cluster/commit/812b73458eaa2aa2a71dc253b007b2a918dcbe4b', 'https://github.com/scalecube/scalecube-cluster/commit/bbd68648b46833fec39b097d7195f2d141bb1b6f', 'https://github.com/scalecube/scalecube-cluster/commit/4bf6e824e83c918daf8bc6a8215c0b675b107cf9']",0,0,0,2,8.0,9.0,18.0,17.0,21.0,15.0,1.0,1.0,19,cluster/src/main/java/io/scalecube/cluster/ClusterImpl.java: [Extract Method(10)]
io.scalecube.cluster.ClusterImpl,metadata,650 -> 769,09667eed44bc3622def6a7536f91c8d653c780bb -> 801c7d3b0760385cc9b7d8dcc08597b74e867fa9,"['https://github.com/scalecube/scalecube-cluster/commit/fbabd2394921fa052cecb4b582d36f5bf661b93f', 'https://github.com/scalecube/scalecube-cluster/commit/b40b59d6a8417048bd807b15985e06037c701216', 'https://github.com/scalecube/scalecube-cluster/commit/14ad882029f56a20ceb266bd3d95107f150f31f2', 'https://github.com/scalecube/scalecube-cluster/commit/0c53af2a7d2889598da13b66967be871cb11cb71', 'https://github.com/scalecube/scalecube-cluster/commit/e90fa5204e85e42ddbe598487abaad9a31b3ad85', 'https://github.com/scalecube/scalecube-cluster/commit/230606172ef7e4076895c5696df071817fa53519', 'https://github.com/scalecube/scalecube-cluster/commit/f6bf77c5d7cdc3819f9def72d7f3e6dd663acec3', 'https://github.com/scalecube/scalecube-cluster/commit/43ed4acf98df82f4d7b652452f3f26ff376e1c0a', 'https://github.com/scalecube/scalecube-cluster/commit/e959e349638fa6c72d38f4c9a37e4678c819614d', 'https://github.com/scalecube/scalecube-cluster/commit/ad5c2cd675667203155c5827c7c77ef52d62cb9e', 'https://github.com/scalecube/scalecube-cluster/commit/3198f274903452d1cb163059e3370f8782cd0c11', 'https://github.com/scalecube/scalecube-cluster/commit/09eaeeb02a08a68f5cb0466e7b2558b234533807', 'https://github.com/scalecube/scalecube-cluster/commit/d253c921aadf7e6c6c046e26da5ec802a7a521e9', 'https://github.com/scalecube/scalecube-cluster/commit/09774f2e1bb8716dc99222c147e7743dd6d6a6b6', 'https://github.com/scalecube/scalecube-cluster/commit/09667eed44bc3622def6a7536f91c8d653c780bb', 'https://github.com/scalecube/scalecube-cluster/commit/801c7d3b0760385cc9b7d8dcc08597b74e867fa9']",0,0,0,8,6.0,4.0,9.0,6.0,7.0,5.0,2.0,2.0,1,"cluster/src/main/java/io/scalecube/cluster/ClusterImpl.java: [Extract Method(42), Change Return Type(4)]"
io.scalecube.transport.Address,Address,83 -> 84,d97baaffe6134f78431e17ddc773185d2f0fac57 -> 418a48eabb3ac79db1589dfdbcd0a8436ab4b2d1,"['https://github.com/scalecube/scalecube-cluster/commit/84954858239f3867df537543f937c827c484697f', 'https://github.com/scalecube/scalecube-cluster/commit/93484a525187e172560239060555c0115f7ed6fb', 'https://github.com/scalecube/scalecube-cluster/commit/18ff55298eee06a1653c612d1128f4ddc356a732', 'https://github.com/scalecube/scalecube-cluster/commit/607069563d79483c9635877ebc07006f7bb5aa12', 'https://github.com/scalecube/scalecube-cluster/commit/64fe538cfc7023b74b2aa6841a0c09cb12f68b8a', 'https://github.com/scalecube/scalecube-cluster/commit/d97baaffe6134f78431e17ddc773185d2f0fac57', 'https://github.com/scalecube/scalecube-cluster/commit/418a48eabb3ac79db1589dfdbcd0a8436ab4b2d1', 'https://github.com/scalecube/scalecube-cluster/commit/7b9f5c74348715bedaae13154b54b9b7cd1dc292', 'https://github.com/scalecube/scalecube-cluster/commit/d3554a9118ee6a9ad3a154efc329a38ab535630c', 'https://github.com/scalecube/scalecube-cluster/commit/e479094edc8216774aeeb933c2a13aeda432aee3']",0,0,0,4,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,2,"transport/src/test/java/io/scalecube/transport/AddressTest.java: [Move Class(1), Split Package(1)] utils/src/main/java/io/scalecube/transport/Address.java: [Move Source Folder(1)] utils/src/main/java/io/scalecube/transport/Addressing.java: [Move Source Folder(1)] transport/src/main/java/io/scalecube/transport/Address.java: [Change Method Access Modifier(2), Move Method(2), Move Source Folder(1)] transport/src/main/java/io/scalecube/transport/Addressing.java: [Move Source Folder(1)]"
io.scalecube.transport.BaseTest,createTransport,537 -> 542,c89f05634830a1cd337d5ae4fd2ccc78957b0706 -> 72aeff5de95f02eb2234b70fff7d134ca3fad2c5,"['https://github.com/scalecube/scalecube-cluster/commit/c89f05634830a1cd337d5ae4fd2ccc78957b0706', 'https://github.com/scalecube/scalecube-cluster/commit/72aeff5de95f02eb2234b70fff7d134ca3fad2c5', 'https://github.com/scalecube/scalecube-cluster/commit/14ad882029f56a20ceb266bd3d95107f150f31f2', 'https://github.com/scalecube/scalecube-cluster/commit/0c53af2a7d2889598da13b66967be871cb11cb71', 'https://github.com/scalecube/scalecube-cluster/commit/52e7d859c1afb82858cff5087047fe6e2286df95', 'https://github.com/scalecube/scalecube-cluster/commit/48efa49bc0e60e1ff1e9fc5b6396a462fa984db9']",0,0,0,26,4.0,5.0,5.0,3.0,6.0,5.0,1.0,1.0,6,"transport/src/test/java/io/scalecube/transport/BaseTest.java: [Change Method Access Modifier(3), Remove Method Modifier(3), Move Method(3)]"
io.scalecube.cluster.fdetector.FailureDetectorTest,testSuspected,537 -> 1015,c89f05634830a1cd337d5ae4fd2ccc78957b0706 -> 270366fdfec8d10243ef7659bbf7fde4a6a71604,"['https://github.com/scalecube/scalecube-cluster/commit/84954858239f3867df537543f937c827c484697f', 'https://github.com/scalecube/scalecube-cluster/commit/c89f05634830a1cd337d5ae4fd2ccc78957b0706', 'https://github.com/scalecube/scalecube-cluster/commit/270366fdfec8d10243ef7659bbf7fde4a6a71604']",0,0,0,36,8.0,7.0,28.0,28.0,13.0,13.0,1.0,1.0,13,"cluster/src/test/java/io/scalecube/cluster/fdetector/FailureDetectorTest.java: [Change Method Access Modifier(1), Pull Up Method(1)]"
io.scalecube.transport.Address,from,178 -> 322,3371642e1492c96aedfd72a8ff214608632c704d -> 7b9f5c74348715bedaae13154b54b9b7cd1dc292,"['https://github.com/scalecube/scalecube-cluster/commit/84954858239f3867df537543f937c827c484697f', 'https://github.com/scalecube/scalecube-cluster/commit/93484a525187e172560239060555c0115f7ed6fb', 'https://github.com/scalecube/scalecube-cluster/commit/18ff55298eee06a1653c612d1128f4ddc356a732', 'https://github.com/scalecube/scalecube-cluster/commit/607069563d79483c9635877ebc07006f7bb5aa12', 'https://github.com/scalecube/scalecube-cluster/commit/64fe538cfc7023b74b2aa6841a0c09cb12f68b8a', 'https://github.com/scalecube/scalecube-cluster/commit/d97baaffe6134f78431e17ddc773185d2f0fac57', 'https://github.com/scalecube/scalecube-cluster/commit/418a48eabb3ac79db1589dfdbcd0a8436ab4b2d1', 'https://github.com/scalecube/scalecube-cluster/commit/3371642e1492c96aedfd72a8ff214608632c704d', 'https://github.com/scalecube/scalecube-cluster/commit/7b9f5c74348715bedaae13154b54b9b7cd1dc292', 'https://github.com/scalecube/scalecube-cluster/commit/d3554a9118ee6a9ad3a154efc329a38ab535630c', 'https://github.com/scalecube/scalecube-cluster/commit/e479094edc8216774aeeb933c2a13aeda432aee3']",0,0,0,3,1.0,1.0,12.0,21.0,8.0,5.0,4.0,7.0,9,transport/src/main/java/io/scalecube/transport/Addressing.java: [Move Method(1)] transport/src/main/java/io/scalecube/transport/Address.java: [Move Method(1)]
io.scalecube.cluster.ClusterImpl,validateConfiguration,870 -> 873,db679d0b59e9abe11387b62c1c6a21ebfb3853fd -> 81fa09a026f62f594d764d368dd3460e56e5e675,"['https://github.com/scalecube/scalecube-cluster/commit/09eaeeb02a08a68f5cb0466e7b2558b234533807', 'https://github.com/scalecube/scalecube-cluster/commit/d253c921aadf7e6c6c046e26da5ec802a7a521e9', 'https://github.com/scalecube/scalecube-cluster/commit/09774f2e1bb8716dc99222c147e7743dd6d6a6b6', 'https://github.com/scalecube/scalecube-cluster/commit/09667eed44bc3622def6a7536f91c8d653c780bb', 'https://github.com/scalecube/scalecube-cluster/commit/3b7dfd23bdb1abbe444d13788d915f3d3747c2f8', 'https://github.com/scalecube/scalecube-cluster/commit/d1e1fd96b36bd85658d1f3e787e58a7eb08df7e9', 'https://github.com/scalecube/scalecube-cluster/commit/2d8057cb3f38c88db9a22d050ad2359316639624', 'https://github.com/scalecube/scalecube-cluster/commit/db679d0b59e9abe11387b62c1c6a21ebfb3853fd', 'https://github.com/scalecube/scalecube-cluster/commit/81fa09a026f62f594d764d368dd3460e56e5e675', 'https://github.com/scalecube/scalecube-cluster/commit/5537cea07fb6184697bd57797f41c4ba415949c8', 'https://github.com/scalecube/scalecube-cluster/commit/c1cea572c6bb6b2a961c1087a6ea3f13ff0fbad9', 'https://github.com/scalecube/scalecube-cluster/commit/a2812cffa955f04f66738bb800aed4c9fd218071']",0,0,0,5,6.0,4.0,21.0,11.0,11.0,9.0,13.0,4.0,12,"cluster/src/main/java/io/scalecube/cluster/ClusterImpl.java: [Extract Method(42), Change Return Type(4)]"
io.scalecube.transport.TransportImpl,connect0,240 -> 243,e60028c3c07b7d8a5f4cd2ce8ab4b6aadce4d63d -> 33e8dcff5979550a92ea3c79038d28edab777a1d,"['https://github.com/scalecube/scalecube-cluster/commit/d833556560bc56310b9622d402484bfba1d50df3', 'https://github.com/scalecube/scalecube-cluster/commit/9a732eca347705fccbfaa5d6c4299e45dc33be3f', 'https://github.com/scalecube/scalecube-cluster/commit/dc939cc06cf37f85e5dff422db57ee933b43e583', 'https://github.com/scalecube/scalecube-cluster/commit/e60028c3c07b7d8a5f4cd2ce8ab4b6aadce4d63d', 'https://github.com/scalecube/scalecube-cluster/commit/33e8dcff5979550a92ea3c79038d28edab777a1d', 'https://github.com/scalecube/scalecube-cluster/commit/0ecdf26e5126bdfc661b27cec3b2133f0e9595ba', 'https://github.com/scalecube/scalecube-cluster/commit/d38f4e6a6565165ba764b4d536f452eb34e1f60f']",0,0,0,3,2.0,3.0,11.0,11.0,18.0,10.0,1.0,1.0,8,"transport/src/main/java/io/scalecube/transport/TransportImpl.java: [Inline Method(8), Extract Method(6)]"
io.scalecube.transport.netty.TransportImpl,start,860 -> 1016,cfb87478bbd161144c742d27e11302d37461cc4c -> fef7960a95d2a2c7a28509a8adbb30650f5d31a1,"['https://github.com/scalecube/scalecube-cluster/commit/cfb87478bbd161144c742d27e11302d37461cc4c', 'https://github.com/scalecube/scalecube-cluster/commit/fef7960a95d2a2c7a28509a8adbb30650f5d31a1', 'https://github.com/scalecube/scalecube-cluster/commit/8cbd4feaf04d6cd76b715a1017eae067a3ad4d27']",0,0,0,24,3.0,3.0,3.0,3.0,13.0,12.0,1.0,1.0,13,"transport-parent/transport-netty/src/main/java/io/scalecube/transport/netty/TransportImpl.java: [Remove Attribute Modifier(4), Rename Variable(4), Rename Attribute(4), Add Parameter(2), Move Method(2), Move And Rename Class(1), Change Class Access Modifier(1)]"
