Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
io.scalecube.services.transport.rsocket.client.RSocketServiceClientAdapter,class,235 -> 329,368aea0a9f980f325f2fe4d19ef6df3340a29348 -> 3adb62402f9e8a40b7921f673b30126e43bdac02,28,5,23,9,8.0,7.0,1.0,1.0,0.0,0.0,26.0,17.0,0.0,0.0,12.0,8.0,7.0,4.0,RSocketServiceClientAdapter[  ] fireAndForget[  ] requestResponse[  ] requestStream[  ] requestChannel[  ] ,"rsocket-transport/src/main/java/io/scalecube/services/transport/rsocket/client/RSocketServiceClientAdapter.java: [Extract Method(22), Replace Variable With Attribute(4), Change Variable Type(4)]"
io.scalecube.services.benchmarks.metrics.ServicesBenchmarks,class,538 -> 587,591b22cda0c13a23135156f5c727b5cd1995aebf -> 45f2de51eb0f23bca6ddfd9dc7ee15b9f46b57cb,61,61,0,3,10.0,6.0,1.0,1.0,0.0,0.0,81.0,45.0,0.0,0.0,32.0,23.0,7.0,4.0,fireAndForget[ forRegistry():1 convertDurationsTo():1 forEach():1 start():1 range():1 tearDown():1 runAsync():1 allOf():1 println():1 stop():1 build():1 report():1 setup():1 awaitTermination():1 join():1 shutdown():1 ] ServicesBenchmarks[ timer():1 newFixedThreadPool():1 ] run[ doOnSuccess():1 println():1 stop():1 fireAndForget():1 service():1 block():1 time():1 ] ,"benchmarks/src/main/java/io/scalecube/services/benchmarks/metrics/ServicesBenchmarks.java: [Extract Method(18), Change Variable Type(12)]"
io.scalecube.services.ServiceCall,class,4698 -> 4707,113886d587b35f306836b1b80d2b986b8694e021 -> 7b6fda5e39346fa4ed8ede1ef8970815c864a944,14,5,9,8,20.0,19.0,1.0,1.0,212.0,212.0,175.0,173.0,0.0,0.0,57.0,55.0,39.0,39.0,call[  ] ,"services-api/src/main/java/io/scalecube/services/ServiceCall.java: [Extract Method(52), Add Parameter(6), Remove Method Annotation(3), Remove Parameter(3)]"
io.scalecube.services.Microservices$ServiceTransportBootstrap,innerclass,4470 -> 4681,b81866f91956f540cef32479070ac5e323bd01d7 -> 1af8169c10b409084cc0040e1a2ba7c04c62d704,11,10,1,48,7.0,6.0,1.0,1.0,4.0,6.0,44.0,69.0,0.0,0.0,32.0,23.0,9.0,15.0,start[ getServerTransport():1 getExecutorService():1 getClientTransport():1 ] shutdown[  ] ,"services/src/main/java/io/scalecube/services/Microservices.java: [Extract Class(10), Add Class Annotation(3), Move Method(2), Rename Parameter(2)]"
io.scalecube.gateway.websocket.GatewayWebsocketAcceptor,class,2301 -> 2302,e3311fea1c96099671c08d315251bee7dbdc19dd -> ba410abd6569e531b1f0df1d6e99af3b27576144,0,0,0,1,18.0,16.0,1.0,1.0,41.0,56.0,85.0,85.0,0.0,0.0,57.0,58.0,19.0,21.0,GatewayWebsocketAcceptor[  ] onConnect[ error():5 streamId():4 signal():3 build():3 getMeter():2 info():2 getCounter():2 toErrorMessage():2 flatMap():2 dispose():2 next():2 doFinally():2 builder():2 just():2 inactivity():2 complete():2 mark():2 toServiceMessage():1 dec():1 requestMany():1 empty():1 concatWith():1 doOnNext():1 create():1 from():1 onErrorResume():1 then():1 onClose():1 stop():1 qualifier():1 send():1 getTimer():1 ofMillis():1 defer():1 toMessage():1 hasSignal():1 containsSid():1 timeout():1 isError():1 get():1 map():1 safeRelease():1 inc():1 receive():1 set():1 subscribe():1 time():1 doOnError():1 register():1 ] onDisconnect[ info():1 empty():1 ] toMessage[ getMessage():1 decode():1 content():1 ] apply[ onConnect():1 onDisconnect():1 onClose():1 sendWebsocket():1 ] toErrorMessage[ toMessage():1 streamId():1 build():1 from():1 signal():1 ] toByteBuf[ encode():1 data():1 just():1 safeRelease():1 empty():1 ] ,src/main/java/io/scalecube/gateway/websocket/GatewayWebsocketAcceptor.java: [Extract Method(69)]
io.scalecube.services.discovery.ScalecubeServiceDiscovery,class,3964 -> 3967,0afa9abfe43a6116fbf355354497a6434dad6001 -> c25b9b7d169b345661b64dd7a9c771d897ec41ec,0,0,0,1,21.0,17.0,1.0,1.0,78.0,66.0,143.0,133.0,0.0,0.0,107.0,105.0,36.0,35.0,init[ loadClusterServices():1 listenCluster():1 ] address[ address():1 ] encodeMetadata[ propagate():1 error():1 writeValueAsString():1 ] start[ init():1 listServiceEndpoints():1 stream():1 build():1 toMap():1 configure():1 addMetadata():1 join():1 collect():1 map():1 fromFuture():1 whenComplete():1 ] listenCluster[ loadMemberServices():2 member():2 isRemoved():1 subscribe():1 isAdded():1 listenMembership():1 ] configure[ port():3 seeds():2 tags():2 endpoint():1 metadata():1 serviceRegistry():1 seedMembers():1 ] listen[ listServiceEndpoints():1 concatWith():1 fromIterable():1 map():1 ] newObjectMapper[ withGetterVisibility():1 withCreatorVisibility():1 getDefaultVisibilityChecker():1 withFieldVisibility():1 configure():1 getSerializationConfig():1 withSetterVisibility():1 setVisibility():1 ] endpoint[  ] decodeMetadata[ readValue():1 error():1 ] loadClusterServices[ otherMembers():1 forEach():1 loadMemberServices():1 ] loadMemberServices[ equals():4 debug():3 next():2 info():2 getKey():1 metadata():1 registerService():1 entrySet():1 forEach():1 unregisterService():1 registered():1 filter():1 getValue():1 stream():1 decodeMetadata():1 id():1 unregistered():1 ] shutdown[ complete():1 fromFuture():1 shutdown():1 ] ,"services-discovery/src/main/java/io/scalecube/services/discovery/ScalecubeServiceDiscovery.java: [Extract Method(8), Change Attribute Type(2)]"
io.scalecube.services.discovery.api.ServiceDiscovery,interface,3969 -> 4455,707732bb0e47e13d4cb7a91dfb7ea0307aa66424 -> d575b4cecb495265f1365869dd0287188671daa7,0,0,0,39,6.0,3.0,1.0,1.0,10.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,endpoint[  ] address[  ] start[  ] getDiscovery[ findFirstMatched():1 orElseThrow():1 ] shutdown[  ] listen[  ] ,"services-api/src/main/java/io/scalecube/services/discovery/api/ServiceDiscoveryEvent.java: [Move Method(11), Reorder Parameter(8), Change Return Type(8), Add Parameter(6), Move Attribute(2)]"
io.scalecube.gateway.benchmarks.AbstractBenchmarkState,class,1420 -> 1634,796d07c10d538f6b2324357575bd49936d25a915 -> 1f5bddb39d84c3ba173dc221a5809eea76c558fe,6,3,3,1,13.0,13.0,2.0,2.0,4.0,4.0,26.0,25.0,0.0,0.0,13.0,11.0,6.0,6.0,createClient[ getInstance():2 contentType():2 one():1 then():1 forService():1 just():1 ] beforeAll[ availableProcessors():1 create():1 getRuntime():1 ] afterAll[ disposeLater():1 block():1 ] AbstractBenchmarkState[  ] ,"src/main/java/io/scalecube/gateway/benchmarks/AbstractBenchmarkState.java: [Parameterize Variable(4), Move Method(3), Add Thrown Exception Type(2), Change Method Access Modifier(2), Add Method Modifier(2), Extract Superclass(1), Pull Up Attribute(1)]"
io.scalecube.services.transport.LocalServiceDispatchers,class,167 -> 176,04558790f319494ade09534d412e3cdefc61d7d9 -> 1baf9d46316a093ee114895f23ccf71c10ae0923,0,0,0,12,9.0,9.0,1.0,1.0,13.0,13.0,57.0,58.0,0.0,0.0,15.0,12.0,12.0,12.0,codec[  ] contains[ get():1 ] LocalServiceDispatchers[ getValue():9 forEach():4 equals():4 get():4 qualifier():4 register():4 asList():2 entrySet():1 toList():1 services():1 serviceMethods():1 serviceInterfaces():1 stream():1 of():1 collect():1 map():1 ] fireAndForget[ get():1 qualifier():1 invoke():1 ] get[ get():1 ] builder[  ] requestResponse[ getCodec():1 get():1 qualifier():1 from():1 invoke():1 map():1 encodeData():1 ] requestStream[ getCodec():1 get():1 qualifier():1 from():1 invoke():1 map():1 encodeData():1 ] services[ unmodifiableCollection():1 ] requestChannel[ from():1 invoke():1 ] dispatchLocalService[ get():1 invoke():1 ] register[ put():1 ] ,"services/src/main/java/io/scalecube/services/transport/LocalServiceDispatchers.java: [Extract Class(7), Remove Parameter(3), Move Method(3), Rename Method(2), Change Method Access Modifier(2)]"
io.scalecube.services.Microservices$MonitorMBean,interface,4280 -> 4283,44976f726bf74aa89d98eac3835b7e110012159b -> 53538a3d67ffd0b480872f594b794c5da7145261,0,0,0,5,0.0,0.0,1.0,1.0,6.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,getServiceEndpoints[  ] getServerServiceTransport[  ] getGatewayAddresses[  ] getRecentServiceDiscoveryEvents[  ] getServiceEndpoint[  ] getServiceDiscovery[  ] getId[  ] getClientServiceTransport[  ] getDiscoveryAddress[  ] ,"services/src/main/java/io/scalecube/services/Microservices.java: [Extract Method(6), Add Class Annotation(3)]"
