Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
swim.remote.RemoteHost,class,534 -> 535,aa99e6093f20ea6a2df4e3f72a6a5c86613843bc -> 84627f6fec7e927817a0c0d31960544b1cf5204b,0,0,0,1,74.0,72.0,3.0,3.0,5448.0,5335.0,1224.0,1207.0,1.0,1.0,198.0,186.0,284.0,280.0,onAuthedResponse[  ] createPushRequest[  ] pushDown[ pushDown():1 ] openUplink[ get():2 updated():2 empty():2 laneUri():1 resolve():1 added():1 compareAndSet():1 setLinkContext():1 isConnected():1 createUplink():1 nodeUri():1 didConnect():1 ] injectValueData[ injectValueData():1 ] didUnload[  ] closeDownlink[ closeDownlink():1 ] onSyncRequest[ isAllowed():1 isDenied():1 feed():1 laneUri():1 routeDownlink():1 get():1 forbid():1 nodeUri():1 policy():1 canSync():1 ] injectMapData[ injectMapData():1 ] localPrincipal[ localPrincipal():1 ] getNodes[ empty():1 ] routeDownlink[ nodeUri():2 get():2 updated():2 queueUp():1 resolve():1 laneUri():1 openDown():1 body():1 closeDown():1 openDownlink():1 empty():1 createDownlink():1 rate():1 compareAndSet():1 prio():1 ] doRead[  ] onUnlinkedResponse[ removed():2 get():2 nodeUri():2 next():1 iterator():1 resolve():1 laneUri():1 compareAndSet():1 isEmpty():1 queueDown():1 hasNext():1 updated():1 ] localAddress[ localAddress():1 ] setPrimary[ compareAndSet():1 ] willClose[ close():2 closeUplinks():1 closeDownlinks():1 ] onCommandMessage[ get():3 nodeUri():2 isAllowed():1 isDenied():1 queueUp():1 resolve():1 laneUri():1 createPushRequest():1 pushDown():1 forbid():1 canDownlink():1 policy():1 ] willOpen[  ] didBecome[  ] isConnected[ isConnected():1 ] closeDownlinks[ next():2 valueIterator():2 hasNext():2 compareAndSet():1 closeDown():1 empty():1 ] doWrite[  ] onDeauthedResponse[  ] openSpatialData[ openSpatialData():1 ] closeUplink[ removed():3 updated():3 get():2 isEmpty():2 didCloseUp():1 laneUri():1 compareAndSet():1 ] reconnect[ close():1 ] unwrapHost[ getClass():1 isAssignableFrom():1 ] willSecure[  ] onUnknownEnvelope[  ] policy[ policy():1 ] injectSpatialData[ injectSpatialData():1 ] openMapData[ openMapData():1 ] isRemote[  ] injectListData[ injectListData():1 ] remoteIdentity[  ] isSecure[ isSecure():1 ] openDownlink[ openDownlink():1 ] stage[ stage():1 ] didRead[ from():2 write():2 onLinkRequest():1 onAuthedResponse():1 onCommandMessage():1 onAuthRequest():1 onUnlinkedResponse():1 onDeauthedResponse():1 onUnlinkRequest():1 onSyncRequest():1 onSyncedResponse():1 payload():1 onLinkedResponse():1 onDeauthRequest():1 onEventMessage():1 close():1 onUnknownEnvelope():1 ] onLinkedResponse[ routeUplink():1 ] localIdentity[  ] didTimeout[  ] dataBindings[ emptyIterator():1 ] isReplica[  ] warpSocketContext[  ] willConnect[  ] routeUplink[ get():2 nodeUri():2 next():1 iterator():1 resolve():1 laneUri():1 queueDown():1 hasNext():1 ] didFail[ printStackTrace():1 getMessage():1 from():1 write():1 close():1 ] data[ data():1 ] resolve[ path():1 fragment():1 resolve():1 scheme():1 get():1 isDefined():1 authority():1 query():1 from():1 put():1 undefined():1 ] openNode[  ] createUplink[  ] openValueData[ openValueData():1 ] willStop[  ] willBecome[  ] cipherSuite[ cipherSuite():1 ] setReplica[ compareAndSet():1 ] pushUp[ nodeUri():2 createPullEnvelope():1 feed():1 envelope():1 resolve():1 prio():1 ] hostContext[  ] isMaster[  ] setHostContext[  ] onDeauthRequest[ feed():1 set():1 ] tierContext[  ] remotePrincipal[ remotePrincipal():1 ] remoteCertificates[ remoteCertificates():1 empty():1 ] remoteAddress[ remoteAddress():1 ] info[ info():1 ] localCertificates[ localCertificates():1 empty():1 ] isSlave[  ] didBecomeSlave[ compareAndSet():1 ] onAuthRequest[ feed():2 isAllowed():1 authenticate():1 set():1 isForbidden():1 get():1 from():1 body():1 write():1 close():1 ] willLoad[  ] didWrite[  ] closeUplinks[ next():3 hasNext():3 valueIterator():2 iterator():1 compareAndSet():1 closeUp():1 empty():1 ] didDisconnect[ reconnect():1 disconnectUplinks():1 didDisconnect():1 ] didOpen[  ] openListData[ openListData():1 ] createDownlink[  ] didSecure[  ] onUnlinkRequest[ removed():2 get():2 nodeUri():2 queueUp():1 resolve():1 laneUri():1 compareAndSet():1 isEmpty():1 updated():1 ] warn[ warn():1 ] setWarpSocketContext[  ] didBecomeMaster[ compareAndSet():1 ] didUpgrade[ start():1 ] httpDownlink[ httpDownlink():1 ] httpUplink[ setHttpContext():1 ] createPullEnvelope[  ] didLoad[  ] forbid[ from():1 write():1 close():1 ] error[ newUpdater():4 parseInt():1 getProperty():1 error():1 ] didConnect[ from():4 getPort():1 set():1 inetAddress():1 absent():1 getAddress():1 slash():1 remoteAddress():1 connectUplinks():1 didConnect():1 ] partKey[ partKey():1 ] willUnload[  ] trace[ trace():1 ] securityProtocol[ securityProtocol():1 ] isPrimary[  ] hostUri[ hostUri():1 ] disconnectUplinks[ next():3 hasNext():3 valueIterator():2 iterator():1 didDisconnect():1 ] meshUri[ meshUri():1 ] onEventMessage[ get():2 nodeUri():2 next():1 iterator():1 resolve():1 laneUri():1 queueDown():1 hasNext():1 ] onLinkRequest[ isAllowed():1 isDenied():1 feed():1 laneUri():1 routeDownlink():1 get():1 canLink():1 forbid():1 nodeUri():1 policy():1 ] debug[ debug():1 ] didStop[  ] willStart[  ] connectUplinks[ next():3 hasNext():3 valueIterator():2 iterator():1 didConnect():1 ] schedule[ schedule():1 ] RemoteHost[ empty():3 ] onSyncedResponse[ routeUplink():1 ] didStart[  ] closeData[  ] bindDownlink[ bindDownlink():1 ] idleTimeout[  ] getNode[  ] ,"swim-system-java/swim-mesh-java/swim.remote/src/main/java/swim/remote/RemoteHost.java: [Change Parameter Type(16), Rename Parameter(12), Remove Method Annotation(10), Pull Up Method(5), Add Method Modifier(5), Change Variable Type(4), Rename Variable(4), Move Method(3), Add Method Annotation(3), Move And Rename Method(2), Collapse Hierarchy(1), Pull Up Attribute(1)] swim-system-java/swim-mesh-java/swim.remote/src/test/java/swim/remote/RemoteHostSpec.java: [Rename Parameter(8), Change Parameter Type(8)]"
swim.runtime.NodeAddress,class,149 -> 287,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 16b10004b33b3378615f32034f46796542e3ebf9,35,25,10,85,7.0,11.0,2.0,1.0,0.0,0.0,88.0,88.0,0.0,0.0,17.0,17.0,25.0,25.0,debug[ write():9 debug():5 toString():2 ] laneUri[ laneUri():1 parse():1 ] nodeUri[ copy():1 parse():1 nodeUri():1 ] partKey[ copy():1 ] edgeName[  ] hashCode[ hashCode():5 mix():5 mash():1 hash():1 ] equals[ equals():5 ] hostUri[ hostUri():1 copy():1 parse():1 ] NodeAddress[ commit():1 ] meshUri[ meshUri():1 copy():1 parse():1 ] toString[ debug():1 ] from[ parse():3 ] copy[  ] ,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/NodeAddress.java: [Extract Class(2), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.api.auth.AbstractAuthenticator,class,48 -> 128,c747c396e535fe37d99b72a8b806cab7be6c1886 -> 3173a63a3b5a57073a5233e9d9a71cdc251dda93,0,0,0,179,14.0,14.0,1.0,1.0,8.0,8.0,56.0,56.0,2.0,0.0,12.0,12.0,20.0,20.0,authenticate[  ] debug[ debug():1 ] didFail[  ] didStop[  ] ipSettings[ ipSettings():1 ] bindTcp[ bindTcp():1 ] willStop[  ] error[ error():1 ] willStart[  ] schedule[ schedule():1 ] warn[ warn():1 ] bindTls[ bindTls():1 ] trace[ trace():1 ] connectTcp[ connectTcp():1 ] didStart[  ] stage[ stage():1 ] connectTls[ connectTls():1 ] authenticatorContext[  ] setAuthenticatorContext[  ] info[ info():1 ] ,"swim-system-java/swim-mesh-java/swim.api/src/main/java/swim/api/auth/AbstractAuthenticator.java: [Rename Method(2), Change Return Type(2), Change Parameter Type(2), Add Method Annotation(2), Extract Class(2), Move And Rename Class(1), Split Package(1), Change Attribute Type(1), Remove Attribute Modifier(1)]"
swim.db.STree,class,489 -> 492,969602bc315161168513ca522431bfdb97e12548 -> 5e11379db1b90bf0005c1c13de84704e04143594,0,0,0,54,18.0,16.0,2.0,2.0,0.0,0.0,289.0,274.0,0.0,0.0,58.0,52.0,69.0,66.0,prepended[ prepended():1 evacuated():1 page():1 balanced():1 pageRef():1 ] drop[ drop():1 evacuated():1 page():1 balanced():1 pageRef():1 span():1 empty():1 ] cursor[ cursor():1 ] deltaCursor[ deltaCursor():1 ] evacuated[ evacuated():1 ] seed[  ] copyToArray[ page():1 copyToArray():1 ] diffSize[ softVersion():1 diffSize():1 ] rootRef[  ] inserted[ evacuated():1 inserted():1 page():1 balanced():1 pageRef():1 ] appended[ evacuated():1 appended():1 page():1 balanced():1 pageRef():1 ] load[ settings():1 await():1 loadAsync():1 ] get[ get():1 page():1 ] loadAsync[ loadTreeAsync():1 constant():1 isNonFatal():1 trap():1 toDebugString():1 ] soften[ soften():1 ] isResident[  ] getEntry[ page():1 getEntry():1 ] indexOf[ page():1 indexOf():1 ] lookup[ span():2 min():1 max():1 equals():1 page():1 getEntry():1 key():1 ] treeSize[ treeSize():1 ] writeDiff[ softVersion():1 writeDiff():1 ] committed[ committed():2 isCommitted():1 ] treeType[  ] STree[ toValue():1 rootRef():1 currentTimeMillis():1 empty():1 ] isEmpty[ isEmpty():1 ] reduced[ evacuated():1 reduced():1 ] treeContext[  ] uncommitted[ uncommitted():2 ] take[ evacuated():1 take():1 page():1 balanced():1 pageRef():1 span():1 empty():1 ] lastIndexOf[ lastIndexOf():1 page():1 ] contains[ contains():1 page():1 ] depthCursor[ depthCursor():1 ] removed[ evacuated():2 removed():2 page():2 balanced():2 pageRef():2 ] isTransient[  ] updated[ evacuated():1 page():1 balanced():1 updated():1 pageRef():1 ] cleared[ isEmpty():1 pageRef():1 empty():1 ] ,"swim-java/swim-runtime-java/swim-core-java/swim.db/src/main/java/swim/db/STree.java: [Extract And Move Method(138), Extract Method(91)] swim-java/swim-runtime-java/swim-core-java/swim.db/src/main/java/swim/db/STreePageRef.java: [Extract Variable(5)]"
swim.deflate.DeflateSpec,class,207 -> 210,ae83a1550e26cf7f7289c119d0dcb07cec4cb15b -> 3468582b2f72fa17b5c9cee4148cac675fca25dd,0,0,0,1,10.0,9.0,1.0,1.0,78.0,91.0,72.0,90.0,0.0,0.0,23.0,27.0,22.0,26.0,deflateFixed[ byteArray():1 assertDeflates():1 ] deflateLoremIncrementally[ readResource():2 assertDeflates():1 ] deflateLencode[ byteArray():1 assertDeflates():1 ] writeDeflatedFile[ outputBuffer():1 pull():1 isError():1 flush():1 assertTrue():1 index():1 trap():1 byteArrayWriter():1 isDone():1 write():1 ] deflateImage[ readResource():2 assertDeflates():1 ] byteArray[  ] assertDeflates[ assertDeflates():3 toHexString():2 forName():2 getBytes():2 outputBuffer():1 isDone():1 pull():1 fail():1 min():1 isError():1 flush():1 assertTrue():1 isPart():1 trap():1 byteArrayWriter():1 ] gzipImage[ readResource():2 assertDeflates():1 ] deflateLorem[ readResource():2 assertDeflates():1 ] deflateImageIncrementally[ readResource():2 assertDeflates():1 ] readResource[ read():1 getResourceAsStream():1 toByteArray():1 write():1 ] ,"swim-system-java/swim-core-java/swim.deflate/src/test/java/swim/deflate/DeflateSpec.java: [Remove Variable Modifier(2), Extract Method(2), Add Parameter(1), Move Method(1)]"
swim.http.header.CookieHeader,class,530 -> 532,fe23860b21894ca9a189ca717e6cb5cb2b7cdbd3 -> ebf6ecd2c141b816de37efaf7abd701e13bdb7f0,40,23,17,3,13.0,12.0,3.0,3.0,1.0,19.0,69.0,70.0,0.0,0.0,20.0,16.0,20.0,20.0,lowerCaseName[  ] parseHeaderValue[ parse():1 ] writeHeaderValue[ iterator():1 writeParamListWithSeparator():1 ] debug[ write():6 debug():2 head():1 size():1 get():1 ] CookieHeader[  ] hashCode[ seed():1 hashCode():1 mash():1 mix():1 ] equals[ equals():1 ] name[  ] create[ add():1 bind():1 of():1 builder():1 parse():1 ] isBlank[ isEmpty():1 ] cookies[  ] empty[ empty():1 ] ,"swim-java/swim-runtime/swim-core/swim.http/src/main/java/swim/http/header/CookieHeader.java: [Change Return Type(8), Move Method(5), Move Attribute(1)]"
swim.client.ClientRuntime,class,24 -> 48,3054ca5f6c976ea053ed18976b49a44cc186db1e -> c747c396e535fe37d99b72a8b806cab7be6c1886,83,40,43,6736,35.0,33.0,2.0,2.0,995.0,997.0,150.0,143.0,0.0,0.0,14.0,13.0,49.0,50.0,data[  ] createNode[  ] pushDown[ pushDown():1 ] openValueData[  ] willStop[  ] injectValueData[  ] didUnload[  ] closeDownlink[  ] injectMesh[  ] createMesh[  ] router[  ] injectLane[  ] createPart[  ] injectMapData[  ] info[  ] injectNode[  ] willLoad[  ] didOpen[  ] openListData[  ] warn[  ] stop[ stop():2 ] injectPart[  ] willClose[  ] httpDownlink[ httpDownlink():1 ] willOpen[  ] authenticate[  ] didLoad[  ] error[  ] willUnload[  ] endpoint[  ] openSpatialData[  ] trace[  ] createHost[  ] injectHost[  ] meshUri[ empty():1 ] close[  ] policy[  ] injectSpatialData[  ] openMapData[  ] debug[  ] didStop[  ] injectListData[  ] start[ start():3 ] setRouter[ toString():1 ] openDownlink[ openDownlink():1 ] willStart[  ] ClientRuntime[ standard():2 setRootContext():1 tlsSettings():1 ] schedule[  ] didStart[  ] stage[  ] bindDownlink[ bindDownlink():1 ] ,"swim-java/swim-core-java/swim.client/src/main/java/swim/client/ClientRuntime.java: [Extract Class(10), Move Method(8), Change Return Type(4), Rename Method(2), Add Method Modifier(2), Add Method Annotation(1)]"
swim.ws.WsBinaryFrame,class,362 -> 530,825c033114353c3ac0c441c3959be47bf7f65ba3 -> fe23860b21894ca9a189ca717e6cb5cb2b7cdbd3,0,0,0,12,10.0,9.0,3.0,3.0,8.0,8.0,56.0,56.0,0.0,0.0,11.0,11.0,17.0,17.0,payloadValue[  ] debug[ write():6 debug():2 ] WsBinaryFrame[  ] hashCode[ seed():1 mash():1 mix():1 hash():1 ] equals[ equals():1 ] frameType[  ] create[ byteBufferWriter():1 duplicate():1 writer():1 ] toString[ debug():1 ] payloadEncoder[  ] empty[ done():1 ] ,"swim-java/swim-runtime-java/swim-core-java/swim.ws/src/main/java/swim/ws/WsBinaryFrame.java: [Rename Parameter(4), Change Return Type(4), Move Method(2)]"
swim.runtime.lane.ListLaneUplink,class,34 -> 48,3235a817f1fb2f5389beaa3eee59251a2e6d7fab -> c747c396e535fe37d99b72a8b806cab7be6c1886,35,8,27,6736,8.0,8.0,3.0,3.0,0.0,0.0,44.0,23.0,0.0,0.0,11.0,10.0,10.0,5.0,ListLaneUplink[  ] stage[ stage():1 ] laneBinding[  ] ,swim-java/swim-core-java/swim.runtime/src/main/java/swim/runtime/lane/ListLaneUplink.java: [Extract Superclass(2)]
swim.java.JavaAgentDef,class,51 -> 128,d22db6d962a17c4d4f5820df8785a33965cf767f -> 3173a63a3b5a57073a5233e9d9a71cdc251dda93,0,0,0,179,6.0,5.0,1.0,1.0,0.0,0.0,63.0,63.0,0.0,0.0,13.0,12.0,20.0,20.0,debug[ write():10 debug():3 isDefined():1 ] fromClassName[ absent():1 ] hashCode[ mix():3 hash():2 seed():1 hashCode():1 mash():1 ] JavaAgentDef[  ] equals[ equals():3 ] agentName[ copy():1 ] className[ copy():1 ] toString[ debug():1 ] from[ absent():1 ] copy[  ] props[ copy():1 ] ,"swim-system-java/swim-mesh-java/swim.java/src/main/java/swim/java/JavaAgentDef.java: [Pull Up Method(10), Rename Parameter(10), Change Return Type(6), Change Parameter Type(4), Change Type Declaration Kind(2), Add Method Modifier(2), Change Variable Type(2), Pull Up Attribute(2), Collapse Hierarchy(1), Remove Method Annotation(1)]"
