Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
swim.runtime.router.MeshTable,addPart,154 -> 324,fca5f2b16f388aaf1f237506f1eaac131fd24122 -> 185574f8c4f40e4b8fae72f8c29749ba347eb278,182,92,90,7,9.0,8.0,28.0,28.0,14.0,14.0,7.0,7.0,10,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/MeshTable.java: [Extract Method(56), Rename Parameter(8), Move Method(8), Change Parameter Type(6), Change Return Type(4), Move And Rename Method(4), Extract Interface(2), Merge Class(1)]"
swim.http.header.SetCookieHeader,debug,530 -> 535,fe23860b21894ca9a189ca717e6cb5cb2b7cdbd3 -> 84627f6fec7e927817a0c0d31960544b1cf5204b,90,90,0,1,3.0,2.0,12.0,12.0,5.0,5.0,3.0,3.0,5,"swim-java/swim-runtime/swim-core/swim.http/src/main/java/swim/http/header/SetCookieHeader.java: [Change Return Type(8), Split Parameter(5), Move Method(5), Change Parameter Type(4), Rename Parameter(4), Split Attribute(3), Move Attribute(1)]"
swim.runtime.http.HttpLaneModel,doRespond,53 -> 326,3bc69239d6ae8051df994cae92636687f8ca560a -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/http/HttpLaneModel.java: [Change Parameter Type(16), Extract Subclass(9), Move And Rename Class(4), Change Attribute Type(4), Change Method Access Modifier(4), Push Down Method(2)]"
swim.runtime.router.PartTableHost,createAgentFactory,149 -> 287,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 16b10004b33b3378615f32034f46796542e3ebf9,0,0,0,85,5.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableHost.java: [Change Parameter Type(20), Rename Parameter(20), Remove Parameter(12), Change Return Type(4), Parameterize Attribute(4), Extract Class(3), Add Parameter(3), Rename Method(2), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.runtime.router.PartTableHost,close,149 -> 326,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableHost.java: [Change Parameter Type(20), Rename Parameter(20), Remove Parameter(12), Change Return Type(4), Parameterize Attribute(4), Extract Class(3), Add Parameter(3), Rename Method(2), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.runtime.router.PartTableHost,edgeName,149 -> 326,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableHost.java: [Change Parameter Type(20), Rename Parameter(20), Remove Parameter(12), Change Return Type(4), Parameterize Attribute(4), Extract Class(3), Add Parameter(3), Rename Method(2), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.runtime.agent.AgentLane,nodeUri,149 -> 288,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 741f2f5e968ad2f0a14c3465c9a3a25445806129,0,0,0,14,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/agent/AgentLane.java: [Change Parameter Type(4), Rename Parameter(4), Extract Class(3), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.uri.UriAuthority,portNumber,154 -> 189,fca5f2b16f388aaf1f237506f1eaac131fd24122 -> e852cb1e1c5d7142ac0a8e258e99b7b23adc1be7,0,0,0,14,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2,swim-system-java/swim-core-java/swim.uri/src/main/java/swim/uri/UriAuthority.java: [Extract Superclass(2)]
swim.runtime.lane.ListLaneModel,drop,290 -> 326,0c92cb6d6cb9cfab7b7ff30fbc41d8a39ae22ed9 -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,3.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/lane/ListLaneModel.java: [Change Method Access Modifier(36), Remove Parameter(18), Change Parameter Type(4), Rename Method(2), Extract Superclass(2)]"
swim.api.service.AbstractService,AbstractService,48 -> 162,c747c396e535fe37d99b72a8b806cab7be6c1886 -> 5e20aa815ddf27f631906ed8cdcab3222ae922e0,0,0,0,41,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.api/src/main/java/swim/api/service/AbstractService.java: [Rename Method(2), Change Parameter Type(2), Change Return Type(2), Move And Rename Class(1), Rename Package(1), Remove Class Modifier(1), Change Attribute Type(1), Extract Class(1)]"
swim.js.JsAgentDef,equals,51 -> 147,d22db6d962a17c4d4f5820df8785a33965cf767f -> ee1c3ce3e446d5d420be5be061d23b4055ae9f57,56,25,31,19,1.0,1.0,10.0,10.0,2.0,1.0,5.0,4.0,2,"swim-system-java/swim-polyglot-java/swim.js/src/main/java/swim/js/JsAgentDef.java: [Pull Up Method(12), Rename Parameter(12), Change Return Type(10), Change Parameter Type(6), Change Type Declaration Kind(2), Add Method Modifier(2), Remove Method Annotation(2), Change Variable Type(2), Pull Up Attribute(2), Collapse Hierarchy(1), Remove Method Modifier(1)]"
swim.runtime.router.EdgeTable,closeMesh,324 -> 347,185574f8c4f40e4b8fae72f8c29749ba347eb278 -> ad31656e50aee9ddbff04b9c8602d267e392b103,476,262,214,1628,5.0,4.0,29.0,24.0,7.0,7.0,7.0,6.0,4,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/EdgeTable.java: [Extract Method(42), Change Return Type(4), Extract Interface(2)]"
swim.actor.ActorSpace,openMetaEdge,149 -> 326,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.actor/src/main/java/swim/actor/ActorSpace.java: [Remove Parameter(117), Rename Method(24), Change Return Type(24), Add Parameter(21), Change Parameter Type(12), Rename Parameter(12), Merge Parameter(12), Parameterize Attribute(8), Extract Method(6), Localize Parameter(4), Add Variable Modifier(4), Change Variable Type(4), Rename Variable(4), Replace Attribute With Variable(4)]"
swim.runtime.lane.JoinValueLaneModel,openDownlinks,53 -> 290,3bc69239d6ae8051df994cae92636687f8ca560a -> 0c92cb6d6cb9cfab7b7ff30fbc41d8a39ae22ed9,0,0,0,14,5.0,3.0,13.0,13.0,12.0,12.0,2.0,2.0,12,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/lane/JoinValueLaneModel.java: [Change Method Access Modifier(22), Remove Parameter(9), Change Parameter Type(4), Rename Method(2), Extract Superclass(2)]"
swim.runtime.PartProxy,store,24 -> 51,3054ca5f6c976ea053ed18976b49a44cc186db1e -> d22db6d962a17c4d4f5820df8785a33965cf767f,0,0,0,173,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-java/swim-core-java/swim.runtime/src/main/java/swim/runtime/PartProxy.java: [Extract Class(12), Move Method(10), Change Return Type(4), Rename Method(2), Add Method Annotation(1)]"
swim.runtime.router.HostTable,edgeName,149 -> 326,642318cc96952f36ae792fd5f75f3f4310f67f8c -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/HostTable.java: [Extract Variable(12)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/HostTableNode.java: [Parameterize Attribute(12), Add Parameter(9), Change Parameter Type(8), Rename Parameter(8), Extract Class(3), Move Attribute(1), Change Attribute Access Modifier(1)]"
swim.runtime.router.PartTable,willLoad,53 -> 326,3bc69239d6ae8051df994cae92636687f8ca560a -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,2.0,1.0,7.0,7.0,5.0,5.0,2.0,2.0,5,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableUplink.java: [Change Parameter Type(2), Rename Class(1), Extract Superclass(1)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableHttpUplink.java: [Change Parameter Type(2), Rename Class(1), Extract Superclass(1)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTable.java: [Change Variable Type(20), Change Parameter Type(8), Change Attribute Type(4)] swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/router/PartTableWarpUplink.java: [Extract Class(3), Move Method(2)]"
swim.runtime.AbstractUplinkContext,warn,53 -> 326,3bc69239d6ae8051df994cae92636687f8ca560a -> 57ac50b4a02e73000ebd693dd54ed85e1076fc71,0,0,0,2489,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2,"swim-system-java/swim-mesh-java/swim.runtime/src/main/java/swim/runtime/AbstractUplinkContext.java: [Pull Up Method(44), Extract Class(8), Move Method(5), Extract Superclass(1), Pull Up Attribute(1)]"
