Class,Method,Commit Number,Commit Hash,Diff URL,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.facebook.presto.hive.AbstractTestHiveClient,testTableCreationIgnoreExisting,13313 -> 13369,41b50a92aa0193fd639f7c942a95f9bb2128422e -> 1f621f4246984829a7f4d0c5b477565a9659ba5a,"['https://github.com/trinodb/trino/commit/1a882ddd17ccaf9796ae3cab490415084660b5d7', 'https://github.com/trinodb/trino/commit/683d5423e80fcd429152079568dd9aa578faca4f', 'https://github.com/trinodb/trino/commit/92e362bc4e276a74f4a8f1e3500999fc043552a4', 'https://github.com/trinodb/trino/commit/965f104af3f7f7323bcf9e064d32854eb82d8fd6', 'https://github.com/trinodb/trino/commit/0b27478c7b6c11260b65161ac54c3f33ba76ef20', 'https://github.com/trinodb/trino/commit/41b50a92aa0193fd639f7c942a95f9bb2128422e', 'https://github.com/trinodb/trino/commit/1f621f4246984829a7f4d0c5b477565a9659ba5a', 'https://github.com/trinodb/trino/commit/722b8adced890030d31efb58c572cddc1541809a']",0,0,0,30,15.0,12.0,49.0,49.0,30.0,30.0,3.0,3.0,27,"presto-hive/src/test/java/com/facebook/presto/hive/AbstractTestHiveClient.java: [Extract Method(49), Change Method Access Modifier(2)]"
com.facebook.presto.hive.parquet.reader.ParquetReader,readMap,9710 -> 10850,c50f8f66b599db86ffaea6519ac1d5e388411862 -> 620577191bc24d00ae213486794d02cdaccbdd44,"['https://github.com/trinodb/trino/commit/c50f8f66b599db86ffaea6519ac1d5e388411862', 'https://github.com/trinodb/trino/commit/620577191bc24d00ae213486794d02cdaccbdd44']",0,0,0,2,9.0,8.0,25.0,24.0,11.0,12.0,5.0,5.0,11,"presto-hive/src/main/java/com/facebook/presto/hive/parquet/reader/ParquetReader.java: [Extract Method(115), Extract Variable(5), Inline Variable(3)]"
com.facebook.presto.cli.Query,pageOutput,853 -> 988,5e1792dc7a2516c9a32d9622d7281f143717889f -> 9dd1513442f915547b13d6fdac062dde63126f4e,"['https://github.com/trinodb/trino/commit/cf98bbe1be73771f6f61355718978bab30aa6798', 'https://github.com/trinodb/trino/commit/efd8f10c07b08508afd95f77384f68303f656ed4', 'https://github.com/trinodb/trino/commit/d2d1cbefb40374a9932ae38ca7e17b59fe638216', 'https://github.com/trinodb/trino/commit/5e1792dc7a2516c9a32d9622d7281f143717889f', 'https://github.com/trinodb/trino/commit/9dd1513442f915547b13d6fdac062dde63126f4e']",0,0,0,6,5.0,2.0,18.0,14.0,7.0,2.0,1.0,1.0,2,"presto-main/src/main/java/com/facebook/presto/cli/Query.java: [Extract Class(8), Move Method(8), Add Method Modifier(3), Add Variable Annotation(3), Add Parameter(2)]"
com.facebook.presto.spi.block.AbstractInterleavedBlock,getByte,7701 -> 8437,28fe1b962dd767878b0ee8d15eedbdaa9ba50bf8 -> 423098bb52e291db98ecef2cf3e170b19adb1bea,"['https://github.com/trinodb/trino/commit/2ff6442df4784ccfeabb919bc7ecaa103546aea9', 'https://github.com/trinodb/trino/commit/e25777473b6f6af66b955f66c1ba4f88776cff84', 'https://github.com/trinodb/trino/commit/6c4c536a52a9512f3fc6f67de76b534f74dbbc58', 'https://github.com/trinodb/trino/commit/28fe1b962dd767878b0ee8d15eedbdaa9ba50bf8', 'https://github.com/trinodb/trino/commit/423098bb52e291db98ecef2cf3e170b19adb1bea', 'https://github.com/trinodb/trino/commit/bd782ef859c360bf7ff0a1250b7cf9a93ad273e1', 'https://github.com/trinodb/trino/commit/614348147a3d029fe915a8b3110663abbcc5e720', 'https://github.com/trinodb/trino/commit/57e033eab701fdefd42773276d4451c3f71407a3', 'https://github.com/trinodb/trino/commit/395d3e2b2ab28b136fcc317ec40c45aef39dbd7e', 'https://github.com/trinodb/trino/commit/0e9b75ab395e41f55407c60e6fd2d2eeb92b227e', 'https://github.com/trinodb/trino/commit/97d218d6d20d39e04137d062512f3a2c1a438d85', 'https://github.com/trinodb/trino/commit/c9757fec4fd28d7cb89b46e2e5bca5a42e8b0655', 'https://github.com/trinodb/trino/commit/fe63480a3122e56c2d05ca0fdfc0a871699f17c8', 'https://github.com/trinodb/trino/commit/84f1b01c59271e1e094f9f4d0f1b8b4322d12936']",0,0,0,8,2.0,1.0,6.0,6.0,3.0,3.0,1.0,1.0,2,"presto-spi/src/main/java/com/facebook/presto/spi/block/AbstractInterleavedBlock.java: [Extract Method(27), Change Method Access Modifier(2), Push Down Method(1)]"
io.prestosql.operator.WindowOperator,close,15689 -> 19342,d4c605591f51cfaed9e78e4288134aeaaea52442 -> 21e3ddf55a641e1c17b7e4a17689223ff1120b42,"['https://github.com/trinodb/trino/commit/6c0ff741af889f4434bdf2c28af155a5ee7354c1', 'https://github.com/trinodb/trino/commit/d4c605591f51cfaed9e78e4288134aeaaea52442', 'https://github.com/trinodb/trino/commit/21e3ddf55a641e1c17b7e4a17689223ff1120b42']",0,0,0,142,1.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,3,presto-main/src/main/java/io/prestosql/operator/WindowOperator.java: [Extract Method(11)]
com.facebook.presto.sql.planner.PlanBuilder,getAnalysis,7529 -> 9587,00c741c2570db5fc015a0e78deadf76ccdbf2796 -> 7e406f58fa4c5039ef2aaa5f93b6df26d1bae891,"['https://github.com/trinodb/trino/commit/00c741c2570db5fc015a0e78deadf76ccdbf2796', 'https://github.com/trinodb/trino/commit/7e406f58fa4c5039ef2aaa5f93b6df26d1bae891', 'https://github.com/trinodb/trino/commit/2f9f4a0d31c75b79ab5519e83aa4d0ab2367862c']",0,0,0,30,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"presto-main/src/main/java/com/facebook/presto/sql/planner/PlanBuilder.java: [Remove Parameter(1), Change Method Access Modifier(1), Move Method(1)]"
io.prestosql.execution.TestEventListener,testPrepareAndExecute,18655 -> 18692,3346df3b814547f49726c081935b76050f50bcdd -> 135fad233d78d0561f8e438885555bcf656ed9af,"['https://github.com/trinodb/trino/commit/11d3734546ad731e90e3efa6cd9930972178b126', 'https://github.com/trinodb/trino/commit/3346df3b814547f49726c081935b76050f50bcdd', 'https://github.com/trinodb/trino/commit/135fad233d78d0561f8e438885555bcf656ed9af', 'https://github.com/trinodb/trino/commit/fbf4064a5d1e65f0acc9623a3b63eabdb746ec45', 'https://github.com/trinodb/trino/commit/27af6fb12864b43598281ce4e32ccbe14e458b2b', 'https://github.com/trinodb/trino/commit/6bf2649f482139f0d3204ed8cb2b81a24041f206']",0,0,0,3,8.0,5.0,43.0,43.0,32.0,32.0,1.0,1.0,32,"presto-tests/src/test/java/io/prestosql/execution/TestEventListener.java: [Extract Class(4), Move Method(2), Rename Parameter(2), Change Method Access Modifier(2), Move Class(1), Remove Class Modifier(1)] presto-tests/src/test/java/io/prestosql/execution/TestEventListenerPlugin.java: [Move Class(1), Change Class Access Modifier(1), Remove Class Modifier(1)]"
com.facebook.presto.hive.AbstractTestHiveClient,testGetPartitionNamesUnpartitioned,8385 -> 12209,d1cf4fbc456c3ccc731ba38eb9ed400e424a9d9f -> 5d5cab51b5bc4b54aa56f624ac5230f9f432fe62,"['https://github.com/trinodb/trino/commit/8afa867057848dc0496956d7dde4e0457ebffb98', 'https://github.com/trinodb/trino/commit/3e18251c61e4acdd20b40ba8eba1487cbcd0515f', 'https://github.com/trinodb/trino/commit/aa7a4b295b3866fd6c2ff065032cd615fd86ad32', 'https://github.com/trinodb/trino/commit/30903da8b33f19f10e1e390b41bfc331d7be8636', 'https://github.com/trinodb/trino/commit/beddad1c3ae7e1ef58215933f596cbf690d743ad', 'https://github.com/trinodb/trino/commit/4aac7496df4a30b3c6ad895f519ee8156539da2b', 'https://github.com/trinodb/trino/commit/af4888644cba2a6bce053aba4ed0f2b3be5e26fd', 'https://github.com/trinodb/trino/commit/d1cf4fbc456c3ccc731ba38eb9ed400e424a9d9f', 'https://github.com/trinodb/trino/commit/5d5cab51b5bc4b54aa56f624ac5230f9f432fe62']",0,0,0,1,7.0,6.0,9.0,9.0,14.0,14.0,1.0,1.0,4,"presto-hive/src/test/java/com/facebook/presto/hive/AbstractTestHiveClient.java: [Extract Method(95), Inline Method(66), Change Variable Type(52), Extract Variable(27), Add Parameter(6), Change Return Type(4), Change Parameter Type(4), Parameterize Attribute(4), Rename Method(2)] presto-hive/src/test/java/com/facebook/presto/hive/AbstractTestHiveClientS3.java: [Change Variable Type(28)]"
com.facebook.presto.sql.analyzer.ExpressionAnalyzer,analyzeExpression,9061 -> 9643,1362aba8753425daf3c454548da4e3a93ed8d811 -> d72c0495f4e94da13af9cc5f6b3fa245a47e53a0,"['https://github.com/trinodb/trino/commit/39aad22414cfcd12a62d3893397525c4b0562e66', 'https://github.com/trinodb/trino/commit/83b58378607938c14ff3fa76d8a6924e7d5b0bb3', 'https://github.com/trinodb/trino/commit/1362aba8753425daf3c454548da4e3a93ed8d811', 'https://github.com/trinodb/trino/commit/d72c0495f4e94da13af9cc5f6b3fa245a47e53a0', 'https://github.com/trinodb/trino/commit/5bb64c56c5f3c0fae279a66dbe1987daf91eb15d', 'https://github.com/trinodb/trino/commit/a3d67a41f0976b4a3d96731bf65f3a18272be36d', 'https://github.com/trinodb/trino/commit/a07bef77890c5f6e069106cd2dd64609adeda54e', 'https://github.com/trinodb/trino/commit/337f4b13b1b5ecc38b12356916661539af8b70ae', 'https://github.com/trinodb/trino/commit/92142545c5a8e9be88d0b8ee3dff320b1a00d389', 'https://github.com/trinodb/trino/commit/bf8dd827bf45a32d4e06108d1ad4cc37436b8c6e', 'https://github.com/trinodb/trino/commit/ffe29e161f706eeca46fd5dccb81c5f713042878', 'https://github.com/trinodb/trino/commit/80a055ef241e747b4274dc21c6143fc3b7c1cd00', 'https://github.com/trinodb/trino/commit/20b879f3480b7c8a66fd95214ac10a24218f54b0']",0,0,0,26,12.0,10.0,14.0,14.0,18.0,18.0,1.0,1.0,15,"presto-main/src/main/java/com/facebook/presto/sql/analyzer/ExpressionAnalyzer.java: [Extract Method(22), Extract Variable(5), Add Parameter(3)]"
com.facebook.presto.decoder.csv.CsvColumnDecoder,decodeField,13940 -> 13941,e0c0d7cb2a9153ff1592d31301141393fcb3189d -> eb9a9259f9f0c2def5c9a1ea6a2259d389265bae,"['https://github.com/trinodb/trino/commit/e0c0d7cb2a9153ff1592d31301141393fcb3189d', 'https://github.com/trinodb/trino/commit/eb9a9259f9f0c2def5c9a1ea6a2259d389265bae']",0,0,0,2,4.0,3.0,11.0,40.0,5.0,1.0,3.0,2.0,5,presto-record-decoder/src/main/java/com/facebook/presto/decoder/csv/CsvColumnDecoder.java: [Move Method(1)]
