Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
com.wepay.waltz.tools.client.ClientCli,class,233 -> 241,dbc38d2581dda571c707bcdcc43a40df8b31d35f -> 2a308cb54e9eeb00e234de67587a66e48dd8076a,0,0,0,2,9.0,8.0,10.0,4.0,15.0,15.0,411.0,313.0,0.0,0.0,7.0,7.0,7.0,7.0,ClientCli[ asList():1 ] testMain[ processCmd():1 ] main[ processCmd():1 ] ,waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Extract Method(13)]
com.wepay.waltz.common.message.MessageCodecV2,class,303 -> 304,73aab90cdab9d7108df2eac94feebe602ed59222 -> 21c95b1cc676574d8794ce3fe671dcec10fb72ec,2,0,2,4,32.0,32.0,1.0,1.0,15.0,15.0,226.0,224.0,0.0,0.0,28.0,28.0,55.0,55.0,encode[ writeLong():10 writeInt():5 type():4 writeBoolean():4 writeIntArray():3 writeByteArray():2 writeString():2 getKey():1 writeByte():1 entrySet():1 getMessage():1 writeTo():1 getValue():1 size():1 ] magicByte[  ] decode[ readLong():10 readInt():5 readIntArray():3 readBoolean():3 readByteArray():2 readString():2 verifyChecksum():2 readFrom():1 readByte():1 put():1 ] version[  ] ,"waltz-common/src/main/java/com/wepay/waltz/common/message/MessageCodecV2.java: [Extract Method(28), Rename Variable(4), Parameterize Variable(4)]"
com.wepay.waltz.tools.storage.StorageCli,class,62 -> 68,5879335b5a4339972e301c5a3de89a17d363e981 -> d365a59f132f9de7cd8a9273858c4416833ee43e,0,0,0,3,11.0,11.0,10.0,10.0,15.0,15.0,690.0,642.0,0.0,0.0,5.0,5.0,6.0,6.0,openStorageAdminClient[ getStoreParams():1 open():1 ] testMain[ processCmd():1 ] main[ processCmd():1 ] StorageCli[ asList():1 ] openStorageClient[ getStoreParams():1 openStorageClient():1 open():1 ] ,"waltz-tools/src/main/java/com/wepay/waltz/tools/storage/StorageCli.java: [Extract Method(27), Add Parameter(6), Change Variable Type(4), Rename Variable(4)] waltz-tools/src/test/java/com/wepay/waltz/tools/storage/StorageCliTest.java: [Extract Method(8), Replace Attribute With Variable(4)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient$WaltzClientHandlerCallbacksImpl,innerclass,137 -> 140,ace392aabfac97c40308758571ba549a228ca61a -> 1e3089b61a94a785b6040ffb0598e61cf7b0a33a,0,0,0,6,9.0,9.0,1.0,1.0,120.0,91.0,157.0,137.0,0.0,0.0,31.0,25.0,46.0,34.0,onFeedSuspended[ getPartition():1 debug():1 sendMessage():1 isDebugEnabled():1 clientHighWaterMark():1 ] onChannelActive[ onMountingPartition():1 values():1 ] onExceptionCaught[  ] onWritabilityChanged[  ] onPartitionNotReady[ sleep():1 getPartition():1 debug():1 sendMessage():1 nextReqId():1 isDebugEnabled():1 clientHighWaterMark():1 info():1 ] onTransactionDataReceived[ transactionDataReceived():1 getPartition():1 debug():1 isDebugEnabled():1 ] onLockFailed[ partitionId():2 getPartition():1 debug():1 lockFailed():1 isDebugEnabled():1 ] onChannelInactive[ closeAsync():1 ] onTransactionIdReceived[ partitionId():2 getPartition():1 debug():1 applyTransaction():1 isDebugEnabled():1 ] onFlushCompleted[ partitionId():2 getPartition():1 debug():1 isDebugEnabled():1 flushCompleted():1 ] onPartitionMounted[ debug():1 get():1 sendMessage():1 isDebugEnabled():1 mounted():1 clientHighWaterMark():1 ] ,waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(7)]
com.wepay.waltz.test.util.IntegrationTestHelper,class,62 -> 68,5879335b5a4339972e301c5a3de89a17d363e981 -> d365a59f132f9de7cd8a9273858c4416833ee43e,0,0,0,3,20.0,20.0,1.0,1.0,997.0,675.0,327.0,299.0,0.0,0.0,75.0,65.0,72.0,64.0,getNumPartitions[  ] shutdownZooKeeperServer[ stop():1 ] createYamlConfigFile[ createYamlConfigFile():2 createTempDirectory():1 resolve():1 toString():1 dump():1 setConfigParams():1 write():1 ] getWaltzStorageRunner[ setProperty():5 valueOf():3 toString():2 resolve():1 get():1 exists():1 createDirectory():1 setConfigParams():1 getWaltzStorageRunner():1 put():1 ] getSslContext[ getSslContext():1 ] getServerJettyPort[  ] getWaltzServerRunner[ put():4 getWaltzServerRunner():1 get():1 ] getZkPort[  ] getSslConfigPath[  ] closeStorageAdminClient[ values():1 close():1 ] getZkSessionTimeout[  ] getHost[  ] getSegmentSizeThreshold[  ] startWaltzStorage[ awaitStart():1 getWaltzStorageRunner():1 startAsync():1 ] getZkConnectString[  ] IntegrationTestHelper[ getPort():6 getProperty():4 containsKey():4 parseInt():3 map():2 createTempDirectory():1 createYamlConfigFile():1 getCanonicalHostName():1 setProperty():1 setConfigParams():1 getLocalHost():1 ] getStoragePort[  ] getClusterKey[  ] closeAll[ shutdownZooKeeperServer():1 shutdownWaltzStorage():1 closeStorageAdminClient():1 cleanupSSL():1 cleanupWorkDir():1 shutdownWaltzServer():1 cleanupZnode():1 ] getZooKeeperServerRunner[ resolve():1 ] shutdownWaltzServer[ stop():1 values():1 ] startWaltzServer[ awaitStart():1 getWaltzServerRunner():1 startAsync():1 ] cleanupZnode[ close():1 deleteRecursively():1 ] startZooKeeperServer[ getStoreParams():1 createStores():1 start():1 getZooKeeperServerRunner():1 createCluster():1 close():1 ] setClusterKey[  ] getStorageAdminPort[  ] getZnodePath[  ] getWorkDir[  ] getServerPort[  ] getStorageJettyPort[  ] setWaltzStorageAssignment[ add():1 setPartitionAssignment():1 get():1 setWaltzStorageAssignment():1 getStorageAdminClient():1 ] shutdownWaltzStorage[ stop():1 values():1 ] cleanupSSL[ close():1 ] cleanupWorkDir[ removeDirectory():1 toFile():1 ] getStorageConnectString[  ] getStorageAdminClient[ getStoreParams():1 getSslContext():1 get():1 getStorageAdminClient():1 open():1 put():1 ] getSslSetup[  ] ,"waltz-test/src/main/java/com/wepay/waltz/test/util/IntegrationTestHelper.java: [Extract Method(24), Rename Method(4)]"
com.wepay.waltz.tools.client.ClientCliTest,class,85 -> 88,0546f3aab8953e6468372614d5b1a3aae00a8426 -> 5ab1197a1072c6a26c28e9b28f87ecf415d92ae6,0,0,0,2,11.0,8.0,1.0,1.0,8.0,9.0,148.0,104.0,0.0,0.0,36.0,24.0,10.0,8.0,createProperties[ setProperty():3 valueOf():1 setConfigParams():1 ] testSubmit[ valueOf():3 testMain():3 setProperty():3 assertFalse():2 contains():2 toString():2 createYamlConfigFile():1 closeAll():1 startWaltzServer():1 startZooKeeperServer():1 getZnodePath():1 getStorageAdminPort():1 createProperties():1 getZkSessionTimeout():1 getSslSetup():1 getHost():1 getZkConnectString():1 startWaltzStorage():1 ] restoreStreams[ setErr():1 setOut():1 ] setUpStreams[ setErr():1 setOut():1 ] ,"waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(10), Extract Variable(3)]"
com.wepay.waltz.client.AbstractClientCallbacksForJDBC,class,96 -> 98,de30a932d378e5c4f250a4f020796637f2b63453 -> 2f5df409b4032097c148a9c455268ef3aaaba776,0,0,0,2,8.0,7.0,4.0,1.0,37.0,48.0,356.0,197.0,2.0,2.0,33.0,37.0,26.0,27.0,AbstractClientCallbacksForJDBC[ format():3 ] applyTransaction[ closeSafely():2 get():2 rollback():1 setTransactionIsolation():1 debug():1 applyTransaction():1 partitionId():1 selectHighWaterMark():1 backoff():1 commit():1 prepareStatement():1 getUpdateCount():1 execute():1 wrapConnection():1 setInt():1 getConnection():1 setLong():1 setAutoCommit():1 trySet():1 ] onErrorGettingClientHighWaterMark[  ] selectHighWaterMark[ closeSafely():2 next():1 getLong():1 insert():1 prepareStatement():1 updateHighWaterMarkCache():1 setInt():1 executeQuery():1 ] insert[ prepareStatement():1 closeSafely():1 execute():1 setInt():1 ] getClientHighWaterMark[ getConnection():1 onErrorGettingClientHighWaterMark():1 selectHighWaterMark():1 backoff():1 setAutoCommit():1 closeSafely():1 ] closeSafely[ close():3 ] updateHighWaterMarkCache[ get():1 trySet():1 putIfAbsent():1 ] wrapConnection[ getClass():1 newProxyInstance():1 getClassLoader():1 ] ,waltz-client/src/test/java/com/wepay/waltz/client/AbstractClientCallbacksForJDBCTest.java: [Extract Method(18)]
com.wepay.waltz.client.AbstractClientCallbacksForJDBCTest,class,96 -> 98,de30a932d378e5c4f250a4f020796637f2b63453 -> 2f5df409b4032097c148a9c455268ef3aaaba776,0,0,0,2,16.0,14.0,1.0,1.0,80.0,0.0,352.0,294.0,0.0,0.0,41.0,34.0,32.0,21.0,testRetryThenSuccess[ get():2 assertEquals():2 getConnection():1 submit():1 await():1 create():1 mkTransactionContext():1 createSchema():1 dropSchema():1 setObject():1 ] testRetryThenFailure[ get():2 assertEquals():2 getConnection():1 submit():1 await():1 create():1 mkTransactionContext():1 createSchema():1 dropSchema():1 setObject():1 ] mkTransactionContext[  ] testOnErrorGettingClientHighWaterMark[ submit():1 mkTransactionContext():1 getMessage():1 assertEquals():1 createSchema():1 setObject():1 getCause():1 getConnection():1 fail():1 assertTrue():1 create():1 makeDbDown():1 dropSchema():1 ] createSchema[ rollback():1 commit():1 prepareStatement():1 execute():1 close():1 ] testDatabaseDown[ numConnectionsMade():3 assertEquals():3 get():2 incrementAndGet():1 applyTransaction():1 makeDbUp():1 start():1 createSchema():1 sleep():1 getConnection():1 isAlive():1 assertTrue():1 await():1 getClientHighWaterMark():1 makeDbDown():1 countDown():1 dropSchema():1 ] dropSchema[ close():2 rollback():1 commit():1 prepareStatement():1 execute():1 ] testConcurrentClients[ assertEquals():3 size():3 add():2 submit():2 format():2 mkTransactionContext():2 sort():2 setObject():2 addAll():2 createSchema():1 getConnection():1 await():1 create():1 dropSchema():1 ] ,waltz-client/src/test/java/com/wepay/waltz/client/AbstractClientCallbacksForJDBCTest.java: [Extract Method(18)]
com.wepay.waltz.tools.client.ClientCli$Validate$ConsumerTxnCallbacks,innerclass,43 -> 46,ec7c0e75e0643decbe0c592b4e33fcddb20d966f -> b12f4dc996ea4e21aa506141a730c9d480229638,0,0,0,10,4.0,4.0,1.0,1.0,4.0,4.0,29.0,33.0,0.0,0.0,10.0,9.0,7.0,8.0,applyTransaction[ getTransactionData():1 partitionId():1 format():1 countDown():1 longValue():1 ] ConsumerTxnCallbacks[  ] uncaughtException[ add():1 format():1 getMessage():1 ] getClientHighWaterMark[ getOrDefault():1 get():1 ] ,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Rename Parameter(12), Replace Attribute With Variable(8), Rename Variable(4), Extract Attribute(3), Remove Parameter(3), Rename Attribute(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(10), Extract Variable(3)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient,class,87 -> 88,0d7623fb7ff7145354e6462e7a7765c926f4dbfb -> 5ab1197a1072c6a26c28e9b28f87ecf415d92ae6,0,0,0,2,17.0,16.0,2.0,2.0,0.0,0.0,252.0,214.0,0.0,0.0,19.0,14.0,26.0,19.0,getMessageHandler[  ] unmountPartition[ unmounted():1 remove():1 ] getPartition[ get():1 ] requestTransactionData[ partitionId():1 sendMessage():1 info():1 ] WaltzNetworkClient[  ] unmountAllPartitions[ unmountPartition():1 values():1 ] mountPartition[ onMountingPartition():1 mounting():1 put():1 ] shutdown[ unmounted():1 values():1 onNetworkClientDisconnected():1 ] ,waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(7)]
