Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
com.wepay.waltz.tools.client.ClientCli$Validate,processCmd,43 -> 46,ec7c0e75e0643decbe0c592b4e33fcddb20d966f -> b12f4dc996ea4e21aa506141a730c9d480229638,0,0,0,10,4.0,4.0,39.0,33.0,9.0,9.0,9.0,6.0,9,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Rename Parameter(12), Replace Attribute With Variable(8), Rename Variable(4), Extract Attribute(3), Remove Parameter(3), Rename Attribute(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(10), Extract Variable(3)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient,getServerPartitionAssignments,140 -> 144,1e3089b61a94a785b6040ffb0598e61cf7b0a33a -> fd931c54a991e429d5383ebccc892424b55d3261,0,0,0,4,3.0,2.0,5.0,35.0,2.0,8.0,1.0,11.0,6,"waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(66), Change Variable Type(12), Rename Variable(12), Change Return Type(8), Inline Method(7), Add Method Annotation(6), Add Thrown Exception Type(3)]"
com.wepay.waltz.client.internal.InternalClientTestBase,getCallbacks,107 -> 110,bd4141e2dd5aa0bc8e5c8ac74f31b51000e95d7f -> 5708469a38c3181fdcb82f30f69fe17b488acb83,0,0,0,4,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1,waltz-client/src/test/java/com/wepay/waltz/client/internal/InternalClientTestBase.java: [Extract Method(22)]
com.wepay.waltz.tools.storage.StorageCliTest,testListPartition,62 -> 68,5879335b5a4339972e301c5a3de89a17d363e981 -> d365a59f132f9de7cd8a9273858c4416833ee43e,0,0,0,3,7.0,8.0,58.0,32.0,21.0,27.0,6.0,2.0,27,"waltz-tools/src/test/java/com/wepay/waltz/tools/storage/StorageCliTest.java: [Extract Method(8), Replace Attribute With Variable(4)]"
com.wepay.waltz.client.AbstractClientCallbacksForJDBC,applyTransaction,96 -> 98,de30a932d378e5c4f250a4f020796637f2b63453 -> 2f5df409b4032097c148a9c455268ef3aaaba776,0,0,0,2,6.0,5.0,51.0,51.0,20.0,21.0,6.0,6.0,21,waltz-client/src/test/java/com/wepay/waltz/client/AbstractClientCallbacksForJDBCTest.java: [Extract Method(18)]
com.wepay.waltz.tools.client.ClientCli$Validate$ProducerThread,run,43 -> 46,ec7c0e75e0643decbe0c592b4e33fcddb20d966f -> b12f4dc996ea4e21aa506141a730c9d480229638,0,0,0,10,4.0,4.0,18.0,17.0,7.0,6.0,3.0,3.0,6,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Rename Parameter(12), Replace Attribute With Variable(8), Rename Variable(4), Extract Attribute(3), Remove Parameter(3), Rename Attribute(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(10), Extract Variable(3)]"
com.wepay.waltz.tools.client.ClientCli$Validate,configureOptions,54 -> 56,5e83efff24abc7f38fd1e5d2e52a724b141878ba -> ded8b29109c16332f700ef4961d50e382e39b40c,0,0,0,4,2.0,2.0,20.0,17.0,8.0,8.0,1.0,1.0,7,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Add Method Modifier(2), Move Method(2)]"
com.wepay.waltz.tools.client.ClientCli$Validate$ConsumerTxnCallbacks,applyTransaction,43 -> 46,ec7c0e75e0643decbe0c592b4e33fcddb20d966f -> b12f4dc996ea4e21aa506141a730c9d480229638,0,0,0,10,3.0,3.0,14.0,14.0,8.0,5.0,3.0,4.0,5,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Rename Parameter(12), Replace Attribute With Variable(8), Rename Variable(4), Extract Attribute(3), Remove Parameter(3), Rename Attribute(2)] waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(10), Extract Variable(3)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient$WaltzClientHandlerCallbacksImpl,onCheckStorageConnectivityResponseReceived,140 -> 144,1e3089b61a94a785b6040ffb0598e61cf7b0a33a -> fd931c54a991e429d5383ebccc892424b55d3261,0,0,0,4,0.0,0.0,9.0,8.0,5.0,4.0,2.0,3.0,5,"waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(66), Change Variable Type(12), Rename Variable(12), Change Return Type(8), Inline Method(7), Add Method Annotation(6), Add Thrown Exception Type(3)]"
com.wepay.waltz.test.util.IntegrationTestHelper,IntegrationTestHelper,62 -> 68,5879335b5a4339972e301c5a3de89a17d363e981 -> d365a59f132f9de7cd8a9273858c4416833ee43e,0,0,0,3,7.0,8.0,46.0,41.0,14.0,11.0,6.0,5.0,11,"waltz-test/src/main/java/com/wepay/waltz/test/util/IntegrationTestHelper.java: [Extract Method(24), Rename Method(4)]"
com.wepay.waltz.tools.client.ClientCliTest,testSubmitWithMultiplePartitions,43 -> 186,ec7c0e75e0643decbe0c592b4e33fcddb20d966f -> dea8b81530a11497b4a0fd1682f7535378a14963,0,0,0,1,4.0,3.0,22.0,22.0,19.0,19.0,1.0,1.0,19,"waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(10), Extract Variable(3)]"
com.wepay.waltz.client.internal.network.WaltzNetworkClient,sendRequestOnChannelActive,140 -> 142,1e3089b61a94a785b6040ffb0598e61cf7b0a33a -> a3038a03f4823d752d45f7697aad14808e18f4a5,0,0,0,1,1.0,2.0,24.0,23.0,6.0,6.0,7.0,7.0,6,"waltz-client/src/main/java/com/wepay/waltz/client/internal/network/WaltzNetworkClient.java: [Extract Method(66), Change Variable Type(12), Rename Variable(12), Change Return Type(8), Inline Method(7), Add Method Annotation(6), Add Thrown Exception Type(3)]"
com.wepay.waltz.tools.storage.StorageCliTest,setUpStreams,62 -> 68,5879335b5a4339972e301c5a3de89a17d363e981 -> d365a59f132f9de7cd8a9273858c4416833ee43e,0,0,0,3,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2,"waltz-tools/src/test/java/com/wepay/waltz/tools/storage/StorageCliTest.java: [Extract Method(8), Replace Attribute With Variable(4)]"
com.wepay.waltz.common.message.MessageCodecV2,decode,303 -> 304,73aab90cdab9d7108df2eac94feebe602ed59222 -> 21c95b1cc676574d8794ce3fe671dcec10fb72ec,2,0,2,4,29.0,29.0,92.0,90.0,11.0,11.0,24.0,24.0,10,"waltz-common/src/main/java/com/wepay/waltz/common/message/MessageCodecV2.java: [Extract Method(28), Rename Variable(4), Parameterize Variable(4)]"
com.wepay.waltz.tools.client.ClientCliTest,createProperties,248 -> 250,1dd70a40ee593e98b311a7f4c843f87270c32df6 -> 2d2d66d771ed7c6e1cb1d3da1e67fadc8ce1ded6,0,0,0,4,2.0,1.0,3.0,8.0,1.0,3.0,1.0,1.0,3,"waltz-tools/src/test/java/com/wepay/waltz/tools/client/ClientCliTest.java: [Extract Method(16), Rename Parameter(4), Change Parameter Type(4), Add Thrown Exception Type(3)]"
com.wepay.waltz.tools.client.ClientCli$HighWaterMark,processCmd,54 -> 56,5e83efff24abc7f38fd1e5d2e52a724b141878ba -> ded8b29109c16332f700ef4961d50e382e39b40c,0,0,0,4,5.0,4.0,12.0,12.0,7.0,7.0,2.0,2.0,7,"waltz-tools/src/main/java/com/wepay/waltz/tools/client/ClientCli.java: [Add Method Modifier(2), Move Method(2)]"
