Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
in.xnnyygn.xraft.core.log.sequence.EntryIndexFile,class,75 -> 90,8939173cb241c3c81420b588e7dc3c108e80e856 -> e6b69b2435f942749f926b5dea039e3235a66bc6,0,0,0,2,6.0,6.0,1.0,1.0,35.0,18.0,144.0,141.0,0.0,0.0,25.0,21.0,31.0,30.0,getMinEntryIndex[ checkEmpty():1 ] appendEntryIndex[ writeInt():4 seek():2 writeLong():1 getIndex():1 size():1 appendEntryIndex():1 getOffset():1 getTerm():1 updateEntryIndexCount():1 getOffsetOfEntryIndexItem():1 getKind():1 put():1 ] updateEntryIndexCount[  ] getOffset[ getOffset():1 get():1 ] isEmpty[  ] clear[ truncate():1 clear():1 ] removeAfter[ writeInt():1 truncate():1 getOffsetOfEntryIndexItem():1 isEmpty():1 clear():1 seek():1 remove():1 ] checkEmpty[ isEmpty():1 ] getMaxEntryIndex[ checkEmpty():1 ] iterator[ emptyIterator():1 isEmpty():1 ] load[ readInt():4 size():1 readLong():1 updateEntryIndexCount():1 put():1 ] EntryIndexFile[ load():1 ] getOffsetOfEntryIndexItem[  ] get[ get():1 checkEmpty():1 ] getEntryIndexCount[  ] close[ close():1 ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/sequence/EntryIndexFile.java: [Extract Class(3), Add Thrown Exception Type(2), Move Method(1), Change Method Access Modifier(1), Move Attribute(1)]"
in.xnnyygn.xraft.core.rpc.ConnectorAdapter,class,97 -> 108,f016f641b9d66dbe6a1c2410542da07eb364076d -> d4ccac212f5bba4688b96c968a38d4e7cfe0c513,13,1,12,11,12.0,11.0,1.0,1.0,55.0,36.0,24.0,20.0,3.0,3.0,0.0,0.0,11.0,9.0,replyAppendEntries[  ] sendInstallSnapshot[  ] resetChannels[  ] initialize[  ] sendRequestVote[  ] replyRequestVote[  ] sendAppendEntries[  ] replyInstallSnapshot[  ] close[  ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/rpc/ConnectorAdapter.java: [Pull Up Method(3), Extract Superclass(1)]"
in.xnnyygn.xraft.core.log.entry.AbstractEntry,class,74 -> 75,50bc8d439d3bcd91a83d295689f3e1bda7a02de1 -> 8939173cb241c3c81420b588e7dc3c108e80e856,17,1,16,144,3.0,2.0,1.0,1.0,10.0,0.0,32.0,22.0,3.0,3.0,3.0,0.0,8.0,5.0,AbstractEntry[  ] getIndex[  ] getTerm[  ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/entry/AbstractEntrySequence.java: [Add Method Annotation(14), Extract Subclass(12), Push Down Method(10), Change Method Access Modifier(3), Push Down Attribute(2), Change Attribute Access Modifier(2)]"
in.xnnyygn.xraft.core.rpc.Connector,interface,97 -> 108,f016f641b9d66dbe6a1c2410542da07eb364076d -> d4ccac212f5bba4688b96c968a38d4e7cfe0c513,0,0,0,11,11.0,10.0,1.0,1.0,55.0,36.0,13.0,11.0,0.0,0.0,0.0,0.0,11.0,9.0,sendResult[  ] release[  ] sendAppendEntriesResult[  ] sendRpc[  ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/rpc/ConnectorAdapter.java: [Pull Up Method(3), Extract Superclass(1)]"
in.xnnyygn.xraft.core.log.entry.Entry,interface,74 -> 75,50bc8d439d3bcd91a83d295689f3e1bda7a02de1 -> 8939173cb241c3c81420b588e7dc3c108e80e856,0,0,0,144,3.0,2.0,1.0,1.0,21.0,10.0,13.0,11.0,0.0,0.0,0.0,0.0,7.0,5.0,getCommandBytes[  ] getIndex[  ] getTerm[  ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/entry/EntrySequence.java: [Push Down Method(16), Extract Subclass(13), Add Method Annotation(11), Push Down Attribute(3), Change Method Access Modifier(3), Change Type Declaration Kind(2), Change Attribute Access Modifier(2)]"
in.xnnyygn.xraft.core.schedule.DefaultScheduler,class,75 -> 114,8939173cb241c3c81420b588e7dc3c108e80e856 -> c2f6d80e525d5e91dd56d995bb3e6afb81043abf,19,7,12,13,6.0,7.0,1.0,1.0,3.0,0.0,45.0,42.0,0.0,0.0,13.0,12.0,11.0,10.0,stop[ debug():1 awaitTermination():1 shutdown():1 ] scheduleLogReplicationTask[ debug():1 scheduleWithFixedDelay():1 ] scheduleElectionTimeout[ schedule():1 debug():1 scheduleElectionTimeout():1 nextInt():1 ] DefaultScheduler[ newSingleThreadScheduledExecutor():1 getLogReplicationInterval():1 getLogReplicationDelay():1 getMinElectionTimeout():1 getMaxElectionTimeout():1 ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/schedule/DefaultScheduler.java: [Add Method Annotation(8), Extract Subclass(7), Push Down Method(5), Push Down Attribute(3), Add Parameter(2)]"
in.xnnyygn.xraft.core.log.snapshot.MemorySnapshot,class,74 -> 75,50bc8d439d3bcd91a83d295689f3e1bda7a02de1 -> 8939173cb241c3c81420b588e7dc3c108e80e856,0,0,0,144,4.0,3.0,1.0,1.0,0.0,0.0,39.0,42.0,0.0,0.0,2.0,2.0,12.0,13.0,MemorySnapshot[  ] read[ min():1 arraycopy():1 ] size[  ] getLastIncludedTerm[  ] toByteArray[  ] getLastIncludedIndex[  ] toString[  ] close[  ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/snapshot/MemorySnapshot.java: [Rename Method(4), Change Return Type(4)] xraft-core/src/main/java/in/xnnyygn/xraft/core/log/snapshot/MemorySnapshotBuilder.java: [Extract Method(4), Pull Up Attribute(3), Extract Superclass(2), Change Attribute Access Modifier(2), Remove Attribute Modifier(2), Pull Up Method(1)]"
in.xnnyygn.xraft.core.log.snapshot.FileSnapshot,class,74 -> 75,50bc8d439d3bcd91a83d295689f3e1bda7a02de1 -> 8939173cb241c3c81420b588e7dc3c108e80e856,26,13,13,144,9.0,8.0,1.0,1.0,36.0,36.0,79.0,79.0,0.0,0.0,10.0,10.0,19.0,19.0,FileSnapshot[ initialize():3 getSnapshotFile():1 ] getLogDir[  ] readData[ min():1 read():1 seek():1 ] getLastIncludedTerm[  ] getLastIncludedIndex[  ] initialize[ readInt():2 size():1 initialize():1 ] getDataSize[  ] getDataStream[ inputStream():1 ] close[ close():1 ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/snapshot/FileSnapshot.java: [Extract Method(20), Rename Method(3), Change Variable Type(2), Add Method Annotation(2), Change Parameter Type(2), Rename Parameter(2), Add Parameter(2), Change Return Type(2), Rename Class(1), Change Attribute Type(1)]"
in.xnnyygn.xraft.core.rpc.nio.NioConnector,class,108 -> 109,d4ccac212f5bba4688b96c968a38d4e7cfe0c513 -> 2a0f05863ce1498abf5126e97cc3955dad78a1b3,6,0,6,5,28.0,28.0,1.0,1.0,0.0,0.0,130.0,125.0,0.0,0.0,30.0,29.0,26.0,25.0,registerNioChannel[ submit():1 register():1 ] getChannel[ channel():3 sync():2 handler():1 getPort():1 find():1 getId():1 getEndpoint():1 connect():1 getHost():1 option():1 group():1 writeAndFlush():1 ] release[ shutdownGracefully():2 release():1 awaitTermination():1 shutdown():1 ] NioConnector[  ] resetChannels[ closeInboundChannels():1 ] initialize[ debug():1 bind():1 channel():1 childHandler():1 sync():1 group():1 ] closeNioChannel[ submit():1 remove():1 ] ,xraft-core/src/main/java/in/xnnyygn/xraft/core/rpc/nio/NioConnector.java: [Extract Method(28)]
in.xnnyygn.xraft.core.node.FileNodeStore,class,74 -> 75,50bc8d439d3bcd91a83d295689f3e1bda7a02de1 -> 8939173cb241c3c81420b588e7dc3c108e80e856,61,29,32,144,7.0,8.0,1.0,1.0,0.0,0.0,92.0,87.0,0.0,0.0,12.0,13.0,19.0,17.0,FileNodeStore[ exists():1 touch():1 ] setVotedFor[ writeInt():2 getValue():1 seek():1 write():1 getBytes():1 ] setCurrentTerm[ writeInt():1 seek():1 ] getCurrentTerm[ readInt():1 seek():1 ] initialize[ writeInt():2 seek():2 size():1 truncate():1 ] getVotedFor[ read():1 readInt():1 seek():1 ] close[ close():1 ] ,"xraft-core/src/main/java/in/xnnyygn/xraft/core/node/FileNodeStore.java: [Add Method Annotation(8), Extract Subclass(5), Push Down Method(4), Inline Attribute(1)]"
