Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
in.xnnyygn.xraft.core.log.sequence.FileEntrySequence,commit,75 -> 90,8939173cb241c3c81420b588e7dc3c108e80e856 -> e6b69b2435f942749f926b5dea039e3235a66bc6,0,0,0,2,5.0,4.0,24.0,24.0,8.0,8.0,7.0,7.0,8,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/sequence/FileEntrySequence.java: [Change Parameter Type(4), Change Attribute Type(2), Change Variable Type(2), Rename Variable(2), Rename Parameter(2), Replace Attribute With Variable(2), Move Class(1), Rename Method(1), Change Method Access Modifier(1), Rename Attribute(1), Extract Class(1)]"
in.xnnyygn.xraft.core.node.FileNodeStore,getVotedFor,74 -> 75,50bc8d439d3bcd91a83d295689f3e1bda7a02de1 -> 8939173cb241c3c81420b588e7dc3c108e80e856,61,29,32,144,4.0,1.0,15.0,3.0,3.0,0.0,3.0,1.0,3,"xraft-core/src/main/java/in/xnnyygn/xraft/core/node/FileNodeStore.java: [Add Method Annotation(8), Extract Subclass(5), Push Down Method(4), Inline Attribute(1)]"
in.xnnyygn.xraft.core.rpc.nio.NioConnector,sendInstallSnapshot,64 -> 97,7efe4eb4a6da9e9e09116279b912140374bbdbb3 -> f016f641b9d66dbe6a1c2410542da07eb364076d,18,14,4,32,4.0,5.0,9.0,3.0,4.0,3.0,2.0,1.0,4,"xraft-core/src/main/java/in/xnnyygn/xraft/core/rpc/nio/NioConnector.java: [Move Method(5), Rename Parameter(4), Change Parameter Type(4), Remove Method Annotation(3), Change Method Access Modifier(2), Rename Attribute(2), Change Attribute Type(2), Change Attribute Access Modifier(2), Move Attribute(2), Change Variable Type(2), Rename Variable(2)]"
in.xnnyygn.xraft.kvstore.SocketChannel,send,48 -> 57,87f7ef4191753bc58dc1fe55f5c3943c59e65299 -> 7b0b0bb1ae6ed8a2aafa94f28a7605faf021e406,75,51,24,31,11.0,2.0,21.0,11.0,4.0,6.0,4.0,2.0,5,xraft-kvstore/src/main/java/in/xnnyygn/xraft/kvstore/SocketChannel.java: [Extract Method(24)]
in.xnnyygn.xraft.core.node.NodeContext,setEventBus,49 -> 78,8568275f551ee9ff146a6855020fc465a0960c72 -> e565a8d0fb0abfbb1bddbbc13049016d405c4a77,127,46,81,39,1.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,1,"xraft-core/src/main/java/in/xnnyygn/xraft/core/node/NodeContext.java: [Extract Class(3), Move Attribute(2)]"
in.xnnyygn.xraft.core.log.MemoryLog,appendEntry,55 -> 63,f827a27cb4db56e1e0644973e16b56c744f4e1a8 -> 1783eb72e88e37349920464d13b4d15b39026750,22,5,17,52,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2,xraft-core/src/main/java/in/xnnyygn/xraft/core/log/MemoryLog.java: [Extract Method(14)]
in.xnnyygn.xraft.core.log.AbstractLog,applySnapshot,75 -> 140,8939173cb241c3c81420b588e7dc3c108e80e856 -> c59dbd3f3d0f6b56b6bed9fa8fb4a25690dc7cf8,51,21,30,18,3.0,3.0,9.0,9.0,4.0,3.0,2.0,2.0,4,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/AbstractLog.java: [Extract Method(161), Rename Parameter(28), Change Parameter Type(16), Rename Variable(12), Parameterize Variable(8), Rename Method(4), Change Attribute Access Modifier(4), Change Return Type(4), Add Method Annotation(3), Add Parameter(3)] xraft-core/src/main/java/in/xnnyygn/xraft/core/log/AbstractLogDir.java: [Change Attribute Access Modifier(2)]"
in.xnnyygn.xraft.core.log.snapshot.MemorySnapshot,readData,74 -> 75,50bc8d439d3bcd91a83d295689f3e1bda7a02de1 -> 8939173cb241c3c81420b588e7dc3c108e80e856,0,0,0,144,3.0,2.0,9.0,9.0,2.0,2.0,4.0,4.0,2,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/snapshot/MemorySnapshot.java: [Rename Method(4), Change Return Type(4)] xraft-core/src/main/java/in/xnnyygn/xraft/core/log/snapshot/MemorySnapshotBuilder.java: [Extract Method(4), Pull Up Attribute(3), Extract Superclass(2), Change Attribute Access Modifier(2), Remove Attribute Modifier(2), Pull Up Method(1)]"
in.xnnyygn.xraft.core.log.AbstractLog,createAppendEntriesRpc,75 -> 89,8939173cb241c3c81420b588e7dc3c108e80e856 -> ba11abe705e279561442768973424c3ba8c3404c,0,0,0,1,6.0,6.0,29.0,27.0,18.0,17.0,6.0,5.0,19,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/AbstractLog.java: [Extract Method(161), Rename Parameter(28), Change Parameter Type(16), Rename Variable(12), Parameterize Variable(8), Rename Method(4), Change Attribute Access Modifier(4), Change Return Type(4), Add Method Annotation(3), Add Parameter(3)] xraft-core/src/main/java/in/xnnyygn/xraft/core/log/AbstractLogDir.java: [Change Attribute Access Modifier(2)]"
in.xnnyygn.xraft.core.log.AbstractLog,installSnapshot,75 -> 140,8939173cb241c3c81420b588e7dc3c108e80e856 -> c59dbd3f3d0f6b56b6bed9fa8fb4a25690dc7cf8,51,21,30,18,4.0,4.0,21.0,24.0,12.0,11.0,4.0,5.0,13,"xraft-core/src/main/java/in/xnnyygn/xraft/core/log/AbstractLog.java: [Extract Method(161), Rename Parameter(28), Change Parameter Type(16), Rename Variable(12), Parameterize Variable(8), Rename Method(4), Change Attribute Access Modifier(4), Change Return Type(4), Add Method Annotation(3), Add Parameter(3)] xraft-core/src/main/java/in/xnnyygn/xraft/core/log/AbstractLogDir.java: [Change Attribute Access Modifier(2)]"
