Class,Type,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From DIT,To DIT,From LCOM,To LCOM,From LOC,To LOC,From NOC,To NOC,From RFC,To RFC,From WMC,To WMC,Method Invocations,Refactoring Patterns
org.apache.zookeeper.server.quorum.LeaderZooKeeperServer,class,609 -> 866,b99ef6bc93b7d27ee9359bcd1b4d56856445394d -> d57806527fc3b543d3bf96240db11b15075136eb,6,2,4,12,21.0,20.0,3.0,3.0,78.0,78.0,94.0,94.0,0.0,0.0,18.0,18.0,22.0,22.0,getLeader[  ] getGlobalOutstandingLimit[ getQuorumSize():1 ] setupRequestProcessors[ getLeader():1 ] setZxid[  ] touch[ touchSession():1 ] createSessionTracker[ getId():1 ] LeaderZooKeeperServer[  ] ,"src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java: [Extract Superclass(2), Pull Up Attribute(1), Change Attribute Access Modifier(1), Add Attribute Modifier(1)]"
org.apache.zookeeper.server.ZooKeeperServer,class,829 -> 838,43776e4fa233eeda2bdbbb3ca4db5030d2a51a9d -> 336888446c310494f1ae1e39b81dc5a60cb5576f,132,65,67,9,45.0,45.0,4.0,4.0,1412.0,1412.0,611.0,610.0,1.0,1.0,135.0,134.0,131.0,131.0,truncateLog[ getChannel():2 getArchive():2 listFiles():2 readBuffer():1 deserializeTxn():1 toHexString():1 getZxid():1 isValidSnapshot():1 error():1 warn():1 exit():1 getLogFiles():1 truncate():1 position():1 readByte():1 close():1 ] revalidateSession[ touchSession():1 toHexString():1 finishSessionInit():1 logTraceMessage():1 ] deserializeTxn[ deserialize():2 getType():1 ] getSnapCount[ parseInt():1 getProperty():1 ] killSession[ removeSession():1 killSession():1 toHexString():1 logTraceMessage():1 ] addCommittedProposal[ serialize():2 size():2 getZxid():2 add():1 getFirst():1 removeFirst():1 toByteArray():1 getArchive():1 error():1 close():1 ] getTime[ currentTimeMillis():1 ] getZxid[  ] getGlobalOutstandingLimit[ parseInt():1 getProperty():1 ] isValidSnapshot[ getInt():1 warn():1 getName():1 read():1 getZxidFromName():1 get():1 length():1 seek():1 wrap():1 close():1 ] main[ parse():1 runStandalone():1 ] loadData[ readInt():2 add():1 loadSnapshotAndLogs():1 killSession():1 readLong():1 build():1 get():1 getSessions():1 snapshot():1 put():1 logTraceMessage():1 deserialize():1 ] createSessionTracker[  ] createSession[ allocate():1 setSessionId():1 putInt():1 submitRequest():1 createSession():1 nextBytes():1 ] getLogName[ toHexString():1 ] getInProcess[  ] byteBuffer2Record[ getArchive():1 deserialize():1 ] getZxidFromName[ split():1 parseLong():1 equals():1 ] isRunning[  ] sortDataDir[ sort():1 asList():1 ] startup[ notifyAll():1 setupRequestProcessors():1 loadData():1 createSessionTracker():1 ] closeSession[ toHexString():1 submitRequest():1 closeSession():1 getSessionId():1 logTraceMessage():1 ] reopenSession[ checkPasswd():1 revalidateSession():1 finishSessionInit():1 ] incInProcess[  ] getServerCnxnFactory[  ] checkPasswd[ equals():1 generatePasswd():1 ] getNextZxid[  ] setServerCnxnFactory[  ] loadSnapshotAndLogs[ warn():3 getArchive():2 listFiles():2 close():2 getLogFiles():1 playLog():1 build():1 sortDataDir():1 isValidSnapshot():1 loadData():1 ] playLog[ getClientId():4 getZxid():4 processTxn():3 getType():3 toHexString():2 error():2 getTimeOut():2 logTraceMessage():2 readBuffer():1 deserializeTxn():1 addCommittedProposal():1 put():1 remove():1 getCxid():1 getArchive():1 readByte():1 ] setupRequestProcessors[  ] submitRequest[ error():2 warn():1 wait():1 isValid():1 touch():1 processRequest():1 incInProcess():1 ] touch[ touchSession():1 toHexString():1 getSessionTimeout():1 getSessionId():1 ] getLastProcessedZxid[  ] getLogFiles[ getName():2 getZxidFromName():2 add():1 sortDataDir():1 toArray():1 ] removeCnxn[ removeCnxn():1 ] expire[ toHexString():1 closeSession():1 error():1 logTraceMessage():1 ] decInProcess[  ] getServerId[  ] getOutstandingRequests[ getInProcess():1 ] generatePasswd[ nextBytes():1 ] runStandalone[ exit():1 isRunning():1 registerAsConcrete():1 startup():1 createConnectionFactory():1 createServer():1 setZooKeeperServer():1 join():1 shutdown():1 fatal():1 ] ZooKeeperServer[ setStatsProvider():2 getInstance():2 isDirectory():2 getDataLogDir():1 getDataDir():1 ] snapshot[ toHexString():3 writeInt():2 getTextTraceLevel():2 logTraceMessage():2 getKey():1 entrySet():1 intValue():1 error():1 longValue():1 getValue():1 serialize():1 exit():1 writeLong():1 size():1 flush():1 getArchive():1 close():1 snapshot():1 ] shutdown[ shutdown():2 clear():1 ] ,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java: [Move Method(1)]
org.apache.zookeeper.server.NIOServerCnxn,class,1013 -> 1066,6206b495e0c7a8ff3bb7a30cbddf2dd8f02f6dfc -> 12878387483a4084c5a3beafbfae0172a44e5dcf,15,7,8,3,34.0,34.0,16.0,16.0,272.0,272.0,803.0,802.0,0.0,0.0,100.0,101.0,138.0,138.0,getStats[  ] process[ sendResponse():1 logTraceMessage():1 ] NIOServerCnxn[ socket():3 add():2 getCanonicalHostName():1 setTcpNoDelay():1 interestOps():1 setSoLinger():1 getAddress():1 getHostAddress():1 getRemoteSocketAddress():1 ] readRequest[ getXid():4 error():3 disableRecv():2 sendResponse():2 getType():2 handleAuthentication():1 getScheme():1 getAuth():1 sendBuffer():1 submitRequest():1 getInProcess():1 byteBuffer2Record():1 slice():1 getProvider():1 getArchive():1 deserialize():1 ] finishSessionInit[ sendBuffer():2 close():2 writeInt():1 toHexString():1 putInt():1 wakeup():1 error():1 remaining():1 serialize():1 warn():1 rewind():1 toByteArray():1 getArchive():1 selector():1 generatePasswd():1 wrap():1 enableRecv():1 ] sendBuffer[ interestOps():2 add():1 wakeup():1 isValid():1 selector():1 error():1 ] disableRecv[ interestOps():2 ] getSessionTimeout[  ] getRemoteAddress[ socket():1 getRemoteSocketAddress():1 ] sendResponse[ writeRecord():2 putInt():1 sendBuffer():1 wakeup():1 error():1 getInProcess():1 rewind():1 getXid():1 toByteArray():1 getArchive():1 selector():1 write():1 close():1 wrap():1 enableRecv():1 ] readConnectRequest[ toHexString():4 warn():3 getLastZxidSeen():3 getSessionId():2 disableRecv():1 error():1 createSession():1 setSessionId():1 getPasswd():1 getTimeOut():1 getArchive():1 socket():1 reopenSession():1 deserialize():1 getRemoteSocketAddress():1 ] readLength[ append():20 sendBuffer():10 toString():7 interestOps():6 getBytes():4 allocate():4 wrap():4 flip():3 putLong():2 getStats():1 getFullVersion():1 read():1 setTextTraceLevel():1 duplicate():1 dumpEphemerals():1 getLong():1 getInt():1 exit():1 println():1 getNodeCount():1 getTextTraceLevel():1 getInstance():1 ] setSessionId[  ] toString[  ] getSessionId[  ] close[ socket():3 error():2 close():2 shutdownInput():1 cancel():1 removeCnxn():1 remove():1 shutdownOutput():1 logTraceMessage():1 ] doIO[ remaining():7 interestOps():5 position():4 clear():3 size():3 getInstance():3 incrementPacketsReceived():2 flip():2 close():2 read():1 readRequest():1 isWritable():1 put():1 remove():1 peek():1 readConnectRequest():1 readLength():1 slice():1 limit():1 incrementPacketsSent():1 isReadable():1 write():1 ] enableRecv[ interestOps():2 isValid():1 ] getAuthInfo[  ] ,"src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java: [Extract Method(144), Change Attribute Access Modifier(20), Extract And Move Method(13), Add Attribute Modifier(10), Change Variable Type(8), Extract Variable(7), Inline Variable(5), Change Attribute Type(4), Remove Method Modifier(4), Add Parameter(3)] src/java/main/org/apache/zookeeper/server/NIOServerCnxnFactory.java: [Extract Method(26), Extract And Move Method(22), Inline Method(19), Change Attribute Access Modifier(10), Extract Class(10), Change Attribute Type(6), Rename Variable(4), Change Variable Type(4), Remove Method Modifier(4), Remove Thrown Exception Type(3), Add Parameter(3), Add Attribute Modifier(2), Rename Attribute(2), Move Attribute(2), Move Method(2)]"
org.apache.zookeeper.server.quorum.ManagedQuorumPeerMain,class,206 -> 235,ed70d2edcb78a7e30ae60170ea986fb85e862b4b -> 0c6294e6cab2befc330b8a5c05ceeb156550c2fe,0,0,0,16,9.0,9.0,1.0,1.0,1.0,1.0,49.0,48.0,0.0,0.0,13.0,13.0,5.0,5.0,main[ main():2 isStandalone():1 parse():1 runPeer():1 setAsConcrete():1 ] runPeer[ exit():1 registerAsConcrete():1 createConnectionFactory():1 start():1 create():1 join():1 fatal():1 ] ,"src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java: [Extract Class(3), Move Method(3)]"
org.apache.zookeeper.server.ZooKeeperServerMain,class,741 -> 866,7faeaa12f4da8dd076e1b7ac2e2c9ce288936e58 -> d57806527fc3b543d3bf96240db11b15075136eb,0,0,0,12,7.0,7.0,1.0,1.0,0.0,0.0,68.0,63.0,2.0,2.0,24.0,20.0,11.0,11.0,main[ parse():1 runStandalone():1 ] runStandalone[ exit():1 isRunning():1 registerAsConcrete():1 startup():1 createConnectionFactory():1 createServer():1 setZooKeeperServer():1 join():1 shutdown():1 fatal():1 ] ,"src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java: [Change Variable Type(8), Extract Method(6), Add Thrown Exception Type(6), Replace Variable With Attribute(4), Rename Variable(4), Rename Parameter(4), Change Parameter Type(4), Rename Method(2), Change Method Access Modifier(2), Remove Method Modifier(2)]"
org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener,innerclass,748 -> 947,53a3d5530bd337625374396199ab985e115025ed -> 7bf199eb4df4537adca112c7962e200a87d2666d,0,0,0,25,2.0,2.0,2.0,2.0,0.0,0.0,54.0,53.0,0.0,0.0,17.0,16.0,11.0,11.0,run[ socket():2 warn():1 println():1 bind():1 setTcpNoDelay():1 getMessage():1 receiveConnection():1 open():1 accept():1 ] ,"src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java: [Extract And Move Method(29), Extract Method(24), Change Variable Type(16), Rename Variable(16), Change Parameter Type(12), Rename Parameter(12), Change Attribute Type(4), Replace Variable With Attribute(4), Rename Attribute(2), Change Method Access Modifier(2)]"
org.apache.zookeeper.server.quorum.FastLeaderElection$Messenger$WorkerSender,innerclass,1164 -> 1226,a6e8a13a2da6df08f4426cc4f623ec5c76078ba9 -> 5a6535bf410ed223aac075241045ccd807b17b81,253,160,93,16,5.0,5.0,3.0,3.0,0.0,0.0,34.0,26.0,0.0,0.0,10.0,6.0,6.0,6.0,process[ putLong():3 putInt():1 toSend():1 clear():1 wrap():1 ordinal():1 ] WorkerSender[  ] run[ take():1 process():1 ] ,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java: [Extract Superclass(4)]
com.yahoo.zookeeper.server.ZooKeeperServer,class,100 -> 114,2d5dd1da4d144cd1ab76edda05e4faa2d6f368e3 -> 7f56417f9404afb0f8975b0fe616433ab75a5de8,790,0,790,33,37.0,37.0,1.0,1.0,792.0,938.0,596.0,612.0,2.0,2.0,135.0,129.0,122.0,124.0,revalidateSession[ touchSession():1 finishSessionInit():1 logTextTraceMessage():1 ] deserializeTxn[ deserialize():2 getType():1 ] getSnapCount[ parseInt():1 getProperty():1 ] killSession[ removeSession():1 killSession():1 logTextTraceMessage():1 ] getTime[ currentTimeMillis():1 ] getZxid[  ] getGlobalOutstandingLimit[ parseInt():1 getProperty():1 ] main[ exit():3 println():2 logException():2 parseInt():1 startup():1 setZooKeeperServer():1 join():1 shutdown():1 ] loadData[ getName():3 getZxidFromName():3 close():3 logWarn():3 get():2 readInt():2 listFiles():2 getArchive():2 killSession():1 getSessions():1 loadData():1 seek():1 asList():1 put():1 logTextTraceMessage():1 deserialize():1 add():1 read():1 toHexString():1 playLog():1 length():1 sort():1 getInt():1 readLong():1 exists():1 wrap():1 snapshot():1 ] createSessionTracker[  ] createSession[ allocate():1 setSessionId():1 putInt():1 submitRequest():1 createSession():1 nextBytes():1 ] getLogName[ toHexString():1 ] getInProcess[  ] byteBuffer2Record[ getArchive():1 deserialize():1 ] getZxidFromName[ split():1 parseLong():1 equals():1 ] isRunning[  ] startup[ notifyAll():1 setupRequestProcessors():1 loadData():1 createSessionTracker():1 ] closeSession[ logTextTraceMessage():1 submitRequest():1 closeSession():1 getSessionId():1 ] reopenSession[ checkPasswd():1 revalidateSession():1 finishSessionInit():1 ] incInProcess[  ] getServerCnxnFactory[  ] checkPasswd[ equals():1 generatePasswd():1 ] getNextZxid[  ] setServerCnxnFactory[  ] playLog[ getClientId():4 getZxid():3 processTxn():3 logError():2 getType():2 getTimeOut():2 logTextTraceMessage():2 readBuffer():1 deserializeTxn():1 put():1 remove():1 getArchive():1 readByte():1 ] setupRequestProcessors[  ] submitRequest[ logException():2 wait():1 logWarn():1 isValid():1 touch():1 processRequest():1 incInProcess():1 ] touch[ touchSession():1 toHexString():1 getSessionTimeout():1 getSessionId():1 ] removeCnxn[ removeCnxn():1 ] expire[ logException():1 logTextTraceMessage():1 closeSession():1 ] decInProcess[  ] getServerId[  ] generatePasswd[ nextBytes():1 ] ZooKeeperServer[ getScheme():4 put():4 logException():1 getProperty():1 keys():1 getProperties():1 getClassLoader():1 newInstance():1 hasMoreElements():1 loadClass():1 isDirectory():1 nextElement():1 startsWith():1 ] snapshot[ writeInt():2 toHexString():2 getKey():1 logException():1 entrySet():1 intValue():1 longValue():1 getValue():1 serialize():1 exit():1 writeLong():1 size():1 flush():1 logTextTraceMessage():1 getArchive():1 close():1 snapshot():1 ] shutdown[ shutdown():2 clear():1 ] ,"zookeeper/java/src/com/yahoo/zookeeper/server/ZooKeeperServer.java: [Extract Method(23), Change Variable Type(4), Change Return Type(4), Change Parameter Type(4), Change Attribute Type(2)]"
org.apache.zookeeper.test.system.QuorumPeerInstance,class,343 -> 1090,83cf0a93c37759334fab885c2010fa0b7d953f52 -> c3bd2f5a3b62d048459e3935997b638cbdbec648,0,0,0,3,7.0,7.0,1.0,1.0,33.0,33.0,196.0,196.0,0.0,0.0,46.0,45.0,39.0,39.0,stopInstance[ resetStatus():1 toString():1 getStatus():1 reconfigureInstance():1 ] stop[ debug():1 recursiveDelete():1 isDebugEnabled():1 shutdown():1 ] start[  ] createServer[ assignInstance():1 toString():1 getStatus():1 ] recursiveDelete[ delete():2 recursiveDelete():1 listFiles():1 isDirectory():1 ] configure[ getPort():6 isDebugEnabled():4 close():4 debug():3 printStackTrace():3 report():3 getHostName():2 getLocalSocketAddress():2 error():2 substring():2 getLocalHost():2 parseInt():2 sleep():2 warn():2 split():2 valueOf():1 start():1 put():1 equals():1 indexOf():1 shutdown():1 info():1 ] setReporter[  ] startInstance[ resetStatus():1 getStatus():1 reconfigureInstance():1 ] QuorumPeerInstance[ printStackTrace():1 createTempFile():1 delete():1 mkdir():1 ] ,src/java/systest/org/apache/zookeeper/test/system/QuorumPeerInstance.java: [Extract Method(8)]
org.apache.zookeeper.server.quorum.QuorumPeerConfig,class,1204 -> 1224,0252993977bb42940aae2088f29a5e4898bcf3da -> 02bec21a44c022ec6f065c5ced17864e58fa1ae8,0,0,0,6,10.0,13.0,3.0,3.0,459.0,459.0,470.0,449.0,0.0,0.0,56.0,48.0,137.0,127.0,isStandaloneServer[ size():1 getServers():1 ] getElectionAlg[  ] QuorumPeerConfig[  ] getInitLimit[  ] getElectionPort[  ] getServerId[  ] getServers[  ] parse[ error():11 exit():11 equals():8 parseInt():7 toString():4 size():3 parseLong():2 exists():2 add():1 getKey():1 entrySet():1 readLine():1 substring():1 getValue():1 println():1 split():1 load():1 setProperty():1 indexOf():1 isDirectory():1 startsWith():1 ] getTickTime[  ] getSyncLimit[  ] getQuorumSize[ size():1 ] ,"src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java: [Extract Method(206), Parameterize Variable(4), Change Method Access Modifier(2)]"
